[00:00:08	]Lynx has gone afk.
[17:00:02	]Kamil Çöpçü ran 'light' on item 'Zippo Çakmak' (#24428)
[17:00:05	][IC] Benedikt Arbeit: Direnişe yeni birilerini mi aldın?
[17:00:08	][ME] Kamil Çöpçü: sigarasını yakar
[17:00:13	][ME] Benedikt Arbeit: Maskesini çıkarır ve cebine koyar
[17:00:14	][IC] Igor Makarov: Evet yanımdaki duran arkadaş.
[17:00:23	][IC] Igor Makarov: Nicholastı galiba.
[17:00:30	][LOOC] Nicholas Newman: adımı söylemedim
[17:00:36	][LOOC] Igor Makarov: epic fails
[17:00:44	][LOOC] Nicholas Newman: np
[17:00:49	][LOOC] Benedikt Arbeit: bizi lambdaya ekle gruptan btw
[17:00:55	][IC] Benedikt Arbeit: Direnişin büyümesini görmek güzel.
[17:00:56	][LOOC] Igor Makarov: katıl ekleyim
[17:01:01	][IC] Igor Makarov: Evet.
[17:01:12	]Igor Makarov used command '/GroupInvite e'.
[17:01:25	]Igor Makarov used command '/GroupInvite Direnişciler'.
[17:01:34	][LOOC] Igor Makarov: başka bir gruptasın benedikt
[17:01:40	][IC] Kamil Çöpçü: Evladım benide alın yahu.
[17:01:40	][LOOC] Benedikt Arbeit: /gropuinvite yap
[17:01:41	][IC] Igor Makarov: Ne duruyoruz burda.
[17:01:44	][LOOC] Igor Makarov: yaptım
[17:01:49	][LOOC] Benedikt Arbeit: deneme amaçlı bir şey yaptım bir daha at
[17:01:53	][IC] Benedikt Arbeit: Hm.
[17:01:58	]Igor Makarov used command '/GroupInvite Direnişciler'.
[17:02:07	][IC] Kamil Çöpçü: Burada tek yatmak isteğmiyom.
[17:02:08	]Igor Makarov used command '/GroupInvite Direnişciler'.
[17:02:16	]Igor Makarov used command '/GroupInvite Direnişciler'.
[17:02:21	][IC] Igor Makarov: Burada yatırmayacağız zaten.
[17:02:42	][IC] Kamil Çöpçü: Nerede yatacaqm.
[17:02:48	][IC] Igor Makarov: Göstereceğim.
[17:02:53	][IC] Benedikt Arbeit: Onlara üssü göstermedin mi?
[17:02:56	][ME] Kamil Çöpçü: diz çöker
[17:02:58	][IC] Nicholas Newman: Igor makarov, sizinle özel konuşmam gereken bir şey olabilir.
[17:03:04	][IC] Igor Makarov: Elbette.
[17:03:11	][IC] Nicholas Newman: Tamamdır beni takip edin.
[17:03:14	][ME] Kamil Çöpçü: ellerinden öper
[17:03:15	][ME] Nicholas Newman: levyesini çantasına koyar
[17:03:18	]Nicholas Newman ran 'EquipUn' on item 'Levye' (#24204)
[17:03:22	][ME] Igor Makarov: elleriyle ayağı kaldırır
[17:03:24	][IC] Igor Makarov: Buna hiç gerek yok.
[17:03:32	][IC] Kamil Çöpçü: Çok yaşayın evladım.
[17:03:35	][IC] Igor Makarov: Hadi gidelim.
[17:03:48	][IC] Igor Makarov: Sadece arkadaş.
[17:03:57	][IC] Nicholas Newman: Umarım çeviksinizdir.
[17:04:03	][ME] Igor Makarov: gülümser
[17:04:18	][ME] Nicholas Newman: anahtarını çıkarır ve kilidi açar
[17:04:18	][W] Kamil Çöpçü: Evladım.
[17:04:23	][IC] Nicholas Newman: Sadece igor.
[17:04:27	][IC] Nicholas Newman: Sadece igor.
[17:04:30	][IC] Igor Makarov: Burayı hatırlıyorum.
[17:04:30	][IC] Benedikt Arbeit: Hm.
[17:04:38	][IC] Nicholas Newman: Lütfen sadece igor.
[17:04:49	]Goblin loaded the character 'Mehmetcan Çakır'
[17:04:51	][IC] Nicholas Newman: Igor dışı ndakiler çıkabilir mi?
[17:05:02	][IC] Igor Makarov: Benedikt kalabilir.
[17:05:03	][LOOC] Benedikt Arbeit: ndakiler bitişik
[17:05:12	][IC] Igor Makarov: Kendisi dostumdur.
[17:05:16	][IC] Nicholas Newman: Tamamdır.
[17:05:18	]Kamil Çöpçü entered observer.
[17:05:19	][IC] Nicholas Newman: Önceden üye miydi?
[17:05:20	]Lazykarma has connected.
[17:05:28	][IC] Benedikt Arbeit: Uzun bir süredir...
[17:05:31	][IC] Igor Makarov: Beraber kurduk.
[17:05:37	][IC] Nicholas Newman: Hm.
[17:05:41	][IC] Nicholas Newman: Kurucusu musunuz?
[17:05:41	][AltChecker] Lazykarma joined for the first time, generating new cookie.
[17:05:44	][IC] Nicholas Newman: Daha güzel.
[17:05:46	][IC] Benedikt Arbeit: Varna'daki dostlarımızında yardımıyla, evet.
[17:05:53	][IC] Igor Makarov: William vardı ah ulan..
[17:05:58	]Mehmetcan Çakır used command '/ActLean'.
[17:06:01	][IC] Nicholas Newman: William?
[17:06:03	]Mehmetcan Çakır used command '/ExitAct'.
[17:06:04	][ME] Igor Makarov: gözünden yaş dökülür
[17:06:06	][IC] Nicholas Newman: Williamı tanıyor musunuz?
[17:06:10	][IC] Benedikt Arbeit: Mhm.
[17:06:11	][IC] Igor Makarov: Direniş için ölenlerdendi.
[17:06:16	][IC] Nicholas Newman: Hector?
[17:06:16	][IC] Igor Makarov: William Alexandrec.
[17:06:22	][IC] Nicholas Newman: Tamamdır.
[17:06:25	][IC] Nicholas Newman: Farklı williammış.
[17:06:35	][IC] Nicholas Newman: Size güzel bir şey göstereceğim.
[17:06:39	]Lazykarma (STEAM_0:1:622119971) has disconnected.
[17:06:45	][ME] Nicholas Newman: en sağdaki vanayı sağa doğru çevirir
[17:06:53	][IC] Nicholas Newman: Burayı arkadaşımgösterdi.
[17:06:59	][LOOC] Igor Makarov: ama kanka bu karakter burayı biliyor yani
[17:07:01	][IC] Benedikt Arbeit: Hm.
[17:07:02	][LOOC] Igor Makarov: haberin olsun
[17:07:12	][IC] Nicholas Newman: Burayı bulmuş biraz onarmış.
[17:07:23	][IC] Nicholas Newman: Burada yaşıyorum.
[17:07:25	]Goblin has unloaded their "Mehmetcan Çakır" character.
[17:07:31	][LOOC] Benedikt Arbeit: f3 yapın
[17:07:33	][IT] Igor Makarov: Igor birşeylerin farkında gibi davransada burayı biliyormuş gibi gösterememeye  çalışmaktadır
[17:07:52	][IC] Nicholas Newman: Orası medikal yeri.
[17:07:52	][IC] Benedikt Arbeit: E Igor, burası sence nasıl?
[17:07:55	]Wonder Of You loaded the character 'Ford Noyer'
[17:07:58	][IC] Igor Makarov: Güzel.
[17:08:03	]Ford Noyer entered observer.
[17:08:03	][IC] Benedikt Arbeit: Beğenmene sevindim.
[17:08:05	][IC] Igor Makarov: Burayı biraz daha onarırım.
[17:08:05	][ME] Nicholas Newman: igora dikkat eder
[17:08:14	]Nicholas Newman rolled 18 out of 20 (+0 from Algı).
[17:08:14	]Nicholas Newman used command '/Roll perception'.
[17:08:19	][IC] Nicholas Newman: Hm.
[17:08:22	]Igor Makarov rolled 16 out of 20.
[17:08:22	]Igor Makarov used command '/Roll 20'.
[17:08:39	][IC] Nicholas Newman: Burayı biliyor muydunuz?
[17:08:40	]Ford Noyer exited observer at their location.
[17:08:43	][IC] Igor Makarov: Belkide.
[17:08:44	]Ford Noyer entered observer.
[17:08:46	][IC] Nicholas Newman: Burası kullanışmıştı çünkü.
[17:08:49	]Ford Noyer exited observer at their location.
[17:08:55	][IC] Nicholas Newman: Hapisteki bir adamın notunu söyledi arkadaşım.
[17:08:55	][IC] Igor Makarov: Sana anlatacak şeylerim var.
[17:08:56	]Ford Noyer opened the 'Large Metal Cabinet' #2937 container.
[17:08:59	]Kamil Çöpçü used command '/PM makarov karakter hala bekliyor la'.
[17:09:01	][IC] Nicholas Newman: Tamamdır.
[17:09:01	]Ford Noyer has gained a 'Levye' #22632 from a container with the name 'Large Metal Cabinet' #2937.
[17:09:01	][IC] Igor Makarov: Madem artık bizdensin.
[17:09:02	]Nicholas Newman opened the 'Personal Stash 1484' stash.
[17:09:03	]Ford Noyer ran 'combine' on item 'Askeri Sınıf Devre Kartı' (#21439)
[17:09:05	]Ford Noyer ran 'combine' on item 'Demir' (#23257)
[17:09:05	]Nicholas Newman closed the 'Personal Stash 1484' stash.
[17:09:06	]Igor Makarov used command '/PM kamil girme'.
[17:09:07	]Ford Noyer closed the 'Large Metal Cabinet' #2937 container.
[17:09:09	]Kamil Çöpçü exited observer at their location.
[17:09:12	]Ford Noyer ran 'Equip' on item 'Levye' (#22632)
[17:09:17	]Kamil Çöpçü used command '/PM makarov giremiyommmmm açın artık'.
[17:09:17	][IC] Igor Makarov: Sakin bir kafayla anlatmam gerek.
[17:09:26	]Ford Noyer ran SAM command 'asay' with arguments: 'sunucu neden bu kadar az'
[17:09:30	][IC] Nicholas Newman: Hm.
[17:09:32	]Igor Makarov ran SAM command 'asay' with arguments: 'bilmiyorum da rebel rolü yapıyorum'
[17:09:34	]Ford Noyer ran SAM command 'asay' with arguments: '4 admin 1 user'
[17:09:37	][IC] Nicholas Newman: Ne zaman sakin olursunuz?
[17:09:45	][IC] Igor Makarov: Müsait olduğum zaman.
[17:09:46	]Ford Noyer entered observer.
[17:09:51	][IC] Igor Makarov: Bir kaç plan yapmam lazım.
[17:09:52	]Ford Noyer exited observer at their location.
[17:10:02	][IC] Nicholas Newman: Ayrıca sizin kaldığınız bir yer varmış.
[17:10:09	][IC] Nicholas Newman: Neresi acaba öğrenebilir miyim?
[17:10:18	][IC] Igor Makarov: Eski bir yer.
[17:10:28	]Kamil Çöpçü entered observer.
[17:10:29	][IC] Igor Makarov: Burası yıkıldıktan sonra göstereceğim.
[17:10:38	][LOOC] Benedikt Arbeit: missclick
[17:10:40	][IC] Nicholas Newman: Yıkılmak derken?
[17:10:41	]Goblin loaded the character 'Mehmetcan Çakır'
[17:10:49	][IC] Igor Makarov: Combinelar tarafından yakalanırsak.
[17:10:53	][IC] Nicholas Newman: Anladım.
[17:11:07	][IC] Igor Makarov: Kaçmak için sizi oraya götüreceğim.
[17:11:07	][IC] Nicholas Newman: Ayrıca.
[17:11:09	][IC] Nicholas Newman: Bir dükkanım var.
[17:11:13	]Ford Noyer entered observer.
[17:11:18	]Ford Noyer exited observer at their location.
[17:11:24	][IC] Igor Makarov: Dükkanında kalmaya devam et ve direniş için token kazan.
[17:11:30	][IC] Nicholas Newman: Dükkandan bileşenler, malzemeler, aletler ve depolama alabiliyorum.
[17:11:35	][IC] Nicholas Newman: 600 tokenim var.
[17:11:38	]Ford Noyer has gained level 20 in the Hız skill.
[17:11:49	][IC] Benedikt Arbeit: Chipsten mi yoksa Krediden mi bahsediyorsun Igor?
[17:11:50	][IC] Nicholas Newman: Tokenler ile gereken aletleri alıyorum.
[17:11:51	]Ford Noyer entered observer.
[17:11:53	][IC] Nicholas Newman: Kredi.
[17:11:53	]otistik (STEAM_0:0:142449284) has disconnected.
[17:11:55	]Ford Noyer exited observer at their location.
[17:11:59	][LOOC] Benedikt Arbeit: ney
[17:12:04	]Kamil Çöpçü used command '/PM nicholas hala bekliyom lan'.
[17:12:13	]Ford Noyer ran 'take' on item 'Hurda Metal' (#24433)
[17:12:13	]Ford Noyer has gained a 'Hurda Metal' #24433.
[17:12:18	]Nicholas Newman used command '/PM kamil bekleyebilirsin'.
[17:12:28	]Kamil Çöpçü used command '/PM nicholas al benide'.
[17:12:32	][LOOC] Nicholas Newman: oyunu çöktü galiba
[17:12:33	]Ford Noyer ran 'take' on item 'Plastik Levhalar' (#24437)
[17:12:33	]Ford Noyer has gained a 'Plastik Levhalar' #24437.
[17:12:38	]Goblin has unloaded their "Mehmetcan Çakır" character.
[17:12:49	]Kamil Çöpçü used command '/PM nicholas al benide'.
[17:12:58	]Nicholas Newman used command '/PM kamil meta yapmam'.
[17:13:02	]Ford Noyer ran 'take' on item 'Yapıştırıcı' (#24440)
[17:13:02	]Ford Noyer has gained a 'Yapıştırıcı' #24440.
[17:13:07	]Kamil Çöpçü used command '/PM nicholas bu metamı'.
[17:13:22	]Nicholas Newman used command '/PM kamil evet ooc de dediğin şeyi yapmam meta'.
[17:13:24	]Ford Noyer has given himself a flashlight.
[17:13:24	]Ford Noyer has gained a 'El Feneri' #24441.
[17:13:35	][IC] Benedikt Arbeit: Dün Vortiler saldırmış, galiba.
[17:13:39	]Kamil Çöpçü used command '/PM nicholas aga kaç saattir bekliyorum gruba benide aldı ne bekletiyon'.
[17:13:46	]Ford Noyer ran 'take' on item 'Yapıştırıcı' (#24443)
[17:13:46	]Ford Noyer has gained a 'Yapıştırıcı' #24443.
[17:13:50	]Nicholas Newman used command '/PM kamil meta yapamam'.
[17:13:51	]Ford Noyer entered observer.
[17:13:55	]Ford Noyer exited observer at their location.
[17:13:57	][IC] Nicholas Newman: Bilmiyorum.
[17:14:05	][IC] Nicholas Newman: Vortiguntlar insanlara saldırmaz.
[17:14:09	]Kamil Çöpçü used command '/PM nicholas meta değil al beni diyorum'.
[17:14:20	][IC] Benedikt Arbeit: Çapulculuk diyelim.
[17:14:24	]Nicholas Newman used command '/PM kamil bruh meta oluyor'.
[17:14:34	]Kamil Çöpçü used command '/PM benedikt aga aldırsana benide'.
[17:14:35	]Ford Noyer entered observer.
[17:14:57	]Ford Noyer exited observer at their location.
[17:15:07	]Benedikt Arbeit used command '/PM Kamil hm'.
[17:15:08	]Benedikt Arbeit entered observer.
[17:15:09	]Benedikt Arbeit exited observer at their location.
[17:15:15	][IC] Benedikt Arbeit: Ehm.
[17:15:21	][IC] Benedikt Arbeit: Yaşlı hala yukarda.
[17:15:36	]Benedikt Arbeit entered observer.
[17:15:38	][IC] Nicholas Newman: Evet.
[17:15:39	]Benedikt Arbeit exited observer at their location.
[17:15:53	][IC] Nicholas Newman: Onun.
[17:15:55	][IC] Nicholas Newman: Bekle.
[17:15:57	]Kamil Çöpçü exited observer at their location.
[17:15:57	]Kamil Çöpçü entered observer.
[17:15:59	]Kamil Çöpçü exited observer at their location.
[17:16:03	]Kamil Çöpçü entered observer.
[17:16:03	][IC] Nicholas Newman: Ona pek güvenmiyorum.
[17:16:07	][IC] Benedikt Arbeit: Sebep?
[17:16:07	][IC] Nicholas Newman: Daha yeni katılmış.
[17:16:16	][IC] Nicholas Newman: Bu yüzden özel yerimi gösteremem.
[17:16:18	][IC] Benedikt Arbeit: Sebebin bu mu?
[17:16:24	][LOOC] Nicholas Newman: pmden taciz etti demi:)
[17:16:27	][IC] Nicholas Newman: Evet.
[17:16:33	][IC] Nicholas Newman: Herkese burayı gösteremem.
[17:16:35	][IC] Nicholas Newman: Yoksa ifşa olur.
[17:16:35	]Ford Noyer entered observer.
[17:16:47	]Ford Noyer exited observer at their location.
[17:16:48	]Ford Noyer entered observer.
[17:16:58	][IC] Benedikt Arbeit: Pekala...
[17:17:00	]Ford Noyer exited observer at their location.
[17:17:10	][LOOC] Nicholas Newman: lucifera sorsana discordtan oyunu mu çökmüş
[17:17:24	][LOOC] Nicholas Newman: discordta aktif değil ama
[17:17:33	][LOOC] Benedikt Arbeit: sorim
[17:17:41	]Goblin has gone afk.
[17:17:49	]Ford Noyer used the 'Kaçakçı' smuggler.
[17:18:01	]Ford Noyer has gained 3 chips.
[17:18:01	]Ford Noyer sold a 'comp_metal' to the 'Kaçakçı' smuggler.
[17:18:19	]Ford Noyer ran 'take' on item 'Kırık Alıcı' (#24331)
[17:18:19	]Ford Noyer has gained a 'Kırık Alıcı' #24331.
[17:19:05	][LOOC] Nicholas Newman: birde nitelik nasıl artırılıyor.
[17:19:21	]Benedikt Arbeit entered observer.
[17:19:22	]Kamil Çöpçü exited observer at their location.
[17:19:25	]Benedikt Arbeit exited observer at their location.
[17:19:27	]Goblin loaded the character 'Mehmetcan Çakır'
[17:19:27	]Mehmetcan Çakır is no longer afk. Total time spent AFK: 405
[17:19:27	]Kamil Çöpçü entered observer.
[17:19:28	]Kamil Çöpçü exited observer at their location.
[17:19:31	]Benedikt Arbeit has used a context menu option with the name: door_lockunlock
[17:19:36	][IC] Benedikt Arbeit: İçeri.
[17:19:42	]Benedikt Arbeit has used a context menu option with the name: door_lockunlock
[17:19:46	]Ford Noyer entered observer.
[17:19:55	][IC] Kamil Çöpçü: Hey.
[17:19:56	]Ford Noyer exited observer at their location.
[17:19:56	]Ford Noyer entered observer.
[17:19:57	]Ford Noyer exited observer at their location.
[17:19:57	][IC] Kamil Çöpçü: Adın neydi.
[17:19:58	]Nicholas Newman used command '/PM ben'.
[17:19:59	]Ford Noyer entered observer.
[17:20:00	]Ford Noyer exited observer at their location.
[17:20:03	][IC] Benedikt Arbeit: Benedikt.
[17:20:05	][IC] Benedikt Arbeit: Sizin?
[17:20:05	][IC] Kamil Çöpçü: Benimde adım kamil çöpçü.
[17:20:07	]Nicholas Newman used command '/PM ben nereye kayboldun'.
[17:20:08	][IC] Kamil Çöpçü: Memnun oldum.
[17:20:10	]Ford Noyer entered observer.
[17:20:12	][IC] Benedikt Arbeit: Pekala...
[17:20:15	][IC] Kamil Çöpçü: Benedikt.
[17:20:17	][IC] Kamil Çöpçü: Benedikt.
[17:20:23	]Ford Noyer exited observer at their location.
[17:20:24	]Ford Noyer opened the 'Large Metal Cabinet' #2937 container.
[17:20:26	][IC] Benedikt Arbeit: Burada bekle.
[17:20:26	]Ford Noyer ran 'EquipUn' on item 'Levye' (#22632)
[17:20:29	]Ford Noyer has transferred a 'Levye' #22632 to a container with the name 'Large Metal Cabinet' #2937.
[17:20:30	]Ford Noyer ran 'combine' on item 'Yapıştırıcı' (#24004)
[17:20:32	]Ford Noyer ran 'combine' on item 'Yapıştırıcı' (#24004)
[17:20:35	]Ford Noyer ran 'combine' on item 'Plastik Levhalar' (#23222)
[17:20:36	][IC] Benedikt Arbeit: Bekle, burada. Tamam?
[17:20:39	][IC] Kamil Çöpçü: Tamam.
[17:20:41	]Ford Noyer has transferred a 'Kırık Alıcı' #24331 to a container with the name 'Large Metal Cabinet' #2937.
[17:20:43	]Ford Noyer closed the 'Large Metal Cabinet' #2937 container.
[17:20:52	][LOOC] Nicholas Newman: bunu neden nocliple soktun güvenemem şuan
[17:20:55	]Ford Noyer opened the 'Large Metal Cabinet' #2937 container.
[17:20:56	]Ford Noyer opened the 'Large Metal Cabinet' #2937 container.
[17:20:57	]Ford Noyer closed the 'Large Metal Cabinet' #2937 container.
[17:20:59	][LOOC] Kamil Çöpçü: nocliplemi bruh
[17:21:04	]Ford Noyer opened the 'Large Metal Cabinet' #2937 container.
[17:21:05	][LOOC] Kamil Çöpçü: benedikt açtı
[17:21:08	]Ford Noyer has transferred a 'Tıbbi Direnişçi Üniforması' #24269 to a container with the name 'Large Metal Cabinet' #2937.
[17:21:09	]Ford Noyer closed the 'Large Metal Cabinet' #2937 container.
[17:21:10	][LOOC] Kamil Çöpçü: benedikt açtı kapıyı
[17:21:15	][LOOC] Nicholas Newman: hayır revain sen değilde benedikt noclip ile kayboldu
[17:21:16	][LOOC] Benedikt Arbeit: kapıdan kilitleyip açtım
[17:21:17	]Ford Noyer has given himself a weather_fuscous.
[17:21:17	]Ford Noyer has gained a 'Fuscous Hava Ceketi' #24446.
[17:21:21	]Ford Noyer entered observer.
[17:21:24	]Ford Noyer exited observer at their location.
[17:21:32	][LOOC] Kamil Çöpçü: victorian o
[17:21:33	][LOOC] Benedikt Arbeit: şurdaki kapı açılmadığı için şöyle açtım
[17:21:43	]Benedikt Arbeit used command '/PM Kamil ticket açacak glb'.
[17:21:48	][LOOC] Nicholas Newman: birde şifresini bilmiyorsun
[17:21:57	]Kamil Çöpçü used command '/PM benedikt aha içgüdüleeri devreye girecek shitt'.
[17:22:16	][LOOC] Benedikt Arbeit: Rebelde olduğum için mantıkken şifreyi bilmem lazım
[17:22:22	][LOOC] Benedikt Arbeit: Igor'un arkadaşıyım sonuçta
[17:22:24	][LOOC] Nicholas Newman: o şifre bana özel
[17:22:34	][LOOC] Nicholas Newman: o asma kilit benim yani ben ve lynx biliyor sadece
[17:22:50	][LOOC] Nicholas Newman: lucifer discordta aktif değil kamil dışarıda beklesin. biz yukarı çıkalım
[17:22:51	][LOOC] Kamil Çöpçü: dur tahmin edeyim ticket açacaksın doğrumu?
[17:22:52	][IC] Ford Noyer: Bro wtf is that?
[17:22:56	][LOOC] Nicholas Newman: hayır
[17:23:00	]Ford Noyer used command '/ActSit 4'.
[17:23:03	][LOOC] Benedikt Arbeit: tick
[17:23:04	][IC] Mehmetcan Çakır: Şarkı.
[17:23:08	]Ford Noyer used command '/ExitAct'.
[17:23:12	][LOOC] Benedikt Arbeit: neyse, devam edelim RP'ye
[17:23:15	][LOOC] Kamil Çöpçü: rol çoktan işleniyor hata faln yok
[17:23:17	]Wonder Of You (STEAM_0:0:210448252) has disconnected.
[17:23:20	][LOOC] Kamil Çöpçü: devam edin
[17:23:22	][LOOC] Nicholas Newman: olur kamili dışarı çıkart üste çıkalım
[17:23:31	][LOOC] Nicholas Newman: şifreyi bilmen hata çünkü
[17:23:32	]Benedikt Arbeit entered observer.
[17:23:38	]Kamil Çöpçü entered observer.
[17:23:40	]Kamil Çöpçü exited observer at their location.
[17:23:43	]Kamil Çöpçü entered observer.
[17:23:51	]Nicholas Newman used command '/PM ben alta gel'.
[17:24:02	]Nicholas Newman used command '/PM ben yanıma gel üstü çıkalım'.
[17:24:07	]Kamil Çöpçü ran SAM command 'bring' with arguments: 'ben'
[17:24:09	]Benedikt Arbeit exited observer at their location.
[17:24:12	][IC] Nicholas Newman: Neyse.
[17:24:14	][LOOC] Benedikt Arbeit: call oldu
[17:24:15	][IC] Nicholas Newman: Yukarı çıkalım.
[17:24:15	]Goblin has unloaded their "Mehmetcan Çakır" character.
[17:24:19	][IC] Benedikt Arbeit: Pekala.
[17:24:21	][IC] Nicholas Newman: Dedeye buradan bahsetme.
[17:24:24	]Goblin (STEAM_0:0:601054844) has disconnected.
[17:24:34	]Benedikt Arbeit entered observer.
[17:24:41	]Benedikt Arbeit exited observer at their location.
[17:24:44	]Kamil Çöpçü exited observer at their location.
[17:24:45	][IC] Kamil Çöpçü: Help!
[17:24:46	]Kamil Çöpçü entered observer.
[17:24:48	]Kamil Çöpçü exited observer at their location.
[17:24:50	]Kamil Çöpçü entered observer.
[17:24:51	]Kamil Çöpçü exited observer at their location.
[17:24:55	][ME] Nicholas Newman: anahtar ile kapıyı açar
[17:25:06	][IC] Nicholas Newman: Kapıya salak gibi vurma.
[17:25:06	][IC] Kamil Çöpçü: O lanet nekrotik üzerime koştu.
[17:25:09	][IC] Kamil Çöpçü: Salakmı.
[17:25:12	][IC] Kamil Çöpçü: Kaşınma.
[17:25:21	][IC] Benedikt Arbeit: İçeri.
[17:25:25	][IC] Kamil Çöpçü: Oh tamam.
[17:25:26	][IC] Nicholas Newman: ?
[17:25:30	][IC] Nicholas Newman: Içeride işimiz kalmadı.
[17:25:36	][IC] Nicholas Newman: Dışarı çıkalım.
[17:26:04	][IC] Benedikt Arbeit: Kapıyı kitle.
[17:26:07	][ME] Nicholas Newman: anahtar ile kitler
[17:26:09	][IC] Kamil Çöpçü: Benedikt.
[17:26:14	][IC] Benedikt Arbeit: Hm?
[17:26:16	][IC] Kamil Çöpçü: Kuş yumurtası buldum.
[17:26:18	]Kamil Çöpçü ran 'drop' on item 'Bird Egg' (#23722)
[17:26:18	]Kamil Çöpçü has lost a 'Bird Egg' #23722.
[17:26:20	][IC] Benedikt Arbeit: Ehm.
[17:26:27	]Nicholas Newman ran 'take' on item 'Bird Egg' (#23722)
[17:26:27	]Nicholas Newman has gained a 'Bird Egg' #23722.
[17:26:29	][IC] Kamil Çöpçü: Hey.
[17:26:31	][IC] Kamil Çöpçü: Geri ver.
[17:26:36	]Nicholas Newman ran 'drop' on item 'Bird Egg' (#23722)
[17:26:36	]Nicholas Newman has lost a 'Bird Egg' #23722.
[17:26:39	]Kamil Çöpçü ran 'take' on item 'Bird Egg' (#23722)
[17:26:39	]Kamil Çöpçü has gained a 'Bird Egg' #23722.
[17:26:41	][IC] Kamil Çöpçü: Üretiö.
[17:26:43	][IC] Kamil Çöpçü: Yapacağım.
[17:26:51	]Kamil Çöpçü used command '/PM benedikt senle kuş olak bunun rpsini yapalım'.
[17:27:02	][IC] Nicholas Newman: Bende rasyon alma yerine gideceğim.
[17:27:14	][Y] Kamil Çöpçü: Hey.
[17:27:19	][IC] Nicholas Newman: ?
[17:27:21	][IC] Kamil Çöpçü: Rasyon yeri kapalı.
[17:27:25	][LOOC] Benedikt Arbeit: 2dk afk
[17:27:33	][IC] Nicholas Newman: Bakarım.
[17:27:42	][IC] Kamil Çöpçü: Bence baltic cafeye git.
[17:28:04	]Revain loaded the character 'Daisy Hope'
[17:28:12	]Daisy Hope entered observer.
[17:28:43	]Nicholas Newman used command '/PM ben rasyon yeri neden kapalı'.
[17:28:55	]Nicholas Newman has gained level 11 in the Hız skill.
[17:29:03	]Scientist has unloaded their "Nicholas Newman" character.
[17:29:07	]Scientist loaded the character 'C24:i3.VICE-66[E]'
[17:29:16	]C24:i3.VICE-66[E] ran 'EquipUn' on item 'MP5A3' (#19783)
[17:29:17	]C24:i3.VICE-66[E] ran 'EquipUn' on item 'Combine PDA' (#14475)
[17:29:18	]C24:i3.VICE-66[E] ran 'EquipUn' on item 'Stunstick' (#19831)
[17:29:19	]C24:i3.VICE-66[E] ran 'Equip' on item 'Stunstick' (#19831)
[17:29:20	]C24:i3.VICE-66[E] ran 'Equip' on item 'Combine PDA' (#14475)
[17:29:20	]C24:i3.VICE-66[E] ran 'Equip' on item 'MP5A3' (#19783)
[17:29:50	]C24:i3.VICE-66[E] used command '/Radio 10-8'.
[17:29:50	]Daisy Hope used command '/PM vice şimdide meta yapıyo'.
[17:29:52	]Daisy Hope used command '/PM vice şimdide meta yapıyo n'.
[17:29:57	]C24:i3.VICE-66[E] used command '/PM daisy ne metası?'.
[17:30:03	]Daisy Hope used command '/PM vice meta'.
[17:30:18	]C24:i3.VICE-66[E] used command '/PM daisy ne metası rol olmayınca cp geçtim yemek alacam senden'.
[17:30:26	]C24:i3.VICE-66[E] used command '/PM daisy neresi meta?'.
[17:30:29	]Daisy Hope used command '/PM vice bende inandım hocam'.
[17:30:39	]C24:i3.VICE-66[E] used command '/PM daisy meta dediğin ne?'.
[17:30:57	]C24:i3.VICE-66[E] has acquired his ration, gaining 0 credits, 0 wages and a civil_protection_ration ration.
[17:30:58	]Daisy Hope used command '/PM vice sence ne olabilir'.
[17:31:07	]C24:i3.VICE-66[E] used command '/PM daisy söyle'.
[17:31:10	]C24:i3.VICE-66[E] ran 'take' on item 'Sivil Koruma Rasyonu' (#24447)
[17:31:10	]C24:i3.VICE-66[E] has gained a 'Sivil Koruma Rasyonu' #24447.
[17:31:17	]Daisy Hope used command '/PM vice sen bilmiyonmı'.
[17:31:17	]C24:i3.VICE-66[E] ran 'Open' on item 'Sivil Koruma Rasyonu' (#24447)
[17:31:17	]C24:i3.VICE-66[E] has gained a 'Metropolice Takviyeleri' #24448.
[17:31:17	]C24:i3.VICE-66[E] has gained a 'Soda Bob Brawn' #24449.
[17:31:17	]C24:i3.VICE-66[E] has gained a '20 Kredi Kuponu' #24450.
[17:31:21	]C24:i3.VICE-66[E] ran 'Consume' on item 'Metropolice Takviyeleri' (#24448)
[17:31:21	]C24:i3.VICE-66[E] has wasted a level 3 long boost in Güç (current: 2; target: 3).
[17:31:21	]C24:i3.VICE-66[E] ran 'Consume' on item 'Soda Bob Brawn' (#24449)
[17:31:21	]C24:i3.VICE-66[E] extended their level 1 long boost in Algı.
[17:31:21	]C24:i3.VICE-66[E] extended their level 2 long boost in Çeviklik.
[17:31:29	]C24:i3.VICE-66[E] used command '/PM daisy söyle ne yapmışım meta'.
[17:31:59	]Daisy Hope used command '/PM vice diğer karakterin için cpye geçip rasyon kilidini açacaksın'.
[17:32:07	][IC] C24:i3.VICE-66[E]: <:: C. ::>
[17:32:11	]C24:i3.VICE-66[E] used command '/PM daisy bruh'.
[17:32:17	]C24:i3.VICE-66[E] used command '/PM daisy bakabilirsin açmadım'.
[17:32:21	]Daisy Hope exited observer at their location.
