[00:00:26	]C17:RL.KING-2 has gone afk.
[17:27:48	]C17:i5.UNION-25 ran 'Write' on item 'City 17 Genelgesi:' (#29294)
[17:27:48	]C17:i1.HELIX-12 ran SAM command 'asay' with arguments: 'SİKİN'
[17:27:49	]C17.i3.XRAY-91 used command '/Radio Binanın üstünde anti-siviller var, silahlı'.
[17:27:53	]muhammet hoca entered observer.
[17:27:53	]muhammet hoca exited observer at their location.
[17:27:53	]C17:i1.HELIX-12 ran SAM command 'asay' with arguments: 'vURUN'
[17:27:54	]Ahmet Hoca entered observer.
[17:27:55	]Ahmet Hoca exited observer at their location.
[17:27:56	]muhammet hoca entered observer.
[17:27:56	]muhammet hoca exited observer at their location.
[17:27:57	]muhammet hoca entered observer.
[17:28:00	]Ahmet Hoca entered observer.
[17:28:01	]C17:i3.UNION-66 used command '/Radio ağır silahlı ve bombalı. 11-99'.
[17:28:03	]muhammet hoca exited observer at their location.
[17:28:04	][IC] C17:i5.UNION-25: <:: Destek versek iyi olabilir. ::>
[17:28:06	]C17.i3.XRAY-91 used command '/Radio saklanıyorum'.
[17:28:07	]C17:i3.UNION-66 has taken 39 damage from muhammet hoca.
[17:28:07	]C17:i3.UNION-66 has taken 42 damage from muhammet hoca.
[17:28:08	]C17:i3.UNION-66 has taken 10 damage from muhammet hoca.
[17:28:08	]C17:i3.UNION-66 has taken 10 damage from muhammet hoca.
[17:28:08	]Micheal O'Connel has used a context menu option with the name: remove
[17:28:08	]C17:i3.UNION-66 has gained a '30rnd MP-şarjörü' #32434.
[17:28:08	]C17:i3.UNION-66 was knocked unconscious and is bleeding out.
[17:28:08	]Ahmet Hoca exited observer at their location.
[17:28:09	]C17:i3.UNION-66 was killed while bleeding out.
[17:28:09	]muhammet hoca has killed C17:i3.UNION-66 with player.
[17:28:09	]C17:i3.UNION-66 has dropped: SK Maskesi (#33043); Draw String Canvas Bag (#33044); Draw String Canvas Bag (#32468); Onarım Kaplaması (#32453); Draw String Canvas Bag (#32470); Draw String Canvas Bag (#32471); Sivil Koruma Rasyonu (#33051); Sivil Koruma Rasyonu (#33052); Sivil Koruma Rasyonu (#33053); Sivil Koruma Rasyonu (#33054); 10x Lastik Kelepçe (#32457); Combine Filter (#32425); Draw String Canvas Bag (#32474); 30x SMG Mermisi (#32442); Draw String Canvas Bag (#32475); 30x SMG Mermisi (#32443); 1x 20 Kredi Kuponu (#33061); Combine Filter (#32426); MP5A3 (#32429); 30x SMG Mermisi (#32446); Draw String Canvas Bag (#33045); 30rnd MP-şarjörü (#32430); 30x SMG Mermisi (#32450); 30rnd MP-şarjörü (#32431); 30x SMG Mermisi (#32447); El Feneri (#32500); 30x SMG Mermisi (#32445); 30x SMG Mermisi (#32448); 30rnd MP-şarjörü (#32432); 30rnd MP-şarjörü (#32436); 30x SMG Mermisi (#32449); 30rnd MP-şarjörü (#32433); Draw String Canvas Bag (#32473); 30rnd MP-şarjörü (#32434); SK Üniforması (#33042); Stunstick (#32428);
[17:28:12	]C17.i3.XRAY-91 used command '/ToggleRaise'.
[17:28:14	]Micheal O'Connel entered observer.
[17:28:15	]Micheal O'Connel exited observer at their location.
[17:28:16	]C17:i1.HELIX-12 used command '/Radio 10-4 KT-2 10-76 494'.
[17:28:17	][IC] muhammet hoca: ALLAHU AKBAR.
[17:28:21	]C17:i1.HELIX-12 used command '/Radio 404*'.
[17:28:26	][Y] Ahmet Hoca: BISMILLAH.
[17:28:30	]Ahmet Hoca entered observer.
[17:28:30	]Ahmet Hoca exited observer at their location.
[17:28:32	][IT] C17:i1.HELIX-12: Bilerek yavaş yürüdüğü belli olmaktadır
[17:28:32	]Micheal O'Connel entered observer.
[17:28:33	]Micheal O'Connel exited observer at their location.
[17:28:34	]muhammet hoca entered observer.
[17:28:34	]Micheal O'Connel entered observer.
[17:28:34	]Micheal O'Connel exited observer at their location.
[17:28:34	]muhammet hoca exited observer at their location.
[17:28:37	]Micheal O'Connel entered observer.
[17:28:38	]Micheal O'Connel exited observer at their location.
[17:28:49	]muhammet hoca entered observer.
[17:28:49	]muhammet hoca exited observer at their location.
[17:28:51	]muhammet hoca entered observer.
[17:28:51	]muhammet hoca exited observer at their location.
[17:28:53	]C17.i3.XRAY-91 has hit muhammet hoca in the right arm dealing 4 damage (CritChance was 0.30).
[17:28:53	]muhammet hoca has taken 4 damage from C17.i3.XRAY-91.
[17:28:54	]C17.i3.XRAY-91 has taken 10 damage from muhammet hoca.
[17:28:54	]C17.i3.XRAY-91 has gained level 48 in the Silahlar skill.
[17:28:54	]C17.i3.XRAY-91 has critically hit muhammet hoca in the right arm dealing 4 damage (CritChance was 0.30).
[17:28:54	]muhammet hoca has taken 4 damage from C17.i3.XRAY-91.
[17:28:54	]C17.i3.XRAY-91 has critically hit muhammet hoca in the right arm dealing 4 damage (CritChance was 0.30).
[17:28:54	]muhammet hoca has taken 4 damage from C17.i3.XRAY-91.
[17:28:54	]C17.i3.XRAY-91 has taken 10 damage from muhammet hoca.
[17:28:54	]C17.i3.XRAY-91 has hit muhammet hoca in the right arm dealing 4 damage (CritChance was 0.30).
[17:28:54	]muhammet hoca has taken 4 damage from C17.i3.XRAY-91.
[17:28:54	]C17.i3.XRAY-91 has taken 10 damage from muhammet hoca.
[17:28:54	]C17.i3.XRAY-91 has taken 42 damage from muhammet hoca.
[17:28:54	]C17.i3.XRAY-91 has critically hit muhammet hoca in the chest dealing 16 damage (CritChance was 0.30).
[17:28:54	]muhammet hoca has taken 16 damage from C17.i3.XRAY-91.
[17:28:54	]C17.i3.XRAY-91 has critically hit muhammet hoca in the head dealing 17 damage (CritChance was 0.30).
[17:28:54	]muhammet hoca has taken 17 damage from C17.i3.XRAY-91.
[17:28:54	]C17.i3.XRAY-91 has taken 42 damage from muhammet hoca.
[17:28:54	]C17.i3.XRAY-91 has gained a '30rnd MP-şarjörü' #18309.
[17:28:54	]C17.i3.XRAY-91 was knocked unconscious and is bleeding out.
[17:28:54	]C17.i3.XRAY-91 has gained a '17rnd Usp-Şarjörü' #23758.
[17:28:58	]muhammet hoca is fully healed.
[17:29:07	]Ahmet Hoca has given himself a zip_tie.
[17:29:07	]Ahmet Hoca has gained a 'Lastik Kelepçe' #33113.
[17:29:09	]C17.i3.XRAY-91 used command '/Radio Birim Düştü'.
[17:29:10	]Ahmet Hoca ran 'Use' on item 'Lastik Kelepçe' (#33113)
[17:29:14	]C17:i5.UNION-25 used command '/Radio copy'.
[17:29:20	]Ahmet Hoca has given himself a disinfected_bandage.
[17:29:20	]Ahmet Hoca has gained a 'Dezenfekte Bandaj Rulosu' #33114.
[17:29:20	]C17:i3.UNION-66 ran 'Equip' on item 'Combine PDA' (#14523)
[17:29:21	]C17:i1.HELIX-12 used command '/Radio X-91 10-19'.
[17:29:21	]Ahmet Hoca has given himself a disinfected_bandage.
[17:29:21	]Ahmet Hoca has gained a 'Dezenfekte Bandaj Rulosu' #33115.
[17:29:21	]Elazar Gül has given himself a disinfected_bandage.
[17:29:21	]Elazar Gül has gained a 'Dezenfekte Bandaj Rulosu' #33116.
[17:29:23	]Elazar Gül ran 'give' on item 'Dezenfekte Bandaj Rulosu' (#33116)
[17:29:23	]Elazar Gül has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 22 experience in medicine.
[17:29:23	]C17.i3.XRAY-91 was disinfected by Elazar Gül for 132 seconds.
[17:29:23	]C17.i3.XRAY-91's bleeding was stopped by Elazar Gül.
[17:29:23	]C17.i3.XRAY-91 was bandaged by Elazar Gül for 18 HP.
[17:29:24	]C17:i3.UNION-66 ran 'EquipUn' on item 'Combine PDA' (#14523)
[17:29:25	]Ahmet Hoca ran 'give' on item 'Dezenfekte Bandaj Rulosu' (#33115)
[17:29:25	]Ahmet Hoca has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 15 experience in medicine.
[17:29:25	]Ahmet Hoca tried to disinfect C17.i3.XRAY-91 but the wound was already clean.
[17:29:25	]C17.i3.XRAY-91 was bandaged by Ahmet Hoca for 15 HP.
[17:29:26	]Ahmet Hoca ran 'give' on item 'Dezenfekte Bandaj Rulosu' (#33115)
[17:29:26	]Ahmet Hoca has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 15 experience in medicine.
[17:29:26	]Ahmet Hoca tried to disinfect C17.i3.XRAY-91 but the wound was already clean.
[17:29:26	]C17.i3.XRAY-91 was bandaged by Ahmet Hoca for 15 HP.
[17:29:26	]Ahmet Hoca ran 'give' on item 'Dezenfekte Bandaj Rulosu' (#33115)
[17:29:26	]Ahmet Hoca has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 15 experience in medicine.
[17:29:26	]Ahmet Hoca tried to disinfect C17.i3.XRAY-91 but the wound was already clean.
[17:29:26	]C17.i3.XRAY-91 was bandaged by Ahmet Hoca for 15 HP.
[17:29:27	]Ahmet Hoca ran 'give' on item 'Dezenfekte Bandaj Rulosu' (#33115)
[17:29:27	]Ahmet Hoca has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 15 experience in medicine.
[17:29:27	]Ahmet Hoca tried to disinfect C17.i3.XRAY-91 but the wound was already clean.
[17:29:27	]C17.i3.XRAY-91 was bandaged by Ahmet Hoca for 15 HP.
[17:29:27	]Ahmet Hoca ran 'give' on item 'Dezenfekte Bandaj Rulosu' (#33114)
[17:29:27	]Ahmet Hoca has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 15 experience in medicine.
[17:29:27	]Ahmet Hoca tried to disinfect C17.i3.XRAY-91 but the wound was already clean.
[17:29:27	]C17.i3.XRAY-91 was bandaged by Ahmet Hoca for 15 HP.
[17:29:28	]Ahmet Hoca ran 'give' on item 'Dezenfekte Bandaj Rulosu' (#33114)
[17:29:28	]Ahmet Hoca tried to disinfect C17.i3.XRAY-91 but the wound was already clean.
[17:29:28	]C17.i3.XRAY-91 was bandaged by Ahmet Hoca for 15 HP.
[17:29:28	]Ahmet Hoca ran 'give' on item 'Dezenfekte Bandaj Rulosu' (#33114)
[17:29:28	]Ahmet Hoca tried to disinfect C17.i3.XRAY-91 but the wound was already clean.
[17:29:28	]C17.i3.XRAY-91 was bandaged by Ahmet Hoca for 15 HP.
[17:29:29	]Elazar Gül has gained a '10rnd Sniper-Şarjörü' #33072.
[17:29:29	]Elazar Gül has lost a '10rnd Sniper-Şarjörü' #33071.
[17:29:29	]Ahmet Hoca ran 'give' on item 'Dezenfekte Bandaj Rulosu' (#33114)
[17:29:29	]Ahmet Hoca tried to disinfect C17.i3.XRAY-91 but the wound was already clean.
[17:29:29	]C17.i3.XRAY-91 was bandaged by Ahmet Hoca for 15 HP.
[17:29:46	][Y] Ahmet Hoca: ALLAHU EKBERR!!
[17:29:48	]Ahmet Hoca entered observer.
[17:29:51	]Ahmet Hoca exited observer at their location.
[17:29:52	]Ahmet Hoca entered observer.
[17:29:55	]Ahmet Hoca used command '/GroupInvite'.
[17:29:55	]Micheal O'Connel entered observer.
[17:29:57	]Micheal O'Connel exited observer at their location.
[17:29:57	]Ahmet Hoca used command '/GroupInvite'.
[17:29:58	]Ahmet Hoca used command '/GroupInvite'.
[17:30:00	]Ahmet Hoca used command '/GroupInvite'.
[17:30:03	]Ahmet Hoca used command '/GroupInvite'.
[17:30:04	]muhammet hoca entered observer.
[17:30:05	]Ahmet Hoca used command '/GroupInvite'.
[17:30:08	]Ahmet Hoca used command '/GroupInvite'.
[17:30:09	]Ahmet Hoca used command '/GroupInvite'.
[17:30:11	]Ahmet Hoca used command '/GroupInvite'.
[17:30:11	]Micheal O'Connel entered observer.
[17:30:12	]Micheal O'Connel exited observer at their location.
[17:30:13	]Ahmet Hoca used command '/GroupInvite'.
[17:30:14	]muhammet hoca exited observer at their location.
[17:30:16	]Ahmet Hoca used command '/GroupInvite'.
[17:30:19	]Ahmet Hoca used command '/GroupInvite'.
[17:30:19	]C17.i3.XRAY-91 used command '/CharGetUp'.
[17:30:20	]Ahmet Hoca used command '/GroupInvite'.
[17:30:27	]C17:i1.HELIX-12 used command '/CharBan UNION-66'.
[17:30:29	]C17:i1.HELIX-12 just banned a character with the name C17:i3.UNION-66 '#366'
[17:30:34	]Ahmet Hoca exited observer at their location.
[17:30:37	]C17.i3.XRAY-91 used command '/CharGetUp'.
[17:30:38	]Scientist loaded the character 'C24:UNION:i5.Vice-47'
[17:30:43	]C24:UNION:i5.Vice-47 is fully healed.
[17:30:50	]Micheal O'Connel entered observer.
[17:30:50	]Micheal O'Connel exited observer at their location.
[17:30:50	]C24:UNION:i5.Vice-47 used command '/PM ela biri karaktere pk attı'.
[17:30:52	]C17:i1.HELIX-12 used command '/PlyUnwhitelist Vice Civil Protection'.
[17:30:56	][IC] C17:i5.UNION-25: <:: Bir kaç gündür anti sivil saldırıları fazla olmaya başladı. ::>
[17:30:59	]C24:UNION:i5.Vice-47 used command '/PM elazar öldüren event karakteriyle açabilir misin'.
[17:31:00	]C17.i3.XRAY-91 used command '/CharGetUp'.
[17:31:01	]C17.i3.XRAY-91 used command '/CharGetUp'.
[17:31:06	]muhammet hoca entered observer.
[17:31:08	]Ahmet Hoca entered observer.
[17:31:10	]C17:i1.HELIX-12 ran SAM command 'asay' with arguments: 'tamam beyler çıkın'
[17:31:12	]Micheal O'Connel entered observer.
[17:31:13	]Elazar Gül has hit C17:i1.HELIX-12 in the head dealing 37 damage (CritChance was 0.50).
[17:31:13	]C17:i1.HELIX-12 has taken 37 damage from Elazar Gül.
[17:31:16	]Micheal O'Connel exited observer at their location.
[17:31:19	]Ahmet Hoca used command '/PM elazar sana özeldenmi yazmış'.
[17:31:20	][ME] C17:i5.UNION-25: silahını kılıfından çıkarır
[17:31:20	]C17:i1.HELIX-12 ran SAM command 'asay' with arguments: 'gidin gidin'
[17:31:21	]Ahmet Hoca exited observer at their location.
[17:31:21	]C17:i5.UNION-25 has lost a '17rnd Usp-Şarjörü' #31732.
[17:31:21	]C17:i5.UNION-25 has gained a '17rnd Usp-Şarjörü' #31711.
[17:31:22	]C17:i1.HELIX-12 ran SAM command 'asay' with arguments: 'geri dönün'
[17:31:23	]Micheal O'Connel entered observer.
[17:31:23	]Micheal O'Connel exited observer at their location.
[17:31:24	][IC] C17:i1.HELIX-12: <:: Viscon. ::>
[17:31:25	]C17.i3.XRAY-91 used command '/CharGetUp'.
[17:31:27	][IC] C17:i5.UNION-25: <:: Olumlu. ::>
[17:31:27	]Micheal O'Connel entered observer.
[17:31:27	]Micheal O'Connel exited observer at their location.
[17:31:31	][IC] C17:i1.HELIX-12: <:: Bina 2.katı. ::>
[17:31:35	][IC] C24:UNION:i5.Vice-47: .
[17:31:35	]Ahmet Hoca entered observer.
[17:31:37	][IC] C17:i5.UNION-25: <:: Siper al. ::>
[17:31:39	][IC] C17:i1.HELIX-12: <:: Ağır silahlar. ::>
[17:31:40	]Ahmet Hoca exited observer at their location.
[17:31:42	]Elazar Gül has critically hit C17:i1.HELIX-12 in the right arm dealing 6 damage (CritChance was 0.46).
[17:31:42	]C17:i1.HELIX-12 has taken 5 damage from Elazar Gül.
[17:31:42	]C17:i1.HELIX-12 has taken 7 damage from Micheal O'Connel.
[17:31:47	][IC] C17:i1.HELIX-12: <:: Geri dön. ::>
[17:31:49	][IC] C17:i5.UNION-25: <:: Keskin nişancı? ::>
[17:31:50	][IC] C17:i1.HELIX-12: <:: 10-19. ::>
[17:31:52	][IC] C17:i1.HELIX-12: <:: Olumlu. ::>
[17:32:05	]Ahmet Hoca entered observer.
[17:32:05	]Micheal O'Connel entered observer.
[17:32:06	]C17:i5.UNION-25 has gained a '17rnd Usp-Şarjörü' #31732.
[17:32:06	]C17:i5.UNION-25 has lost a '17rnd Usp-Şarjörü' #31731.
[17:32:06	]Ahmet Hoca exited observer at their location.
[17:32:06	]Ahmet Hoca entered observer.
[17:32:08	]C17.i3.XRAY-91 is no longer unconscious from critical wounds.
[17:32:08	]C17:i1.HELIX-12 ran SAM command 'asay' with arguments: '404den kaçın'
[17:32:11	]C17:i1.HELIX-12 ran SAM command 'asay' with arguments: 'rebeller'
[17:32:14	][ME] C17:i5.UNION-25: silahını geri koyar
[17:32:16	]Ahmet Hoca exited observer at their location.
[17:32:18	]Micheal O'Connel exited observer at their location.
[17:32:19	][IC] C17:i1.HELIX-12: <:: Durumu overwatch'a bildirmemiz gerekiyor. ::>
[17:32:21	][IC] C17:i5.UNION-25: <:: İyi misiniz? ::>
[17:32:28	]C17:i1.HELIX-12 used command '/Radio OsG desteği gerekmekte'.
[17:32:30	][IC] Ahmet Hoca: ALLAHU AKBAR.
[17:32:37	][IC] C17.i3.XRAY-91: <:: Anlaşıldı. ::>
[17:32:41	][IC] Ahmet Hoca: Üstünü çıkar.
[17:32:41	]C17:i1.HELIX-12 used command '/Radio 404 2 647E ağır silahlı'.
[17:32:46	][IC] C17.i3.XRAY-91: <:: Ellerim bağlı. ::>
[17:32:48	][W] Ahmet Hoca: Kıyafetini çıkaralım.
[17:32:48	]Elazar Gül has critically hit npc_combine_camera dealing 71 damage (CritChance was 0.88).
[17:32:50	]Elazar Gül has critically hit npc_combine_camera dealing 71 damage (CritChance was 0.88).
[17:32:50	][IC] C17.i3.XRAY-91: <:: Çöz. ::>
[17:32:55	]C17:i1.HELIX-12 ran SAM command 'asay' with arguments: 'beyin osg geç'
[17:32:58	][ME] Micheal O'Connel: hızlıca maskesini çıkartır
[17:32:59	]C17.i3.XRAY-91 ran SAM command 'asay' with arguments: 'knk ben rehinim'
[17:33:01	]C17:i1.HELIX-12 ran SAM command 'asay' with arguments: 'temizleme rolü dönsün'
[17:33:01	]Elazar Gül entered observer.
[17:33:03	]Elazar Gül exited observer at their location.
[17:33:03	]C17:i1.HELIX-12 ran SAM command 'asay' with arguments: 'nasıl amk'
[17:33:03	][IC] Ahmet Hoca: ÇIK.
[17:33:05	][IC] Ahmet Hoca: Çıkar.
[17:33:05	]C17:i1.HELIX-12 ran SAM command 'asay' with arguments: 'olum'
[17:33:06	][IC] C17:i5.UNION-25: <:: Bomba. ::>
[17:33:07	]C17.i3.XRAY-91 ran SAM command 'asay' with arguments: 'birim düştü derken ben düştüm'
[17:33:08	]C17:i1.HELIX-12 ran SAM command 'asay' with arguments: 'enistein'
[17:33:10	]Micheal O'Connel admin-viewed the 'C17.i3.XRAY-91' stash.
[17:33:10	]Micheal O'Connel has used a context menu option with the name: ixviewstash
[17:33:12	]Micheal O'Connel closed the 'C17.i3.XRAY-91' stash.
[17:33:15	][IC] Ahmet Hoca: Kıyafetinide çıkar.
[17:33:15	]Elazar Gül ran SAM command 'asay' with arguments: 'ben mig eçeyim'
[17:33:16	][IC] C17:i1.HELIX-12: <:: Burada bekle. ::>
[17:33:18	]Elazar Gül has gained a '10rnd Sniper-Şarjörü' #33071.
[17:33:18	]Elazar Gül has lost a '10rnd Sniper-Şarjörü' #33089.
[17:33:19	][IC] C17:i5.UNION-25: <:: 10-4. ::>
[17:33:22	]Ahmet Hoca used command '/CharSearch'.
[17:33:23	]C17:i1.HELIX-12 entered observer.
[17:33:23	][ME] Micheal O'Connel: kıyafetlerini teker teker çıkartır
[17:33:27	]Ahmet Hoca ran 'drop' on item 'Bavul' (#22735)
[17:33:27	]C17.i3.XRAY-91 has lost a 'Bavul' #22735.
[17:33:27	]C17.i3.XRAY-91 has lost a 'MP5A3' #31595.
[17:33:28	]Ahmet Hoca ran 'drop' on item 'SK Maskesi' (#15597)
[17:33:28	]C17.i3.XRAY-91 has lost a 'SK Maskesi' #15597.
[17:33:32	]Ahmet Hoca ran 'drop' on item 'SK Üniforması' (#21587)
[17:33:32	]C17.i3.XRAY-91 has lost a 'SK Üniforması' #21587.
[17:33:34	]Ahmet Hoca ran 'drop' on item 'Büyük Çanta' (#15600)
[17:33:34	]C17.i3.XRAY-91 has lost a 'Büyük Çanta' #15600.
[17:33:34	]C17.i3.XRAY-91 has lost a '30rnd MP-şarjörü' #18292.
[17:33:34	]C17.i3.XRAY-91 has lost a '9mm Tabanca Mermisi' #27826.
[17:33:34	]C17.i3.XRAY-91 has lost a 'Identity Card Creation Device' #19918.
[17:33:34	]C17.i3.XRAY-91 has lost a 'Talep Cihazı' #16055.
[17:33:34	]C17.i3.XRAY-91 has lost a 'Ağrı Kesici' #18182.
[17:33:34	]C17.i3.XRAY-91 has lost a '20 Kredi Kuponu' #18222.
[17:33:34	]C17.i3.XRAY-91 has lost a 'FiveSeven' #31577.
[17:33:34	]C17.i3.XRAY-91 has lost a 'Dezenfekte Bandaj Rulosu' #31549.
[17:33:34	]C17.i3.XRAY-91 has lost a 'Combine Filter' #21574.
[17:33:34	]C17.i3.XRAY-91 has lost a '30rnd MP-şarjörü' #18294.
[17:33:34	]C17.i3.XRAY-91 has lost a 'El Feneri' #15648.
[17:33:34	]C17.i3.XRAY-91 has lost a 'Lastik Kelepçe' #31546.
[17:33:34	]C17.i3.XRAY-91 has lost a 'Lastik Kelepçe' #29957.
[17:33:35	][IC] C17.i3.XRAY-91: Ellerim bağlı.
[17:33:35	]Ahmet Hoca ran 'drop' on item 'Küçük Çanta' (#15599)
[17:33:35	]C17.i3.XRAY-91 has lost a 'Küçük Çanta' #15599.
[17:33:35	]C17.i3.XRAY-91 has lost a 'Draw String Canvas Bag' #18180.
[17:33:35	]C17.i3.XRAY-91 has lost a '30rnd MP-şarjörü' #18316.
[17:33:35	]C17.i3.XRAY-91 has lost a '17rnd Usp-Şarjörü' #15611.
[17:33:35	]C17.i3.XRAY-91 has lost a '30rnd MP-şarjörü' #18293.
[17:33:35	]C17.i3.XRAY-91 has lost a 'Draw String Canvas Bag' #31536.
[17:33:35	]C17.i3.XRAY-91 has lost a '17rnd Usp-Şarjörü' #15697.
[17:33:35	]C17.i3.XRAY-91 has lost a 'Draw String Canvas Bag' #31535.
[17:33:35	]C17.i3.XRAY-91 has lost a '17rnd Usp-Şarjörü' #15612.
[17:33:35	]C17.i3.XRAY-91 has lost a '17rnd Usp-Şarjörü' #15610.
[17:33:35	]C17.i3.XRAY-91 has lost a 'El Telsizi' #15598.
[17:33:35	]C17.i3.XRAY-91 has lost a 'Draw String Canvas Bag' #31534.
[17:33:35	]C17.i3.XRAY-91 has lost a '17rnd Usp-Şarjörü' #12607.
[17:33:35	]Micheal O'Connel ran 'take' on item 'SK Üniforması' (#21587)
[17:33:35	]Micheal O'Connel has gained a 'SK Üniforması' #21587.
[17:33:37	]Ahmet Hoca ran 'drop' on item 'MP5A3' (#18291)
[17:33:37	]C17.i3.XRAY-91 has lost a 'MP5A3' #18291.
[17:33:38	]Ahmet Hoca ran 'drop' on item 'USP-45' (#15602)
[17:33:38	]C17.i3.XRAY-91 has lost a 'USP-45' #15602.
[17:33:39	]Ahmet Hoca ran 'drop' on item 'Stunstick' (#15603)
[17:33:39	]C17.i3.XRAY-91 has lost a 'Stunstick' #15603.
[17:33:39	][IC] C17.i3.XRAY-91: Olduğu için.
[17:33:40	]Ahmet Hoca ran 'drop' on item '17rnd Usp-Şarjörü' (#23758)
[17:33:40	]C17.i3.XRAY-91 has lost a '17rnd Usp-Şarjörü' #23758.
[17:33:41	]Ahmet Hoca ran 'drop' on item '30rnd MP-şarjörü' (#18309)
[17:33:41	]C17.i3.XRAY-91 has lost a '30rnd MP-şarjörü' #18309.
[17:33:45	]C17.i3.XRAY-91 has taken 12 damage from Micheal O'Connel.
[17:33:45	]C17.i3.XRAY-91 has taken 24 damage from Micheal O'Connel.
[17:33:45	]C17.i3.XRAY-91 was knocked unconscious and is bleeding out.
[17:33:46	]C17.i3.XRAY-91 was killed while bleeding out.
[17:33:46	]Micheal O'Connel has killed C17.i3.XRAY-91 with player.
[17:33:46	]C17.i3.XRAY-91 has dropped: 30x SMG Mermisi (#31527); 30x 9mm Tabanca Mermisi (#27825); 30x 9mm Tabanca Mermisi (#27823); Sivil Koruma Rasyonu (#31609); 30x 9mm Tabanca Mermisi (#27824); 18x SMG Mermisi (#31529); 30x 9mm Tabanca Mermisi (#27822); 30x 9mm Tabanca Mermisi (#27821);
[17:33:46	]Micheal O'Connel destroyed a 'SK Maskesi' #15597.
[17:33:48	]C17.i3.XRAY-91 entered observer.
[17:33:58	]C24:UNION:i5.Vice-47 used command '/PM xray bir girdim çatıda ağır makineli var sadsadsadsadsad'.
[17:34:04	]Ahmet Hoca ran 'take' on item 'USP-45' (#15602)
[17:34:04	]Ahmet Hoca has gained a 'USP-45' #15602.
[17:34:05	]Micheal O'Connel ran 'take' on item 'Stunstick' (#15603)
[17:34:05	]Micheal O'Connel has gained a 'Stunstick' #15603.
[17:34:07	]C17.i3.XRAY-91 is admin-searching Ahmet Hoca's inventory.
[17:34:07	]C17.i3.XRAY-91 has used a context menu option with the name: ixviewinventory
[17:34:08	]Ahmet Hoca ran 'take' on item 'Bavul' (#22735)
[17:34:08	]Ahmet Hoca has gained a 'Bavul' #22735.
[17:34:08	]Ahmet Hoca has gained a 'MP5A3' #31595.
[17:34:09	]C17.i3.XRAY-91 has closed Ahmet Hoca's inventory.
[17:34:11	]C17.i3.XRAY-91 is admin-searching Micheal O'Connel's inventory.
[17:34:11	]C17.i3.XRAY-91 has used a context menu option with the name: ixviewinventory
[17:34:13	]C17.i3.XRAY-91 has gained a 'SK Üniforması' #21587 from a container with the name 'Micheal O'Connel's inventory' #3998.
[17:34:14	]C17.i3.XRAY-91 has closed Micheal O'Connel's inventory.
[17:34:18	]C17.i3.XRAY-91 has given himself a broken_cpuniform.
[17:34:18	]C17.i3.XRAY-91 has gained a 'Hasarlı SK Üniforması' #33118.
[17:34:21	]C17.i3.XRAY-91 is admin-searching Micheal O'Connel's inventory.
[17:34:21	]C17.i3.XRAY-91 has used a context menu option with the name: ixviewinventory
[17:34:21	]Micheal O'Connel ran SAM command 'asay' with arguments: 'beyin vodiledik'
[17:34:22	]Elazar Gül ran SAM command 'asay' with arguments: 'beyin'
[17:34:23	]Elazar Gül ran SAM command 'asay' with arguments: 'gel'
[17:34:24	]Micheal O'Connel has gained a 'Hasarlı SK Üniforması' #33118.
[17:34:24	]C17.i3.XRAY-91 has transferred a 'Hasarlı SK Üniforması' #33118 to a container with the name 'Micheal O'Connel's inventory' #3998.
[17:34:25	]C17.i3.XRAY-91 has closed Micheal O'Connel's inventory.
[17:34:26	]Ahmet Hoca entered observer.
[17:34:27	]Micheal O'Connel ran SAM command 'respawn' with arguments: '91'
[17:34:28	]Ahmet Hoca exited observer at their location.
[17:34:28	]Ahmet Hoca entered observer.
[17:34:29	]Ahmet Hoca exited observer at their location.
[17:34:32	]Ahmet Hoca ran 'drop' on item 'USP-45' (#15602)
[17:34:32	]Ahmet Hoca has lost a 'USP-45' #15602.
[17:34:33	]Micheal O'Connel ran SAM command 'bring' with arguments: '91'
[17:34:35	]Micheal O'Connel opened the 'Dropped Items' #4008 container.
[17:34:36	]C17.i3.XRAY-91 opened the 'Dropped Items' #4008 container.
[17:34:37	]Micheal O'Connel closed the 'Dropped Items' #4008 container.
[17:34:39	]Micheal O'Connel closed the 'Dropped Items' #4008 container.
[17:34:39	]C17.i3.XRAY-91 opened the 'Dropped Items' #4008 container.
[17:34:40	]C17.i3.XRAY-91 closed the 'Dropped Items' #4008 container.
[17:34:40	]Micheal O'Connel entered observer.
[17:34:42	]Micheal O'Connel exited observer at their location.
[17:34:43	]C24:UNION:i5.Vice-47 used command '/PM elazar afk mısın'.
[17:34:43	][IC] Ahmet Hoca: Bende onun eşyaları yok.
[17:34:44	]C17.i3.XRAY-91 ran 'take' on item 'MP5A3' (#18291)
[17:34:44	]C17.i3.XRAY-91 has gained a 'MP5A3' #18291.
[17:34:45	]Elazar Gül entered observer.
[17:34:46	]Ahmet Hoca ran 'Equip' on item 'Frag Grenade' (#33064)
[17:34:48	]C17:i1.HELIX-12 used command '/CharBan Vice'.
