[17:34:51	]jokaz 🗿 has connected.
[18:35:47	]C17:RCT.YELLO-35 has gained a 'Handheld Radio' #56.
[18:35:47	]C17:RCT.YELLO-35 has gained a 'Small Bag' #57.
[18:35:47	]C17:RCT.YELLO-35 has gained a 'Large Bag' #58.
[18:35:57	]jokaz 🗿 created the character 'C17:RCT.YELLO-02'
[18:35:57	]hymel jadwiga has gained level 30 in the Guns skill.
[18:35:57	]hymel jadwiga has gained level 30 in the Speed skill.
[18:35:57	]jokaz 🗿 loaded the character 'C17:RCT.YELLO-02'
[18:35:57	]C17:RCT.YELLO-02 has gained a '#09774's Identity Card' #59.
[18:35:57	]C17:RCT.YELLO-02 has gained a 'Combine PDA' #60.
[18:35:57	]C17:RCT.YELLO-02 has gained a 'CP Uniform' #61.
[18:35:57	]C17:RCT.YELLO-02 has gained a 'CP Mask' #62.
[18:35:57	]C17:RCT.YELLO-02 has gained a 'Handheld Radio' #63.
[18:35:57	]C17:RCT.YELLO-02 has gained a 'Small Bag' #64.
[18:35:57	]C17:RCT.YELLO-02 has gained a 'Large Bag' #65.
[18:36:05	]Oktawiangr created the character 'C17:RCT.YELLO-60'
[18:36:05	]Oktawiangr has gained level 30 in the Guns skill.
[18:36:05	]Oktawiangr has gained level 30 in the Speed skill.
[18:36:06	]Oktawiangr loaded the character 'C17:RCT.YELLO-60'
[18:36:06	]C17:RCT.YELLO-60 has gained a '#10437's Identity Card' #66.
[18:36:06	]C17:RCT.YELLO-60 has gained a 'Combine PDA' #67.
[18:36:06	]C17:RCT.YELLO-60 has gained a 'CP Uniform' #68.
[18:36:06	]C17:RCT.YELLO-60 has gained a 'CP Mask' #69.
[18:36:06	]C17:RCT.YELLO-60 has gained a 'Handheld Radio' #70.
[18:36:06	]C17:RCT.YELLO-60 has gained a 'Small Bag' #71.
[18:36:06	]C17:RCT.YELLO-60 has gained a 'Large Bag' #72.
[18:36:12	]C17:RCT.YELLO-02 ran 'Equip' on item 'Combine PDA' (#60)
[18:36:22	]C17:RCT.YELLO-02 ran SAM command 'noclip' with arguments: ''
[18:36:23	]C17:RCT.YELLO-02 ran SAM command 'noclip' with arguments: ''
[18:36:27	]C17:RCT.YELLO-60 ran 'Equip' on item 'Combine PDA' (#67)
[18:36:36	]C17:RCT.YELLO-79 used command '/PTCreate'.
[18:36:37	]C17:RCT.YELLO-79 used command '/PTCreate 1'.
[18:36:40	]C17:RCT.YELLO-60 used command '/PTJoin 1'.
[18:36:42	]C17:RCT.YELLO-25 ran 'Equip' on item 'Combine PDA' (#46)
[18:36:48	]C17:RCT.YELLO-02 used command '/PTJoin 1'.
[18:36:49	]C17:RCT.YELLO-02 ran SAM command 'noclip' with arguments: ''
[18:36:50	]C17:RCT.YELLO-02 ran SAM command 'noclip' with arguments: ''
[18:36:51	]C17:RCT.YELLO-35 ran 'Equip' on item 'Combine PDA' (#53)
[18:36:51	]C17:RCT.YELLO-25 used command '/PTJoin 1'.
[18:36:57	]C17:RCT.YELLO-35 used command '/PTJoin 1'.
[18:37:07	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-25 in the chest dealing 6 damage (CritChance was 0.25).
[18:37:07	]C17:RCT.YELLO-25 has taken 6 damage from C17:RCT.YELLO-79.
[18:37:07	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-25 in the chest dealing 6 damage (CritChance was 0.25).
[18:37:07	]C17:RCT.YELLO-25 has taken 6 damage from C17:RCT.YELLO-79.
[18:37:07	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 10 damage (CritChance was 0.25).
[18:37:07	]C17:RCT.YELLO-25 has taken 10 damage from C17:RCT.YELLO-79.
[18:37:07	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-25 in the chest dealing 6 damage (CritChance was 0.25).
[18:37:07	]C17:RCT.YELLO-25 has taken 6 damage from C17:RCT.YELLO-79.
[18:37:07	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-25 in the chest dealing 6 damage (CritChance was 0.25).
[18:37:07	]C17:RCT.YELLO-25 has taken 6 damage from C17:RCT.YELLO-79.
[18:37:07	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-25 in the chest dealing 6 damage (CritChance was 0.25).
[18:37:07	]C17:RCT.YELLO-25 has taken 6 damage from C17:RCT.YELLO-79.
[18:37:07	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 10 damage (CritChance was 0.25).
[18:37:07	]C17:RCT.YELLO-25 has taken 10 damage from C17:RCT.YELLO-79.
[18:37:07	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 10 damage (CritChance was 0.84).
[18:37:07	]C17:RCT.YELLO-25 has taken 10 damage from C17:RCT.YELLO-79.
[18:37:10	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the left leg dealing 3 damage (CritChance was 0.84).
[18:37:10	]C17:RCT.YELLO-25 has taken 2 damage from C17:RCT.YELLO-79.
[18:37:10	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-25 in the left arm dealing 3 damage (CritChance was 0.84).
[18:37:10	]C17:RCT.YELLO-25 has taken 2 damage from C17:RCT.YELLO-79.
[18:37:10	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the left leg dealing 3 damage (CritChance was 0.84).
[18:37:10	]C17:RCT.YELLO-25 has taken 2 damage from C17:RCT.YELLO-79.
[18:37:10	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the left leg dealing 3 damage (CritChance was 0.84).
[18:37:10	]C17:RCT.YELLO-25 has taken 2 damage from C17:RCT.YELLO-79.
[18:37:10	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the left leg dealing 3 damage (CritChance was 0.84).
[18:37:10	]C17:RCT.YELLO-25 has taken 2 damage from C17:RCT.YELLO-79.
[18:37:11	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 10 damage (CritChance was 0.84).
[18:37:11	]C17:RCT.YELLO-25 has taken 10 damage from C17:RCT.YELLO-79.
[18:37:11	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 10 damage (CritChance was 0.84).
[18:37:11	]C17:RCT.YELLO-25 has taken 10 damage from C17:RCT.YELLO-79.
[18:37:11	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 10 damage (CritChance was 0.84).
[18:37:11	]C17:RCT.YELLO-25 has taken 10 damage from C17:RCT.YELLO-79.
[18:37:11	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 10 damage (CritChance was 0.84).
[18:37:11	]C17:RCT.YELLO-25 has taken 10 damage from C17:RCT.YELLO-79.
[18:37:11	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 10 damage (CritChance was 0.84).
[18:37:11	]C17:RCT.YELLO-25 has taken 10 damage from C17:RCT.YELLO-79.
[18:37:16	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-25 in the chest dealing 6 damage (CritChance was 0.84).
[18:37:16	]C17:RCT.YELLO-25 has taken 6 damage from C17:RCT.YELLO-79.
[18:37:16	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 10 damage (CritChance was 0.84).
[18:37:16	]C17:RCT.YELLO-25 has taken 10 damage from C17:RCT.YELLO-79.
[18:37:16	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the head dealing 11 damage (CritChance was 0.84).
[18:37:16	]C17:RCT.YELLO-25 was knocked unconscious and is bleeding out.
[18:37:33	]C17:RCT.YELLO-35 ran 'ToggleOn' on item 'Handheld Radio' (#56)
[18:37:35	]C17:RCT.YELLO-35 ran 'channel' on item 'Handheld Radio' (#56)
[18:37:39	]C17:RCT.YELLO-25 was just killed due to: accepting their death
[18:37:52	]C17:RCT.YELLO-35 used command '/RadioYell HALO'.
[18:38:13	]C17:RCT.YELLO-60 used command '/CMB żul'.
[18:38:24	]C17:RCT.YELLO-35 used command '/CP Xd9'.
[18:38:31	]C17:RCT.YELLO-79 used command '/Radio hej'.
[18:38:36	]C17:RCT.YELLO-79 used command '/Radio daj znaka kurwo'.
[18:38:41	][IC] C17:RCT.YELLO-79: <:: Haha. ::>
[18:38:42	]C17:RCT.YELLO-60 used command '/CP odbyciore'.
[18:38:43	][IC] C17:RCT.YELLO-02: <:: Haha. ::>
[18:38:44	][IC] C17:RCT.YELLO-79: <:: Haha. ::>
[18:38:45	][IC] C17:RCT.YELLO-02: <:: Haha2. ::>
[18:38:47	][IC] C17:RCT.YELLO-79: <:: Haha. ::>
[18:38:47	]C17:RCT.YELLO-02 ran SAM command 'noclip' with arguments: ''
[18:38:48	]C17:RCT.YELLO-02 ran SAM command 'noclip' with arguments: ''
[18:38:51	][IC] C17:RCT.YELLO-60: <:: Haha. ::>
[18:38:51	][IC] C17:RCT.YELLO-35: <:: Haha. ::>
[18:38:52	][IC] C17:RCT.YELLO-35: <:: Haha. ::>
[18:38:53	][IC] C17:RCT.YELLO-35: <:: Haha. ::>
[18:38:54	]C17:RCT.YELLO-79 has gained level 31 in the Guns skill.
[18:38:56	][IC] C17:RCT.YELLO-35: <:: Haha. ::>
[18:38:57	]C17:RCT.YELLO-60 ran 'ToggleOn' on item 'Handheld Radio' (#70)
[18:39:01	]C17:RCT.YELLO-02 ran SAM command 'noclip' with arguments: ''
[18:39:02	]C17:RCT.YELLO-02 ran SAM command 'noclip' with arguments: ''
[18:39:03	]C17:RCT.YELLO-02 ran SAM command 'noclip' with arguments: ''
[18:39:04	]C17:RCT.YELLO-02 ran SAM command 'noclip' with arguments: ''
[18:39:52	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-25 in the head dealing 8 damage (CritChance was 0.20).
[18:39:52	]C17:RCT.YELLO-25 has taken 8 damage from C17:RCT.YELLO-79.
[18:39:52	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the head dealing 16 damage (CritChance was 0.20).
[18:39:52	]C17:RCT.YELLO-25 has taken 16 damage from C17:RCT.YELLO-79.
[18:39:52	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-25 in the head dealing 8 damage (CritChance was 0.20).
[18:39:52	]C17:RCT.YELLO-25 has taken 8 damage from C17:RCT.YELLO-79.
[18:39:52	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the head dealing 16 damage (CritChance was 0.20).
[18:39:52	]C17:RCT.YELLO-25 has taken 16 damage from C17:RCT.YELLO-79.
[18:39:52	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-25 in the head dealing 8 damage (CritChance was 0.20).
[18:39:52	]C17:RCT.YELLO-25 has taken 8 damage from C17:RCT.YELLO-79.
[18:39:52	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the head dealing 16 damage (CritChance was 0.98).
[18:39:52	]C17:RCT.YELLO-25 has taken 16 damage from C17:RCT.YELLO-79.
[18:39:52	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the head dealing 16 damage (CritChance was 0.98).
[18:39:52	]C17:RCT.YELLO-25 has taken 16 damage from C17:RCT.YELLO-79.
[18:39:54	]C17:RCT.YELLO-35 used command '/Radio wszystkie jednostki orgia grupowa @ Nexus'.
[18:40:02	]C17:RCT.YELLO-35 entered observer.
[18:40:05	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-60 in the head dealing 8 damage (CritChance was 0.20).
[18:40:05	]C17:RCT.YELLO-60 has taken 8 damage from C17:RCT.YELLO-79.
[18:40:06	]C17:RCT.YELLO-60 is fully healed.
[18:40:10	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-60 in the head dealing 8 damage (CritChance was 0.19).
[18:40:10	]C17:RCT.YELLO-60 has taken 8 damage from C17:RCT.YELLO-79.
[18:40:11	]C17:RCT.YELLO-60 is fully healed.
[18:40:12	]C17:RCT.YELLO-35 has pressed the "CA_SocialInfection" map button.
[18:40:17	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-60 in the left arm dealing 4 damage (CritChance was 0.20).
[18:40:17	]C17:RCT.YELLO-60 has taken 4 damage from C17:RCT.YELLO-79.
[18:40:21	]C17:RCT.YELLO-60 is fully healed.
[18:40:32	]C17:RCT.YELLO-60 entered observer.
[18:40:34	]C17:RCT.YELLO-79 used command '/Announce jebac snake'.
[18:40:40	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 15 damage (CritChance was 0.98).
[18:40:40	]C17:RCT.YELLO-25 has taken 15 damage from C17:RCT.YELLO-79.
[18:40:40	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the head dealing 16 damage (CritChance was 0.98).
[18:40:40	]C17:RCT.YELLO-25 has taken 16 damage from C17:RCT.YELLO-79.
[18:40:40	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the head dealing 16 damage (CritChance was 0.98).
[18:40:40	]C17:RCT.YELLO-25 has taken 16 damage from C17:RCT.YELLO-79.
[18:40:40	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the head dealing 16 damage (CritChance was 0.98).
[18:40:40	]C17:RCT.YELLO-25 was knocked unconscious and is bleeding out.
[18:40:43	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the right leg dealing 14 damage (CritChance was 0.98).
[18:40:43	]C17:RCT.YELLO-25 was killed while bleeding out.
[18:40:43	]C17:RCT.YELLO-79 has killed C17:RCT.YELLO-25 with player.
[18:40:44	]C17:RCT.YELLO-60 exited observer at their location.
[18:40:54	]C17:RCT.YELLO-35 used command '/Dispatch wszystkie jednostki, grupowa orgia, wszystkich obywateli sprowadzic do domów publicznych'.
[18:41:28	]C17:RCT.YELLO-35 used command '/Dispatch Alert ground units. Alert command units. Emergency code: void.'.
[18:41:34	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the left arm dealing 2 damage (CritChance was 0.84).
[18:41:34	]C17:RCT.YELLO-25 has taken 2 damage from C17:RCT.YELLO-79.
[18:41:34	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 7 damage (CritChance was 0.84).
[18:41:34	]C17:RCT.YELLO-25 has taken 7 damage from C17:RCT.YELLO-79.
[18:41:34	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 7 damage (CritChance was 0.84).
[18:41:34	]C17:RCT.YELLO-25 has taken 7 damage from C17:RCT.YELLO-79.
[18:41:34	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 7 damage (CritChance was 0.84).
[18:41:34	]C17:RCT.YELLO-25 has taken 7 damage from C17:RCT.YELLO-79.
[18:41:34	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-25 in the chest dealing 4 damage (CritChance was 0.84).
[18:41:34	]C17:RCT.YELLO-25 has taken 4 damage from C17:RCT.YELLO-79.
[18:41:34	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 7 damage (CritChance was 0.84).
[18:41:34	]C17:RCT.YELLO-25 has taken 7 damage from C17:RCT.YELLO-79.
[18:41:34	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 7 damage (CritChance was 0.84).
[18:41:34	]C17:RCT.YELLO-25 has taken 7 damage from C17:RCT.YELLO-79.
[18:41:34	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-25 in the chest dealing 4 damage (CritChance was 0.84).
[18:41:34	]C17:RCT.YELLO-25 has taken 4 damage from C17:RCT.YELLO-79.
[18:41:34	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 7 damage (CritChance was 0.84).
[18:41:34	]C17:RCT.YELLO-25 has taken 7 damage from C17:RCT.YELLO-79.
[18:41:34	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 7 damage (CritChance was 0.84).
[18:41:34	]C17:RCT.YELLO-25 has taken 7 damage from C17:RCT.YELLO-79.
[18:41:34	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-25 in the chest dealing 7 damage (CritChance was 0.84).
[18:41:34	]C17:RCT.YELLO-25 has taken 7 damage from C17:RCT.YELLO-79.
[18:41:34	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-25 in the chest dealing 4 damage (CritChance was 0.84).
[18:41:34	]C17:RCT.YELLO-25 has taken 4 damage from C17:RCT.YELLO-79.
[18:41:40	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-25 in the left arm dealing 2 damage (CritChance was 0.84).
[18:41:40	]C17:RCT.YELLO-25 has taken 2 damage from C17:RCT.YELLO-79.
[18:41:42	]C17:RCT.YELLO-02 has critically hit C17:RCT.YELLO-25 in the head dealing 22 damage (CritChance was 1.00).
[18:41:42	]C17:RCT.YELLO-25 has taken 22 damage from C17:RCT.YELLO-02.
[18:41:44	]C17:RCT.YELLO-02 has critically hit C17:RCT.YELLO-25 in the left arm dealing 6 damage (CritChance was 1.01).
[18:41:44	]C17:RCT.YELLO-25 was knocked unconscious and is bleeding out.
[18:41:47	]C17:RCT.YELLO-02 has critically hit C17:RCT.YELLO-25 in the right leg dealing 0 damage (CritChance was 1.01).
[18:41:47	]C17:RCT.YELLO-02 has critically hit C17:RCT.YELLO-25 in the right leg dealing 19 damage (CritChance was 1.01).
[18:41:47	]C17:RCT.YELLO-25 was killed while bleeding out.
[18:41:47	]C17:RCT.YELLO-02 has killed C17:RCT.YELLO-25 with player.
[18:41:51	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the head dealing 4 damage (CritChance was 0.17).
[18:41:51	]C17:RCT.YELLO-02 has taken 4 damage from C17:RCT.YELLO-79.
[18:41:51	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the head dealing 4 damage (CritChance was 0.17).
[18:41:51	]C17:RCT.YELLO-02 has taken 4 damage from C17:RCT.YELLO-79.
[18:41:51	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the head dealing 4 damage (CritChance was 0.17).
[18:41:51	]C17:RCT.YELLO-02 has taken 4 damage from C17:RCT.YELLO-79.
[18:41:51	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the head dealing 4 damage (CritChance was 0.17).
[18:41:51	]C17:RCT.YELLO-02 has taken 4 damage from C17:RCT.YELLO-79.
[18:41:51	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the head dealing 4 damage (CritChance was 0.17).
[18:41:51	]C17:RCT.YELLO-02 has taken 4 damage from C17:RCT.YELLO-79.
[18:41:51	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the head dealing 4 damage (CritChance was 0.17).
[18:41:51	]C17:RCT.YELLO-02 has taken 4 damage from C17:RCT.YELLO-79.
[18:41:51	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the head dealing 4 damage (CritChance was 0.17).
[18:41:51	]C17:RCT.YELLO-02 has taken 4 damage from C17:RCT.YELLO-79.
[18:41:51	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the head dealing 4 damage (CritChance was 0.17).
[18:41:51	]C17:RCT.YELLO-02 has taken 4 damage from C17:RCT.YELLO-79.
[18:41:51	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the head dealing 4 damage (CritChance was 0.17).
[18:41:51	]C17:RCT.YELLO-02 has taken 4 damage from C17:RCT.YELLO-79.
[18:41:51	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the head dealing 4 damage (CritChance was 0.17).
[18:41:51	]C17:RCT.YELLO-02 has taken 4 damage from C17:RCT.YELLO-79.
[18:41:51	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the head dealing 4 damage (CritChance was 0.17).
[18:41:51	]C17:RCT.YELLO-02 has taken 4 damage from C17:RCT.YELLO-79.
[18:41:51	]C17:RCT.YELLO-02 has critically hit C17:RCT.YELLO-79 in the head dealing 22 damage (CritChance was 0.60).
[18:41:51	]C17:RCT.YELLO-79 has taken 22 damage from C17:RCT.YELLO-02.
[18:41:52	]C17:RCT.YELLO-02 has hit C17:RCT.YELLO-79 in the head dealing 11 damage (CritChance was 0.60).
[18:41:52	]C17:RCT.YELLO-79 has taken 11 damage from C17:RCT.YELLO-02.
[18:41:52	]C17:RCT.YELLO-02 has critically hit C17:RCT.YELLO-79 in the head dealing 22 damage (CritChance was 0.60).
[18:41:52	]C17:RCT.YELLO-79 has taken 22 damage from C17:RCT.YELLO-02.
[18:41:52	]C17:RCT.YELLO-02 has critically hit C17:RCT.YELLO-79 in the head dealing 22 damage (CritChance was 1.01).
[18:41:52	]C17:RCT.YELLO-79 has taken 22 damage from C17:RCT.YELLO-02.
[18:41:52	]C17:RCT.YELLO-02 has critically hit C17:RCT.YELLO-60 in the chest dealing 20 damage (CritChance was 0.60).
[18:41:52	]C17:RCT.YELLO-60 has taken 20 damage from C17:RCT.YELLO-02.
[18:41:52	]C17:RCT.YELLO-02 has critically hit C17:RCT.YELLO-60 in the chest dealing 20 damage (CritChance was 0.60).
[18:41:52	]C17:RCT.YELLO-60 has taken 20 damage from C17:RCT.YELLO-02.
[18:41:52	]C17:RCT.YELLO-35 used command '/Dispatch Citizen notice: priority identification check in progress. Please assemble in your designated inspection positions.'.
[18:41:52	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the right arm dealing 2 damage (CritChance was 0.17).
[18:41:52	]C17:RCT.YELLO-02 has taken 2 damage from C17:RCT.YELLO-79.
[18:41:52	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the left arm dealing 0 damage (CritChance was 0.17).
[18:41:52	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the left arm dealing 0 damage (CritChance was 0.17).
[18:41:52	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the left arm dealing 0 damage (CritChance was 0.17).
[18:41:52	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the left arm dealing 0 damage (CritChance was 0.17).
[18:41:52	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the left arm dealing 2 damage (CritChance was 0.17).
[18:41:52	]C17:RCT.YELLO-02 has taken 2 damage from C17:RCT.YELLO-79.
[18:41:52	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-02 in the right arm dealing 2 damage (CritChance was 0.17).
[18:41:52	]C17:RCT.YELLO-02 has taken 2 damage from C17:RCT.YELLO-79.
[18:41:52	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-02 in the chest dealing 7 damage (CritChance was 0.84).
[18:41:52	]C17:RCT.YELLO-02 has taken 7 damage from C17:RCT.YELLO-79.
[18:41:52	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the right arm dealing 2 damage (CritChance was 0.84).
[18:41:52	]C17:RCT.YELLO-02 has taken 2 damage from C17:RCT.YELLO-79.
[18:41:52	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-02 in the right arm dealing 2 damage (CritChance was 0.84).
[18:41:52	]C17:RCT.YELLO-02 has taken 2 damage from C17:RCT.YELLO-79.
[18:41:52	]C17:RCT.YELLO-79 has hit C17:RCT.YELLO-02 in the right arm dealing 2 damage (CritChance was 0.84).
[18:41:52	]C17:RCT.YELLO-02 has taken 2 damage from C17:RCT.YELLO-79.
[18:41:52	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-02 in the left arm dealing 0 damage (CritChance was 0.84).
[18:41:52	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-02 in the left arm dealing 0 damage (CritChance was 0.84).
[18:41:52	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-02 in the left arm dealing 0 damage (CritChance was 0.84).
[18:41:52	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-02 in the left arm dealing 2 damage (CritChance was 0.84).
[18:41:52	]C17:RCT.YELLO-02 has taken 2 damage from C17:RCT.YELLO-79.
[18:41:52	]C17:RCT.YELLO-02 has critically hit C17:RCT.YELLO-79 in the right arm dealing 6 damage (CritChance was 1.01).
[18:41:52	]C17:RCT.YELLO-79 has taken 5 damage from C17:RCT.YELLO-02.
[18:41:52	]C17:RCT.YELLO-02 has critically hit C17:RCT.YELLO-79 in the head dealing 22 damage (CritChance was 1.01).
[18:41:52	]C17:RCT.YELLO-79 has taken 22 damage from C17:RCT.YELLO-02.
[18:41:57	]C17:RCT.YELLO-35 used command '/Dispatch Citizen Noitce'.
[18:42:01	]C17:RCT.YELLO-35 used command '/Dispatch Citizen Notice'.
[18:42:03	]C17:RCT.YELLO-35 used command '/Dispatch void'.
[18:42:04	]C17:RCT.YELLO-02 ran SAM command 'noclip' with arguments: ''
[18:42:05	]C17:RCT.YELLO-02 ran SAM command 'noclip' with arguments: ''
[18:42:07	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-02 in the chest dealing 7 damage (CritChance was 0.84).
[18:42:07	]C17:RCT.YELLO-02 has taken 7 damage from C17:RCT.YELLO-79.
[18:42:07	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-02 in the head dealing 8 damage (CritChance was 0.84).
[18:42:07	]C17:RCT.YELLO-02 has taken 8 damage from C17:RCT.YELLO-79.
[18:42:07	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-02 in the chest dealing 7 damage (CritChance was 0.84).
[18:42:07	]C17:RCT.YELLO-02 has taken 7 damage from C17:RCT.YELLO-79.
[18:42:07	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-02 in the stomach dealing 7 damage (CritChance was 0.84).
[18:42:07	]C17:RCT.YELLO-02 has taken 7 damage from C17:RCT.YELLO-79.
[18:42:07	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-02 in the chest dealing 7 damage (CritChance was 0.84).
[18:42:07	]C17:RCT.YELLO-02 has taken 7 damage from C17:RCT.YELLO-79.
[18:42:07	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-02 in the chest dealing 7 damage (CritChance was 0.84).
[18:42:07	]C17:RCT.YELLO-02 has taken 7 damage from C17:RCT.YELLO-79.
[18:42:07	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-02 in the chest dealing 7 damage (CritChance was 0.84).
[18:42:07	]C17:RCT.YELLO-02 has taken 7 damage from C17:RCT.YELLO-79.
[18:42:07	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-02 in the chest dealing 7 damage (CritChance was 0.84).
[18:42:07	]C17:RCT.YELLO-02 has taken 7 damage from C17:RCT.YELLO-79.
[18:42:08	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-60 in the chest dealing 7 damage (CritChance was 0.84).
[18:42:08	]C17:RCT.YELLO-60 has taken 7 damage from C17:RCT.YELLO-79.
[18:42:08	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-60 in the chest dealing 7 damage (CritChance was 0.84).
[18:42:08	]C17:RCT.YELLO-60 has taken 7 damage from C17:RCT.YELLO-79.
[18:42:08	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-60 in the right leg dealing 2 damage (CritChance was 0.84).
[18:42:08	]C17:RCT.YELLO-60 has taken 2 damage from C17:RCT.YELLO-79.
[18:42:08	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-60 in the chest dealing 7 damage (CritChance was 0.84).
[18:42:08	]C17:RCT.YELLO-60 has taken 7 damage from C17:RCT.YELLO-79.
[18:42:08	]C17:RCT.YELLO-79 has critically hit C17:RCT.YELLO-60 in the chest dealing 7 damage (CritChance was 0.84).
[18:42:08	]C17:RCT.YELLO-60 has taken 7 damage from C17:RCT.YELLO-79.
