[13:24:01	]Guilgouille s'est connecté.
[14:03:02	][X]C13:i3.DEFENDER-45 a exécuté 'unload' sur l'article 'Chargeur MP 30' (#200642)
[14:03:07	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur MP 30' #200643.
[14:03:11	][X]C13:i3.DEFENDER-45 a exécuté 'EquipUn' sur l'article 'MP7A1' (#200632)
[14:03:11	][X]C13:i3.DEFENDER-45 a gagné un 'Chargeur MP 30' #200643.
[14:03:22	]C13:i3.XRAY-379 a activé le mode observateur.
[14:03:23	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:03:24	]C13:i3.XRAY-379 a activé le mode observateur.
[14:03:24	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:03:25	]C13:i3.XRAY-379 a activé le mode observateur.
[14:03:25	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:03:25	]C13:i3.XRAY-379 a activé le mode observateur.
[14:03:26	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:03:26	]C13:i3.XRAY-379 a activé le mode observateur.
[14:03:26	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:03:27	]C13:i3.XRAY-379 a activé le mode observateur.
[14:03:27	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:03:28	]C13:i3.XRAY-379 a activé le mode observateur.
[14:03:28	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:03:29	]C13:i3.XRAY-379 a activé le mode observateur.
[14:03:29	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:03:30	]C13:i3.XRAY-379 a activé le mode observateur.
[14:03:30	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:03:31	]C13:i3.XRAY-379 a activé le mode observateur.
[14:03:31	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:03:32	]C13:i3.XRAY-379 a activé le mode observateur.
[14:03:43	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:04:06	]C13:i3.XRAY-379 a activé le mode observateur.
[14:04:06	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:04:06	]C13:i3.XRAY-379 a activé le mode observateur.
[14:04:06	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:06:46	]C13:i3.XRAY-379 a activé le mode observateur.
[14:07:24	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:10:27	]C13:i3.XRAY-379 a activé le mode observateur.
[14:10:49	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:11:55	]C13:i3.XRAY-379 a utilisé la commande '/CharGiveFlag xray'.
[14:11:56	]C13:i3.XRAY-379 a utilisé la commande '/CharGiveFlag C13:i3.XRAY-379 BCFJKMNQTUacefnpqrt'.
[14:12:02	]C13:i3.XRAY-379 a fait apparaitre 'models/weapons/w_pist_usp.mdl.
[14:12:08	]C13:i3.XRAY-379 has fired a toolgun with the name: creator
[14:12:08	]C13:i3.XRAY-379 a fait apparaitre  'Weapon [6227][arccw_eft_usp]'.
[14:12:13	]C13:i3.XRAY-379 a utilisé une option de menu contextuel portant ce nom : remove
[14:12:22	]C13:i3.XRAY-379 a fait apparaitre 'models/weapons/cstrike/c_pist_usp.mdl.
[14:12:26	]C13:i3.XRAY-379 a fait apparaitre 'models/weapons/arc_eft_usp/c_eft_usp.mdl.
[14:12:33	]C13:i3.XRAY-379 a utilisé une option de menu contextuel portant ce nom : remove
[14:12:41	]C13:i3.XRAY-379 a fait apparaitre 'models/weapons/w_pist_usp.mdl.
[14:13:34	][X]C13:i3.DEFENDER-45 est maintenant AFK.
[14:16:06	]C13:i3.XRAY-379 a activé le mode observateur.
[14:16:06	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:16:07	]C13:i3.XRAY-379 a activé le mode observateur.
[14:16:07	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:16:08	]C13:i3.XRAY-379 a activé le mode observateur.
[14:16:08	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:16:23	]C13:i3.XRAY-379 a fait apparaitre 'models/weapons/unloaded/pist_deagle_mag.mdl.
[14:16:32	]C13:i3.XRAY-379 a fait apparaitre 'models/weapons/unloaded/pist_glock18_mag.mdl.
[14:17:34	][X]C13:i3.DEFENDER-45 n'est plus AFK. Temps total passé AFK : 835
[14:17:38	][DEBUG-WEPBAL] Chance: 0.000; Roll: 0.707; Result: HIT;
[14:17:38	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Chargeur de Glock' (#200636)
[14:17:38	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur de Glock' #200636.
[14:17:38	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Chargeur de Glock' (#200635)
[14:17:38	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur de Glock' #200635.
[14:17:40	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Glock 17' (#200631)
[14:17:40	][X]C13:i3.DEFENDER-45 a perdu un 'Glock 17' #200631.
[14:17:42	][X]C13:i3.DEFENDER-45 a utilisé une option de menu contextuel portant ce nom : remove
[14:17:43	][X]C13:i3.DEFENDER-45 a utilisé une option de menu contextuel portant ce nom : remove
[14:17:44	][X]C13:i3.DEFENDER-45 a utilisé une option de menu contextuel portant ce nom : remove
[14:17:49	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Munitions de pistolet' (#200641)
[14:17:49	][X]C13:i3.DEFENDER-45 a perdu un 'Munitions de pistolet' #200641.
[14:17:51	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Chargeur MP 30' (#200642)
[14:17:51	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur MP 30' #200642.
[14:17:51	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Chargeur MP 30' (#200643)
[14:17:51	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur MP 30' #200643.
[14:17:54	][X]C13:i3.DEFENDER-45 a utilisé une option de menu contextuel portant ce nom : remove
[14:17:56	][X]C13:i3.DEFENDER-45 a utilisé une option de menu contextuel portant ce nom : remove
[14:17:57	][X]C13:i3.DEFENDER-45 a utilisé une option de menu contextuel portant ce nom : remove
[14:18:17	]C13:i3.XRAY-379 a fait apparaitre 'models/weapons/unloaded/rif_ak47_mag.mdl.
[14:20:11	]Commissar_Krieger s'est connecté.
[14:20:15	]C13:i3.XRAY-379 a activé le mode observateur.
[14:20:16	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:20:17	]C13:i3.XRAY-379 a activé le mode observateur.
[14:20:23	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:20:32	]C13:i3.XRAY-379 a activé le mode observateur.
[14:20:33	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:20:40	]C13:i3.XRAY-379 a activé le mode observateur.
[14:20:44	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:20:48	]Commissar_Krieger chargé le personnage 'Archibald Rousseau'
[14:20:53	]Archibald Rousseau est complètement guéri.
[14:24:25	]Archibald Rousseau a activé le mode observateur.
[14:24:49	]C13:i3.XRAY-379 a activé le mode observateur.
[14:24:52	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:25:06	]C13:i3.XRAY-379 a activé le mode observateur.
[14:26:15	]C13:i3.XRAY-379 est complètement guéri.
[14:26:31	][IC] C13:i3.XRAY-379: <:: Combine bastards. ::>
[14:26:33	][IC] C13:i3.XRAY-379: <:: Combine bastard. ::>
[14:26:38	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:26:40	]Guilgouille a déchargé son personnage "C13:i3.XRAY-379".
[14:26:47	]Guilgouille chargé le personnage 'Capitaine Alexandre Lambert'
[14:26:48	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:26:56	][IC] Capitaine Alexandre Lambert: These Combine bastards just don't give up!
[14:27:11	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:27:12	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:27:13	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:27:14	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:27:14	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:27:15	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:27:15	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:27:17	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:27:17	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:27:18	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:27:18	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:27:19	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:27:20	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:27:21	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:27:21	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:27:23	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:27:24	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:27:25	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:27:26	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:27:26	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:28:04	][X]C13:i3.DEFENDER-45 est maintenant AFK.
[14:28:06	]Archibald Rousseau a désactivé le mode observateur à son point d'origine.
[14:28:08	]Archibald Rousseau a activé le mode observateur.
[14:28:16	][IC] Capitaine Alexandre Lambert: These Combine bastards just don't give up!
[14:28:22	][IC] Capitaine Alexandre Lambert: These Combine bastards just don't give up!
[14:28:25	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:28:29	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:28:29	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:28:32	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:28:32	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:28:34	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:28:34	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:28:37	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:28:37	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:28:39	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:28:39	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:28:41	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:28:48	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:28:51	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:28:51	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:28:52	][IC] Capitaine Alexandre Lambert: These Combine bastards just don't give up!
[14:28:54	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:28:54	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:28:58	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:28:58	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:29:00	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:29:00	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:29:03	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:29:03	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:29:07	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:29:08	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:29:09	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:29:26	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:29:28	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:29:29	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:29:31	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:29:32	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:29:45	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:29:45	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:29:48	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:29:48	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:29:49	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:29:53	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:29:55	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:30:00	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:30:02	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:30:02	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:30:05	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:30:14	][IC] Capitaine Alexandre Lambert: These Combine bastards just don't give up!
[14:32:02	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:32:05	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:32:05	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:32:08	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:32:09	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:32:11	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:32:11	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:32:14	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:32:14	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:32:17	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:32:17	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:32:18	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:32:40	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:32:43	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:32:43	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:32:46	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:32:47	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:32:47	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:32:47	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:32:49	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:32:52	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:32:54	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:32:54	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:32:55	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:33:01	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:33:04	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:33:04	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:33:06	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:33:07	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:33:08	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:33:16	][IC] Capitaine Alexandre Lambert: These Combine bastards just don't give up!
[14:33:27	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:33:27	]Archibald Rousseau a désactivé le mode observateur à son point d'origine.
[14:33:28	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:33:28	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:33:29	]Archibald Rousseau a activé le mode observateur.
[14:33:31	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:33:31	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:33:34	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:33:34	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:33:35	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:33:35	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:33:37	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:33:37	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:33:38	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:33:38	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:33:40	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:33:54	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:33:55	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:20	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:23	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:23	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:24	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:24	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:26	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:26	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:28	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:28	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:31	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:31	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:33	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:33	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:33	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:37	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:38	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:38	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:39	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:39	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:42	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:43	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:45	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:45	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:47	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:47	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:49	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:49	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:52	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:52	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:55	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:55	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:57	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:34:57	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:34:59	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:35:00	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:35:03	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:35:03	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:35:03	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:35:04	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:35:08	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:35:09	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:35:12	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:35:20	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:35:23	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:35:29	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:35:32	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:35:32	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:35:32	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:35:33	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:35:34	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:35:43	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:35:47	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:35:47	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:35:49	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:35:49	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:35:51	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:35:51	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:35:53	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:35:53	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:35:54	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:35:54	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:35:55	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:35:56	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:35:57	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:36:05	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:36:06	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:36:06	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:36:07	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:36:11	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:36:15	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:36:15	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:36:18	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:36:18	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:36:19	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:36:19	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:36:20	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:36:20	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:36:23	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:36:23	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:36:26	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:36:26	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:36:29	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:36:30	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:36:32	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:36:32	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:36:35	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:36:36	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:36:38	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:39:52	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:39:55	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:39:55	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:39:57	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:39:57	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:39:58	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:40:03	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:40:05	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:40:57	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:40:59	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:41:19	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:41:20	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:41:24	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:41:25	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:41:42	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:41:42	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:41:47	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:41:50	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:41:50	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:41:53	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:41:53	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:41:56	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:41:56	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:41:57	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:41:57	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:42:00	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:42:00	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:42:02	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:42:02	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:42:05	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:42:05	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:42:09	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:42:10	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:42:13	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:42:13	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:42:15	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:42:16	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:42:17	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:42:22	]Capitaine Alexandre Lambert est complètement guéri.
[14:42:25	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:42:28	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:42:28	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:42:29	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:42:30	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:42:31	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:42:31	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:42:32	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:42:33	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:42:34	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:42:36	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:42:41	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:42:41	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:42:44	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:42:45	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:42:46	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:42:47	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:42:59	]Capitaine Alexandre Lambert a activé le mode observateur.
[14:42:59	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[14:43:02	]Capitaine Alexandre Lambert a activé le mode observateur.
