[01:35:27	]Oktawiangr has connected.
[03:06:08	]Oktawiangr entered observer.
[03:06:08	]C24:i3.UNION-4 entered observer.
[03:06:08	]C24:i3.UNION-4 exited observer at their location.
[03:06:10	]C24:i3.UNION-4 entered observer.
[03:06:25	]Oktawiangr ran SAM command 'goto' with arguments: 'union'
[03:06:27	]Oktawiangr ran SAM command 'goto' with arguments: 'union'
[03:06:28	]Oktawiangr ran SAM command 'goto' with arguments: 'union'
[03:06:29	]Oktawiangr exited observer at their location.
[03:06:29	]Oktawiangr entered observer.
[03:06:31	]Oktawiangr exited observer at their location.
[03:06:37	]Oktawiangr entered observer.
[03:06:40	]Oktawiangr exited observer at their location.
[03:06:43	]Oktawiangr entered observer.
[03:06:59	]C24:i3.UNION-4 exited observer at their location.
[03:07:01	]Oktawiangr exited observer at their location.
[03:07:18	]Oktawiangr entered observer.
[03:07:18	]Oktawiangr exited observer at their location.
[03:07:19	]Oktawiangr entered observer.
[03:07:20	]Oktawiangr exited observer at their location.
[03:07:20	]Oktawiangr entered observer.
[03:07:21	]C24:i3.UNION-4 used command '/CharFallOver 1'.
[03:07:22	]Oktawiangr exited observer at their location.
[03:07:27	]C24:i3.UNION-4 used command '/CharGetUp'.
[03:07:30	]C24:i3.UNION-4 entered observer.
[03:07:32	]Oktawiangr entered observer.
[03:07:33	]C24:i3.UNION-4 exited observer at their location.
[03:07:34	]Oktawiangr exited observer at their location.
[03:07:35	]C24:i3.UNION-4 entered observer.
[03:07:37	]C24:i3.UNION-4 exited observer at their location.
[03:07:45	]C24:i3.UNION-4 entered observer.
[03:07:46	]C24:i3.UNION-4 exited observer at their location.
[03:07:52	]Oktawiangr has fired a toolgun with the name: camera
[03:08:19	]Oktawiangr entered observer.
[03:08:23	]C24:i3.UNION-4 entered observer.
[03:08:27	]C24:i3.UNION-4 exited observer at their location.
[03:08:27	]C24:i3.UNION-4 entered observer.
[03:08:30	]C24:i3.UNION-4 exited observer at their location.
[03:08:49	]C24:i3.UNION-4 entered observer.
[03:08:51	]Oktawiangr exited observer at their location.
[03:08:52	]Oktawiangr entered observer.
[03:08:54	]Oktawiangr exited observer at their location.
[03:08:58	]C24:i3.UNION-4 exited observer at their location.
[03:09:12	]C24:i3.UNION-4 entered observer.
[03:09:12	]C24:i3.UNION-4 exited observer at their location.
[03:09:13	]Oktawiangr entered observer.
[03:09:13	]Oktawiangr exited observer at their location.
[03:09:14	]C24:i3.UNION-4 entered observer.
[03:09:14	]C24:i3.UNION-4 exited observer at their location.
[03:09:14	]Oktawiangr entered observer.
[03:09:14	]C24:i3.UNION-4 entered observer.
[03:09:15	]C24:i3.UNION-4 exited observer at their location.
[03:09:15	]Oktawiangr exited observer at their location.
[03:09:18	]C24:i3.UNION-4 entered observer.
[03:09:19	]C24:i3.UNION-4 exited observer at their location.
[03:09:20	]Oktawiangr entered observer.
[03:09:20	]Oktawiangr exited observer at their location.
[03:09:20	]C24:i3.UNION-4 entered observer.
[03:09:20	]Oktawiangr entered observer.
[03:09:22	]C24:i3.UNION-4 exited observer at their location.
[03:09:24	]C24:i3.UNION-4 entered observer.
[03:09:25	]Oktawiangr exited observer at their location.
[03:09:26	]C24:i3.UNION-4 exited observer at their location.
[03:09:28	]Oktawiangr entered observer.
[03:09:29	]Oktawiangr exited observer at their location.
[03:09:30	]C24:i3.UNION-4 entered observer.
[03:09:40	]Oktawiangr entered observer.
[03:09:41	]C24:i3.UNION-4 exited observer at their location.
[03:09:50	]Oktawiangr exited observer at their location.
[03:09:52	]C24:i3.UNION-4 entered observer.
[03:09:53	]C24:i3.UNION-4 exited observer at their location.
[03:10:03	]C24:i3.UNION-4 entered observer.
[03:10:04	]C24:i3.UNION-4 exited observer at their location.
[03:10:19	]Oktawiangr entered observer.
[03:10:28	]Oktawiangr exited observer at their location.
[03:10:39	]Oktawiangr entered observer.
[03:10:47	]Oktawiangr exited observer at their location.
[03:11:07	]Oktawiangr entered observer.
[03:11:37	]C24:i3.UNION-4 entered observer.
[03:11:37	]C24:i3.UNION-4 exited observer at their location.
[03:11:40	]C24:i3.UNION-4 entered observer.
[03:11:46	]C24:i3.UNION-4 exited observer at their location.
[03:11:47	]C24:i3.UNION-4 entered observer.
[03:11:55	]C24:i3.UNION-4 exited observer at their location.
[03:12:08	]Oktawiangr exited observer at their location.
[03:12:09	]C24:i3.UNION-4 entered observer.
[03:12:11	]C24:i3.UNION-4 exited observer at their location.
[03:12:13	]C24:i3.UNION-4 entered observer.
[03:12:14	]C24:i3.UNION-4 exited observer at their location.
[03:12:23	]C24:i3.UNION-4 entered observer.
[03:12:25	]C24:i3.UNION-4 exited observer at their location.
[03:12:28	]C24:i3.UNION-4 entered observer.
[03:12:28	]C24:i3.UNION-4 exited observer at their location.
[03:12:29	]Oktawiangr entered observer.
[03:12:29	]Oktawiangr exited observer at their location.
[03:12:31	]C24:i3.UNION-4 entered observer.
[03:12:31	]C24:i3.UNION-4 exited observer at their location.
[03:12:56	]C24:i3.UNION-4 entered observer.
[03:12:57	]C24:i3.UNION-4 exited observer at their location.
[03:13:36	]C24:i3.UNION-4 entered observer.
[03:13:36	]C24:i3.UNION-4 exited observer at their location.
[03:13:37	]C24:i3.UNION-4 entered observer.
[03:13:37	]C24:i3.UNION-4 exited observer at their location.
[03:13:38	]C24:i3.UNION-4 entered observer.
[03:13:39	]C24:i3.UNION-4 exited observer at their location.
[03:13:55	]Oktawiangr entered observer.
[03:14:00	]C24:i3.UNION-4 entered observer.
[03:14:03	]C24:i3.UNION-4 exited observer at their location.
[03:14:08	]C24:i3.UNION-4 entered observer.
[03:14:09	]Oktawiangr exited observer at their location.
[03:14:13	]C24:i3.UNION-4 exited observer at their location.
[03:14:18	]Oktawiangr entered observer.
[03:14:18	]Oktawiangr exited observer at their location.
[03:14:18	]Oktawiangr entered observer.
[03:14:19	]Oktawiangr exited observer at their location.
[03:14:19	]C24:i3.UNION-4 entered observer.
[03:14:20	]C24:i3.UNION-4 exited observer at their location.
[03:14:24	]Oktawiangr entered observer.
[03:14:26	]Oktawiangr exited observer at their location.
[03:14:26	]Oktawiangr entered observer.
[03:14:27	]C24:i3.UNION-4 entered observer.
[03:14:27	]Oktawiangr exited observer at their location.
[03:14:27	]Oktawiangr entered observer.
[03:14:27	]Oktawiangr exited observer at their location.
[03:14:28	]C24:i3.UNION-4 exited observer at their location.
[03:14:28	]Oktawiangr entered observer.
[03:14:28	]Oktawiangr exited observer at their location.
[03:14:28	]C24:i3.UNION-4 entered observer.
[03:14:29	]C24:i3.UNION-4 exited observer at their location.
[03:14:30	]C24:i3.UNION-4 entered observer.
[03:14:31	]C24:i3.UNION-4 exited observer at their location.
[03:14:49	]C24:i3.UNION-4 entered observer.
[03:14:50	]C24:i3.UNION-4 exited observer at their location.
[03:15:11	]C24:i3.UNION-4 entered observer.
[03:15:12	]C24:i3.UNION-4 exited observer at their location.
[03:15:12	]Oktawiangr entered observer.
[03:15:13	]Oktawiangr exited observer at their location.
[03:15:13	]C24:i3.UNION-4 entered observer.
[03:15:13	]Oktawiangr entered observer.
[03:15:15	]C24:i3.UNION-4 exited observer at their location.
[03:15:21	]Oktawiangr exited observer at their location.
[03:15:23	]C24:i3.UNION-4 entered observer.
[03:15:30	]Oktawiangr entered observer.
[03:15:32	]Oktawiangr exited observer at their location.
[03:15:35	]C24:i3.UNION-4 exited observer at their location.
[03:15:36	]Oktawiangr entered observer.
[03:15:41	]Oktawiangr exited observer at their location.
[03:15:45	]C24:i3.UNION-4 ran 'drop' on item 'Zszyty materiał' (#6771)
[03:15:45	]C24:i3.UNION-4 has lost a 'Zszyty materiał' #6771.
[03:15:49	]C24:i3.UNION-4 has used a context menu option with the name: remove
[03:16:18	]C24:i3.UNION-4 entered observer.
[03:16:22	]C24:i3.UNION-4 exited observer at their location.
[03:16:23	]C24:i3.UNION-4 entered observer.
[03:16:23	]C24:i3.UNION-4 exited observer at their location.
[03:16:34	]Oktawiangr entered observer.
[03:16:34	]C24:i3.UNION-4 entered observer.
[03:16:35	]C24:i3.UNION-4 exited observer at their location.
[03:16:35	]C24:i3.UNION-4 entered observer.
[03:16:37	]C24:i3.UNION-4 exited observer at their location.
[03:16:39	]C24:i3.UNION-4 entered observer.
[03:16:46	]Oktawiangr exited observer at their location.
[03:16:50	]Oktawiangr entered observer.
[03:17:02	]Oktawiangr exited observer at their location.
[03:17:04	]C24:i3.UNION-4 exited observer at their location.
[03:17:04	]Oktawiangr entered observer.
[03:17:06	]Oktawiangr exited observer at their location.
[03:17:06	]C24:i3.UNION-4 entered observer.
[03:17:06	]Oktawiangr entered observer.
[03:17:16	]C24:i3.UNION-4 exited observer at their location.
[03:17:17	]C24:i3.UNION-4 entered observer.
[03:17:20	]C24:i3.UNION-4 exited observer at their location.
[03:17:29	]C24:i3.UNION-4 entered observer.
[03:18:04	]C24:i3.UNION-4 exited observer at their location.
[03:18:07	]C24:i3.UNION-4 entered observer.
[03:18:30	]C24:i3.UNION-4 exited observer at their location.
[03:19:09	]C24:i3.UNION-4 entered observer.
[03:19:10	]C24:i3.UNION-4 exited observer at their location.
[03:19:36	]Oktawiangr exited observer at their location.
[03:20:09	]Oktawiangr entered observer.
[03:20:14	]Oktawiangr exited observer at their location.
[03:21:15	]C24:i3.UNION-4 entered observer.
[03:21:17	]Oktawiangr entered observer.
[03:21:23	]Oktawiangr ran SAM command 'goto' with arguments: 'union'
[03:21:32	]C24:i3.UNION-4 exited observer at their location.
[03:21:34	]Oktawiangr ran SAM command 'goto' with arguments: 'union'
[03:21:36	]Oktawiangr exited observer at their location.
[03:21:39	]C24:i3.UNION-4 entered observer.
[03:21:45	]Oktawiangr entered observer.
[03:21:55	]Oktawiangr exited observer at their location.
[03:21:59	]C24:i3.UNION-4 exited observer at their location.
[03:22:16	]C24:i3.UNION-4 entered observer.
[03:22:18	]C24:i3.UNION-4 exited observer at their location.
[03:22:19	]Oktawiangr entered observer.
[03:22:28	]Oktawiangr exited observer at their location.
[03:22:31	]Oktawiangr entered observer.
[03:22:38	]Oktawiangr exited observer at their location.
[03:22:38	]C24:i3.UNION-4 entered observer.
[03:22:40	]Oktawiangr has spawned a 'Entity [559][ent_mannable_hmg]'.
[03:22:50	]C24:i3.UNION-4 exited observer at their location.
[03:23:08	]Oktawiangr has spawned a 'Entity [569][ent_mannable_fiery]'.
[03:23:24	]C24:i3.UNION-4 has spawned a 'NPC [569][npc_vj_hla_antlion]'.
[03:23:28	]Oktawiangr has spawned a 'Entity [569][ent_mannable_fiery]'.
[03:23:42	]C24:i3.UNION-4 has spawned a 'NPC [559][npc_vj_gonome_zecu]'.
[03:23:53	]C24:i3.UNION-4 entered observer.
[03:23:56	]C24:i3.UNION-4 has used a context menu option with the name: remove
[03:23:57	]Oktawiangr has spawned a 'Entity [559][ent_mannable_airboatgun]'.
[03:23:59	]C24:i3.UNION-4 exited observer at their location.
[03:24:16	]C24:i3.UNION-4 has spawned a 'NPC [569][npc_vj_zecu]'.
[03:24:18	]C24:i3.UNION-4 entered observer.
[03:24:22	]C24:i3.UNION-4 has used a context menu option with the name: remove
[03:24:24	]Oktawiangr has spawned a 'Entity [569][ent_mannable_choppergun]'.
[03:24:25	]C24:i3.UNION-4 exited observer at their location.
[03:24:35	]Oktawiangr has spawned a 'Entity [559][ent_mannable_combinesniper]'.
[03:24:51	]Oktawiangr has spawned a 'Entity [569][ent_mannable_gunship]'.
[03:25:01	]Oktawiangr has spawned a 'Entity [559][ent_mannable_gauss]'.
[03:25:07	]C24:i3.UNION-4 has spawned a 'Entity [584][ent_mannable_hmg]'.
[03:25:18	]C24:i3.UNION-4 has spawned a 'Entity [559][ent_mannable_hmg]'.
[03:25:24	]Oktawiangr has spawned a 'Entity [569][ent_mannable_editable]'.
[03:25:27	]C24:i3.UNION-4 has spawned a 'Entity [559][ent_mannable_editable]'.
[03:25:36	]Oktawiangr has used a context menu option with the name: remove
[03:25:42	]Oktawiangr has spawned a 'Entity [559][ent_mannable_editable]'.
[03:26:01	]Oktawiangr has used a context menu option with the name: remove
[03:26:01	]C24:i3.UNION-4 has spawned a 'Entity [569][sent_vj_fireplace]'.
[03:26:08	]C24:i3.UNION-4 has spawned a 'Entity [559][obj_vj_grenade]'.
[03:26:11	]Oktawiangr has taken 40 damage from obj_vj_grenade.
[03:26:11	]C24:i3.UNION-4 has taken 40 damage from obj_vj_grenade.
[03:26:15	]Oktawiangr ran SAM command 'menu' with arguments: ''
[03:26:16	]Oktawiangr ran SAM command 'hp' with arguments: '#1' '100'
[03:26:17	]Oktawiangr ran SAM command 'hp' with arguments: '#2' '100'
[03:26:19	]C24:i3.UNION-4 has spawned a 'Entity [559][obj_vj_flareround]'.
[03:26:19	]Oktawiangr is fully healed.
[03:26:20	]C24:i3.UNION-4 is fully healed.
[03:26:30	]Oktawiangr has spawned a 'Entity [559][stormfox_oil_lamp]'.
[03:26:47	]C24:i3.UNION-4 has spawned a 'Entity [559][ix_campfire]'.
[03:27:06	]C24:i3.UNION-4 entered observer.
[03:27:10	]C24:i3.UNION-4 exited observer at their location.
[03:27:15	]C24:i3.UNION-4 has spawned a 'Entity [559][mmod_rpg]'.
[03:27:20	]C24:i3.UNION-4 has spawned a 'Entity [559][hl2r_rpg]'.
[03:27:27	]C24:i3.UNION-4 has spawned a 'Entity [559][tfa_rustalpha_flare_thrown]'.
[03:27:33	]C24:i3.UNION-4 has spawned a 'Entity [559][wn_scaffold]'.
[03:27:34	]Oktawiangr entered observer.
[03:27:36	]Oktawiangr exited observer at their location.
[03:27:39	]C24:i3.UNION-4 has spawned a 'Entity [569][wn_scaffold]'.
[03:27:39	]Oktawiangr entered observer.
[03:27:39	]Oktawiangr exited observer at their location.
[03:27:40	]Oktawiangr entered observer.
[03:27:41	]Oktawiangr exited observer at their location.
[03:27:53	]Oktawiangr entered observer.
[03:27:56	]Oktawiangr has spawned a 'NPC [559][npc_vj_hla_antlion]'.
[03:27:57	]C24:i3.UNION-4 has spawned a 'Entity [569][ix_workerk_water]'.
[03:27:59	]C24:i3.UNION-4 has spawned a 'Entity [629][ix_workerk_gas]'.
[03:28:03	]C24:i3.UNION-4 entered observer.
[03:28:04	]C24:i3.UNION-4 exited observer at their location.
[03:28:05	]Oktawiangr has spawned a 'NPC [559][npc_vj_hla_antlion]'.
[03:28:06	]C24:i3.UNION-4 has spawned a 'Entity [569][ix_workerk_electric]'.
[03:28:12	]Oktawiangr has used a context menu option with the name: vj_pr_npc_slay
[03:28:17	]Oktawiangr exited observer at their location.
[03:28:19	]C24:i3.UNION-4 ran 'Equip' on item 'MP7A1' (#3789)
[03:28:20	]Oktawiangr entered observer.
[03:28:22	]Oktawiangr has spawned a 'NPC [569][npc_vj_hla_antlion]'.
[03:28:23	]C24:i3.UNION-4 has lost a 'Magazynek do PM 30rnd' #3792.
[03:28:25	]C24:i3.UNION-4 entered observer.
[03:28:26	]C24:i3.UNION-4 exited observer at their location.
[03:28:29	]C24:i3.UNION-4 has taken 13 damage from Antlion.
[03:28:30	]C24:i3.UNION-4 is fully healed.
[03:28:32	]C24:i3.UNION-4 has taken 13 damage from Antlion.
[03:28:33	]Oktawiangr exited observer at their location.
[03:28:35	]C24:i3.UNION-4 is fully healed.
[03:28:36	]C24:i3.UNION-4 has gained a 'Magazynek do PM 30rnd' #3792.
[03:28:36	]C24:i3.UNION-4 has lost a 'Magazynek do PM 30rnd' #3791.
[03:28:40	]Oktawiangr has taken 13 damage from Antlion.
[03:28:40	]C24:i3.UNION-4 has critically hit npc_vj_hla_antlion in the head dealing 16 damage (CritChance was 0.92).
[03:28:40	]C24:i3.UNION-4 has critically hit npc_vj_hla_antlion in the head dealing 16 damage (CritChance was 0.92).
[03:28:41	]C24:i3.UNION-4 has critically hit npc_vj_hla_antlion in the right leg dealing 14 damage (CritChance was 0.92).
[03:28:41	]C24:i3.UNION-4 has hit npc_vj_hla_antlion in the head dealing 8 damage (CritChance was 0.92).
[03:28:41	]C24:i3.UNION-4 has critically hit npc_vj_hla_antlion in the head dealing 16 damage (CritChance was 0.92).
[03:29:05	]C24:i3.UNION-4 has spawned a 'NPC [569][npc_vj_hla_antlion]'.
[03:29:13	]C24:i3.UNION-4 has gained a 'Magazynek do PM 30rnd' #3791.
[03:29:13	]C24:i3.UNION-4 has lost a 'Magazynek do PM 30rnd' #3790.
[03:29:19	]C24:i3.UNION-4 has critically hit npc_vj_hla_antlion in the right leg dealing 0 damage (CritChance was 0.92).
[03:29:19	]C24:i3.UNION-4 has critically hit npc_vj_hla_antlion in the right leg dealing 14 damage (CritChance was 0.92).
[03:29:19	]C24:i3.UNION-4 has critically hit npc_vj_hla_antlion in the right leg dealing 14 damage (CritChance was 0.92).
[03:29:20	]C24:i3.UNION-4 has critically hit npc_vj_hla_antlion in the right leg dealing 14 damage (CritChance was 0.92).
[03:29:28	]C24:i3.UNION-4 ran 'Equip' on item 'USP-45' (#1879)
[03:29:29	]C24:i3.UNION-4 has lost a 'Magazynek do USP 17rnd' #1887.
[03:29:34	]C24:i3.UNION-4 has critically hit npc_vj_hla_antlion in the left leg dealing 18 damage (CritChance was 0.92).
[03:29:37	]C24:i3.UNION-4 has critically hit npc_vj_hla_antlion in the left leg dealing 18 damage (CritChance was 0.92).
[03:29:41	]C24:i3.UNION-4 has critically hit npc_vj_hla_antlion in the left leg dealing 18 damage (CritChance was 0.92).
[03:29:50	]C24:i3.UNION-4 has taken 13 damage from Antlion.
[03:29:54	]C24:i3.UNION-4 has taken 17 damage from Antlion.
[03:29:56	]Oktawiangr has taken 13 damage from Antlion.
[03:29:59	]C24:i3.UNION-4 has gained a 'Magazynek do USP 17rnd' #1887.
[03:29:59	]C24:i3.UNION-4 has lost a 'Magazynek do USP 17rnd' #1886.
[03:30:07	]Oktawiangr used command '/CharGiveItem oktawiangr łom'.
[03:30:07	]Oktawiangr has gained a 'Złom' #6772.
[03:30:07	]C24:i3.UNION-4 has critically hit npc_vj_hla_antlion in the head dealing 21 damage (CritChance was 0.92).
[03:30:11	]C24:i3.UNION-4 has gained a 'Magazynek do USP 17rnd' #1886.
[03:30:11	]C24:i3.UNION-4 has lost a 'Magazynek do USP 17rnd' #1885.
[03:30:22	]C24:i3.UNION-4 ran 'removeMag' on item 'MP7A1' (#3789)
[03:30:22	]C24:i3.UNION-4 has gained a 'Magazynek do PM 30rnd' #3790.
[03:30:25	]C24:i3.UNION-4 ran 'combine' on item 'Magazynek do PM 30rnd' (#3790)
[03:30:26	]C24:i3.UNION-4 ran 'combine' on item 'Magazynek do PM 30rnd' (#3792)
[03:30:27	]C24:i3.UNION-4 ran 'combine' on item 'Magazynek do USP 17rnd' (#1887)
[03:30:28	]C24:i3.UNION-4 ran 'combine' on item 'Magazynek do USP 17rnd' (#1886)
[03:30:30	]C24:i3.UNION-4 ran 'combine' on item 'Amunicja kalibru 9mm' (#3506)
[03:30:35	]C24:i3.UNION-4 has lost a 'Magazynek do PM 30rnd' #3792.
[03:30:39	]C24:i3.UNION-4 ran 'EquipUn' on item 'MP7A1' (#3789)
[03:30:39	]C24:i3.UNION-4 has gained a 'Magazynek do PM 30rnd' #3792.
[03:30:40	]C24:i3.UNION-4 ran 'EquipUn' on item 'USP-45' (#1879)
[03:30:40	]C24:i3.UNION-4 has gained a 'Magazynek do USP 17rnd' #1885.
[03:30:48	]Oktawiangr used command '/CharGiveItem oktawiangr baseball'.
[03:30:52	]C24:i3.UNION-4 ran 'EquipUn' on item 'Filtr Kombinatu' (#1875)
[03:30:52	]Oktawiangr used command '/CharGiveItem oktawiangr nóż'.
[03:30:52	]Oktawiangr has gained a 'Nóż kuchenny' #6773.
[03:30:56	]Oktawiangr ran 'Equip' on item 'Nóż kuchenny' (#6773)
[03:31:08	]Oktawiangr has spawned a 'NPC [654][npc_vj_hla_antlion]'.
[03:31:09	]C24:i3.UNION-4 ran 'SetMaxDurability' on item 'Zestaw naprawczy pancerza' (#2061)
[03:31:13	]Oktawiangr has critically hit npc_vj_hla_antlion dealing 17 damage (CritChance was 0.80).
[03:31:13	]Oktawiangr has taken 13 damage from Antlion.
[03:31:14	]Oktawiangr has critically hit npc_vj_hla_antlion dealing 17 damage (CritChance was 0.80).
[03:31:19	]Oktawiangr has critically hit npc_vj_hla_antlion dealing 17 damage (CritChance was 0.80).
[03:31:20	]Oktawiangr has critically hit npc_vj_hla_antlion dealing 17 damage (CritChance was 0.80).
[03:31:21	]Oktawiangr has critically hit npc_vj_hla_antlion dealing 17 damage (CritChance was 0.80).
[03:31:26	]C24:i3.UNION-4 ran 'Repair' on item 'Uniform CP' (#1775)
[03:31:52	]Oktawiangr used command '/CharGiveItem oktawian ssg'.
[03:31:52	]Oktawiangr has gained a '15-Round .308 SSG' #6774.
[03:31:54	]C24:i3.UNION-4 ran 'Equip' on item 'Filtr Kombinatu' (#1875)
[03:32:00	]Oktawiangr has spawned a 'Entity [569][ix_vendor]'.
[03:32:01	]Oktawiangr has used a context menu option with the name: vendor_edit
[03:32:08	]Oktawiangr used the 'John Doe' vendor.
[03:32:10	]Oktawiangr has gained 0 zetony.
[03:32:10	]Oktawiangr has gained a 'SSG-08' #6775.
[03:32:12	]Oktawiangr has used a context menu option with the name: remove
[03:32:14	]Oktawiangr ran 'Equip' on item 'SSG-08' (#6775)
[03:32:28	]C24:i3.UNION-4 used command '/CharGiveItem union amunicja 9mm 1'.
[03:32:29	]Oktawiangr ran 'drop' on item 'SSG-08' (#6775)
[03:32:29	]Oktawiangr has lost a 'SSG-08' #6775.
[03:32:35	]C24:i3.UNION-4 ran 'take' on item 'SSG-08' (#6775)
[03:32:37	]C24:i3.UNION-4 ran 'take' on item 'SSG-08' (#6775)
[03:32:41	]C24:i3.UNION-4 ran 'take' on item 'SSG-08' (#6775)
[03:32:41	]C24:i3.UNION-4 has gained a 'SSG-08' #6775.
[03:32:42	]C24:i3.UNION-4 ran 'Equip' on item 'SSG-08' (#6775)
[03:32:53	]C24:i3.UNION-4 ran 'EquipUn' on item 'SSG-08' (#6775)
[03:32:54	]C24:i3.UNION-4 ran 'drop' on item 'SSG-08' (#6775)
[03:32:54	]C24:i3.UNION-4 has lost a 'SSG-08' #6775.
[03:33:02	]C24:i3.UNION-4 ran 'Equip' on item 'MP7A1' (#3789)
[03:33:03	]C24:i3.UNION-4 ran 'Equip' on item 'USP-45' (#1879)
[03:33:04	]C24:i3.UNION-4 ran 'Equip' on item 'Stunstick' (#1880)
[03:33:14	]C24:i3.UNION-4 used command '/CharGiveItem union naprawczy 1'.
[03:33:14	]C24:i3.UNION-4 has gained a 'Zestaw naprawczy pancerza' #6776.
[03:33:17	]C24:i3.UNION-4 ran 'drop' on item 'Zestaw naprawczy pancerza' (#2061)
[03:33:17	]C24:i3.UNION-4 has lost a 'Zestaw naprawczy pancerza' #2061.
[03:33:23	]C24:i3.UNION-4 has used a context menu option with the name: remove
[03:33:25	]C24:i3.UNION-4 has used a context menu option with the name: remove
[03:33:27	]Oktawiangr entered observer.
[03:33:33	]Oktawiangr exited observer at their location.
[03:33:39	]C24:i3.UNION-4 used command '/CharGiveItem union arccw_ammo_smg1 3'.
[03:33:50	]Oktawiangr entered observer.
[03:33:57	]C24:i3.UNION-4 has lost a 'Magazynek do USP 17rnd' #1887.
[03:35:24	]C24:i3.UNION-4 entered observer.
[03:35:28	]C24:i3.UNION-4 exited observer at their location.
[03:35:29	]C24:i3.UNION-4 entered observer.
[03:35:32	]Oktawiangr exited observer at their location.
[03:35:36	]C24:i3.UNION-4 exited observer at their location.
[03:35:37	]C24:i3.UNION-4 entered observer.
[03:35:37	]C24:i3.UNION-4 exited observer at their location.
[03:35:39	]Oktawiangr entered observer.
[03:35:50	]Oktawiangr exited observer at their location.
[03:36:00	]C24:i3.UNION-4 entered observer.
[03:36:26	]C24:i3.UNION-4 exited observer at their location.
[03:36:33	]C24:i3.UNION-4 used command '/CharGiveItem union apteczka 1'.
[03:36:33	]C24:i3.UNION-4 has gained a 'Apteczka pierwszej pomocy' #6777.
[03:36:48	]C24:i3.UNION-4 used command '/CharGiveItem union 9mm 2'.
[03:36:48	]C24:i3.UNION-4 has gained a 'Amunicja kalibru 9mm' #6778.
[03:36:48	]C24:i3.UNION-4 has gained a 'Amunicja kalibru 9mm' #6779.
[03:36:52	]C24:i3.UNION-4 ran 'combine' on item 'Amunicja kalibru 9mm' (#3506)
[03:36:54	]Oktawiangr entered observer.
[03:36:54	]C24:i3.UNION-4 ran 'drop' on item 'Amunicja kalibru 9mm' (#6779)
[03:36:54	]C24:i3.UNION-4 has lost a 'Amunicja kalibru 9mm' #6779.
[03:36:56	]Oktawiangr exited observer at their location.
[03:36:56	]C24:i3.UNION-4 has used a context menu option with the name: remove
[03:36:58	]C24:i3.UNION-4 entered observer.
[03:36:58	]Oktawiangr has spawned 'models/props_wasteland/rockcliff_cluster02b.mdl'.
[03:36:58	]Oktawiangr entered observer.
[03:36:58	]C24:i3.UNION-4 exited observer at their location.
[03:37:04	]C24:i3.UNION-4 used command '/CharGiveItem union smg 3'.
[03:37:05	]C24:i3.UNION-4 has gained a 'SMG Bullets' #6780.
[03:37:05	]C24:i3.UNION-4 has gained a 'SMG Bullets' #6781.
[03:37:05	]C24:i3.UNION-4 has gained a 'SMG Bullets' #6782.
[03:37:09	]C24:i3.UNION-4 ran 'drop' on item 'SMG Bullets' (#6781)
[03:37:09	]C24:i3.UNION-4 has lost a 'SMG Bullets' #6781.
[03:37:10	]C24:i3.UNION-4 ran 'drop' on item 'SMG Bullets' (#6782)
[03:37:10	]C24:i3.UNION-4 has lost a 'SMG Bullets' #6782.
[03:37:11	]C24:i3.UNION-4 ran 'drop' on item 'SMG Bullets' (#6780)
[03:37:11	]C24:i3.UNION-4 has lost a 'SMG Bullets' #6780.
[03:37:13	]C24:i3.UNION-4 has used a context menu option with the name: remove
[03:37:13	]C24:i3.UNION-4 has used a context menu option with the name: remove
[03:37:14	]C24:i3.UNION-4 has used a context menu option with the name: remove
[03:37:29	]C24:i3.UNION-4 used command '/CharGiveItem union PM 3'.
[03:37:29	]C24:i3.UNION-4 has gained a 'Kolimator Aimpoint CompM2' #6783.
[03:37:29	]C24:i3.UNION-4 has gained a 'Kolimator Aimpoint CompM2' #6784.
[03:37:29	]C24:i3.UNION-4 has gained a 'Kolimator Aimpoint CompM2' #6785.
[03:37:32	]C24:i3.UNION-4 ran 'drop' on item 'Kolimator Aimpoint CompM2' (#6785)
[03:37:32	]C24:i3.UNION-4 has lost a 'Kolimator Aimpoint CompM2' #6785.
[03:37:32	]Oktawiangr has fired a toolgun with the name: sh_persist
[03:37:32	]Oktawiangr has enabled persistence for 'models/props_wasteland/rockcliff_cluster02b.mdl'.
[03:37:33	]C24:i3.UNION-4 ran 'drop' on item 'Kolimator Aimpoint CompM2' (#6784)
[03:37:33	]C24:i3.UNION-4 has lost a 'Kolimator Aimpoint CompM2' #6784.
[03:37:34	]C24:i3.UNION-4 ran 'drop' on item 'Kolimator Aimpoint CompM2' (#6783)
[03:37:34	]C24:i3.UNION-4 has lost a 'Kolimator Aimpoint CompM2' #6783.
[03:37:36	]C24:i3.UNION-4 has used a context menu option with the name: remove
[03:37:37	]C24:i3.UNION-4 has used a context menu option with the name: remove
[03:37:38	]C24:i3.UNION-4 has used a context menu option with the name: remove
[03:37:38	]Oktawiangr exited observer at their location.
[03:37:42	]Oktawiangr has spawned 'models/props_wasteland/rockgranite03a.mdl'.
[03:37:45	]Oktawiangr has spawned 'models/props_wasteland/rockcliff_cluster02a.mdl'.
[03:37:46	]Oktawiangr entered observer.
[03:37:48	]Oktawiangr exited observer at their location.
[03:37:50	]Oktawiangr has spawned 'models/props_wasteland/rockcliff01k.mdl'.
