[01:32:46	]Cheese has connected.
[03:29:39	]Theodore Abernathy ran SAM command 'hp' with arguments: '^' '100'
[03:29:41	]Theodore Abernathy is fully healed.
[03:29:50	][IC] Theodore Abernathy: Şarjör değiştirirken beni koruyun!
[03:30:01	][IC] Nick Durman: En son ne zaman duş aldığımı hatırlamıyorum.
[03:30:21	]Nick Durman destroyed a 'Boş Kavanoz' #69488.
[03:30:23	]Nick Durman ran 'take' on item 'Hurda Metal' (#69489)
[03:30:23	]Nick Durman has gained a 'Hurda Metal' #69489.
[03:30:46	]Sarah Goodwell exited observer at their location.
[03:30:46	]Nick Durman ran 'take' on item 'Elektronik devreler' (#69492)
[03:30:46	]Nick Durman has gained a 'Elektronik devreler' #69492.
[03:30:59	]Nick Durman destroyed a 'Boş Breen'in Suyu' #69494.
[03:31:00	]Nick Durman destroyed a 'Plastik Levhalar' #69493.
[03:31:02	]Nick Durman destroyed a 'Plastik Çöp' #69495.
[03:31:03	]Nick Durman destroyed a 'Yapıştırıcı' #69496.
[03:31:04	]Nick Durman destroyed a 'Boş Votka Şişesi' #69491.
[03:32:40	]Theodore Abernathy has spawned 'models/Humans/Group01/male_06.mdl'.
[03:32:55	]Nick Durman destroyed a 'Hurda Metal' #69498.
[03:32:56	]Nick Durman destroyed a 'Boş Kavanoz' #69497.
[03:32:57	]Nick Durman destroyed a 'Yapıştırıcı' #69499.
[03:33:00	]Theodore Abernathy entered observer.
[03:33:02	]Theodore Abernathy exited observer at their location.
[03:33:03	]Sarah Goodwell entered observer.
[03:33:08	]Sarah Goodwell exited observer at their location.
[03:33:09	]Nick Durman destroyed a 'Demir' #69502.
[03:33:11	]Nick Durman destroyed a 'Kırık Alıcı' #69500.
[03:33:13	]Nick Durman destroyed a 'Elektronik devreler' #69501.
[03:33:53	][IC] Theodore Abernathy: Evet, evet, evet, evet, evet, evet,.
[03:34:11	]Enistein has unloaded their "Theodore Abernathy" character.
[03:34:15	]Enistein loaded the character 'Maya Morgan'
[03:34:31	]Maya Morgan entered observer.
[03:34:34	]Maya Morgan exited observer at their location.
[03:35:09	]Nick Durman destroyed a 'Vida Kutusu' #69504.
[03:35:54	]Enistein has unloaded their "Maya Morgan" character.
[03:36:00	]Enistein loaded the character 'Norgaun'
[03:36:04	]Norgaun entered observer.
[03:36:08	]Norgaun exited observer at their location.
[03:37:09	]Norgaun used command '/EnterMeditation'.
[03:37:14	]Norgaun used command '/ActIdle'.
[03:37:35	]Norgaun used command '/ExitAct'.
[03:37:37	]Norgaun used command '/EnterMeditation'.
[03:37:49	]Norgaun has given himself a ing_xen_extract.
[03:37:49	]Norgaun has gained a 'Antlion Özü' #69506.
[03:37:51	]Norgaun ran 'Consume' on item 'Antlion Özü' (#69506)
[03:38:58	]Sarah Goodwell was knocked unconscious and is bleeding out.
[03:38:58	][VORT] Norgaun has damaged Sarah Goodwell, dealing 999 with vortbeam
[03:39:13	]Norgaun ran SAM command 'respawn' with arguments: 'sarah'
[03:39:17	]Sarah Goodwell is fully healed.
[03:44:30	]Norgaun has gone afk.
[03:44:48	]Nick Durman has gone afk.
[03:44:58	]Norgaun used command '/ToggleVortalVision'.
[03:44:59	]Norgaun used command '/ToggleVortalVision'.
[03:44:59	]Norgaun used command '/ToggleVortalVision'.
[03:45:00	]Norgaun is no longer afk. Total time spent AFK: 325
[03:45:01	]Norgaun used command '/ToggleVortalVision'.
[03:45:12	]Norgaun used command '/VortStun'.
[03:45:14	]Norgaun used command '/VortStun'.
[03:45:18	]Nick Durman is no longer afk. Total time spent AFK: 325
[03:46:43	]Sarah Goodwell has taken 15 damage from Norgaun.
[03:46:43	][VORT] Norgaun has damaged Sarah Goodwell dealing 15 with vortpyro
[03:46:44	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:44	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:44	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:44	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:44	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:45	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:45	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:45	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:45	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:45	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:46	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:46	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:46	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:46	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:46	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:47	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:47	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:47	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:47	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:47	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:48	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:48	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:48	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:48	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:48	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:49	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:49	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:49	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:49	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:49	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:50	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:50	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:50	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:50	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:50	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:51	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:51	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:51	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:51	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:51	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:52	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:52	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:52	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:52	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:52	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:53	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:53	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:53	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:53	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:53	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:54	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:54	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:54	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:54	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:54	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:55	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:55	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:55	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:55	]Sarah Goodwell has taken 1 damage from entityflame.
[03:46:55	]Sarah Goodwell has taken 1 damage from entityflame.
[03:47:04	][VORT] Norgaun has healed Sarah Goodwell
[03:47:08	]Norgaun used command '/VortStun'.
[03:47:10	]Norgaun used command '/VortStun'.
[03:48:24	]Norgaun entered observer.
[03:48:25	]Norgaun exited observer at their location.
[03:48:27	]Norgaun entered observer.
[03:48:28	]Norgaun exited observer at their location.
[03:49:42	]Norgaun entered observer.
[03:49:48	]Norgaun exited observer at their location.
[03:49:49	]Norgaun entered observer.
[03:49:50	]Norgaun exited observer at their location.
[03:50:20	]Norgaun has gained level 8 in the Hız skill.
[03:50:55	]Norgaun entered observer.
[03:50:55	]Norgaun exited observer at their location.
[03:51:57	]Norgaun used command '/PlaySoundGlobal wnt/sosyostatuartti.mp3'.
[03:52:44	]Norgaun used command '/PlaySound music/sad/religiouschant.ogg 500'.
[03:52:49	]Norgaun used command '/EnterMeditation'.
[03:52:50	]Norgaun used command '/ActIdle'.
[03:54:47	]Nick Durman ran 'drop' on item 'Boş Şarap Şişesi' (#69469)
[03:54:47	]Nick Durman has lost a 'Boş Şarap Şişesi' #69469.
[03:55:37	]Sarah Goodwell has gone afk.
[03:55:46	]Norgaun ran SAM command 'stopsound' with arguments: ''
[03:55:47	]Norgaun used command '/ExitAct'.
[03:55:49	]Norgaun used command '/EnterMeditation'.
[03:55:51	]Nick Durman ran 'take' on item 'Boş Şarap Şişesi' (#69469)
[03:55:51	]Nick Durman has gained a 'Boş Şarap Şişesi' #69469.
[03:55:59	]Norgaun used command '/PlaySound music/sad/goodbye.mp3 500'.
[03:56:25	]Norgaun ran SAM command 'stopsound' with arguments: ''
[03:56:33	]Norgaun used command '/PlaySound music/scary_tense/zombies_sleeping.mp3 500'.
[03:57:39	]Norgaun ran SAM command 'stopsound' with arguments: ''
[03:57:49	]Norgaun used command '/PlaySoundGlobal music/battle/battle1-breachescape-remix.ogg'.
[04:00:22	]Sarah Goodwell is no longer afk. Total time spent AFK: 580
[04:01:56	]Nick Durman has gone afk.
[04:02:16	]Nick Durman is no longer afk. Total time spent AFK: 315
[04:05:56	]Sarah Goodwell entered observer.
[04:06:14	]Sarah Goodwell exited observer at their location.
[04:06:34	]Nick Durman used command '/PlyGiveFlag nick pet'.
[04:06:49	]Nick Durman has spawned 'models/props_interiors/Furniture_Couch02a.mdl'.
[04:07:13	]Norgaun entered observer.
[04:07:21	]Norgaun used command '/Play3DSound ambience/speech/breencast/breencast_uncertainty.ogg 110'.
[04:07:24	]Norgaun exited observer at their location.
[04:07:25	]Norgaun entered observer.
[04:07:26	]Norgaun exited observer at their location.
[04:07:57	]Nick Durman has spawned 'models/props_interiors/lamp_table02.mdl'.
[04:08:07	]Nick Durman has spawned 'models/props_c17/SuitCase001a.mdl'.
[04:09:06	]Norgaun has fired a toolgun with the name: duplicator
[04:09:07	]Norgaun has fired a toolgun with the name: duplicator
[04:09:08	]Norgaun has fired a toolgun with the name: duplicator
[04:09:09	]Norgaun has fired a toolgun with the name: duplicator
[04:09:23	]Norgaun has used a context menu option with the name: rb655_dissolve
[04:09:25	]Norgaun has used a context menu option with the name: rb655_dissolve
[04:09:27	]Norgaun has used a context menu option with the name: rb655_dissolve
[04:09:27	]Nick Durman has spawned 'models/props_c17/SuitCase001a.mdl'.
[04:09:39	]Norgaun has fired a toolgun with the name: duplicator
[04:09:39	]Norgaun has spawned 'models/props_phx/box_torpedo.mdl'.
[04:09:39	]Norgaun has spawned 'models/props_phx/torpedo.mdl'.
[04:09:48	]Norgaun used command '/CharFallOver 0.1'.
[04:10:11	]Nick Durman has spawned 'models/props_c17/tv_monitor01.mdl'.
[04:10:24	]Nick Durman has spawned 'models/props_c17/playground_swingset_seat01a.mdl'.
[04:10:33	]Nick Durman has spawned 'models/props_junk/garbage_newspaper001a.mdl'.
[04:10:34	]Nick Durman has spawned 'models/props_junk/garbage_bag001a.mdl'.
[04:10:40	]Nick Durman has spawned 'models/props_lab/harddrive02.mdl'.
[04:10:50	]Nick Durman has fired a toolgun with the name: material
[04:10:52	]Nick Durman has fired a toolgun with the name: material
[04:10:55	]Nick Durman has fired a toolgun with the name: colour
[04:10:57	]Nick Durman has fired a toolgun with the name: colour
[04:10:58	]Nick Durman has fired a toolgun with the name: colour
[04:11:11	]Nick Durman has fired a toolgun with the name: nocollide
[04:11:11	]Nick Durman has fired a toolgun with the name: nocollide
[04:11:12	]Nick Durman has fired a toolgun with the name: nocollide
[04:11:12	]Nick Durman has fired a toolgun with the name: nocollide
[04:11:42	][IC] Sarah Goodwell: Körüm.
[04:12:03	]Nick Durman has fired a toolgun with the name: colour
[04:12:07	]Nick Durman has fired a toolgun with the name: colour
[04:12:14	]Nick Durman has fired a toolgun with the name: colour
[04:12:16	]Nick Durman has fired a toolgun with the name: colour
[04:12:19	]Nick Durman has fired a toolgun with the name: colour
[04:12:25	]Nick Durman has fired a toolgun with the name: light
[04:12:28	]Nick Durman has fired a toolgun with the name: light
[04:12:29	]Nick Durman has fired a toolgun with the name: light
[04:12:31	]Nick Durman has fired a toolgun with the name: light
[04:12:34	]Nick Durman has fired a toolgun with the name: colour
[04:12:37	]Nick Durman has fired a toolgun with the name: colour
[04:12:49	]Nick Durman has spawned 'models/props_junk/PopCan01a.mdl'.
[04:13:03	]Nick Durman has spawned 'models/props_c17/streetsign003b.mdl'.
[04:13:15	]Nick Durman has spawned 'models/props_junk/Shoe001a.mdl'.
[04:13:17	]Nick Durman has spawned 'models/props_lab/desklamp01.mdl'.
[04:13:19	][IC] Norgaun: Sustenance!
[04:13:31	]Nick Durman has spawned 'models/props_lab/huladoll.mdl'.
[04:14:03	]Nick Durman has spawned 'models\props/CS_militia/axe.mdl'.
[04:14:53	]Norgaun entered observer.
[04:15:00	]Norgaun used command '/Play3DSound ambience/3d-sounds/screams/scream3.wav 110'.
[04:15:00	]Nick Durman has spawned 'models\props/CS_militia/paintbucket01.mdl'.
[04:15:02	]Norgaun exited observer at their location.
[04:15:05	]Nick Durman has spawned 'models\props/cs_office/Snowman_hat.mdl'.
[04:15:17	]Enistein has unloaded their "Norgaun" character.
[04:15:17	]Nick Durman has spawned 'models\props/cs_office/plant01.mdl'.
[04:15:19	]Nick Durman has spawned 'models\props/cs_office/plant01.mdl'.
[04:15:32	]Nick Durman has spawned 'models\props/cs_office/trash_can_p8.mdl'.
[04:15:35	]Enistein loaded the character 'Enistein'
[04:15:39	]Enistein entered observer.
[04:15:40	]Enistein is fully healed.
[04:15:43	]Enistein exited observer at their location.
[04:16:02	]Nick Durman has spawned 'models\props/cs_office/Cardboard_box03.mdl'.
[04:16:11	]Nick Durman entered observer.
[04:16:11	]Nick Durman exited observer at their location.
[04:16:17	]Nick Durman has spawned 'models\props/cs_office/offcertificatea.mdl'.
[04:16:21	]Nick Durman has spawned 'models\props/cs_office/offpaintingl.mdl'.
[04:16:50	][IC] Sarah Goodwell: Yetkili.
[04:17:03	]Nick Durman has spawned 'models/nova/w_headcrab.mdl'.
[04:17:19	]Nick Durman entered observer.
[04:17:22	]Nick Durman exited observer at their location.
[04:17:32	]Nick Durman has spawned 'models/props_combine/breenclock.mdl'.
[04:18:13	]Nick Durman has spawned 'models/props_junk/garbage_carboard002a.mdl'.
[04:18:45	]Nick Durman has spawned 'models/props_junk/TrafficCone001a.mdl'.
[04:18:57	]Nick Durman has spawned 'models/props_junk/garbage_coffeemug001a.mdl'.
[04:19:03	]Enistein used command '/CharSetModel enistein models/vj_hlr/hl1/hassassin.mdl'.
[04:20:08	]Enistein used command '/CharSetModel enistein models/vj_hlr/hl1/osprey.mdl'.
[04:20:50	]Enistein used command '/CharSetModel enistein models/vj_hlr/hl1/islave.mdl'.
[04:21:03	]Glunar (STEAM_0:1:173730794) has disconnected (timed out).
[04:21:04	]Enistein used command '/CharSetModel enistein models/vj_hlr/opfor/penguin.mdl'.
[04:21:34	]Enistein used command '/CharSetModel enistein models/vj_hlr/hl1/chumtoad.mdl'.
[04:21:44	]Enistein entered observer.
[04:21:52	]Enistein exited observer at their location.
[04:22:19	]Enistein has spawned a 'NPC [5112][npc_vj_hlrdc_keller]'.
[04:22:44	]Enistein used command '/CharSetModel enistein npc_vj_hlrdc_keller'.
[04:22:56	][IC] Sarah Goodwell: Kaplumbağacık.
[04:23:17	]Enistein used command '/CharSetModel enistein models/vj_hlr/decay/wheelchair_sci.mdl'.
[04:23:46	]Glunar has connected.
[04:23:51	]Enistein entered observer.
[04:23:55	]Enistein exited observer at their location.
[04:24:17	][IC] Enistein: Sir.
[04:24:19	][IC] Enistein: One hot dog please.
[04:24:24	][IC] Sarah Goodwell: Kapalıyız.
[04:24:27	][IC] Enistein: Please.
[04:24:30	][IC] Enistein: Me hungry.
[04:24:35	]Glunar loaded the character 'Nick Durman'
[04:24:41	][IC] Sarah Goodwell: I don't speak english.
[04:24:48	][IC] Enistein: Açim.
[04:24:54	]Nick Durman entered observer.
[04:25:02	]Nick Durman exited observer at their location.
[04:25:02	]Nick Durman entered observer.
[04:25:03	]Nick Durman exited observer at their location.
[04:25:03	]Nick Durman entered observer.
[04:25:04	]Nick Durman exited observer at their location.
[04:25:11	][IC] Sarah Goodwell: Kendin alabilirsin.
[04:25:28	][IC] Enistein: Ben felç.
[04:25:32	][IC] Enistein: Konuşmak zor.
[04:25:35	][IC] Enistein: Bana yemek vermek.
[04:25:44	][IC] Enistein: ALŞHIKAOS?NJKAH.
[04:25:45	][ME] Enistein: standda duran hotdogları ağzıyla kapıp kaçmaya başlar
[04:26:13	]Enistein used command '/CharFallOver 0.1'.
[04:26:19	]Enistein used command '/CharFallOver 0.1'.
[04:26:23	]Nick Durman has spawned 'models/wn/soldier.mdl'.
[04:26:31	]Nick Durman has spawned 'models/wn/suppressor.mdl'.
[04:27:00	]Enistein has fired a toolgun with the name: duplicator
[04:27:00	]Enistein has spawned 'models/wn/suppressor.mdl'.
[04:27:07	]Enistein has used a context menu option with the name: rb655_make_animatable
[04:27:24	]Nick Durman has spawned 'models/wn/ota_shotgunner.mdl'.
[04:27:33	]Nick Durman has spawned 'models/wn/wallhammer.mdl'.
[04:27:36	]Nick Durman has spawned 'models/industrial_uniforms/industrial_uniform2.mdl'.
[04:29:16	]Sarah Goodwell entered observer.
[04:29:17	]Sarah Goodwell exited observer at their location.
[04:29:27	]Enistein entered observer.
[04:29:27	]Enistein exited observer at their location.
[04:29:31	]Enistein used command '/PlyGiveFlag sarah pet'.
[04:29:36	]Nick Durman has spawned 'models/vj_hlr/sven/tor.mdl'.
[04:29:43	]Sarah Goodwell has fired a toolgun with the name: camera
[04:29:53	]Enistein has used a context menu option with the name: bodygroups
[04:29:54	]Enistein has used a context menu option with the name: bodygroups
[04:29:56	]Enistein has used a context menu option with the name: skin
[04:30:01	]Nick Durman has used a context menu option with the name: skin
[04:30:13	]Nick Durman has spawned 'models/vj_hlr/hl1/charger.mdl'.
[04:30:24	]Enistein has spawned 'models/willardnetworks/props_combine/resin_puck.mdl'.
[04:30:27	]Enistein has spawned 'models/willardnetworks/posters/wn_poster_4.mdl'.
[04:30:30	]Enistein has spawned 'models/willardnetworks/posters/wn_poster_5.mdl'.
[04:30:32	]Enistein has spawned 'models/willardnetworks/posters/wn_poster_3.mdl'.
[04:30:33	]Enistein has spawned 'models/willardnetworks/posters/wn_poster_2.mdl'.
[04:30:35	]Enistein has spawned 'models/willardnetworks/posters/wn_poster_4.mdl'.
[04:30:37	]Enistein has used a context menu option with the name: skin
[04:30:43	][IC] Nick Durman: Fleshlight.
[04:30:44	]Enistein has used a context menu option with the name: skin
[04:30:56	]Enistein has used a context menu option with the name: skin
[04:31:00	]Enistein has used a context menu option with the name: skin
[04:31:05	]Enistein has used a context menu option with the name: skin
[04:31:08	]Enistein has used a context menu option with the name: skin
[04:31:11	]Enistein has used a context menu option with the name: skin
[04:31:12	]Nick Durman has used a context menu option with the name: skin
[04:31:15	]Nick Durman has used a context menu option with the name: skin
[04:31:15	]Enistein has used a context menu option with the name: skin
[04:31:20	]Nick Durman has used a context menu option with the name: skin
[04:31:26	]Enistein has used a context menu option with the name: skin
[04:31:26	]Nick Durman has used a context menu option with the name: skin
[04:31:31	]Enistein has used a context menu option with the name: skin
[04:31:35	]Enistein has used a context menu option with the name: skin
[04:31:38	]Enistein has used a context menu option with the name: skin
[04:32:07	]Enistein has used a context menu option with the name: skin
[04:32:30	][IC] Sarah Goodwell: Çince her zaman var ya.
[04:32:31	]Nick Durman has spawned 'models/vj_hlr/hla/w_docgun.mdl'.
[04:32:33	]Enistein has used a context menu option with the name: skin
[04:32:36	]Enistein has used a context menu option with the name: skin
[04:32:39	]Enistein has used a context menu option with the name: skin
[04:32:43	]Enistein has used a context menu option with the name: skin
[04:32:47	]Enistein has used a context menu option with the name: skin
[04:32:51	]Enistein has used a context menu option with the name: skin
[04:32:55	]Enistein has used a context menu option with the name: skin
[04:32:59	]Sarah Goodwell has fired a toolgun with the name: camera
[04:32:59	]Enistein has used a context menu option with the name: skin
[04:33:02	]Enistein has used a context menu option with the name: skin
[04:33:02	]Nick Durman has spawned 'models/police2.mdl'.
[04:33:10	]Enistein has spawned a rave.
[04:33:53	]Nick Durman has spawned 'models/ldi/basketball.mdl'.
[04:33:58	]Sarah Goodwell ran 'take' on item 'RAVE' (#69507)
[04:33:58	]Sarah Goodwell has gained a 'RAVE' #69507.
[04:34:10	]Nick Durman has spawned 'models/scene_building/small_rooms/1door.mdl'.
[04:34:11	]Enistein has spawned a rave.
[04:34:16	]Nick Durman ran 'Consume' on item 'RAVE' (#69508)
[04:34:16	]Nick Durman has gained a level 5 short boost in Güç.
[04:35:15	]Nick Durman entered observer.
[04:35:16	]Nick Durman exited observer at their location.
[04:35:17	]Nick Durman entered observer.
[04:35:18	]Nick Durman exited observer at their location.
[04:35:19	]Nick Durman entered observer.
[04:35:19	]Nick Durman exited observer at their location.
[04:35:24	]Nick Durman entered observer.
[04:35:32	]Nick Durman exited observer at their location.
[04:35:40	]Sarah Goodwell ran 'Consume' on item 'RAVE' (#69507)
[04:35:40	]Sarah Goodwell has gained a level 5 short boost in Güç.
[04:35:43	]Enistein used command '/RemoveDrugEffects nick'.
[04:35:59	]Enistein used command '/RemoveDrugEffects sarah'.
[04:35:59	]Nick Durman has spawned 'models/effects/intro_vortshield.mdl'.
[04:36:09	]Nick Durman has spawned 'models/effects/intro_vortshield.mdl'.
[04:36:10	]Enistein has spawned a 'Entity [5177][portals_death]'.
[04:36:12	]Enistein has spawned a 'Entity [5178][portals_death]'.
[04:36:32	]Enistein ran SAM command 'respawn' with arguments: 'sarah'
[04:36:34	]Enistein ran SAM command 'respawn' with arguments: 'nick'
[04:36:42	]Nick Durman has spawned a 'Entity [5179][arcade_pacman]'.
[04:36:45	]Enistein entered observer.
[04:36:49	]Enistein exited observer at their location.
[04:37:06	]Nick Durman has spawned a 'Entity [5179][arcade_pong]'.
[04:37:13	]Enistein has spawned a 'Entity [5180][arcade_pacman]'.
[04:37:35	]Nick Durman has spawned a 'Entity [5180][arcade_spaceinvaders]'.
[04:37:40	]Nick Durman has spawned a 'Entity [5179][ent_musical_keyboard]'.
[04:38:09	]Enistein has spawned a 'Entity [5180][ent_musical_keyboard]'.
[04:38:33	]Enistein entered observer.
[04:38:35	]Enistein exited observer at their location.
[04:38:39	]Enistein has spawned a 'Entity [5184][ent_musical_keyboard]'.
[04:38:55	]Enistein entered observer.
[04:38:56	]Enistein exited observer at their location.
[04:39:08	]Enistein has spawned a 'Entity [5180][ent_musical_keyboard]'.
[04:39:33	]Enistein entered observer.
[04:39:34	]Enistein exited observer at their location.
[04:40:15	]Enistein has spawned a 'Entity [5184][ent_musical_keyboard]'.
[04:42:09	]Nick Durman entered observer.
[04:42:10	]Nick Durman exited observer at their location.
[04:42:22	]Nick Durman has spawned a 'Entity [5179][ix_vortshield]'.
[04:42:25	]Nick Durman has spawned a 'Entity [5179][ix_vortshield]'.
[04:42:30	]Sarah Goodwell has spawned 'models/props_interiors/Furniture_Couch01a.mdl'.
[04:42:47	]Nick Durman has spawned a 'Entity [5231][wn_washing_factory]'.
[04:42:49	]Nick Durman has spawned a 'Entity [5234][wn_scaffold]'.
[04:42:49	]Enistein has taken 5 damage from wn_scaffold.
[04:42:50	]Enistein is fully healed.
[04:42:52	]Nick Durman has spawned a 'Entity [5231][cw_plant]'.
[04:42:54	]Nick Durman has spawned a 'Entity [5234][cw_plant]'.
[04:42:58	]Nick Durman has spawned a 'Entity [5179][tfa_csgo_throwndecoy]'.
[04:43:03	]Enistein has used a context menu option with the name: rb655_dissolve
[04:43:04	]Enistein has used a context menu option with the name: rb655_dissolve
[04:43:10	]Nick Durman has spawned a 'Entity [5180][pfx5_03]'.
[04:43:24	]Enistein has spawned a 'Entity [5184][pfx4_0b]'.
[04:43:30	]Enistein entered observer.
[04:43:32	]Enistein exited observer at their location.
[04:43:33	]Sarah Goodwell entered observer.
[04:43:34	]Nick Durman has spawned a 'Entity [5180][pfx5_00_alt_ss]'.
[04:43:35	]Enistein has spawned a 'Entity [5184][pfx4_06_3]'.
[04:43:36	]Sarah Goodwell exited observer at their location.
[04:43:43	]Nick Durman has spawned a 'Entity [5236][pfx5_00_ss]'.
[04:43:47	]Nick Durman has spawned a 'Entity [5180][pfx5_00_alt_s]'.
[04:43:49	]Enistein has spawned a 'Entity [5184][pfx4_0b]'.
[04:43:50	]Nick Durman has spawned a 'Entity [5236][pfx5_00_s]'.
[04:43:52	]Nick Durman has spawned a 'Entity [5180][pfx5_01]'.
[04:44:01	]Nick Durman has spawned a 'Entity [5180][pfx1_08]'.
[04:44:14	]Enistein has spawned a 'Entity [5179][pfx4_09]'.
[04:44:21	]Nick Durman has spawned a 'Entity [5184][pfx4_0a]'.
[04:44:27	]Nick Durman has spawned a 'Entity [5179][pfx9_00]'.
[04:44:33	]Enistein has spawned a 'Entity [5180][pfx8_01]'.
[04:44:36	]Enistein has spawned a 'Entity [5179][pfx8_01]'.
[04:44:42	]Nick Durman has spawned a 'Entity [5179][portals_classic_in]'.
[04:44:44	]Nick Durman has spawned a 'Entity [5180][portals_classic_out]'.
[04:44:44	]Enistein has spawned a 'Entity [5184][pfxa_00]'.
[04:44:46	]Sarah Goodwell has spawned a 'Entity [5235][acwatt_go_p250_slide_long]'.
[04:44:47	]Enistein has spawned a 'Entity [5236][pfxcom1]'.
[04:44:49	]Enistein has spawned a 'Entity [5184][pfxcom]'.
[04:44:58	]Nick Durman entered observer.
[04:44:58	]Nick Durman exited observer at their location.
[04:45:06	]Nick Durman has spawned a 'Entity [5179][portals_in]'.
[04:45:08	]Nick Durman has spawned a 'Entity [5180][portals_out]'.
[04:45:10	]Enistein has spawned a 'Entity [5184][pfx5_00]'.
[04:45:15	]Nick Durman has spawned a 'Entity [5179][stormfox_cs_candle]'.
[04:45:16	]Nick Durman has spawned a 'Entity [5180][stormfox_cs_candle]'.
[04:45:16	]Nick Durman has spawned a 'Entity [5184][stormfox_cs_candle]'.
[04:45:17	]Nick Durman has spawned a 'Entity [5235][stormfox_cs_candle_small]'.
[04:45:17	]Nick Durman has spawned a 'Entity [5236][stormfox_cs_candle_small]'.
[04:45:22	]Nick Durman has spawned a 'Entity [5237][obj_vj_flareround]'.
[04:45:38	][IC] Sarah Goodwell: ERROR.
[04:45:42	]Sarah Goodwell has spawned a 'Entity [5179][acwatt_go_m4_barrel_short]'.
[04:45:44	]Sarah Goodwell has spawned a 'Entity [5179][acwatt_go_m4_barrel_med]'.
[04:45:47	]Nick Durman has spawned a 'Entity [5164][prop_vj_flag]'.
[04:45:49	]Sarah Goodwell has spawned a 'Entity [5179][acwatt_go_p250_slide_long]'.
[04:46:02	]Nick Durman has spawned a 'Entity [5179][sent_vj_board]'.
[04:46:06	]Enistein has spawned a 'Entity [5164][ent_musical_keyboard]'.
[04:46:08	]Nick Durman has spawned a 'Entity [5179][wn_crop]'.
[04:46:54	]Nick Durman has fired a toolgun with the name: creator
[04:46:54	]Nick Durman has spawned a 'Weapon [5180][arccw_gauss_rifle]'.
[04:48:17	]Enistein used command '/PlyWhitelist enistein cremator'.
[04:48:19	]Enistein has unloaded their "Enistein" character.
[04:48:33	]Enistein created the character 'C24.CREMATOR:625'
[04:48:33	]Enistein loaded the character 'C24.CREMATOR:625'
[04:48:36	]Nick Durman has taken 1 damage from entityflame.
