[14:34:58	]Chadatürk has connected.
[15:27:32	]Furkan Dağlı ran 'drop' on item 'Daire Anahtarı' (#167103)
[15:27:32	]Furkan Dağlı has lost a 'Daire Anahtarı' #167103.
[15:27:39	]Furkan Dağlı ran 'Lock' on item 'Daire Anahtarı' (#43531)
[15:27:42	]Furkan Dağlı ran 'Unlock' on item 'Daire Anahtarı' (#43531)
[15:27:45	]Furkan Dağlı ran 'drop' on item 'Daire Anahtarı' (#43531)
[15:27:45	]Furkan Dağlı has lost a 'Daire Anahtarı' #43531.
[15:27:50	]Furkan Dağlı ran 'take' on item 'Daire Anahtarı' (#167103)
[15:27:50	]Furkan Dağlı has gained a 'Daire Anahtarı' #167103.
[15:27:57	][IC] S10/OWS.FLASH-15: <:: You're clear. Come on through. ::>
[15:28:04	][IC] S10/OWS.FLASH-15: <:: You can come out now! ::>
[15:28:11	]Barış has unloaded their "S10/OWS.FLASH-15" character.
[15:28:14	]Chadatürk (STEAM_0:0:594791481) has disconnected.
[15:28:15	]Barış loaded the character 'S10:SCN-3'
[15:28:50	]S10:SCN-3 used command '/Dispatch CONSPIRACY'.
[15:29:10	][IC] S10:SCN-3: Lütfen dikkat. Erişime izin verilmiyor. Vatandaş karşıtı hurdacılık, derhal ölüm cezasına çarptırılacak.
[15:29:46	][IC] S10:SCN-3: Sivil faaliyetlere karşı gelmekle suçlanıyorsunuz: BİR. Koruma birimi kovuşturma kodu: GÖREV, KILIÇ, OPERASYON.
[15:29:58	][IC] S10:SCN-3: Birey, birden fazla beşinci seviye anti-sivil ihlalle suçlanıyorsunuz. Lütfen yer koruma ekibi ile işbirliği yapın. Yer koruma ekibi: uyarı. Kod: Harekete Geç. İzole Et. Nötralize Et.
[15:30:17	][IC] S10:SCN-3: Kara birimlerinin dikkatine: Bu toplulukta anti-sivil rapor edildi. Kod: KİLİTLE, DAĞLA, STABİLİZE ET.
[15:30:29	][IC] S10:SCN-3: Koruma ekibi, alarm: Bu toplulukta sivil karşıtı faaliyet kanıtlandı. Kod: TOPLA, KELEPÇELE, KONTROL ALTINA AL.
[15:30:42	][IC] S10:SCN-3: Lütfen dikkat: Yerel konut bloklarındaki tüm vatandaşlar, denetim pozisyonlarınızı alın.
[15:30:52	]S10:SCN-3 used command '/Dispatch a'.
[15:31:00	]S10:SCN-3 used command '/Dispatch AUTONOMOUS JUDGMENT'.
[15:31:17	][IC] S10:SCN-3: Birey, sermaye uyumsuzluğu ile suçlanıyorsunuz. Anti-sivil statüsü, ONAYLANDI.
[15:31:27	][IC] S10:SCN-3: Vatandaş uyarısı: İşbirliği yapılmaması, kalıcı olarak dünya dışına taşınmayla sonuçlanacaktır.
[15:31:36	][IC] S10:SCN-3: Güvenlik uyarısı. Kritik sivil ayaklanma. Teknisyen ekiplerini Blok 49, 64, 77'ye konuşlandırın. Önceliği koruyun.
[15:31:50	][IC] S10:SCN-3: Yanıt kodu: Kalkan. Anahtar. Birleş.
[15:31:56	][IC] S10:SCN-3: Yer birimlerini uyarın. Komut birimlerini uyarın. Acil durum kodu: void.
[15:32:06	][IC] S10:SCN-3: Tam sistem uyarısı. Operasyon angajmanı beş-bir-iki-dokuz. Anında, eşzamanlı dağıtım. Beş-bir-iki-dokuz.
[15:32:20	][IC] S10:SCN-3: Vatandaş hatırlatması: Eylemsizlik komplodur. Karşı davranışları derhal bir Sivil Koruma ekibine bildirin.
[15:32:30	][IC] S10:SCN-3: Birey, birden fazla hukuk karşıtı ihlalden hüküm giydiniz. Zımni vatandaşlık iptal edildi. Durum, KÖTÜ HUYLU.
[15:32:44	][IC] S10:SCN-3: Kritik ihlal. Beklemede kalın. Beklemede kalın.
[15:32:59	][IC] S10:SCN-3: Sakinlerin dikkatine: Bloğunuz artık izin verilen etkin olmayan zorlama ile suçlanıyor. Beş rasyon birimi düşüldü.
[15:33:10	][IC] S10:SCN-3: Uyarı. Gözetim ve tespit sistemleri etkin değil. Kalan stabilizasyon ekibi üyeleri lütfen sınırlama durumunu bildirin.
[15:33:22	][IC] S10:SCN-3: Lütfen dikkat, uyumsuz sanıkla tutarlı kaçınma davranışı. Yer koruma ekibi, uyarı, kod: İZOLE ET, AÇIĞA ÇIKAR, YÖNET.
[15:33:40	][IC] S10:SCN-3: Uyarı. Yer üniteleri. Vatandaş karşıtı kökenli istilacı operasyon. Yanıt kodu: Harekete Geç. Bastır. Sorgula.
[15:33:56	][IC] S10:SCN-3: Birey, sosyo-tehlike seviyesiyle suçlanıyorsunuz: BİR. Koruma birimi kovuşturma kodu, GÖREV, KILIÇ, GECE YARISI.
[15:34:25	]Barış has unloaded their "S10:SCN-3" character.
[15:34:28	]Barış loaded the character 'C24:RCT.YELLO-36'
[15:35:28	]C24:RCT.YELLO-36 is fully healed.
[15:36:41	]Barış has unloaded their "C24:RCT.YELLO-36" character.
[15:41:58	]Barış has gone afk.
[16:14:10	]Chadatürk has connected.
[16:15:15	]Chadatürk loaded the character 'Furkan Dağlı'
[16:16:03	]Furkan Dağlı opened the 'Çöp Kutusu' #10953 container.
[16:16:06	]Furkan Dağlı closed the 'Çöp Kutusu' #10953 container.
[16:16:07	]Furkan Dağlı opened the 'Çöp Kutusu' #10953 container.
[16:16:09	]Furkan Dağlı closed the 'Çöp Kutusu' #10953 container.
[16:16:13	]Furkan Dağlı opened the 'Çöp Kutusu' #10952 container.
[16:16:14	]Furkan Dağlı has gained a 'Boş Kahve Fincanı' #167249 from a container with the name 'Çöp Kutusu' #10952.
[16:16:15	]Furkan Dağlı has gained a 'Buzdolabı Kapağı' #167240 from a container with the name 'Çöp Kutusu' #10952.
[16:16:15	]Furkan Dağlı has gained a 'Eskimiş Oyuncak Bebek' #167268 from a container with the name 'Çöp Kutusu' #10952.
[16:16:16	]Furkan Dağlı has gained a 'Buzdolabı Kapağı' #167245 from a container with the name 'Çöp Kutusu' #10952.
[16:16:16	]Furkan Dağlı has gained a 'Yeşil Şişe' #167246 from a container with the name 'Çöp Kutusu' #10952.
[16:16:17	]Furkan Dağlı closed the 'Çöp Kutusu' #10952 container.
[16:18:11	]Furkan Dağlı has performed the 'Craft Parçala: Yeşil Şişe' action, gaining 20 experience in crafting.
[16:18:11	]Furkan Dağlı has gained a 'Cam kırıkları' #167330.
[16:18:13	]Furkan Dağlı has performed the 'Craft Parçala: Boş Kahve Fincanı' action, gaining 20 experience in crafting.
[16:18:13	]Furkan Dağlı has gained a 'Plastik Çöp' #167331.
[16:18:15	]Furkan Dağlı has performed the 'Craft Parçala: Eskimiş Oyuncak Bebek' action, gaining 20 experience in crafting.
[16:18:21	]Furkan Dağlı ran 'drop' on item 'Buzdolabı Kapağı' (#167240)
[16:18:21	]Furkan Dağlı has lost a 'Buzdolabı Kapağı' #167240.
[16:18:31	]Furkan Dağlı ran 'take' on item 'Buzdolabı Kapağı' (#167240)
[16:18:31	]Furkan Dağlı has gained a 'Buzdolabı Kapağı' #167240.
[16:18:33	]Furkan Dağlı ran 'take' on item 'Boş Şarap Şişesi' (#40649)
[16:18:33	]Furkan Dağlı has gained a 'Boş Şarap Şişesi' #40649.
[16:18:33	]Furkan Dağlı opened the 'Buzdolabı' #10442 container.
[16:18:40	]Furkan Dağlı ran 'combine' on item 'Cam kırıkları' (#166659)
[16:18:43	]Furkan Dağlı has gained a 'Kova' #40654 from a container with the name 'Buzdolabı' #10442.
[16:18:44	]Furkan Dağlı has gained a 'Boş Viski Şişesi' #40653 from a container with the name 'Buzdolabı' #10442.
[16:18:45	]Furkan Dağlı has gained a 'Boş Paket Servis' #40652 from a container with the name 'Buzdolabı' #10442.
[16:18:53	]Furkan Dağlı has gained a '9mm Pistol Bullets' #42816 from a container with the name 'Buzdolabı' #10442.
[16:18:54	]Furkan Dağlı closed the 'Buzdolabı' #10442 container.
[16:19:08	]Furkan Dağlı has performed the 'Craft Parçala: Boş Paket Servis' action, gaining 20 experience in crafting.
[16:19:08	]Furkan Dağlı has gained a 'Bez Paçavralar' #167332.
[16:19:11	]Furkan Dağlı has performed the 'Craft Parçala: Viski Şişesi' action, gaining 20 experience in crafting.
[16:19:11	]Furkan Dağlı has gained a 'Cam kırıkları' #167333.
[16:19:13	]Furkan Dağlı has performed the 'Craft Parçala: Kova' action, gaining 25 experience in crafting.
[16:19:13	]Furkan Dağlı has gained a 'Hurda Metal' #167334.
[16:19:15	]Furkan Dağlı has performed the 'Craft Parçala: Şarap Şişesi' action, gaining 20 experience in crafting.
[16:19:21	]Furkan Dağlı opened the 'Buzdolabı' #10442 container.
[16:19:24	]Furkan Dağlı has transferred a 'Bez Paçavralar' #167332 to a container with the name 'Buzdolabı' #10442.
[16:19:26	]Furkan Dağlı ran 'combine' on item 'Bez Paçavralar' (#165720)
[16:19:27	]Furkan Dağlı has transferred a '9mm Pistol Bullets' #42816 to a container with the name 'Buzdolabı' #10442.
[16:19:29	]Furkan Dağlı has gained a '9mm Pistol Bullets' #42816 from a container with the name 'Buzdolabı' #10442.
[16:19:33	]Furkan Dağlı has transferred a 'Cam kırıkları' #167333 to a container with the name 'Buzdolabı' #10442.
[16:19:33	]Furkan Dağlı has transferred a 'Hurda Metal' #167334 to a container with the name 'Buzdolabı' #10442.
[16:19:34	]Furkan Dağlı has transferred a 'Plastik Çöp' #167331 to a container with the name 'Buzdolabı' #10442.
[16:19:35	]Furkan Dağlı has transferred a 'Boş Benzin Bidonu' #40659 to a container with the name 'Buzdolabı' #10442.
[16:19:39	]Furkan Dağlı closed the 'Buzdolabı' #10442 container.
[16:20:16	]Furkan Dağlı opened the 'Çöp Kutusu' #10953 container.
[16:20:18	]Furkan Dağlı has transferred a 'Buzdolabı Kapağı' #167245 to a container with the name 'Çöp Kutusu' #10953.
[16:20:18	]Furkan Dağlı has transferred a 'Buzdolabı Kapağı' #167240 to a container with the name 'Çöp Kutusu' #10953.
[16:20:19	]Furkan Dağlı has transferred a '9mm Pistol Bullets' #42816 to a container with the name 'Çöp Kutusu' #10953.
[16:20:20	]Furkan Dağlı closed the 'Çöp Kutusu' #10953 container.
[16:20:25	]Furkan Dağlı opened the 'Çöp Kutusu' #10952 container.
[16:20:27	]Furkan Dağlı closed the 'Çöp Kutusu' #10952 container.
[16:20:33	]Furkan Dağlı opened the 'Çöp Konteyneri' #10261 container.
[16:20:36	]Furkan Dağlı has gained a 'Kırık Klavye' #167239 from a container with the name 'Çöp Konteyneri' #10261.
[16:20:37	]Furkan Dağlı has gained a 'Boş Süt Kartonu' #167158 from a container with the name 'Çöp Konteyneri' #10261.
[16:20:37	]Furkan Dağlı has gained a 'Plastik Kova' #167264 from a container with the name 'Çöp Konteyneri' #10261.
[16:20:37	]Furkan Dağlı has gained a 'Dayanıksız Metal Boru' #167119 from a container with the name 'Çöp Konteyneri' #10261.
[16:20:37	]Kaan has connected.
[16:20:38	]Furkan Dağlı has gained a 'Boş Votka Şişesi' #167160 from a container with the name 'Çöp Konteyneri' #10261.
[16:20:38	]Furkan Dağlı has transferred a 'Boş Votka Şişesi' #167160 to a container with the name 'Çöp Konteyneri' #10261.
[16:20:38	]Furkan Dağlı has gained a 'Boş Bob Suyu' #167263 from a container with the name 'Çöp Konteyneri' #10261.
[16:20:38	]Furkan Dağlı has gained a 'Boş Plastik Sürahi' #167159 from a container with the name 'Çöp Konteyneri' #10261.
[16:20:38	]Furkan Dağlı has gained a 'Kırık Biyokilit' #167266 from a container with the name 'Çöp Konteyneri' #10261.
[16:20:39	]Furkan Dağlı has gained a 'Boş Breen'in Suyu' #167306 from a container with the name 'Çöp Konteyneri' #10261.
[16:20:39	]Furkan Dağlı has gained a 'Boş Viski Şişesi' #167265 from a container with the name 'Çöp Konteyneri' #10261.
[16:20:39	]Furkan Dağlı has gained a 'Kova' #167267 from a container with the name 'Çöp Konteyneri' #10261.
[16:20:40	]Furkan Dağlı has gained a 'Boş Kavanoz' #167305 from a container with the name 'Çöp Konteyneri' #10261.
[16:20:40	]Furkan Dağlı has gained a 'Boş Votka Şişesi' #167160 from a container with the name 'Çöp Konteyneri' #10261.
[16:20:41	]Furkan Dağlı closed the 'Çöp Konteyneri' #10261 container.
[16:21:27	]Furkan Dağlı has performed the 'Craft Parçala: Kırık Biyokilit' action, gaining 20 experience in crafting.
[16:21:27	]Furkan Dağlı has gained a 'Çivi Kutusu' #167335.
[16:21:27	]Furkan Dağlı has gained a 'Elektronik devreler' #167336.
[16:21:27	]Furkan Dağlı has gained a 'Hurda Metal' #167337.
[16:21:29	]Furkan Dağlı has performed the 'Craft Parçala: Viski Şişesi' action, gaining 20 experience in crafting.
[16:21:29	]Furkan Dağlı has gained a 'Cam kırıkları' #167338.
[16:21:32	]Furkan Dağlı has performed the 'Craft Parçala: Boş Süt Kartonu' action, gaining 25 experience in crafting.
[16:21:32	]Furkan Dağlı has gained a 'Bez Paçavralar' #167339.
[16:21:34	]Furkan Dağlı has performed the 'Craft Parçala: Plastik Kova' action, gaining 30 experience in crafting.
[16:21:34	]Furkan Dağlı has gained a 'Plastik Çöp' #167340.
[16:21:37	]Furkan Dağlı has performed the 'Craft Parçala: Kova' action, gaining 25 experience in crafting.
[16:21:39	]Furkan Dağlı has performed the 'Craft Parçala: Boş Breen'in Suyu' action, gaining 20 experience in crafting.
[16:21:41	]Furkan Dağlı has performed the 'Craft Parçala: Boş Kavanoz' action, gaining 20 experience in crafting.
[16:21:44	]Furkan Dağlı has performed the 'Craft Parçala: Boş Plastik Sürahi' action, gaining 20 experience in crafting.
[16:21:47	]Furkan Dağlı has performed the 'Craft Parçala: Boş Bob's Suyu' action, gaining 20 experience in crafting.
[16:21:50	]Furkan Dağlı has performed the 'Craft Parçala: Vodka Şişesi' action, gaining 20 experience in crafting.
[16:21:56	]Furkan Dağlı opened the 'Buzdolabı' #10442 container.
[16:21:59	]Furkan Dağlı ran 'drop' on item 'Kırık Klavye' (#167239)
[16:21:59	]Furkan Dağlı has lost a 'Kırık Klavye' #167239.
[16:22:00	]Furkan Dağlı ran 'drop' on item 'Dayanıksız Metal Boru' (#167119)
[16:22:00	]Furkan Dağlı has lost a 'Dayanıksız Metal Boru' #167119.
[16:22:02	]Furkan Dağlı ran 'combine' on item 'Elektronik devreler' (#166489)
[16:22:10	]Furkan Dağlı ran 'combine' on item 'Bez Paçavralar' (#165720)
[16:22:12	]Furkan Dağlı ran 'combine' on item 'Plastik Çöp' (#167331)
[16:22:15	]Furkan Dağlı ran 'combine' on item 'Hurda Metal' (#167334)
[16:22:16	]Furkan Dağlı ran 'combine' on item 'Cam kırıkları' (#166659)
[16:22:17	]Furkan Dağlı ran 'combine' on item 'Cam kırıkları' (#166659)
[16:22:19	]Furkan Dağlı ran 'combine' on item 'Cam kırıkları' (#166659)
[16:22:20	]Furkan Dağlı has gained a 'Cam kırıkları' #167333 from a container with the name 'Buzdolabı' #10442.
[16:22:21	]Furkan Dağlı ran 'combine' on item 'Cam kırıkları' (#166659)
[16:22:25	]Furkan Dağlı has transferred a 'Cam kırıkları' #167333 to a container with the name 'Buzdolabı' #10442.
[16:22:25	]Furkan Dağlı ran 'combine' on item 'Cam kırıkları' (#166659)
[16:22:27	]Furkan Dağlı has gained a 'Cam kırıkları' #167333 from a container with the name 'Buzdolabı' #10442.
[16:22:27	]Furkan Dağlı ran 'combine' on item 'Cam kırıkları' (#166659)
[16:22:29	]Furkan Dağlı has transferred a 'Cam kırıkları' #167333 to a container with the name 'Buzdolabı' #10442.
[16:22:31	]Furkan Dağlı ran 'drop' on item 'Çivi Kutusu' (#167335)
[16:22:31	]Furkan Dağlı has lost a 'Çivi Kutusu' #167335.
[16:22:36	]Furkan Dağlı has gained a 'Bilgisayar Parçaları' #40656 from a container with the name 'Buzdolabı' #10442.
[16:22:37	]Furkan Dağlı has gained a 'Bilgisayar Parçaları' #166710 from a container with the name 'Buzdolabı' #10442.
[16:22:37	]Furkan Dağlı has gained a 'Bilgisayar Parçaları' #166650 from a container with the name 'Buzdolabı' #10442.
[16:22:38	]Furkan Dağlı has gained a 'Bilgisayar Parçaları' #40657 from a container with the name 'Buzdolabı' #10442.
[16:22:38	]Furkan Dağlı has gained a 'Bilgisayar Parçaları' #166676 from a container with the name 'Buzdolabı' #10442.
[16:22:39	]Furkan Dağlı closed the 'Buzdolabı' #10442 container.
[16:22:59	]Furkan Dağlı opened the 'Buzdolabı' #10442 container.
[16:23:00	]Furkan Dağlı has transferred a 'Bilgisayar Parçaları' #166676 to a container with the name 'Buzdolabı' #10442.
[16:23:00	]Furkan Dağlı has transferred a 'Bilgisayar Parçaları' #166650 to a container with the name 'Buzdolabı' #10442.
[16:23:01	]Furkan Dağlı has transferred a 'Bilgisayar Parçaları' #40657 to a container with the name 'Buzdolabı' #10442.
[16:23:01	]Furkan Dağlı has transferred a 'Bilgisayar Parçaları' #166710 to a container with the name 'Buzdolabı' #10442.
[16:23:02	]Furkan Dağlı has transferred a 'Bilgisayar Parçaları' #40656 to a container with the name 'Buzdolabı' #10442.
[16:23:06	]Kaan loaded the character 'Vladimir Sokolov'
[16:23:07	]Furkan Dağlı closed the 'Buzdolabı' #10442 container.
[16:23:11	]Vladimir Sokolov is fully healed.
[16:23:14	]Furkan Dağlı ran 'Use' on item 'Paslı Fırın' (#156740)
[16:24:47	]Furkan Dağlı opened the 'Çöp Kutusu' #10952 container.
[16:24:47	]Furkan Dağlı closed the 'Çöp Kutusu' #10952 container.
[16:24:48	]Furkan Dağlı opened the 'Çöp Kutusu' #10952 container.
[16:24:51	]Furkan Dağlı closed the 'Çöp Kutusu' #10952 container.
[16:25:12	]Furkan Dağlı opened the 'Çöp Konteyneri' #10261 container.
[16:25:14	]Furkan Dağlı closed the 'Çöp Konteyneri' #10261 container.
[16:25:25	]Furkan Dağlı opened the 'Çöp Kutusu' #10953 container.
[16:25:33	]Furkan Dağlı closed the 'Çöp Kutusu' #10953 container.
[16:27:04	]Furkan Dağlı used command '/ExitAct'.
[16:27:09	]Furkan Dağlı has gained level 33 in the Hız skill.
[16:27:24	]Furkan Dağlı used command '/ExitAct'.
[16:27:28	]Furkan Dağlı used command '/ExitAct'.
[16:28:28	]Furkan Dağlı used command '/ExitAct'.
[16:28:40	]Furkan Dağlı used command '/PM STEAM_0:1:448976614 afk mısın'.
[16:28:51	]Vladimir Sokolov used command '/Reply alt tabdayım birşey halletmeyi deniyorum'.
[16:30:47	]Vladimir Sokolov used command '/ActSit'.
[16:30:55	]Furkan Dağlı used command '/ExitAct'.
[16:30:59	]Kaan has unloaded their "Vladimir Sokolov" character.
[16:31:04	]Kaan loaded the character 'C24:i5.TAP-54'
[16:31:11	]Barış loaded the character 'C24:RCT.YELLO-36'
[16:31:11	]C24:RCT.YELLO-36 is no longer afk. Total time spent AFK: 3250
[16:31:48	]C24:i5.TAP-54 ran 'Consume' on item 'Metropolice Takviyeleri' (#167164)
[16:31:48	]C24:i5.TAP-54 extended their level 3 long boost in Güç.
[16:32:09	]C24:i5.TAP-54 is fully healed.
[16:32:38	]C24:RCT.YELLO-36 has changed C24:RCT.YELLO-36's bodygroups.
[16:32:41	]C24:i5.TAP-54 used command '/Radio 10-8'.
[16:32:47	]C24:RCT.YELLO-36 used command '/Radio 10-4.'.
[16:33:33	]C24:i5.TAP-54 used command '/Radio REPORT IN'.
[16:33:48	]C24:RCT.YELLO-36 used command '/StaticCharActionSet Kolunun orada bandajla özensizce sarılmış bir yara benzeri bir şey var.'.
[16:33:52	]C24:RCT.YELLO-36 used command '/Radio 10-20 Plaza.'.
[16:33:55	]C24:RCT.YELLO-36 used command '/Radio kod 100'.
[16:33:57	]C24:i5.TAP-54 used command '/Radio copy'.
[16:34:03	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[16:34:23	][IC] C24:i5.TAP-54: <:: Şu kollarını kapat artık. ::>
[16:34:27	][IC] C24:RCT.YELLO-36: <:: Yara var. ::>
[16:34:29	][IC] C24:RCT.YELLO-36: <:: Kapatamam. ::>
[16:34:33	][IC] C24:i5.TAP-54: <:: Ölmezsin birşey olmaz. ::>
[16:34:46	][IC] C24:RCT.YELLO-36: <:: Eski bir doktora bunu söyledin? ::>
[16:34:51	][IC] C24:RCT.YELLO-36: <:: Ne olacağını anlatayımmı? ::>
[16:35:00	][IC] C24:i5.TAP-54: <:: Ne olacağı umurumda değil. ::>
[16:35:06	][IC] C24:RCT.YELLO-36: <:: O zaman bilmiş konuşma. ::>
[16:35:12	][IC] C24:RCT.YELLO-36: <:: Komutanın haberi var. ::>
[16:35:13	]Furkan Dağlı has gained a 'Boş Paket Servis' #167341.
[16:35:13	]Furkan Dağlı has gained a 'Boş Paket Servis' #167342.
[16:35:17	][W] C24:i5.TAP-54: <:: SK'nın kimliği ihlal edildi; yeniden yapılandırın. Dememimi istiyorsun? ::>
[16:35:27	][W] C24:RCT.YELLO-36: <:: Komutanın haberi var 54. ::>
[16:35:31	][W] C24:i5.TAP-54: <:: Yaran varsada saklıyacaksın. ::>
[16:35:32	]Furkan Dağlı has performed the 'Craft Parçala: Boş Paket Servis' action, gaining 20 experience in crafting.
[16:35:32	]Furkan Dağlı has gained a 'Bez Paçavralar' #167343.
[16:35:34	]Furkan Dağlı has performed the 'Craft Parçala: Boş Paket Servis' action, gaining 20 experience in crafting.
[16:35:43	][W] C24:RCT.YELLO-36: <:: Tamam bandaj göstermiyor? ::>
[16:35:45	][W] C24:i5.TAP-54: <:: Kimliğin ifşa olursa komutanın haberi olması birşeyi değiştirmez. ::>
[16:35:55	][W] C24:RCT.YELLO-36: <:: Bandaj yarayı saklıyor fark ettiysen. ::>
[16:35:57	][W] C24:i5.TAP-54: <:: Bandaj varsa kapatabilirsin birşey olmaz. ::>
[16:36:25	][ME] C24:RCT.YELLO-36: İçinden: Şimdi ben buna ne desem ninem gibi konuşmaya devam edicek neyse.
[16:36:28	][ME] C24:i5.TAP-54: Jop'unu bandaja değdirir.
[16:36:30	]Furkan Dağlı ran 'take' on item 'Boş Bob Suyu' (#167322)
[16:36:30	]Furkan Dağlı has gained a 'Boş Bob Suyu' #167322.
[16:36:33	]Furkan Dağlı ran 'take' on item 'Boş Votka Şişesi' (#167323)
[16:36:33	]Furkan Dağlı has gained a 'Boş Votka Şişesi' #167323.
[16:36:33	][ME] C24:RCT.YELLO-36: Kolunu indirir.
[16:36:39	]C24:RCT.YELLO-36 has changed C24:RCT.YELLO-36's bodygroups.
[16:36:40	][IC] C24:i5.TAP-54: <:: Hizmet et. ::>
[16:36:42	]Furkan Dağlı has gained a 'Kırık Klavye' #167344.
[16:36:45	]Furkan Dağlı ran 'drop' on item 'Kırık Klavye' (#167344)
[16:36:45	]Furkan Dağlı has lost a 'Kırık Klavye' #167344.
[16:37:14	]C24:RCT.YELLO-36 ran 'Use' on item '20 Kredi Kuponu' (#167300)
[16:37:15	]C24:i5.TAP-54 used command '/Datafile tap-54'.
[16:37:16	]C24:RCT.YELLO-36 has used a coupon at a ration dispenser, gaining 20 credits.
[16:37:19	]C24:RCT.YELLO-36 used command '/StaticCharActionRemove'.
[16:37:58	]C24:i5.TAP-54 ran 'Consume' on item 'Soda Bob Brawn' (#167308)
[16:37:58	]C24:i5.TAP-54 extended their level 1 long boost in Algı.
[16:37:58	]C24:i5.TAP-54 extended their level 2 long boost in Çeviklik.
[16:38:09	]C24:i5.TAP-54 used command '/PM Yello hani yara kanaması kardes'.
[16:38:27	][IT] C24:i5.TAP-54: Yara hangi kolundadır?
[16:38:38	][IT] C24:RCT.YELLO-36: Sol.
[16:38:49	]C24:i5.TAP-54 used command '/PM yello seni denedim dün sağdaydı ibne'.
[16:39:40	]Furkan Dağlı has gained a 'Boş Kupa' #167345.
[16:39:41	][IT] C24:i5.TAP-54: Kişinin yarasından dolayı elinden jopunu düşürmesi için zar?
[16:39:51	]Furkan Dağlı has performed the 'Craft Parçala: Boş Kupa' action, gaining 20 experience in crafting.
[16:39:51	]Furkan Dağlı has gained a 'Plastik Çöp' #167346.
[16:39:52	][IT] C24:RCT.YELLO-36: 10+
[16:39:54	]Furkan Dağlı has performed the 'Craft Parçala: Vodka Şişesi' action, gaining 20 experience in crafting.
[16:39:54	]Furkan Dağlı has gained a 'Cam kırıkları' #167347.
[16:39:55	]C24:i5.TAP-54 rolled 1 out of 20.
[16:39:55	]C24:i5.TAP-54 used command '/Roll'.
[16:39:59	][LOOC] C24:i5.TAP-54: :/
[16:39:59	]Furkan Dağlı has performed the 'Craft Parçala: Boş Bob's Suyu' action, gaining 20 experience in crafting.
[16:39:59	][LOOC] C24:RCT.YELLO-36: ÖL.FHGMŞGİLFMHFD
[16:40:05	]Furkan Dağlı ran 'drop' on item 'Cam kırıkları' (#167347)
[16:40:05	]Furkan Dağlı has lost a 'Cam kırıkları' #167347.
[16:40:26	]Furkan Dağlı has gained a 'Ahşap Çubuk' #167348.
[16:40:43	]Kaan has unloaded their "C24:i5.TAP-54" character.
[16:40:49	]Kaan loaded the character 'Alfred Caston'
[16:40:54	]Furkan Dağlı ran 'drop' on item 'Ahşap Çubuk' (#167348)
[16:40:54	]Furkan Dağlı has lost a 'Ahşap Çubuk' #167348.
[16:40:54	]Alfred Caston is fully healed.
[16:41:14	]Furkan Dağlı opened the 'Çöp Kutusu' #10953 container.
[16:41:16	]Furkan Dağlı closed the 'Çöp Kutusu' #10953 container.
[16:41:59	]Alfred Caston has lost a '20rnd Mini-14 Magazine' #142792.
[16:41:59	]Alfred Caston has gained a '20rnd Mini-14 Magazine' #142789.
[16:42:03	]Alfred Caston has critically hit npc_combine_camera dealing 16 damage (CritChance was 0.71).
[16:42:03	]Alfred Caston has critically hit npc_combine_camera dealing 16 damage (CritChance was 0.71).
[16:42:03	]Alfred Caston has critically hit npc_combine_camera dealing 16 damage (CritChance was 0.71).
[16:42:03	]Alfred Caston has critically hit npc_combine_camera dealing 16 damage (CritChance was 0.71).
[16:42:03	]Alfred Caston has critically hit npc_combine_camera dealing 16 damage (CritChance was 0.71).
[16:42:06	][IC] C24:RCT.YELLO-36: <:: Lan. ::>
[16:42:20	]Alfred Caston has gained a '20rnd Mini-14 Magazine' #142792.
[16:42:20	]Alfred Caston has lost a '20rnd Mini-14 Magazine' #142789.
[16:42:50	][ME] C24:RCT.YELLO-36: Kolundan akan sıcak kan onu rahatsız ediyor.
[16:42:56	]Alfred Caston ran 'take' on item 'Demir' (#167351)
[16:42:56	]Alfred Caston has gained a 'Demir' #167351.
[16:42:56	]Alfred Caston ran 'take' on item 'Hurda Metal' (#167350)
[16:42:56	]Alfred Caston has gained a 'Hurda Metal' #167350.
[16:42:58	]Alfred Caston opened the 'Gecekondu Kişisel Depo' stash.
[16:43:06	]Furkan Dağlı has performed the 'Craft Eğreti Bandaj Rulosu' action, gaining 50 experience in crafting.
[16:43:06	]Furkan Dağlı has gained a 'El Yapımı Bandaj Rulosu' #167352.
[16:43:27	]Alfred Caston closed the 'Gecekondu Kişisel Depo' stash.
[16:43:54	][IC] Furkan Dağlı: Efendim.
[16:44:03	]Alfred Caston ran 'take' on item 'Çivi Kutusu' (#167354)
[16:44:03	]Alfred Caston has gained a 'Çivi Kutusu' #167354.
[16:44:04	][IC] C24:RCT.YELLO-36: <:: Söyle. ::>
[16:44:06	]Furkan Dağlı ran 'drop' on item 'El Yapımı Bandaj Rulosu' (#167352)
[16:44:06	]Furkan Dağlı has lost a 'El Yapımı Bandaj Rulosu' #167352.
[16:44:06	]Alfred Caston ran 'take' on item 'Demir' (#167355)
[16:44:06	]Alfred Caston has gained a 'Demir' #167355.
[16:44:07	]Alfred Caston destroyed a 'Boş Şarap Şişesi' #167353.
[16:44:11	][ME] C24:RCT.YELLO-36: Kolundan akan kanı çaktırmamayı deniyor.
[16:44:15	][IC] Furkan Dağlı: Alın.
[16:44:17	]Alfred Caston ran 'combine' on item 'Demir' (#167351)
