[16:46:00	]Balkaptan has connected.
[18:48:45	][IC] C24:i5.(X)KING-19: <:: Neyse. ::>
[18:49:00	][ME] C24:i5.TAP-54: Geçerken soldaki kapıyı jopla tıklattı
[18:49:10	]C24:i5.TAP-54 used command '/Radio 19; Move'.
[18:49:14	]C24:i5.(X)KING-19 used command '/Radio Aşşağıdayım'.
[18:49:25	]C24:i5.TAP-54 used command '/Radio 10-76; 10-20'.
[18:49:28	]C24:i5.(X)KING-19 used command '/Radio Sebep?'.
[18:49:37	]C24:i5.TAP-54 used command '/Radio Move'.
[18:49:43	]C24:i5.(X)KING-19 used command '/Radio 10-2'.
[18:49:50	]C24:i5.TAP-54 used command '/Radio 10-19'.
[18:50:15	]C24:i5.TAP-54 used command '/Radio KT-1 Dağıtılıyor. 10-42'.
[18:50:23	]C24:i5.TAP-54 used command '/PTLeave'.
[18:50:25	]C24:i5.(X)KING-19 used command '/PTLeave'.
[18:50:34	]C24:i5.(X)KING-19 used command '/Radio 10-20 Destek masası'.
[18:50:44	]C24:i5.TAP-54 used command '/Radio Tap; 50; 4; Rapor işlemleri içine 10-6'.
[18:51:07	][IC] C24:i5.TAP-54: <:: Anlaşılan birileri rehabilitelerle akıllanmıyor.. ::>
[18:51:13	][IC] C24:i5.(X)KING-19: <:: Ne? ::>
[18:51:24	][IC] C24:i5.(X)KING-19: <:: Anlamadım. ::>
[18:51:27	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:51:38	][IC] C24:i5.TAP-54: <:: Ney istiyorsun. ::>
[18:51:39	][IC] C24:i5.(X)KING-19: <:: Bana emir veremessin çünki aynı rütbedeyiz. ::>
[18:51:45	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:51:48	][IC] C24:i5.(X)KING-19: <:: Bu sebepten rehabilite edilmem. ::>
[18:51:51	][IC] C24:i5.TAP-54: <:: Öylemi düşünüyorsun. ::>
[18:51:55	][IC] C24:i5.(X)KING-19: <:: Evet? ::>
[18:52:06	][IC] C24:i5.TAP-54: <:: Devriye konumlarına karşı gelebiliceğini düşünüyorsun yani. ::>
[18:52:16	][IC] C24:i5.(X)KING-19: <:: Devriye konumu binamı. ::>
[18:52:19	][IC] C24:i5.TAP-54: <:: Kendi kafana göre devriyemi atıyorsun. ::>
[18:52:23	][IC] C24:i5.(X)KING-19: <:: Binada neye bakacağız? ::>
[18:52:28	][IC] C24:i5.TAP-54: <:: Belliki konumları dinlememişsin. ::>
[18:52:34	][ME] C24:i5.TAP-54: Hafif itti
[18:52:36	][IC] C24:i5.TAP-54: <:: Hizmet et. ::>
[18:52:45	][IC] C24:i5.(X)KING-19: <:: Siktir git. ::>
[18:53:11	]C24:i5.(X)KING-19 used the 'Destek Masası Dağıtıcısı' vendor.
[18:53:14	]C24:i5.(X)KING-19 used the 'Destek Masası Dağıtıcısı' vendor.
[18:53:24	][W] C24:i5.TAP-54: <:: Arkamdan ne dedin tekrar söyle. ::>
[18:53:29	][W] C24:i5.(X)KING-19: <:: Tamam. ::>
[18:53:31	][W] C24:i5.(X)KING-19: <:: Dedim. ::>
[18:53:36	][W] C24:i5.TAP-54: <:: Bende öyle düşünmüştüm. ::>
[18:53:42	][IC] C24:i5.(X)KING-19: <:: Nasıl düşündün? ::>
[18:53:43	][IC] C24:i5.(X)KING-19: <:: Haha. ::>
[18:53:57	][IC] C24:i5.TAP-54: <:: Bela mı arıyorsun? ::>
[18:54:02	][IC] C24:i5.(X)KING-19: <:: Hayır? ::>
[18:54:05	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:54:12	]C24:i5.TAP-54 destroyed a 'Arıtıcı' #165315.
[18:54:13	]C24:i5.TAP-54 destroyed a 'Çivi Kutusu' #165314.
[18:54:14	]C24:i5.TAP-54 destroyed a 'Askeri Sınıf Devre Kartı' #163927.
[18:54:15	]C24:i5.TAP-54 destroyed a 'Kahverengi Tulum' #163218.
[18:54:16	]C24:i5.TAP-54 destroyed a 'Siyah Tulum' #165231.
[18:54:17	]C24:i5.TAP-54 destroyed a 'Siyah Tulum' #164110.
[18:54:19	][ME] C24:i5.(X)KING-19: Kendini tutamayıp azda olsa kıkırdadı duyulmayacak şekilde
[18:54:19	]C24:i5.TAP-54 destroyed a 'Açık Gri Kol Bandı' #163216.
[18:54:22	][IC] C24:i5.TAP-54: <:: Aptal kadın. ::>
[18:54:39	][ME] C24:i5.(X)KING-19: Bu dediğini duydu.
[18:54:44	]C24:i5.TAP-54 used command '/ActStand 3'.
[18:54:50	][IC] C24:i5.(X)KING-19: <:: Ne? ::>
[18:54:52	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:54:54	][IC] C24:i5.(X)KING-19: <:: Ne dedin? ::>
[18:55:00	][IC] C24:i5.TAP-54: <:: Neyden bahsediyorsun. ::>
[18:55:06	]C24:i5.TAP-54 used command '/ExitAct'.
[18:55:08	][IC] C24:i5.(X)KING-19: <:: Bence sen gayet iyi biliyorsun. ::>
[18:55:24	][IC] C24:i5.TAP-54: <:: Bilmiyorum bana biraz açarmısın. ::>
[18:55:24	][IC] C24:i5.(X)KING-19: <:: Neden itiyorsun? ::>
[18:55:29	][IC] C24:i5.(X)KING-19: <:: Ne? ::>
[18:55:29	][ME] C24:i5.TAP-54: İyice yaklaşır.
[18:55:34	][ME] C24:i5.(X)KING-19: Kişiyi ittirir.
[18:55:34	][IC] C24:i5.TAP-54: <:: Biliyorsun dediğini. ::>
[18:55:36	][IC] C24:i5.TAP-54: <:: Anlatırmısın. ::>
[18:55:37	][IC] C24:i5.(X)KING-19: <:: Git. ::>
[18:55:41	][ME] C24:i5.TAP-54: Önünü kapatır
[18:55:57	][IC] C24:i5.TAP-54: <:: Tüm kızlar aynısınız aptal. ::>
[18:56:00	]C24:i5.TAP-54 used command '/ActStand 3'.
[18:56:12	][IC] C24:i5.(X)KING-19: <:: Bunu duyduğumu biliyorsun? ::>
[18:56:15	][IC] C24:i5.(X)KING-19: <:: Ama yapıyorsun. ::>
[18:56:20	][WRUS] C24:i5.TAP-54: birisi sinirlendimi noldu yoksa gidip hemen i3 babacığınamı şikayet edeceksin
[18:56:25	][IC] C24:i5.TAP-54: <:: Haha. ::>
[18:56:30	][RUS] C24:i5.(X)KING-19: Öyle bir şey yapmayacağım merak etme
[18:56:36	][RUS] C24:i5.(X)KING-19: Kendini akıllı zannetme
[18:56:40	][RUS] C24:i5.TAP-54: Noldu yoksa babacığınla aranmı kötü
[18:56:53	][RUS] C24:i5.TAP-54: Şiddetli geçimsizlik ha eski dünyadada büyük sorundu
[18:56:53	]C24:i5.TAP-54 used command '/ExitAct'.
[18:56:54	][RUS] C24:i5.(X)KING-19: Seninle konuşmak canımı sıkıyor...
[18:57:05	][RUS] C24:i5.TAP-54: O halde seni eğlendirmemimi istiyorsun.
[18:57:14	][RUS] C24:i5.(X)KING-19: Hayır, konuşmassan sevinirim
[18:57:23	][RUS] C24:i5.TAP-54: Pekala prenses öyle olsun
[18:57:26	]C24:i5.TAP-54 used command '/ActStand 3'.
[18:57:31	][RUS] C24:i5.(X)KING-19: Sen ne anlatıyorsun?
[18:57:44	][RUS] C24:i5.(X)KING-19: Samimi konuşma benle.
[18:57:46	][RUS] C24:i5.TAP-54: Anlıyamadım konuşma diyip halen konuşmaya çalışıyorsun
[18:57:55	][RUS] C24:i5.TAP-54: Pekala prenses nası istersen samimi konuşmam
[18:58:04	][W] C24:i5.TAP-54: <:: Haha. ::>
[18:58:09	][ME] C24:i5.(X)KING-19: Elini maskesine koyup derin bir iç çeker.
[18:58:18	][ME] C24:i5.TAP-54: Islık öttürür.
[18:58:32	][LOOC] C24:i5.(X)KING-19: maskede ıslığın bağırma sesi gibi çıkıyor
[18:58:40	][IC] C24:i5.(X)KING-19: <:: Bağırma sesi senden mi geliyor? ::>
[18:58:44	][IC] C24:i5.TAP-54: <:: Hayır. ::>
[18:58:47	][IC] C24:i5.(X)KING-19: <:: Haha. ::>
[18:58:52	][IC] C24:i5.(X)KING-19: <:: Kesinlikle senden geliyor. ::>
[18:58:57	][IC] C24:i5.(X)KING-19: <:: Islık çalma. ::>
[18:58:59	][IC] C24:i5.TAP-54: <:: Senden sanırım ama bir bağırma sesi gelmesini istiyorsun. ::>
[18:59:10	][IC] C24:i5.(X)KING-19: <:: Bağırma sesi gibi geliyor ıslık maskeden dolayı. ::>
[18:59:16	][IC] C24:i5.(X)KING-19: <:: Neden benden bağırma sesi gelcek. ::>
[18:59:23	][IC] C24:i5.TAP-54: <:: Nasıl istersen öyle olsun. ::>
[18:59:30	][IC] C24:i5.TAP-54: <:: Bilmem öyle ister gibi bir halin var. ::>
[18:59:36	][IC] C24:i5.TAP-54: <:: İstiyorsan bağırttırayım? ::>
[18:59:42	][ME] C24:i5.(X)KING-19: Eli ile vizörünü tutup hafifce eğilir.
[18:59:52	][IC] C24:i5.(X)KING-19: <:: Ugh.. ::>
[18:59:55	][IC] C24:i5.TAP-54: <:: Harika bir ruh halindesin. ::>
[18:59:55	][IC] C24:i5.(X)KING-19: <:: Ağrı kesici almam lazım. ::>
[19:00:02	]C24:i5.TAP-54 used command '/ExitAct'.
[19:00:37	][ME] C24:i5.TAP-54: Omzundan tutar.
[19:00:42	][IC] C24:i5.TAP-54: <:: Ne oldu kızdınmı bana. ::>
[19:00:51	][ME] C24:i5.(X)KING-19: Elini sol vizöründe tutuyor.
[19:00:55	][IC] C24:i5.(X)KING-19: <:: Hayır ağrı kesici alıcam. ::>
[19:00:58	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[19:01:03	][IC] C24:i5.TAP-54: <:: İyimisin neden ağrı kesici alıyorsun. ::>
[19:01:09	][IC] C24:i5.(X)KING-19: <:: Gözüme vurdu... ::>
[19:01:11	][IC] C24:i5.(X)KING-19: <:: 52. ::>
[19:01:16	][IC] C24:i5.TAP-54: <:: Tedavi olmadınmı. ::>
[19:01:29	][IC] C24:i5.TAP-54: <:: İstersen bir kez daha kontrol ettirt ne olur ne olmaz. ::>
[19:01:31	][IC] C24:i5.(X)KING-19: <:: Oldum ama kötü vurduğu için ağrı kesici alıyorum. ::>
[19:01:34	][IC] C24:i5.(X)KING-19: <:: Gerek yok. ::>
[19:01:36	][ME] C24:i5.TAP-54: Omzunu bırakır
[19:01:38	][IC] C24:i5.TAP-54: <:: Pekala. ::>
[19:01:42	][IC] C24:i5.TAP-54: <:: Geçmiş olsun. ::>
[19:01:46	][IC] C24:i5.(X)KING-19: <:: Aynen. ::>
[19:01:54	]C24:i5.TAP-54 used command '/PM 19 bi şerefsiz gibi davranırım bi iyi öle'.
[19:02:03	]C24:i5.(X)KING-19 used command '/PM 54 ayneeeeen'.
[19:02:49	][ME] C24:i5.(X)KING-19: Duvara yaslanıp maskesini çıkartır.
[19:02:52	]C24:i5.(X)KING-19 used command '/ActLean 2'.
[19:03:07	][IT] C24:i5.(X)KING-19: Birimin sol gözünün yanında bir bant var.
[19:03:09	][ME] C24:i5.TAP-54: Dikkatlice oturur ve maskeyi çıkarıp masaya koyar.
[19:03:14	]C24:i5.TAP-54 used command '/ActSit 8'.
[19:03:16	]C24:i5.TAP-54 used command '/ExitAct'.
[19:03:24	]C24:i5.TAP-54 used command '/ActSit 6'.
[19:03:33	][ME] C24:i5.TAP-54: Gözüne doğru bakar.
[19:03:40	][ME] C24:i5.(X)KING-19: Elini çantasına atıp ağrı kesici çıkartır ve ağzına atıp çantasındaki su ile yutar.
[19:03:54	]C24:i5.TAP-54 has changed C24:i5.TAP-54's bodygroups.
[19:03:57	][IC] C24:i5.(X)KING-19: Offf.
[19:04:02	][IC] C24:i5.TAP-54: Hm iyimisin.
[19:04:08	][IC] C24:i5.(X)KING-19: Hayır.
[19:04:13	][ME] C24:i5.TAP-54: Yavaşça doğrulur.
[19:04:13	]C24:i5.TAP-54 used command '/ExitAct'.
[19:04:22	][ME] C24:i5.TAP-54: Gözüne doğru yakından bakar.
[19:04:28	][IC] C24:i5.TAP-54: BU gözün tedavi olduğuna eminmisin.
[19:04:37	][ME] C24:i5.(X)KING-19: Elini banta doğru atıp bantı çıkartır.
[19:04:46	][ME] C24:i5.TAP-54: Çaktırmadan kadına yavaş yavaş yaklaşıyorda
[19:04:53	][IC] C24:i5.TAP-54: Pek iyi görünmüyor.
[19:04:55	][IT] C24:i5.(X)KING-19: Birimin gözünün yanında parçalanmış deri var ve gözünü etkiliyor gibi.
[19:04:58	][IC] C24:i5.(X)KING-19: Evet.
[19:05:04	][ME] C24:i5.(X)KING-19: Doğrulup yürür.
[19:05:04	]C24:i5.(X)KING-19 used command '/ExitAct'.
[19:05:10	][IC] C24:i5.TAP-54: Bu gözün yüzünden işinde sorun çekme sonra.
[19:05:15	][IC] C24:i5.(X)KING-19: Çekmem.
[19:05:27	][ME] C24:i5.TAP-54: Kaskını alıp beline asar.
[19:06:06	]C24:i5.TAP-54 ran 'Consume' on item 'Metropolice Takviyeleri' (#166916)
[19:06:06	]C24:i5.TAP-54 extended their level 3 long boost in Güç.
[19:06:10	][ME] C24:i5.(X)KING-19: Bantı gözünün oraya takar.
[19:06:11	][ME] C24:i5.TAP-54: Kadını izliyor.
[19:06:16	][ME] C24:i5.(X)KING-19: Maskesini kafasına geçirir.
[19:06:19	]C24:i5.TAP-54 used command '/ActStand 3'.
[19:06:20	]C24:i5.TAP-54 used command '/ExitAct'.
[19:06:22	]C24:i5.TAP-54 used command '/ActStand 4'.
[19:06:22	][LOOC] C24:i5.(X)KING-19: amk gta 5 trevor
[19:06:30	][LOOC] C24:i5.TAP-54: sikecem
[19:06:30	]C24:i5.TAP-54 used command '/ExitAct'.
[19:06:35	][LOOC] C24:i5.(X)KING-19: garıyı izler
[19:06:37	][ME] C24:i5.TAP-54: Maskeyi kafasına takar
[19:06:46	][ME] C24:i5.TAP-54: Esner.
[19:06:52	][IC] C24:i5.TAP-54: <:: Bugünde çok sıkıcı bir gün. ::>
[19:07:04	][IC] C24:i5.(X)KING-19: <:: Her zaman olduğu gibi. ::>
[19:07:05	]C24:i5.TAP-54 used command '/ActStand 4'.
[19:07:12	]C24:i5.TAP-54 used command '/ActStand 4'.
[19:07:16	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[19:07:21	][IC] C24:i5.TAP-54: <:: Her zaman böyle değil bence. ::>
[19:07:27	][IC] C24:i5.TAP-54: <:: Daha eğlenceli günlerimizde oluyor. ::>
[19:07:36	][IC] C24:i5.(X)KING-19: <:: Benim için artık olmuyor. ::>
[19:07:38	][IC] C24:i5.(X)KING-19: <:: Ben bi geçsem. ::>
[19:07:42	][IC] C24:i5.TAP-54: <:: Oldururuz sorun değil. ::>
[19:07:55	][ME] C24:i5.(X)KING-19: Bu nediyo gibi bir bakış atar
[19:08:19	][ME] C24:i5.TAP-54: Yürürken jop elinden düştü sağ eli kitlenir gibi oldu.
[19:08:22	]C24:i5.TAP-54 ran 'drop' on item 'CV-2000 Şok Çubuğu' (#157226)
[19:08:22	]C24:i5.TAP-54 has lost a 'CV-2000 Şok Çubuğu' #157226.
[19:08:28	][ME] C24:i5.TAP-54: SOl eliyle jopu alır.
[19:08:37	][IC] C24:i5.(X)KING-19: <:: Sakar sanırım. ::>
[19:08:43	][LOOC] C24:i5.TAP-54: jop nerde amk
[19:08:55	]C24:i5.(X)KING-19 used command '/CP senin arkandan benim karakter bi sövüyo ananı arvadını'.
[19:09:02	]C24:i5.TAP-54 used command '/CP jop yokoldu amk'.
[19:09:11	]C24:i5.(X)KING-19 used command '/CP EZ'.
[19:09:43	]C24:i5.TAP-54 used command '/CP neyse yenisini alam bare'.
[19:09:44	][LOOC] C24:i5.(X)KING-19: yenisini alcan emmi
[19:10:10	]C24:i5.(X)KING-19 used command '/CP GEL'.
[19:10:32	]C24:i5.TAP-54 ran 'take' on item 'CV-2000 Şok Çubuğu' (#157226)
[19:10:32	]C24:i5.TAP-54 has gained a 'CV-2000 Şok Çubuğu' #157226.
[19:10:37	][IC] C24:i5.TAP-54: <:: Sağol yardımın için prenses. ::>
[19:10:47	][ME] C24:i5.TAP-54: Çantasından ağrı kesici bir hap çıkartıp ağzına atar.
[19:10:50	][IC] C24:i5.(X)KING-19: <:: Sana ben ne dedim. ::>
[19:10:52	]C24:i5.TAP-54 ran 'Equip' on item 'CV-2000 Şok Çubuğu' (#157226)
[19:10:56	][IC] C24:i5.TAP-54: <:: Unutmuşum. ::>
[19:10:57	][IC] C24:i5.(X)KING-19: <:: Bana şunu deme. ::>
[19:11:00	][IC] C24:i5.TAP-54: <:: Ne demiştin. ::>
[19:11:05	][IC] C24:i5.(X)KING-19: <:: B12. ::>
[19:11:08	][IC] C24:i5.(X)KING-19: <:: Çok iyi. ::>
[19:11:16	][IC] C24:i5.(X)KING-19: <:: B12 iyimiş. ::>
[19:11:16	][IC] C24:i5.TAP-54: <:: B12 ha. ::>
[19:11:23	][IC] C24:i5.TAP-54: <:: Bu kafa halen bazı dudakları hatırlıyor ama. ::>
[19:11:28	][IC] C24:i5.TAP-54: <:: Haha. ::>
[19:11:29	][IC] C24:i5.(X)KING-19: <:: 23. ::>
[19:11:34	][IC] C24:i5.TAP-54: <:: 23'mü. ::>
[19:11:35	][IC] C24:i5.(X)KING-19: <:: Nasıl gidiyor aranız. ::>
[19:11:39	][IC] C24:i5.TAP-54: <:: Yaşıyorsa iyi gider. ::>
[19:11:44	][IC] C24:i5.(X)KING-19: <:: Ne. ::>
[19:11:46	][IC] C24:i5.(X)KING-19: <:: Ne olduki. ::>
[19:11:49	]C24:i5.TAP-54 used command '/ActStand 4'.
[19:11:51	][IC] C24:i5.TAP-54: <:: Bilmem. ::>
[19:11:59	][IC] C24:i5.TAP-54: <:: En son i4'le birlikte eve gidiyolardı. ::>
[19:12:14	][IC] C24:i5.(X)KING-19: <:: Tahmin ettiğim i4 mü. ::>
[19:12:18	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[19:12:25	][IC] C24:i5.(X)KING-19: <:: Umarım yaşıyor. ::>
[19:12:39	][IC] C24:i5.TAP-54: <:: Yaşıyorsada daha ne kadar yaşıyabilir bilemiyorum. ::>
[19:12:43	][IC] C24:i5.(X)KING-19: <:: Neden. ::>
[19:12:53	]C24:i5.TAP-54 used command '/Radio 10-6; Tuvalet Molası'.
[19:13:10	]C24:i5.(X)KING-19 used command '/ActLean 2'.
[19:13:23	]C24:i5.TAP-54 used command '/Doorkick'.
[19:13:32	]C24:i5.(X)KING-19 used command '/CP zart zort sıçar'.
[19:13:43	]C24:i5.TAP-54 used command '/CP yok 23'e erp yapıyom'.
[19:13:53	]C24:i5.(X)KING-19 used command '/CP o öldü :('.
[19:14:04	]C24:i5.TAP-54 used command '/CP henüz yaşıyo çar seni izliyo şuan'.
[19:14:07	]C24:i5.TAP-54 used command '/ActStand 3'.
[19:14:16	]C24:i5.TAP-54 used command '/CP en üst kata bak cama'.
[19:14:22	]C24:i5.(X)KING-19 used command '/CP gözükmüyon'.
[19:14:23	]C24:i5.(X)KING-19 used command '/ExitAct'.
[19:14:40	]C24:i5.(X)KING-19 used command '/CP hani yaklaşmadıkca beyaz gözüküyorya'.
[19:14:48	]C24:i5.TAP-54 used command '/CP yaklaş o zaman'.
[19:14:51	]C24:i5.TAP-54 used command '/ExitAct'.
[19:15:03	]C24:i5.TAP-54 used command '/CP neyse biliyon zaten camdan çar çıplak seni izliyo'.
[19:15:06	]C24:i5.TAP-54 used command '/ActStand 3'.
[19:15:16	][Y] C24:i5.TAP-54: Bu melodiyi aklımdan çıkaramıyorum... *Islık*.
[19:15:17	]C24:i5.(X)KING-19 used command '/CP yok aga gözükmüyo'.
[19:15:25	]C24:i5.TAP-54 used command '/CP sölüyom ya görmüyon diye zaten'.
[19:15:37	]C24:i5.(X)KING-19 used command '/ActLean 2'.
[19:15:40	]C24:i5.(X)KING-19 used command '/ActLean 2'.
[19:15:42	]C24:i5.(X)KING-19 used command '/ActLean 2'.
[19:15:49	]C24:i5.(X)KING-19 used command '/ActLean 2'.
[19:15:59	]C24:i5.TAP-54 used command '/Radio 10-8; :)'.
[19:16:00	]C24:i5.TAP-54 used command '/ExitAct'.
[19:16:01	]C24:i5.(X)KING-19 used command '/CP senin çar amk kaç yaşında dede çıkta bi gülim'.
[19:16:07	]C24:i5.TAP-54 used command '/CP seninki 30'.
[19:16:13	]C24:i5.(X)KING-19 used command '/CP benimki yarrak 30'.
[19:16:19	]C24:i5.TAP-54 used command '/CP öyle'.
[19:16:26	]C24:i5.(X)KING-19 used command '/CP değil düş az'.
[19:16:29	]C24:i5.TAP-54 used command '/CP 25'.
[19:16:33	]C24:i5.(X)KING-19 used command '/CP çık'.
[19:16:36	]C24:i5.(X)KING-19 used command '/CP çık'.
[19:16:39	]C24:i5.TAP-54 used command '/CP 27'.
[19:16:41	]C24:i5.TAP-54 used command '/CP 27'.
[19:16:49	]C24:i5.(X)KING-19 used command '/CP 27 yaşında benim çar'.
[19:16:54	]C24:i5.TAP-54 used command '/CP benimkide 27'.
[19:16:58	]C24:i5.(X)KING-19 used command '/CP siktir lan'.
[19:17:00	]C24:i5.(X)KING-19 used command '/CP siktir lan'.
[19:17:05	][IC] C24:i5.TAP-54: <:: Prensesler diyarı. ::>
[19:17:15	][IC] C24:i5.TAP-54: <:: Haha. ::>
[19:17:21	][ME] C24:i5.(X)KING-19: Elini yumruk yapar ve biraz göz gezdirir.
[19:17:30	]C24:i5.TAP-54 used command '/CP o zaman izle hareketi'.
[19:17:35	]Kaan loaded the character 'Vladimir Sokolov'
[19:17:36	]C24:i5.(X)KING-19 used command '/CP hangi hareket'.
[19:17:40	]Vladimir Sokolov is fully healed.
[19:18:02	]Vladimir Sokolov used command '/PM king allah rızası için plaza kapıyı açın abi'.
[19:18:06	]C24:i5.(X)KING-19 used command '/PM STEAM_0:1:448976614 piç vurmaya gelcek'.
[19:18:12	]Vladimir Sokolov used command '/Reply yok'.
[19:18:16	]Vladimir Sokolov used command '/Reply kapı açın'.
[19:18:19	]C24:i5.(X)KING-19 used command '/PM STEAM_0:1:448976614 açamam'.
[19:18:25	]Vladimir Sokolov used command '/Reply şehire giriş yok amk'.
[19:18:42	]C24:i5.(X)KING-19 used command '/PM STEAM_0:1:448976614 napak geç Sk ya rollü şekilde aç'.
[19:19:02	]Vladimir Sokolov ran 'PackUp' on item 'Çalışma Tezgahı' (#166634)
[19:19:05	]C24:i5.(X)KING-19 used command '/ExitAct'.
[19:19:21	]Kaan loaded the character 'C24:i5.TAP-54'
[19:19:29	]C24:i5.(X)KING-19 used command '/ActSit 2'.
[19:19:50	][IC] C24:i5.TAP-54: <:: Prensesler diyarına uçup gideceğiz. ::>
[19:20:00	]C24:i5.(X)KING-19 used command '/CP amk oğlu kapıyı açmaya gidiyo kendine'.
[19:20:03	]C24:i5.TAP-54 used command '/CP tabiki'.
[19:20:20	]C24:i5.(X)KING-19 used command '/CP benim karaktere bi sik yapaman bu arada checkcrime var haberin olsun'.
[19:20:30	]C24:i5.(X)KING-19 used command '/CP başka çarda iken'.
[19:20:32	]C24:i5.(X)KING-19 used command '/CP başka çarda iken'.
[19:20:36	]Kaan loaded the character 'Vladimir Sokolov'
[19:20:42	]Vladimir Sokolov used command '/PM king ck vakti'.
[19:20:59	]C24:i5.(X)KING-19 used command '/PM vla aga yapma sikmiim'.
[19:21:05	]Vladimir Sokolov ran 'Open' on item 'CWU PDA' (#149096)
[19:21:06	]C24:i5.(X)KING-19 used command '/ExitAct'.
[19:21:20	][Y] Vladimir Sokolov: Bu melodiyi aklımdan çıkaramıyorum... *Islık*.
[19:21:29	][IC] Vladimir Sokolov: Maşallah.
[19:21:35	]C24:i5.(X)KING-19 used command '/PM Vla safe'.
[19:21:36	][IC] Vladimir Sokolov: Sivil korumalarda ilik.
[19:21:43	]Vladimir Sokolov used command '/Reply çar sadece sana yürücekti niye kaçtınki'.
[19:21:55	]Vladimir Sokolov ran 'RequestCp' on item 'Talep Cihazı' (#149085)
[19:21:59	]C24:i5.(X)KING-19 used command '/CP vla yürücekti derken yanımdan geçme anlamında dimi dfgölşmfdş,g'.
[19:22:07	]C24:i5.(X)KING-19 used command '/PM vla yürücekti derken yanımdan geçme anlamında dimi dfgölşmfdş,g'.
[19:22:11	]Vladimir Sokolov used command '/ActStand'.
[19:22:15	]Vladimir Sokolov used command '/ExitAct'.
[19:22:17	]Vladimir Sokolov used command '/ActStand 4'.
[19:22:21	]C24:i5.(X)KING-19 used command '/PM Vla bakamaz kardeşim'.
[19:22:24	]Vladimir Sokolov used command '/Reply bakacan'.
[19:22:32	]C24:i5.(X)KING-19 used command '/PM vla sikimin keyfi'.
[19:22:34	]Vladimir Sokolov used command '/Reply özellikle güzel birim dedim'.
[19:22:43	]C24:i5.(X)KING-19 used command '/PM vla bakmıom'.
[19:22:44	][Y] Vladimir Sokolov: Güzel bir birim yok sanırım.
[19:22:52	]Vladimir Sokolov used command '/ExitAct'.
[19:23:05	]Barış loaded the character 'C24:RCT.YELLO-36'
[19:23:33	]Vladimir Sokolov used command '/Reply abi role girmiceksen çıkim ben'.
[19:23:36	][IC] C24:RCT.YELLO-36: <:: He söyle bilader. ::>
[19:23:42	][LOOC] C24:RCT.YELLO-36: MKLÖDFGNGLİNFD
[19:23:45	][LOOC] Vladimir Sokolov: SDJPFASHIDFSDAF
[19:23:47	][IC] C24:RCT.YELLO-36: <:: Güzel birim dedin. ::>
[19:23:48	][IC] C24:RCT.YELLO-36: <:: Geldik. ::>
[19:23:49	][IC] C24:RCT.YELLO-36: <:: Söyle. ::>
[19:23:50	][IC] Vladimir Sokolov: MERABA GÜZEL BİRİM.
[19:23:53	][IC] C24:RCT.YELLO-36: <:: Haha. ::>
[19:23:55	][IC] C24:RCT.YELLO-36: <:: Ne oldu. ::>
[19:23:56	][IC] Vladimir Sokolov: İş varmıdır.
[19:24:01	][IC] Vladimir Sokolov: Kredi lazım açız.
[19:24:01	][IC] C24:RCT.YELLO-36: <:: Çöp topla. ::>
[19:24:05	][IC] Vladimir Sokolov: Tamam.
[19:24:07	][IC] C24:RCT.YELLO-36: <:: Babasını veririz. ::>
[19:24:10	][IC] C24:RCT.YELLO-36: <:: Sen git topla. ::>
[19:24:16	]C24:RCT.YELLO-36 used command '/PM vla LİŞMDFİKGMFDGMFDMGFŞLDMG'.
[19:24:19	]Vladimir Sokolov used command '/Reply oc'.
[19:24:22	]Vladimir Sokolov used command '/Reply geç lan çarına'.
[19:24:24	]Vladimir Sokolov opened the 'Çöp Kutusu' #10952 container.
[19:24:25	]Vladimir Sokolov closed the 'Çöp Kutusu' #10952 container.
[19:24:25	]Vladimir Sokolov opened the 'Çöp Kutusu' #10952 container.
[19:24:27	]Vladimir Sokolov has gained a 'Bilgisayar Monitörü' #166461 from a container with the name 'Çöp Kutusu' #10952.
[19:24:28	]Vladimir Sokolov closed the 'Çöp Kutusu' #10952 container.
[19:24:33	]C24:RCT.YELLO-36 used command '/PM vla kanka siktir git 54 geç amk sk da rol yapıyoz'.
[19:24:36	]Vladimir Sokolov used command '/Reply i5 geçer sikerim çarını'.
[19:24:41	]C24:RCT.YELLO-36 used command '/PM vla'.
[19:24:44	]Vladimir Sokolov used command '/Reply ya geç bi kardeşim'.
[19:24:44	]C24:RCT.YELLO-36 used command '/PM vla you cant'.
[19:24:47	]Barış has unloaded their "C24:RCT.YELLO-36" character.
[19:24:50	]Barış loaded the character 'C24:i5.(X)KING-19'
[19:24:54	]Vladimir Sokolov used command '/Reply ya geç bi kardeşim'.
[19:24:57	]C24:i5.(X)KING-19 used command '/PM vla you cant'.
[19:24:57	]Vladimir Sokolov has gained a 'Kırık TV Monitörü' #166919.
[19:25:03	]C24:i5.(X)KING-19 used command '/PM vla you cant fuck my 19'.
[19:25:13	]Vladimir Sokolov has gained a 'Ahşap Çubuk' #166920.
