[14:05:52	]Jaslyiaa UwU has connected.
[16:44:39	]Keskin Çaycı ran 'combine' on item 'Plastik Çöp' (#166496)
[16:44:45	]Keskin Çaycı ran 'take' on item 'Kahverengi Ayakkabı' (#166689)
[16:44:45	]Keskin Çaycı has gained a 'Kahverengi Ayakkabı' #166689.
[16:44:55	]Keskin Çaycı has performed the 'Craft Parçala: Kahverengi Ayakkabı' action, gaining 25 experience in crafting.
[16:45:37	]Keskin Çaycı has taken 3 damage from worldspawn.
[16:45:50	]Keskin Çaycı ran 'take' on item 'Boş Bira Şişesi' (#166164)
[16:45:50	]Keskin Çaycı has gained a 'Boş Bira Şişesi' #166164.
[16:45:57	]Keskin Çaycı ran 'take' on item 'Cam kırıkları' (#166691)
[16:45:58	]Barış has connected.
[16:46:13	]Keskin Çaycı has performed the 'Craft Parçala: Bira Şişesi' action, gaining 20 experience in crafting.
[16:46:14	]Keskin Çaycı ran 'take' on item 'Cam kırıkları' (#166691)
[16:46:14	]Keskin Çaycı has gained a 'Cam kırıkları' #166691.
[16:46:18	]Keskin Çaycı ran 'combine' on item 'Cam kırıkları' (#166659)
[16:46:24	]Keskin Çaycı has performed the 'Craft Parçala: Boş Breen'in Suyu' action, gaining 20 experience in crafting.
[16:46:26	]Keskin Çaycı has performed the 'Craft Parçala: Boş Kupa' action, gaining 20 experience in crafting.
[16:46:58	]Barış loaded the character 'Ahmet Çakar'
[16:47:03	]Ahmet Çakar is fully healed.
[16:47:27	]Keskin Çaycı ran 'take' on item 'Boş Breen'in Suyu' (#166290)
[16:47:27	]Keskin Çaycı has gained a 'Boş Breen'in Suyu' #166290.
[16:47:32	]Barış has unloaded their "Ahmet Çakar" character.
[16:47:43	]Keskin Çaycı ran 'Unlock' on item 'Daire Anahtarı' (#166514)
[16:47:47	]Keskin Çaycı ran 'Lock' on item 'Daire Anahtarı' (#166514)
[16:47:49	]Keskin Çaycı opened the 'Buzdolabı' #10442 container.
[16:47:52	]Keskin Çaycı has transferred a 'Mutfak Bıçağı' #163713 to a container with the name 'Buzdolabı' #10442.
[16:47:55	]Keskin Çaycı ran 'combine' on item 'Vida Kutusu' (#166490)
[16:47:58	]Keskin Çaycı ran 'combine' on item 'Çivi Kutusu' (#166478)
[16:48:03	]Keskin Çaycı has transferred a 'Bilgisayar Parçaları' #166676 to a container with the name 'Buzdolabı' #10442.
[16:48:04	]Keskin Çaycı has transferred a 'Bilgisayar Parçaları' #166650 to a container with the name 'Buzdolabı' #10442.
[16:48:12	]Keskin Çaycı has transferred a 'Plastik Levhalar' #166466 to a container with the name 'Buzdolabı' #10442.
[16:48:17	]Keskin Çaycı ran 'combine' on item 'Elektronik devreler' (#166489)
[16:48:20	]Keskin Çaycı has transferred a 'Hurda Metal' #166656 to a container with the name 'Buzdolabı' #10442.
[16:48:22	]Keskin Çaycı has transferred a 'Metal Dişli' #166672 to a container with the name 'Buzdolabı' #10442.
[16:48:26	]Keskin Çaycı has transferred a 'Cam kırıkları' #166659 to a container with the name 'Buzdolabı' #10442.
[16:48:31	]Keskin Çaycı closed the 'Buzdolabı' #10442 container.
[16:48:36	]Keskin Çaycı ran 'Unlock' on item 'Daire Anahtarı' (#166514)
[16:48:39	]Keskin Çaycı ran 'Lock' on item 'Daire Anahtarı' (#166514)
[16:48:42	]Keskin Çaycı ran 'Lock' on item 'Daire Anahtarı' (#166514)
[16:48:44	]Keskin Çaycı ran 'Unlock' on item 'Daire Anahtarı' (#166514)
[16:48:46	]Keskin Çaycı ran 'drop' on item 'Daire Anahtarı' (#166514)
[16:48:46	]Keskin Çaycı has lost a 'Daire Anahtarı' #166514.
[16:48:50	]Keskin Çaycı ran 'take' on item 'Daire Anahtarı' (#166514)
[16:48:50	]Keskin Çaycı has gained a 'Daire Anahtarı' #166514.
[16:48:54	]Keskin Çaycı ran 'Lock' on item 'Daire Anahtarı' (#166514)
[16:49:07	]Keskin Çaycı has gained level 5 in the Hız skill.
[16:49:21	]Keskin Çaycı has performed the 'Craft Parçala: Boş Breen'in Suyu' action, gaining 20 experience in crafting.
[16:49:21	]Keskin Çaycı has gained a 'Plastik Çöp' #166693.
[16:50:06	]Keskin Çaycı ran 'combine' on item 'Plastik Çöp' (#166496)
[16:50:13	]Keskin Çaycı ran 'combine' on item 'Plastik Çöp' (#166496)
[16:50:14	]Keskin Çaycı ran 'combine' on item 'Plastik Çöp' (#166693)
[16:50:19	]Keskin Çaycı ran 'combine' on item 'Plastik Çöp' (#166693)
[16:50:24	]Keskin Çaycı ran 'drop' on item 'Kırık Klavye' (#166668)
[16:50:24	]Keskin Çaycı has lost a 'Kırık Klavye' #166668.
[16:50:28	]Keskin Çaycı ran 'Unlock' on item 'Daire Anahtarı' (#166514)
[16:50:31	]Keskin Çaycı opened the 'Buzdolabı' #10442 container.
[16:50:36	]Keskin Çaycı has transferred a 'Plastik Çöp' #166496 to a container with the name 'Buzdolabı' #10442.
[16:50:37	]Keskin Çaycı has gained a 'Mutfak Bıçağı' #163713 from a container with the name 'Buzdolabı' #10442.
[16:50:39	]Keskin Çaycı closed the 'Buzdolabı' #10442 container.
[16:50:46	]Keskin Çaycı ran 'Lock' on item 'Daire Anahtarı' (#166514)
[16:51:13	]Keskin Çaycı ran 'Unlock' on item 'Daire Anahtarı' (#166514)
[16:51:17	]Keskin Çaycı opened the 'Buzdolabı' #10442 container.
[16:51:23	]Keskin Çaycı has gained a 'Çivi Kutusu' #166478 from a container with the name 'Buzdolabı' #10442.
[16:51:28	]Keskin Çaycı has gained a 'Demir' #166481 from a container with the name 'Buzdolabı' #10442.
[16:51:32	]Keskin Çaycı has gained a 'Vida Kutusu' #166490 from a container with the name 'Buzdolabı' #10442.
[16:51:33	]Keskin Çaycı has transferred a 'Çivi Kutusu' #166478 to a container with the name 'Buzdolabı' #10442.
[16:51:34	]Keskin Çaycı closed the 'Buzdolabı' #10442 container.
[16:52:02	]Keskin Çaycı ran 'Lock' on item 'Daire Anahtarı' (#166514)
[16:52:37	]Keskin Çaycı opened the 'Çöp Konteyneri' #10261 container.
[16:52:37	]Keskin Çaycı closed the 'Çöp Konteyneri' #10261 container.
[16:52:38	]Keskin Çaycı opened the 'Çöp Konteyneri' #10261 container.
[16:52:39	]Keskin Çaycı closed the 'Çöp Konteyneri' #10261 container.
[16:52:39	]Keskin Çaycı opened the 'Çöp Konteyneri' #10261 container.
[16:52:40	]Keskin Çaycı closed the 'Çöp Konteyneri' #10261 container.
[16:52:41	]Keskin Çaycı opened the 'Çöp Konteyneri' #10261 container.
[16:52:44	]Keskin Çaycı closed the 'Çöp Konteyneri' #10261 container.
[16:52:58	]Barış has gone afk.
[16:53:03	]Keskin Çaycı ran 'take' on item 'Boş Kavanoz' (#164079)
[16:53:03	]Keskin Çaycı has gained a 'Boş Kavanoz' #164079.
[16:53:17	]Keskin Çaycı has performed the 'Craft Parçala: Boş Kavanoz' action, gaining 20 experience in crafting.
[16:53:17	]Keskin Çaycı has gained a 'Plastik Çöp' #166694.
[16:53:35	]Keskin Çaycı has gained a 'Kırık Biyokilit' #166695.
[16:53:45	]Keskin Çaycı has performed the 'Craft Parçala: Kırık Biyokilit' action, gaining 20 experience in crafting.
[16:53:45	]Keskin Çaycı has gained a 'Çivi Kutusu' #166696.
[16:53:45	]Keskin Çaycı has gained a 'Elektronik devreler' #166697.
[16:53:45	]Keskin Çaycı has gained a 'Hurda Metal' #166698.
[16:55:12	]Keskin Çaycı has gained a 'Buzdolabı Kapağı' #166699.
[16:55:46	]Barış loaded the character 'Ahmet Çakar'
[16:55:46	]Ahmet Çakar is no longer afk. Total time spent AFK: 465
[16:55:58	]Barış has unloaded their "Ahmet Çakar" character.
[16:56:03	]Keskin Çaycı has performed the 'Craft Eğreti Bandaj Rulosu' action, gaining 50 experience in crafting.
[16:56:03	]Keskin Çaycı has gained a 'El Yapımı Bandaj Rulosu' #166700.
[16:56:05	]Keskin Çaycı has performed the 'Craft Eğreti Bandaj Rulosu' action, gaining 50 experience in crafting.
[16:56:05	]Keskin Çaycı has gained a 'El Yapımı Bandaj Rulosu' #166701.
[16:58:30	]Keskin Çaycı ran 'take' on item 'Kırık Biyokilit' (#166429)
[16:58:36	]Keskin Çaycı ran 'drop' on item 'Buzdolabı Kapağı' (#166699)
[16:58:36	]Keskin Çaycı has lost a 'Buzdolabı Kapağı' #166699.
[16:58:37	]Keskin Çaycı ran 'take' on item 'Kırık Biyokilit' (#166429)
[16:58:37	]Keskin Çaycı has gained a 'Kırık Biyokilit' #166429.
[16:58:38	]Keskin Çaycı ran 'combine' on item 'El Yapımı Bandaj Rulosu' (#166700)
[16:58:56	]Keskin Çaycı has performed the 'Craft Parçala: Kırık Biyokilit' action, gaining 20 experience in crafting.
[16:59:03	]Barış loaded the character 'Ahmet Çakar'
[16:59:12	]Barış has unloaded their "Ahmet Çakar" character.
[16:59:19	]Keskin Çaycı has gained a 'Bilgisayar Monitörü' #166702.
[16:59:19	]Keskin Çaycı has gained a 'Karton Kutu' #166703.
[16:59:22	]Keskin Çaycı ran 'drop' on item 'Bilgisayar Monitörü' (#166702)
[16:59:22	]Keskin Çaycı has lost a 'Bilgisayar Monitörü' #166702.
[16:59:31	]Keskin Çaycı has performed the 'Craft Parçala: Karton Kutu' action, gaining 30 experience in crafting.
[17:00:02	]Keskin Çaycı is fully healed.
[17:00:44	]Keskin Çaycı has gained a 'Boş Paket Servis' #166704.
[17:01:17	]Keskin Çaycı opened the 'Çöp Kutusu' #10952 container.
[17:01:20	]Keskin Çaycı has gained a 'Boş Bira Şişesi' #166434 from a container with the name 'Çöp Kutusu' #10952.
[17:01:22	]Keskin Çaycı closed the 'Çöp Kutusu' #10952 container.
[17:01:29	]Keskin Çaycı used command '/ExitAct'.
[17:06:47	]Keskin Çaycı has gone afk.
[17:07:01	]Barış loaded the character 'Ahmet Çakar'
[17:07:09	]Barış has unloaded their "Ahmet Çakar" character.
[17:12:16	]Handschar | Leibs has connected.
[17:14:45	]Handschar | Leibs loaded the character 'Handschar | Leibstandarte'
[17:14:50	]Handschar | Leibstandarte is fully healed.
[17:15:04	]Handschar | Leibstandarte entered observer.
[17:15:09	]Handschar | Leibstandarte exited observer at their location.
[17:15:14	]Handschar | Leibs has unloaded their "Handschar | Leibstandarte" character.
[17:15:59	]Handschar | Leibs (STEAM_0:1:549390708) deleted character 'Deneme(OOC)Karakteri'
[17:16:01	]Handschar | Leibs (STEAM_0:1:549390708) deleted character 'Küçük bir kuş'
[17:16:05	]Handschar | Leibs loaded the character 'C24:i3.KING-20'
[17:16:09	]C24:i3.KING-20 is fully healed.
[17:16:11	]C24:i3.KING-20 entered observer.
[17:16:12	]C24:i3.KING-20 exited observer at their location.
[17:16:16	]C24:i3.KING-20 entered observer.
[17:16:22	]C24:i3.KING-20 exited observer at their location.
[17:20:10	]C24:i3.KING-20 entered observer.
[17:20:15	]C24:i3.KING-20 entered observer.
[17:20:17	]Keskin Çaycı is no longer afk. Total time spent AFK: 1105
[17:20:18	]C24:i3.KING-20 exited observer at their location.
[17:22:17	]C24:i3.KING-20 entered observer.
[17:22:21	]C24:i3.KING-20 exited observer at their location.
[17:22:57	]C24:i3.KING-20 entered observer.
[17:23:07	]C24:i3.KING-20 exited observer at their location.
[17:23:20	]Handschar | Leibs (STEAM_0:1:549390708) has disconnected.
[17:25:17	]Keskin Çaycı has gone afk.
[17:26:13	]Kadim Dost SvJ (STEAM_0:1:451934332) has disconnected (timed out).
[17:32:31	]Barış has gone afk.
[17:41:13	]Barış loaded the character 'Ahmet Çakar'
[17:41:13	]Ahmet Çakar is no longer afk. Total time spent AFK: 820
[17:41:27	]Barış has unloaded their "Ahmet Çakar" character.
[17:44:29	]Barış loaded the character 'C24:i5.(X)KING-19'
[17:46:18	]Barış (STEAM_0:0:195372324) has disconnected.
[18:15:17	]Kadim Dost SvJ has connected.
[18:16:26	]Kadim Dost SvJ loaded the character 'Keskin Çaycı'
[18:16:44	]Keskin Çaycı opened the 'Çöp Kutusu' #10953 container.
[18:16:46	]Keskin Çaycı closed the 'Çöp Kutusu' #10953 container.
[18:17:07	]Keskin Çaycı has gained a 'Eski Lastik' #166705.
[18:17:17	]Keskin Çaycı has performed the 'Craft Parçala: Bira Şişesi' action, gaining 20 experience in crafting.
[18:17:17	]Keskin Çaycı has gained a 'Cam kırıkları' #166706.
[18:17:20	]Keskin Çaycı has performed the 'Craft Parçala: Boş Paket Servis' action, gaining 20 experience in crafting.
[18:17:54	]Keskin Çaycı ran 'drop' on item 'Eski Lastik' (#166705)
[18:17:54	]Keskin Çaycı has lost a 'Eski Lastik' #166705.
[18:18:02	]Keskin Çaycı has gained a 'Boş Viski Şişesi' #166707.
[18:18:12	]Keskin Çaycı has performed the 'Craft Parçala: Viski Şişesi' action, gaining 20 experience in crafting.
[18:18:17	]Keskin Çaycı ran 'take' on item 'Kırık Lamba' (#166295)
[18:18:17	]Keskin Çaycı has gained a 'Kırık Lamba' #166295.
[18:19:10	]Keskin Çaycı ran 'drop' on item 'Kırık Lamba' (#166295)
[18:19:10	]Keskin Çaycı has lost a 'Kırık Lamba' #166295.
[18:21:55	]Keskin Çaycı ran 'split' on item 'El Yapımı Bandaj Rulosu' (#166701)
[18:21:55	]Keskin Çaycı has gained a 'El Yapımı Bandaj Rulosu' #166708.
[18:21:55	]Keskin Çaycı has gained a 'Boş Sağlık Şişesi' #166709.
[18:21:58	]Keskin Çaycı ran 'combine' on item 'El Yapımı Bandaj Rulosu' (#166701)
[18:22:00	]Keskin Çaycı ran 'use' on item 'El Yapımı Bandaj Rulosu' (#166701)
[18:22:00	]Keskin Çaycı has performed the 'Use El Yapımı Bandaj Rulosu' action, gaining 10 experience in medicine.
[18:22:00	]Keskin Çaycı was bandaged by Keskin Çaycı for 11 HP.
[18:22:11	]Keskin Çaycı has performed the 'Craft Parçala: Boş Sağlık Şişesi' action, gaining 20 experience in crafting.
[18:22:47	]Keskin Çaycı has gained a 'Bilgisayar Parçaları' #166710.
[18:22:47	]Keskin Çaycı has gained a 'Boş Bourbon Şişesi' #166711.
[18:23:11	]Keskin Çaycı has performed the 'Craft Parçala: Bourbon Şişesi' action, gaining 20 experience in crafting.
[18:23:13	]Keskin Çaycı ran 'take' on item 'Boş Plastik Sürahi' (#166712)
[18:23:13	]Keskin Çaycı has gained a 'Boş Plastik Sürahi' #166712.
[18:23:17	]Keskin Çaycı ran 'take' on item 'Cam kırıkları' (#166713)
[18:23:17	]Keskin Çaycı has gained a 'Cam kırıkları' #166713.
[18:23:26	]Keskin Çaycı has performed the 'Craft Parçala: Boş Plastik Sürahi' action, gaining 20 experience in crafting.
[18:23:44	]Keskin Çaycı ran 'take' on item 'Boş Süt Kartonu' (#166714)
[18:23:44	]Keskin Çaycı has gained a 'Boş Süt Kartonu' #166714.
[18:23:46	]Keskin Çaycı ran 'take' on item 'Yapıştırıcı' (#166715)
[18:23:46	]Keskin Çaycı has gained a 'Yapıştırıcı' #166715.
[18:23:50	]Keskin Çaycı ran 'combine' on item 'Yapıştırıcı' (#159698)
[18:23:51	]Keskin Çaycı ran 'combine' on item 'Cam kırıkları' (#166706)
[18:24:03	]Keskin Çaycı has performed the 'Craft Parçala: Boş Süt Kartonu' action, gaining 25 experience in crafting.
[18:24:19	]Keskin Çaycı has gained a 'Bitki Saksısı' #166716.
[18:24:31	]Keskin Çaycı has performed the 'Craft Parçala: Bitki Saksısı' action, gaining 40 experience in crafting.
[18:24:57	]Keskin Çaycı ran 'take' on item 'Plastik Levhalar' (#166719)
[18:24:57	]Keskin Çaycı has gained a 'Plastik Levhalar' #166719.
[18:24:57	]Keskin Çaycı ran 'take' on item 'Cam kırıkları' (#166718)
[18:24:57	]Keskin Çaycı has gained a 'Cam kırıkları' #166718.
[18:24:59	]Keskin Çaycı ran 'take' on item 'Boş Votka Şişesi' (#166717)
[18:24:59	]Keskin Çaycı has gained a 'Boş Votka Şişesi' #166717.
[18:25:04	]Keskin Çaycı ran 'combine' on item 'Cam kırıkları' (#166706)
[18:25:15	]Keskin Çaycı has performed the 'Craft Parçala: Vodka Şişesi' action, gaining 20 experience in crafting.
[18:25:35	]Keskin Çaycı has gained a 'Boş Kahverengi Şişe' #166720.
[18:25:38	]Keskin Çaycı has performed the 'Craft Parçala: Boş Kahverengi Şişe' action, gaining 20 experience in crafting.
[18:26:12	]Keskin Çaycı has gained a 'Araba Aküsü' #166722.
[18:26:31	]Keskin Çaycı ran 'drop' on item 'Araba Aküsü' (#166722)
[18:26:31	]Keskin Çaycı has lost a 'Araba Aküsü' #166722.
[18:27:51	]Keskin Çaycı has taken 1 damage from worldspawn.
[18:28:13	]Keskin Çaycı ran 'take' on item 'Cam kırıkları' (#166725)
[18:28:13	]Keskin Çaycı has gained a 'Cam kırıkları' #166725.
[18:28:17	]Keskin Çaycı ran 'combine' on item 'Cam kırıkları' (#166706)
[18:28:18	]Keskin Çaycı opened the 'Çöp Konteyneri' #10437 container.
[18:28:21	]Keskin Çaycı closed the 'Çöp Konteyneri' #10437 container.
[18:28:22	]Keskin Çaycı opened the 'Gecekondu Kişisel Depo' stash.
[18:28:26	]Keskin Çaycı closed the 'Gecekondu Kişisel Depo' stash.
[18:29:45	]Keskin Çaycı ran 'Unlock' on item 'Daire Anahtarı' (#166514)
[18:29:50	]Keskin Çaycı ran 'Lock' on item 'Daire Anahtarı' (#166514)
[18:29:54	]Keskin Çaycı opened the 'Buzdolabı' #10442 container.
[18:29:58	]Keskin Çaycı ran 'combine' on item 'Plastik Levhalar' (#166466)
[18:30:00	]Keskin Çaycı ran 'combine' on item 'Plastik Çöp' (#166496)
[18:30:02	]Keskin Çaycı has transferred a 'Plastik Çöp' #166694 to a container with the name 'Buzdolabı' #10442.
[18:30:04	]Keskin Çaycı has transferred a 'Plastik Çöp' #166693 to a container with the name 'Buzdolabı' #10442.
[18:30:05	]Keskin Çaycı ran 'combine' on item 'Plastik Çöp' (#166496)
[18:30:07	]Keskin Çaycı ran 'combine' on item 'Plastik Çöp' (#166693)
[18:30:13	]Keskin Çaycı ran 'combine' on item 'Hurda Metal' (#166656)
[18:30:17	]Keskin Çaycı ran 'combine' on item 'Çivi Kutusu' (#166478)
[18:30:20	]Keskin Çaycı closed the 'Buzdolabı' #10442 container.
[18:30:20	]Keskin Çaycı opened the 'Buzdolabı' #10442 container.
[18:30:25	]Keskin Çaycı has transferred a 'Vida Kutusu' #166490 to a container with the name 'Buzdolabı' #10442.
[18:30:28	]Keskin Çaycı ran 'combine' on item 'Elektronik devreler' (#166489)
[18:30:31	]Keskin Çaycı has transferred a 'Bez Paçavralar' #163501 to a container with the name 'Buzdolabı' #10442.
[18:30:34	]Keskin Çaycı has transferred a 'Demir' #166481 to a container with the name 'Buzdolabı' #10442.
[18:30:35	]Keskin Çaycı has transferred a 'Bilgisayar Parçaları' #166710 to a container with the name 'Buzdolabı' #10442.
[18:30:37	]Keskin Çaycı ran 'combine' on item 'Cam kırıkları' (#166659)
[18:30:41	]Keskin Çaycı has transferred a 'Yapıştırıcı' #159698 to a container with the name 'Buzdolabı' #10442.
[18:30:42	]Keskin Çaycı has transferred a 'Mutfak Bıçağı' #163713 to a container with the name 'Buzdolabı' #10442.
[18:30:46	]Keskin Çaycı closed the 'Buzdolabı' #10442 container.
[18:30:47	]Keskin Çaycı opened the 'Buzdolabı' #10442 container.
[18:30:52	]Keskin Çaycı closed the 'Buzdolabı' #10442 container.
[18:31:05	]Keskin Çaycı ran 'Unlock' on item 'Daire Anahtarı' (#166514)
[18:36:26	]Keskin Çaycı has gone afk.
[18:44:57	]Kadim Dost SvJ (STEAM_0:1:451934332) has disconnected.
[18:55:58	]Handschar | Leibs has connected.
[18:58:47	]Handschar | Leibs loaded the character 'C24:i3.KING-20'
[18:58:59	]C24:i3.KING-20 entered observer.
[18:59:10	]C24:i3.KING-20 exited observer at their location.
[18:59:10	]C24:i3.KING-20 entered observer.
[18:59:18	]C24:i3.KING-20 has spawned a 'Entity [2197][wn_crop]'.
[18:59:18	]C24:i3.KING-20 exited observer at their location.
[18:59:20	]C24:i3.KING-20 has spawned a 'Entity [2199][wn_sunlamp]'.
[18:59:22	]C24:i3.KING-20 entered observer.
[18:59:29	][LOOC] C24:i3.KING-20: iii
[18:59:48	]C24:i3.KING-20 has spawned 'models/Combine_Helicopter/helicopter_bomb01.mdl'.
[18:59:49	]C24:i3.KING-20 exited observer at their location.
[18:59:52	]C24:i3.KING-20 has spawned 'models/Combine_Helicopter/helicopter_bomb01.mdl'.
[19:00:07	]C24:i3.KING-20 entered observer.
[19:00:07	]C24:i3.KING-20 exited observer at their location.
[19:00:08	]C24:i3.KING-20 entered observer.
[19:00:12	]C24:i3.KING-20 exited observer at their location.
[19:00:15	]C24:i3.KING-20 used command '/ToggleRaise'.
[19:00:32	]C24:i3.KING-20 used command '/ToggleRaise'.
[19:00:34	]C24:i3.KING-20 used command '/ToggleRaise'.
[19:00:35	]C24:i3.KING-20 entered observer.
[19:00:38	]C24:i3.KING-20 exited observer at their location.
[19:00:40	]C24:i3.KING-20 entered observer.
[19:00:41	]C24:i3.KING-20 exited observer at their location.
[19:00:42	]C24:i3.KING-20 entered observer.
[19:00:42	]C24:i3.KING-20 exited observer at their location.
[19:00:43	]C24:i3.KING-20 entered observer.
[19:00:44	]C24:i3.KING-20 exited observer at their location.
[19:00:45	]C24:i3.KING-20 entered observer.
[19:01:09	]C24:i3.KING-20 exited observer at their location.
[19:01:10	]C24:i3.KING-20 entered observer.
[19:01:11	]C24:i3.KING-20 exited observer at their location.
[19:01:12	]C24:i3.KING-20 entered observer.
[19:01:13	]C24:i3.KING-20 exited observer at their location.
[19:01:14	]C24:i3.KING-20 entered observer.
[19:01:14	]C24:i3.KING-20 exited observer at their location.
[19:01:15	]C24:i3.KING-20 entered observer.
[19:01:15	]C24:i3.KING-20 exited observer at their location.
[19:01:16	]C24:i3.KING-20 entered observer.
[19:01:17	]C24:i3.KING-20 exited observer at their location.
[19:01:17	]C24:i3.KING-20 entered observer.
[19:01:18	]C24:i3.KING-20 exited observer at their location.
[19:01:18	]C24:i3.KING-20 entered observer.
[19:01:18	]C24:i3.KING-20 exited observer at their location.
[19:01:18	]C24:i3.KING-20 entered observer.
[19:01:19	]C24:i3.KING-20 exited observer at their location.
[19:01:19	]C24:i3.KING-20 entered observer.
[19:01:19	]C24:i3.KING-20 exited observer at their location.
[19:01:20	]C24:i3.KING-20 entered observer.
[19:01:20	]C24:i3.KING-20 exited observer at their location.
[19:01:20	]C24:i3.KING-20 entered observer.
[19:01:20	]C24:i3.KING-20 exited observer at their location.
[19:01:21	]C24:i3.KING-20 entered observer.
[19:01:21	]C24:i3.KING-20 exited observer at their location.
[19:01:21	]C24:i3.KING-20 entered observer.
[19:01:21	]C24:i3.KING-20 exited observer at their location.
[19:01:22	]C24:i3.KING-20 entered observer.
[19:01:22	]C24:i3.KING-20 exited observer at their location.
[19:01:22	]C24:i3.KING-20 entered observer.
[19:01:22	]C24:i3.KING-20 exited observer at their location.
[19:01:23	]C24:i3.KING-20 entered observer.
[19:01:23	]C24:i3.KING-20 exited observer at their location.
[19:01:23	]C24:i3.KING-20 entered observer.
[19:01:23	]C24:i3.KING-20 exited observer at their location.
[19:01:24	]C24:i3.KING-20 entered observer.
[19:01:24	]C24:i3.KING-20 exited observer at their location.
[19:01:24	]C24:i3.KING-20 entered observer.
[19:01:27	]C24:i3.KING-20 exited observer at their location.
[19:01:29	]C24:i3.KING-20 entered observer.
[19:01:30	]C24:i3.KING-20 exited observer at their location.
[19:01:31	]C24:i3.KING-20 entered observer.
[19:01:32	]C24:i3.KING-20 exited observer at their location.
[19:01:33	]C24:i3.KING-20 entered observer.
[19:01:33	]C24:i3.KING-20 exited observer at their location.
[19:01:34	]C24:i3.KING-20 entered observer.
[19:01:53	]C24:i3.KING-20 exited observer at their location.
[19:01:54	]C24:i3.KING-20 entered observer.
[19:01:54	]C24:i3.KING-20 exited observer at their location.
[19:01:56	]C24:i3.KING-20 entered observer.
[19:01:57	]C24:i3.KING-20 exited observer at their location.
[19:01:58	]C24:i3.KING-20 entered observer.
[19:02:09	]C24:i3.KING-20 exited observer at their location.
[19:02:10	]C24:i3.KING-20 entered observer.
[19:02:10	]C24:i3.KING-20 exited observer at their location.
[19:02:11	]C24:i3.KING-20 entered observer.
[19:02:11	]C24:i3.KING-20 exited observer at their location.
[19:02:12	]C24:i3.KING-20 entered observer.
[19:02:12	]C24:i3.KING-20 exited observer at their location.
[19:02:13	]C24:i3.KING-20 entered observer.
[19:02:13	]C24:i3.KING-20 exited observer at their location.
[19:02:14	]C24:i3.KING-20 entered observer.
[19:02:14	]C24:i3.KING-20 exited observer at their location.
[19:02:15	]C24:i3.KING-20 entered observer.
[19:02:15	]C24:i3.KING-20 exited observer at their location.
[19:02:15	]C24:i3.KING-20 entered observer.
[19:02:15	]C24:i3.KING-20 exited observer at their location.
[19:02:16	]C24:i3.KING-20 entered observer.
[19:02:24	]C24:i3.KING-20 exited observer at their location.
[19:02:25	]C24:i3.KING-20 entered observer.
[19:02:25	]C24:i3.KING-20 exited observer at their location.
[19:02:31	]C24:i3.KING-20 entered observer.
[19:02:33	]C24:i3.KING-20 exited observer at their location.
[19:02:35	]C24:i3.KING-20 entered observer.
[19:02:53	]C24:i3.KING-20 exited observer at their location.
[19:03:30	]C24:i3.KING-20 entered observer.
[19:03:45	]C24:i3.KING-20 entered observer.
[19:04:06	]C24:i3.KING-20 exited observer at their location.
[19:04:17	]C24:i3.KING-20 ran 'take' on item 'Boş Kavanoz' (#166578)
[19:04:17	]C24:i3.KING-20 has gained a 'Boş Kavanoz' #166578.
[19:04:18	]C24:i3.KING-20 ran 'take' on item 'Boş Breen'in Suyu' (#166579)
[19:04:18	]C24:i3.KING-20 has gained a 'Boş Breen'in Suyu' #166579.
[19:04:21	]C24:i3.KING-20 ran 'take' on item 'Boş Kavanoz' (#166459)
[19:04:21	]C24:i3.KING-20 has gained a 'Boş Kavanoz' #166459.
[19:04:22	]C24:i3.KING-20 ran 'take' on item 'Boş Kavanoz' (#166506)
[19:04:22	]C24:i3.KING-20 has gained a 'Boş Kavanoz' #166506.
[19:04:23	]C24:i3.KING-20 ran 'take' on item 'Boş Breen'in Suyu' (#166460)
[19:04:23	]C24:i3.KING-20 has gained a 'Boş Breen'in Suyu' #166460.
[19:04:25	]C24:i3.KING-20 entered observer.
[19:04:45	]C24:i3.KING-20 used command '/ToggleRaise'.
[19:04:47	]C24:i3.KING-20 exited observer at their location.
[19:04:49	]C24:i3.KING-20 ran 'drop' on item 'Boş Kavanoz' (#166578)
[19:04:49	]C24:i3.KING-20 has lost a 'Boş Kavanoz' #166578.
[19:04:50	]C24:i3.KING-20 ran 'drop' on item 'Boş Breen'in Suyu' (#166579)
[19:04:50	]C24:i3.KING-20 has lost a 'Boş Breen'in Suyu' #166579.
[19:04:50	]C24:i3.KING-20 ran 'drop' on item 'Boş Kavanoz' (#166506)
[19:04:50	]C24:i3.KING-20 has lost a 'Boş Kavanoz' #166506.
[19:04:51	]C24:i3.KING-20 ran 'drop' on item 'Boş Kavanoz' (#166459)
[19:04:51	]C24:i3.KING-20 has lost a 'Boş Kavanoz' #166459.
[19:04:51	]C24:i3.KING-20 destroyed a 'Boş Kavanoz' #166578.
[19:04:52	]C24:i3.KING-20 destroyed a 'Boş Kavanoz' #166459.
[19:04:54	]C24:i3.KING-20 destroyed a 'Boş Kavanoz' #166506.
[19:04:55	]C24:i3.KING-20 destroyed a 'Boş Breen'in Suyu' #166579.
[19:04:55	]C24:i3.KING-20 entered observer.
[19:05:01	]C24:i3.KING-20 exited observer at their location.
[19:05:04	]C24:i3.KING-20 has taken 80 damage from worldspawn.
[19:05:04	]C24:i3.KING-20 entered observer.
