[15:03:10	]Edil has connected.
[17:30:18	]S10/OWS.GHOST-54 has gained a 'SMG Mermisi' #65982.
[17:30:33	]S10/OWS.GHOST-54 ran 'drop' on item 'SMG Mermisi' (#65976)
[17:30:33	]S10/OWS.GHOST-54 has lost a 'SMG Mermisi' #65976.
[17:30:34	]S10/OWS.GHOST-54 ran 'drop' on item 'Onarım Kaplaması' (#62564)
[17:30:34	]S10/OWS.GHOST-54 has lost a 'Onarım Kaplaması' #62564.
[17:30:36	]S10/OWS.GHOST-54 destroyed a 'Onarım Kaplaması' #62564.
[17:30:37	]S10/OWS.GHOST-54 destroyed a 'SMG Mermisi' #65976.
[17:30:39	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[17:30:47	]S10/OWS.GHOST-54 has gained 0 chips.
[17:30:47	]S10/OWS.GHOST-54 has gained a 'Onarım Kaplaması' #65983.
[17:31:08	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'Rappel Gear' (#61351)
[17:31:20	]S10/OWS.GHOST-54 ran 'Equip' on item 'Frag Grenade' (#62425)
[17:31:31	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'Frag Grenade' (#62425)
[17:31:32	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[17:31:34	]S10/OWS.GHOST-54 has gained 0 chips.
[17:31:34	]S10/OWS.GHOST-54 has gained a 'Flash Grenade' #65984.
[17:31:38	]S10/OWS.GHOST-54 ran 'Equip' on item 'Flash Grenade' (#65984)
[17:31:47	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'Flash Grenade' (#65984)
[17:32:00	]S10/OWS.GHOST-54 ran 'drop' on item 'Frag Grenade' (#62425)
[17:32:00	]S10/OWS.GHOST-54 has lost a 'Frag Grenade' #62425.
[17:32:02	]S10/OWS.GHOST-54 destroyed a 'Frag Grenade' #62425.
[17:32:14	]S10/OWS.GHOST-54 ran 'Equip' on item 'Combine PDA' (#61348)
[17:33:41	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'Combine PDA' (#61348)
[17:33:45	]S10/OWS.GHOST-54 ran 'Equip' on item 'Frag Grenade' (#62424)
[17:33:56	]S10/OWS.GHOST-54 used command '/ActType'.
[17:34:25	]S10/OWS.GHOST-54 used command '/ExitAct'.
[17:35:56	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61367.
[17:35:56	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61384.
[17:42:12	][IC] S10/OWS.GHOST-54: <:: Extractor in 3... ::>
[17:45:10	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[17:45:18	]S10/OWS.GHOST-54 has gained 0 chips.
[17:45:18	]S10/OWS.GHOST-54 has gained a 'OTA Shotgunner Üniforması' #65985.
[17:45:38	]S10/OWS.GHOST-54 ran 'drop' on item 'OTA Mask' (#61350)
[17:45:39	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'Combine Filter' (#61354)
[17:45:40	]S10/OWS.GHOST-54 ran 'drop' on item 'OTA Mask' (#61350)
[17:45:40	]S10/OWS.GHOST-54 has lost a 'OTA Mask' #61350.
[17:45:42	]S10/OWS.GHOST-54 ran 'take' on item 'OTA Mask' (#61350)
[17:45:42	]S10/OWS.GHOST-54 has gained a 'OTA Mask' #61350.
[17:46:08	]S10/OWS.GHOST-54 ran 'drop' on item 'OTA Shotgunner Üniforması' (#65985)
[17:46:08	]S10/OWS.GHOST-54 has lost a 'OTA Shotgunner Üniforması' #65985.
[17:46:16	]S10/OWS.GHOST-54 destroyed a 'OTA Shotgunner Üniforması' #65985.
[17:46:24	]S10/OWS.GHOST-54 ran 'Equip' on item 'Combine Filter' (#61354)
[17:46:27	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[17:46:50	]S10/OWS.GHOST-54 has gained 0 chips.
[17:46:50	]S10/OWS.GHOST-54 has gained a 'Kapı Patlatma Aleti' #65986.
[17:46:58	]S10/OWS.GHOST-54 ran 'drop' on item 'Kapı Patlatma Aleti' (#65986)
[17:46:58	]S10/OWS.GHOST-54 has lost a 'Kapı Patlatma Aleti' #65986.
[17:47:00	]S10/OWS.GHOST-54 destroyed a 'Kapı Patlatma Aleti' #65986.
[17:47:03	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[17:47:10	]S10/OWS.GHOST-54 has gained 0 chips.
[17:47:38	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61384.
[17:47:38	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61367.
[17:51:09	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'MP5A3' (#61361)
[17:51:09	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61367.
[17:51:13	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'Frag Grenade' (#62424)
[17:51:20	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[17:51:25	]S10/OWS.GHOST-54 has gained 0 chips.
[17:51:25	]S10/OWS.GHOST-54 has gained a 'AR-2' #65988.
[17:51:30	]S10/OWS.GHOST-54 ran 'Equip' on item 'AR-2' (#65988)
[17:53:59	]S10/OWS.GHOST-54 used command '/ToggleRaise'.
[17:54:01	]S10/OWS.GHOST-54 used command '/ToggleRaise'.
[17:55:16	][IC] S10/OWS.GHOST-54: <:: Pressure! ::>
[17:55:30	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[17:55:34	]S10/OWS.GHOST-54 has gained 0 chips.
[17:55:34	]S10/OWS.GHOST-54 has gained a 'Pulse Rifle Enerjisi' #65989.
[17:55:44	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[17:55:57	]S10/OWS.GHOST-54 has gained 0 chips.
[17:55:57	]S10/OWS.GHOST-54 has gained a '30rnd Pulse-Şarjörü' #65990.
[17:56:01	]S10/OWS.GHOST-54 ran 'combine' on item '30rnd Pulse-Şarjörü' (#65990)
[17:56:02	]S10/OWS.GHOST-54 has lost a '30rnd Pulse-Şarjörü' #65990.
[17:56:11	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'AR-2' (#65988)
[17:56:11	]S10/OWS.GHOST-54 has gained a '30rnd Pulse-Şarjörü' #65990.
[17:56:21	]S10/OWS.GHOST-54 ran 'Equip' on item 'AR-2' (#65988)
[17:56:22	]S10/OWS.GHOST-54 has lost a '30rnd Pulse-Şarjörü' #65990.
[17:56:28	]S10/OWS.GHOST-54 used command '/ToggleRaise'.
[17:56:29	]S10/OWS.GHOST-54 used command '/ToggleRaise'.
[17:56:34	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'AR-2' (#65988)
[17:56:34	]S10/OWS.GHOST-54 has gained a '30rnd Pulse-Şarjörü' #65990.
[17:56:35	]S10/OWS.GHOST-54 ran 'drop' on item '30rnd Pulse-Şarjörü' (#65990)
[17:56:35	]S10/OWS.GHOST-54 has lost a '30rnd Pulse-Şarjörü' #65990.
[17:56:38	]S10/OWS.GHOST-54 destroyed a '30rnd Pulse-Şarjörü' #65990.
[17:56:39	]S10/OWS.GHOST-54 ran 'drop' on item 'AR-2' (#65988)
[17:56:39	]S10/OWS.GHOST-54 has lost a 'AR-2' #65988.
[17:56:41	]S10/OWS.GHOST-54 destroyed a 'AR-2' #65988.
[17:56:46	]S10/OWS.GHOST-54 ran 'Equip' on item 'MP5A3' (#61361)
[17:56:59	]S10/OWS.GHOST-54 ran 'Equip' on item 'Frag Grenade' (#62424)
[17:57:04	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61384.
[17:57:12	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[17:57:15	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61384.
[17:57:15	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61366.
[17:57:27	]S10/OWS.GHOST-54 ran 'drop' on item 'Combine Filter' (#61355)
[17:57:27	]S10/OWS.GHOST-54 has lost a 'Combine Filter' #61355.
[17:57:29	]S10/OWS.GHOST-54 destroyed a 'Combine Filter' #61355.
[17:57:34	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[17:57:59	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61366.
[17:57:59	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61384.
[17:58:04	]S10/OWS.GHOST-54 ran 'combine' on item '30rnd MP-şarjörü' (#61367)
[17:58:05	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61384.
[17:58:05	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61367.
[17:58:12	]S10/OWS.GHOST-54 ran 'combine' on item '30rnd MP-şarjörü' (#61366)
[17:58:12	]S10/OWS.GHOST-54 ran 'drop' on item 'SMG Mermisi' (#65977)
[17:58:12	]S10/OWS.GHOST-54 has lost a 'SMG Mermisi' #65977.
[17:58:15	]S10/OWS.GHOST-54 destroyed a 'SMG Mermisi' #65977.
[17:58:15	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[17:58:17	]S10/OWS.GHOST-54 has gained 0 chips.
[17:58:18	]S10/OWS.GHOST-54 has gained a 'SMG Mermisi' #65991.
[17:59:09	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[17:59:12	]S10/OWS.GHOST-54 has gained 0 chips.
[17:59:12	]S10/OWS.GHOST-54 has gained a 'Combine Lock' #65992.
[17:59:23	]S10/OWS.GHOST-54 ran 'Place' on item 'Combine Lock' (#65992)
[17:59:26	]S10/OWS.GHOST-54 ran 'Place' on item 'Combine Lock' (#65992)
[17:59:28	]S10/OWS.GHOST-54 ran 'Place' on item 'Combine Lock' (#65992)
[17:59:37	][LOOC] S10/OWS.GHOST-54: combine kapısına kuruldu:D
[18:00:23	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61367.
[18:00:23	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61384.
[18:00:54	][LOOC] S10/OWS.GHOST-54: çıkmıyor :Skull:
[18:03:46	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61384.
[18:03:46	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61367.
[18:03:51	]S10/OWS.GHOST-54 ran 'combine' on item '30rnd MP-şarjörü' (#61384)
[18:03:52	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61367.
[18:03:52	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61384.
[18:04:04	]S10/OWS.GHOST-54 ran 'drop' on item 'SMG Mermisi' (#65991)
[18:04:04	]S10/OWS.GHOST-54 has lost a 'SMG Mermisi' #65991.
[18:04:07	]S10/OWS.GHOST-54 destroyed a 'SMG Mermisi' #65991.
[18:04:08	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[18:04:10	]S10/OWS.GHOST-54 has gained 0 chips.
[18:04:10	]S10/OWS.GHOST-54 has gained a 'SMG Mermisi' #65993.
[18:04:18	]S10/OWS.GHOST-54 ran 'drop' on item 'Ammunition Pouch' (#61353)
[18:04:18	]S10/OWS.GHOST-54 has lost a 'Ammunition Pouch' #61353.
[18:04:18	]S10/OWS.GHOST-54 has lost a 'SMG Mermisi' #65979.
[18:04:18	]S10/OWS.GHOST-54 has lost a 'SMG Mermisi' #65980.
[18:04:18	]S10/OWS.GHOST-54 has lost a 'SMG Mermisi' #65981.
[18:04:18	]S10/OWS.GHOST-54 has lost a 'SMG Mermisi' #62440.
[18:04:18	]S10/OWS.GHOST-54 has lost a 'SMG Mermisi' #61397.
[18:04:18	]S10/OWS.GHOST-54 has lost a 'SMG Mermisi' #65982.
[18:04:18	]S10/OWS.GHOST-54 has lost a 'SMG Mermisi' #65978.
[18:04:20	]S10/OWS.GHOST-54 ran 'ViewAlt' on item 'Ammunition Pouch' (#61353)
[18:04:25	]S10/OWS.GHOST-54 ran 'take' on item 'Ammunition Pouch' (#61353)
[18:04:25	]S10/OWS.GHOST-54 has gained a 'Ammunition Pouch' #61353.
[18:04:25	]S10/OWS.GHOST-54 has gained a 'SMG Mermisi' #65979.
[18:04:25	]S10/OWS.GHOST-54 has gained a 'SMG Mermisi' #65980.
[18:04:25	]S10/OWS.GHOST-54 has gained a 'SMG Mermisi' #65981.
[18:04:25	]S10/OWS.GHOST-54 has gained a 'SMG Mermisi' #62440.
[18:04:25	]S10/OWS.GHOST-54 has gained a 'SMG Mermisi' #61397.
[18:04:25	]S10/OWS.GHOST-54 has gained a 'SMG Mermisi' #65982.
[18:04:25	]S10/OWS.GHOST-54 has gained a 'SMG Mermisi' #65978.
[18:05:27	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'Frag Grenade' (#62424)
[18:05:29	]S10/OWS.GHOST-54 ran 'drop' on item 'Flash Grenade' (#65984)
[18:05:29	]S10/OWS.GHOST-54 has lost a 'Flash Grenade' #65984.
[18:05:32	]S10/OWS.GHOST-54 ran 'take' on item 'Flash Grenade' (#65984)
[18:05:32	]S10/OWS.GHOST-54 has gained a 'Flash Grenade' #65984.
[18:05:35	]S10/OWS.GHOST-54 ran 'Equip' on item 'Flash Grenade' (#65984)
[18:05:43	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'Flash Grenade' (#65984)
[18:05:49	]S10/OWS.GHOST-54 ran 'Equip' on item 'Frag Grenade' (#62424)
[18:07:44	]S10/OWS.GHOST-54 ran 'Equip' on item 'Rappel Gear' (#61351)
[18:12:42	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61384.
[18:12:42	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61367.
[18:14:25	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61367.
[18:14:25	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61384.
[18:14:49	]S10/OWS.GHOST-54 used command '/ToggleRaise'.
[18:15:05	]S10/OWS.GHOST-54 used command '/ToggleRaise'.
[18:15:30	]S10/OWS.GHOST-54 used command '/ToggleRaise'.
[18:16:12	]S10/OWS.GHOST-54 used command '/ToggleRaise'.
[18:17:32	]S10/OWS.GHOST-54 has taken 22 damage from worldspawn.
[18:17:47	]S10/OWS.GHOST-54 ran 'use' on item 'Dezenfekte Bandaj Rulosu' (#62690)
[18:17:47	]S10/OWS.GHOST-54 has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 22 experience in medicine.
[18:17:47	]S10/OWS.GHOST-54 was disinfected by S10/OWS.GHOST-54 for 42 seconds.
[18:17:47	]S10/OWS.GHOST-54 was bandaged by S10/OWS.GHOST-54 for 15 HP.
[18:18:15	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61384.
[18:18:15	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61367.
[18:18:33	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61367.
[18:18:33	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61384.
[18:18:50	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61384.
[18:18:50	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61367.
[18:18:54	]S10/OWS.GHOST-54 used command '/ToggleRaise'.
[18:20:07	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61367.
[18:20:07	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61384.
[18:21:58	]S10/OWS.GHOST-54 used the 'Overwatch Stabilizasyon Güçleri Tedarikçisi' vendor.
[18:22:06	]S10/OWS.GHOST-54 used the 'Overwatch Stabilizasyon Güçleri Tedarikçisi' vendor.
[18:22:32	]S10/OWS.GHOST-54 used the 'Overwatch Stabilizasyon Güçleri Tedarikçisi' vendor.
[18:22:39	]S10/OWS.GHOST-54 has gained 0 chips.
[18:22:39	]S10/OWS.GHOST-54 has gained a 'Sağlık Şırıngası' #65994.
[18:22:51	]S10/OWS.GHOST-54 ran 'drop' on item 'Dezenfekte Bandaj Rulosu' (#62690)
[18:22:51	]S10/OWS.GHOST-54 has lost a 'Dezenfekte Bandaj Rulosu' #62690.
[18:22:53	]S10/OWS.GHOST-54 destroyed a 'Dezenfekte Bandaj Rulosu' #62690.
[18:22:57	]S10/OWS.GHOST-54 used the 'Overwatch Stabilizasyon Güçleri Tedarikçisi' vendor.
[18:23:05	]S10/OWS.GHOST-54 has gained 0 chips.
[18:23:05	]S10/OWS.GHOST-54 has gained a 'Bandaj Rulosu' #65995.
[18:23:26	]S10/OWS.GHOST-54 ran 'drop' on item 'Sağlık Şırıngası' (#65994)
[18:23:26	]S10/OWS.GHOST-54 has lost a 'Sağlık Şırıngası' #65994.
[18:23:33	]S10/OWS.GHOST-54 ran 'take' on item 'Sağlık Şırıngası' (#65994)
[18:23:33	]S10/OWS.GHOST-54 has gained a 'Sağlık Şırıngası' #65994.
[18:23:46	]S10/OWS.GHOST-54 ran 'use' on item 'Sağlık Şırıngası' (#65994)
[18:23:46	]S10/OWS.GHOST-54 has performed the 'Use Sağlık Şırıngası' action, gaining 15 experience in medicine.
[18:23:46	]S10/OWS.GHOST-54 was disinfected by S10/OWS.GHOST-54 for 36 seconds.
[18:23:46	]S10/OWS.GHOST-54 was bandaged by S10/OWS.GHOST-54 for 30 HP.
[18:24:03	]S10/OWS.GHOST-54 is fully healed.
[18:24:05	]S10/OWS.GHOST-54 used the 'Overwatch Stabilizasyon Güçleri Tedarikçisi' vendor.
[18:24:18	]S10/OWS.GHOST-54 has gained 0 chips.
[18:24:18	]S10/OWS.GHOST-54 has gained a 'Sağlık Şırıngası' #65996.
[18:24:27	]S10/OWS.GHOST-54 ran 'drop' on item 'Sağlık Şırıngası' (#65994)
[18:24:27	]S10/OWS.GHOST-54 has lost a 'Sağlık Şırıngası' #65994.
[18:24:31	]S10/OWS.GHOST-54 destroyed a 'Sağlık Şırıngası' #65994.
[18:24:34	]S10/OWS.GHOST-54 has warped from Default to Default.
[18:24:48	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'Rappel Gear' (#61351)
[18:25:07	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'Frag Grenade' (#62424)
[18:25:09	]S10/OWS.GHOST-54 ran 'Equip' on item 'Frag Grenade' (#62424)
[18:25:10	]S10/OWS.GHOST-54 ran 'Equip' on item 'Rappel Gear' (#61351)
[18:29:54	]S10/OWS.GHOST-54 has taken 61 damage from worldspawn.
[18:31:00	]S10/OWS.GHOST-54 ran 'use' on item 'Adrenalin' (#62674)
[18:31:00	]S10/OWS.GHOST-54 has performed the 'Use Adrenalin' action, gaining 60 experience in medicine.
[18:31:00	]S10/OWS.GHOST-54 has gained a level 4 short boost in Çeviklik.
[18:31:01	]S10/OWS.GHOST-54 ran 'use' on item 'Adrenalin' (#62674)
[18:31:01	]S10/OWS.GHOST-54 has performed the 'Use Adrenalin' action, gaining 2 experience in medicine.
[18:31:01	]S10/OWS.GHOST-54 has wasted a level 4 short boost in Çeviklik (current: 0; target: 4).
[18:31:02	]S10/OWS.GHOST-54 ran 'use' on item 'Adrenalin' (#62674)
[18:31:02	]S10/OWS.GHOST-54 has wasted a level 4 short boost in Çeviklik (current: 0; target: 4).
[18:31:08	]S10/OWS.GHOST-54 ran 'use' on item 'Sağlık Şırıngası' (#65996)
[18:31:08	]S10/OWS.GHOST-54 was disinfected by S10/OWS.GHOST-54 for 36 seconds.
[18:31:08	]S10/OWS.GHOST-54 was bandaged by S10/OWS.GHOST-54 for 30 HP.
[18:31:08	]S10/OWS.GHOST-54 ran 'use' on item 'Sağlık Şırıngası' (#65996)
[18:31:08	]S10/OWS.GHOST-54 was disinfected by S10/OWS.GHOST-54 for 42 seconds.
[18:31:08	]S10/OWS.GHOST-54 was bandaged by S10/OWS.GHOST-54 for 30 HP.
[18:31:09	]S10/OWS.GHOST-54 ran 'use' on item 'Sağlık Şırıngası' (#65996)
[18:31:09	]S10/OWS.GHOST-54 was disinfected by S10/OWS.GHOST-54 for 42 seconds.
[18:31:09	]S10/OWS.GHOST-54 was bandaged by S10/OWS.GHOST-54 for 30 HP.
[18:31:11	]S10/OWS.GHOST-54 ran 'use' on item 'Bandaj Rulosu' (#65995)
[18:31:11	]S10/OWS.GHOST-54 was bandaged by S10/OWS.GHOST-54 for 15 HP.
[18:31:12	]S10/OWS.GHOST-54 ran 'use' on item 'Bandaj Rulosu' (#65995)
[18:31:12	]S10/OWS.GHOST-54 was bandaged by S10/OWS.GHOST-54 for 15 HP.
[18:31:12	]S10/OWS.GHOST-54 ran 'use' on item 'Bandaj Rulosu' (#65995)
[18:31:12	]S10/OWS.GHOST-54 was bandaged by S10/OWS.GHOST-54 for 15 HP.
[18:31:13	]S10/OWS.GHOST-54 ran 'use' on item 'Bandaj Rulosu' (#65995)
[18:31:13	]S10/OWS.GHOST-54 was bandaged by S10/OWS.GHOST-54 for 15 HP.
[18:31:14	]S10/OWS.GHOST-54 ran 'use' on item 'Bandaj Rulosu' (#65995)
[18:31:14	]S10/OWS.GHOST-54 was bandaged by S10/OWS.GHOST-54 for 15 HP.
[18:31:15	]S10/OWS.GHOST-54 ran 'use' on item 'Bandaj Rulosu' (#65995)
[18:31:15	]S10/OWS.GHOST-54 was bandaged by S10/OWS.GHOST-54 for 15 HP.
[18:32:31	]S10/OWS.GHOST-54 has warped from Default to Default.
[18:32:37	]S10/OWS.GHOST-54 used the 'Overwatch Stabilizasyon Güçleri Tedarikçisi' vendor.
[18:32:41	]S10/OWS.GHOST-54 used the 'Overwatch Stabilizasyon Güçleri Tedarikçisi' vendor.
[18:32:43	]S10/OWS.GHOST-54 has gained 0 chips.
[18:32:43	]S10/OWS.GHOST-54 has gained a 'Flare' #65997.
[18:32:46	]S10/OWS.GHOST-54 has gained 0 chips.
[18:32:46	]S10/OWS.GHOST-54 has gained a 'Bandaj Rulosu' #65998.
[18:33:04	]S10/OWS.GHOST-54 has gained 0 chips.
[18:33:04	]S10/OWS.GHOST-54 has gained a 'Sağlık Şırıngası' #65999.
[18:33:16	]S10/OWS.GHOST-54 used the 'Overwatch Stabilizasyon Güçleri Tedarikçisi' vendor.
[18:33:23	]S10/OWS.GHOST-54 used the 'Overwatch Stabilizasyon Güçleri Tedarikçisi' vendor.
[18:33:34	]S10/OWS.GHOST-54 ran 'Equip' on item 'Flare' (#65997)
[18:33:41	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'Frag Grenade' (#62424)
[18:33:42	]S10/OWS.GHOST-54 ran 'Equip' on item 'Flare' (#65997)
[18:33:43	]S10/OWS.GHOST-54 ran 'Equip' on item 'Frag Grenade' (#62424)
[18:33:44	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'Flare' (#65997)
[18:33:45	]S10/OWS.GHOST-54 ran 'Equip' on item 'Frag Grenade' (#62424)
[18:33:46	]S10/OWS.GHOST-54 ran 'Equip' on item 'Flare' (#65997)
[18:33:48	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'Frag Grenade' (#62424)
[18:33:49	]S10/OWS.GHOST-54 ran 'Equip' on item 'Flare' (#65997)
[18:34:19	]S10/OWS.GHOST-54 used command '/ToggleRaise'.
[18:35:05	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'Rappel Gear' (#61351)
[18:35:09	]S10/OWS.GHOST-54 ran 'Equip' on item 'Frag Grenade' (#62424)
[18:35:56	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[18:35:59	]S10/OWS.GHOST-54 has gained 0 chips.
[18:35:59	]S10/OWS.GHOST-54 has gained a 'Dezenfekte Bandaj Rulosu' #66000.
[18:36:00	]S10/OWS.GHOST-54 has gained 0 chips.
[18:36:00	]S10/OWS.GHOST-54 has gained a 'Adrenalin' #66001.
[18:36:15	]S10/OWS.GHOST-54 ran 'drop' on item 'Bandaj Rulosu' (#65998)
[18:36:15	]S10/OWS.GHOST-54 has lost a 'Bandaj Rulosu' #65998.
[18:36:18	]S10/OWS.GHOST-54 destroyed a 'Bandaj Rulosu' #65998.
[18:36:20	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[18:36:26	]S10/OWS.GHOST-54 has gained 0 chips.
[18:36:26	]S10/OWS.GHOST-54 has gained a 'Dezenfekte Bandaj Rulosu' #66002.
[18:36:29	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[18:36:34	]S10/OWS.GHOST-54 has gained 0 chips.
[18:36:34	]S10/OWS.GHOST-54 has gained a 'Dezenfekte Bandaj Rulosu' #66003.
[18:36:39	]S10/OWS.GHOST-54 ran 'drop' on item 'Dezenfekte Bandaj Rulosu' (#66003)
[18:36:39	]S10/OWS.GHOST-54 has lost a 'Dezenfekte Bandaj Rulosu' #66003.
[18:36:39	]S10/OWS.GHOST-54 ran 'drop' on item 'Dezenfekte Bandaj Rulosu' (#66002)
[18:36:39	]S10/OWS.GHOST-54 has lost a 'Dezenfekte Bandaj Rulosu' #66002.
[18:36:41	]S10/OWS.GHOST-54 destroyed a 'Dezenfekte Bandaj Rulosu' #66003.
[18:36:42	]S10/OWS.GHOST-54 destroyed a 'Dezenfekte Bandaj Rulosu' #66002.
[18:38:03	]S10/OWS.GHOST-54 has warped from Default to Default.
[18:38:34	]S10/OWS.GHOST-54 ran 'Equip' on item 'Rappel Gear' (#61351)
[18:40:25	]S10/OWS.GHOST-54 used command '/ToggleRaise'.
[18:41:23	]S10/OWS.GHOST-54 is fully healed.
[18:43:01	]Shane Walsh has connected.
[18:45:13	]Shane Walsh loaded the character 'Grimson Krova'
[18:46:26	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61384.
[18:46:26	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61367.
[18:50:06	]Shane Walsh (STEAM_0:0:195372324) has disconnected (timed out).
[18:50:21	]S10/OWS.GHOST-54 used command '/Radio 10-20:PLAZA;reporting clear'.
[18:50:41	][IC] S10/OWS.GHOST-54: <:: One. ::>
[18:50:43	][IC] S10/OWS.GHOST-54: <:: Two. ::>
[18:50:45	][IC] S10/OWS.GHOST-54: <:: Three. ::>
[18:50:47	][IC] S10/OWS.GHOST-54: <:: Four. ::>
[18:50:48	][IC] S10/OWS.GHOST-54: <:: Five. ::>
[18:50:50	][IC] S10/OWS.GHOST-54: <:: Six. ::>
[18:50:52	][IC] S10/OWS.GHOST-54: <:: Seven. ::>
[18:50:54	][IC] S10/OWS.GHOST-54: <:: Eight. ::>
[18:50:56	][IC] S10/OWS.GHOST-54: <:: Nine. ::>
[18:50:58	][IC] S10/OWS.GHOST-54: <:: Ten. ::>
[18:51:00	][IC] S10/OWS.GHOST-54: <:: Eleven. ::>
[18:51:01	][IC] S10/OWS.GHOST-54: <:: Twelve. ::>
[18:51:02	][IC] S10/OWS.GHOST-54: <:: 13. ::>
[18:51:06	][IC] S10/OWS.GHOST-54: <:: 13. ::>
[18:51:08	][IC] S10/OWS.GHOST-54: <:: 14. ::>
[18:51:10	][IC] S10/OWS.GHOST-54: <:: 15. ::>
[18:51:14	][IC] S10/OWS.GHOST-54: <:: 16. ::>
[18:51:17	][IC] S10/OWS.GHOST-54: <:: 17. ::>
[18:51:19	][IC] S10/OWS.GHOST-54: <:: 18. ::>
[18:51:21	][IC] S10/OWS.GHOST-54: <:: 19. ::>
[18:51:22	][IC] S10/OWS.GHOST-54: <:: Twenty. ::>
[18:51:24	][IC] S10/OWS.GHOST-54: <:: 21. ::>
[18:51:26	][IC] S10/OWS.GHOST-54: <:: 22. ::>
[18:51:29	][IC] S10/OWS.GHOST-54: <:: 23. ::>
[18:51:50	][IC] S10/OWS.GHOST-54: <:: One. ::>
