[16:20:53	]crat has connected.
[17:42:52	]Eric Mendel entered observer.
[17:42:52	][LOOC] C24:RL.XRAY-57: herkes yazsın bunu
[17:42:53	]C24:RCT.YELLO-91 used command '/SC 3'.
[17:42:54	]C24:RCT.YELLO-30 used command '/SC 3'.
[17:42:56	]C24:i3.UNION-66 used command '/SC 3'.
[17:42:57	]Eric Mendel exited observer at their location.
[17:42:59	]Eric Mendel entered observer.
[17:42:59	][IC] C24:RCT.YELLO-91: <:: Bende el telsizi var. ::>
[17:43:00	]Eric Mendel exited observer at their location.
[17:43:03	][IC] C24:RCT.YELLO-91: <:: Oradan ayarlanmıyormu. ::>
[17:43:03	][LOOC] C24:RL.XRAY-57: önemli değil
[17:43:03	][LOOC] C24:RCT.YELLO-30: hep böyle değil mi?
[17:43:05	][LOOC] C24:RL.XRAY-57: yok
[17:43:08	][IC] C24:RCT.YELLO-91: <:: Atayımmı o zaman. ::>
[17:43:10	]Eric Mendel ran SAM command 'hp' with arguments: '^'
[17:43:11	]C24:i3.UNION-66 has performed the 'Craft Mutfak Kaşığı' action, gaining 50 experience in crafting.
[17:43:11	]C24:i3.UNION-66 has gained a 'Mutfak Kaşığı' #15637.
[17:43:11	][LOOC] C24:RL.XRAY-57: tac3 standart SK telsizi
[17:43:11	]Eric Mendel is fully healed.
[17:43:13	]C24:RCT.YELLO-91 ran 'drop' on item 'El Telsizi' (#15598)
[17:43:13	]C24:RCT.YELLO-91 has lost a 'El Telsizi' #15598.
[17:43:13	]C24:i3.UNION-66 has performed the 'Craft Mutfak Kaşığı' action, gaining 50 experience in crafting.
[17:43:14	]C24:i3.UNION-66 has gained a 'Mutfak Kaşığı' #15638.
[17:43:14	]Jhonny created the character 'C24:RCT.YELLO-42'
[17:43:14	]Jhonny has gained level 10 in the Hız skill.
[17:43:14	]C24:RCT.YELLO-42 has gained a '#99288 Kimlik Kartı' #15639.
[17:43:14	]C24:RCT.YELLO-42 has gained a 'Combine PDA' #15640.
[17:43:14	]C24:RCT.YELLO-42 has gained a 'SK Üniforması' #15641.
[17:43:14	]C24:RCT.YELLO-42 has gained a 'SK Maskesi' #15642.
[17:43:14	]C24:RCT.YELLO-42 has gained a 'El Telsizi' #15643.
[17:43:14	]C24:RCT.YELLO-42 has gained a 'Küçük Çanta' #15644.
[17:43:14	]C24:RCT.YELLO-42 has gained a 'Büyük Çanta' #15645.
[17:43:14	]Jhonny loaded the character 'C24:RCT.YELLO-42'
[17:43:14	]Valentino Threshed entered observer.
[17:43:15	]C24:RCT.YELLO-91 used command '/Radio test'.
[17:43:17	]C24:i3.UNION-66 has performed the 'Craft Mutfak Kaşığı' action, gaining 50 experience in crafting.
[17:43:17	]C24:i3.UNION-66 has gained a 'Mutfak Kaşığı' #15646.
[17:43:18	][LOOC] C24:RL.XRAY-57: cmb gibi yerlere yazmayın
[17:43:19	]C24:RCT.YELLO-91 ran 'take' on item 'El Telsizi' (#15598)
[17:43:19	]C24:RCT.YELLO-91 has gained a 'El Telsizi' #15598.
[17:43:20	]C24:RCT.YELLO-91 ran 'ToggleOff' on item 'El Telsizi' (#15598)
[17:43:21	][LOOC] C24:RL.XRAY-57: komut birimlerine özel
[17:43:23	]Eric Mendel entered observer.
[17:43:29	][IC] C24:RCT.YELLO-91: <:: 10-4. ::>
[17:43:32	]Eric Mendel exited observer at their location.
[17:43:33	][LOOC] C24:i3.UNION-66: birşeyleri yok edeceğim rol yarıda kalmıştı
[17:43:36	]Remos has unloaded their "Eric Mendel" character.
[17:43:37	][LOOC] C24:RL.XRAY-57: et
[17:43:41	]Remos loaded the character 'C24:UNION:i1.Roller-6325'
[17:43:44	]C24:UNION:i1.Roller-6325 entered observer.
[17:43:48	]C24:UNION:i1.Roller-6325 exited observer at their location.
[17:43:48	]C24:i3.UNION-66 ran 'drop' on item 'Mutfak Kaşığı' (#15635)
[17:43:48	]C24:i3.UNION-66 has lost a 'Mutfak Kaşığı' #15635.
[17:43:48	]C24:i3.UNION-66 ran 'drop' on item 'Mutfak Kaşığı' (#15636)
[17:43:48	]C24:i3.UNION-66 has lost a 'Mutfak Kaşığı' #15636.
[17:43:49	]C24:i3.UNION-66 ran 'drop' on item 'Mutfak Kaşığı' (#15634)
[17:43:49	]C24:i3.UNION-66 has lost a 'Mutfak Kaşığı' #15634.
[17:43:50	]C24:i3.UNION-66 ran 'drop' on item 'Mutfak Kaşığı' (#15237)
[17:43:50	]C24:i3.UNION-66 has lost a 'Mutfak Kaşığı' #15237.
[17:43:51	]C24:i3.UNION-66 ran 'drop' on item 'Mutfak Kaşığı' (#15241)
[17:43:51	]C24:i3.UNION-66 has lost a 'Mutfak Kaşığı' #15241.
[17:43:52	]C24:i3.UNION-66 ran 'drop' on item 'Mutfak Kaşığı' (#15240)
[17:43:52	]C24:i3.UNION-66 has lost a 'Mutfak Kaşığı' #15240.
[17:43:52	]C24:i3.UNION-66 ran 'drop' on item 'Mutfak Kaşığı' (#15236)
[17:43:52	]C24:i3.UNION-66 has lost a 'Mutfak Kaşığı' #15236.
[17:43:53	]C24:i3.UNION-66 ran 'drop' on item 'Mutfak Kaşığı' (#15235)
[17:43:53	]C24:i3.UNION-66 has lost a 'Mutfak Kaşığı' #15235.
[17:43:54	]C24:i3.UNION-66 ran 'drop' on item 'Mutfak Kaşığı' (#15238)
[17:43:54	]C24:i3.UNION-66 has lost a 'Mutfak Kaşığı' #15238.
[17:43:56	]C24:i3.UNION-66 ran 'drop' on item 'Mutfak Kaşığı' (#15239)
[17:43:56	]C24:i3.UNION-66 has lost a 'Mutfak Kaşığı' #15239.
[17:43:57	]C24:i3.UNION-66 ran 'drop' on item 'Mutfak Kaşığı' (#15638)
[17:43:57	]C24:i3.UNION-66 has lost a 'Mutfak Kaşığı' #15638.
[17:43:58	]C24:i3.UNION-66 ran 'drop' on item 'Mutfak Kaşığı' (#15637)
[17:43:58	]C24:i3.UNION-66 has lost a 'Mutfak Kaşığı' #15637.
[17:43:59	]C24:i3.UNION-66 ran 'drop' on item 'Mutfak Kaşığı' (#15646)
[17:43:59	]C24:i3.UNION-66 has lost a 'Mutfak Kaşığı' #15646.
[17:44:01	]C24:i3.UNION-66 destroyed a 'Mutfak Kaşığı' #15636.
[17:44:02	]C24:i3.UNION-66 destroyed a 'Mutfak Kaşığı' #15238.
[17:44:03	]C24:i3.UNION-66 destroyed a 'Mutfak Kaşığı' #15239.
[17:44:03	][LOOC] C24:RCT.YELLO-30: onlar kaşık mı?
[17:44:04	]C24:i3.UNION-66 destroyed a 'Mutfak Kaşığı' #15237.
[17:44:08	][LOOC] C24:i3.UNION-66: evet
[17:44:08	]Luther Campbell entered observer.
[17:44:09	]C24:i3.UNION-66 destroyed a 'Mutfak Kaşığı' #15235.
[17:44:09	]C24:RL.XRAY-57 used command '/CharSetName roller C24:i1.VICTOR-63'.
[17:44:10	]C24:i3.UNION-66 destroyed a 'Mutfak Kaşığı' #15240.
[17:44:11	]C24:i3.UNION-66 destroyed a 'Mutfak Kaşığı' #15236.
[17:44:11	]C24:i3.UNION-66 destroyed a 'Mutfak Kaşığı' #15638.
[17:44:13	][LOOC] C24:RL.XRAY-57: victor iyi mi
[17:44:13	]C24:i3.UNION-66 destroyed a 'Mutfak Kaşığı' #15637.
[17:44:14	]C24:i3.UNION-66 destroyed a 'Mutfak Kaşığı' #15241.
[17:44:15	]C24:i3.UNION-66 destroyed a 'Mutfak Kaşığı' #15646.
[17:44:15	][LOOC] C24:RCT.YELLO-30: :d
[17:44:15	]Luther Campbell exited observer at their location.
[17:44:16	]Valentino Threshed exited observer at their location.
[17:44:16	]C24:RCT.YELLO-42 used command '/CP beyler kimse yok buga giriyom spawnda nası çıkacam aq'.
[17:44:16	][LOOC] C24:RL.XRAY-57: squad
[17:44:20	][LOOC] C24:RCT.YELLO-91: flashlight vermeyi unutmuslar
[17:44:20	]C24:i3.UNION-66 destroyed a 'Mutfak Kaşığı' #15635.
[17:44:20	][LOOC] C24:RL.XRAY-57: divisionlar öyle
[17:44:21	]C24:i3.UNION-66 destroyed a 'Mutfak Kaşığı' #15634.
[17:44:25	][LOOC] C24:RCT.YELLO-91: bende yok
[17:44:26	][LOOC] C24:RL.XRAY-57: flashlighti olmayan var mı
[17:44:30	][LOOC] C24:i1.VICTOR-63: ben remos bu arada
[17:44:30	][LOOC] C24:RCT.YELLO-30: bendede
[17:44:37	][LOOC] C24:RCT.YELLO-91: cp vendorunda yok
[17:44:37	]C24:RL.XRAY-57 used command '/CharGiveItem 30 flashlight 1'.
[17:44:37	]C24:RCT.YELLO-30 has gained a 'Flashlight' #15647.
[17:44:38	]C24:i3.UNION-66 ran 'combine' on item '17rnd Usp-Şarjörü' (#14567)
[17:44:40	][LOOC] C24:RL.XRAY-57: envanterine bak
[17:44:41	]Jhonny loaded the character 'C24:ACM.YELLO-99'
[17:44:41	]C24:i3.UNION-66 ran 'combine' on item '17rnd Usp-Şarjörü' (#14565)
[17:44:42	]C24:i3.UNION-66 ran 'combine' on item '17rnd Usp-Şarjörü' (#14569)
[17:44:43	][IC] C24:RCT.YELLO-91: <:: Gelmedi. ::>
[17:44:43	]C24:RL.XRAY-57 used command '/CharGiveItem 91 flashlight 1'.
[17:44:43	]C24:RCT.YELLO-91 has gained a 'Flashlight' #15648.
[17:44:46	][LOOC] C24:RL.XRAY-57: şimdi bak
[17:44:47	][IC] C24:RCT.YELLO-91: <:: Heh. ::>
[17:44:50	][LOOC] C24:RL.XRAY-57: duvara geçin
[17:44:50	][LOOC] C24:i3.UNION-66: mühimmar yenilemesi gerek li mi
[17:44:53	]Valentino Threshed entered observer.
[17:44:57	][IC] C24:RCT.YELLO-91: <:: Bana yanlış kıyafet verildi galiba. ::>
[17:44:57	][LOOC] C24:RL.XRAY-57: mermi kutunuz yoksa alın
[17:45:01	][IC] C24:RCT.YELLO-91: <:: Rank-leader kıyafeti var üzerimde. ::>
[17:45:06	][IC] C24:RCT.YELLO-91: <:: Kırmızı kollu. ::>
[17:45:07	][LOOC] C24:RL.XRAY-57: bodygroup değiştireceksin
[17:45:08	]C24:i3.UNION-66 ran 'drop' on item '9mm Tabanca Mermisi' (#14585)
[17:45:08	]C24:i3.UNION-66 has lost a '9mm Tabanca Mermisi' #14585.
[17:45:08	]Valentino Threshed exited observer at their location.
[17:45:09	]C24:i3.UNION-66 ran 'drop' on item '9mm Tabanca Mermisi' (#14584)
[17:45:09	]C24:i3.UNION-66 has lost a '9mm Tabanca Mermisi' #14584.
[17:45:09	][LOOC] C24:RL.XRAY-57: taba bas
[17:45:11	]Valentino Threshed entered observer.
[17:45:12	][LOOC] C24:RL.XRAY-57: karaktere gel
[17:45:14	]C24:i3.UNION-66 destroyed a '9mm Tabanca Mermisi' #14585.
[17:45:15	]C24:i3.UNION-66 destroyed a '9mm Tabanca Mermisi' #14584.
[17:45:16	][LOOC] C24:RL.XRAY-57: edit char bodygroups
[17:45:18	]Valentino Threshed exited observer at their location.
[17:45:21	]C24:i3.UNION-66 used the 'i5-i1 Ekipman Dağıtıcısı' vendor.
[17:45:22	][LOOC] C24:i1.VICTOR-63: değişebilirsin tab menüsünden
[17:45:25	]C24:RCT.YELLO-91 has changed C24:RCT.YELLO-91's bodygroups.
[17:45:28	][IC] C24:RCT.YELLO-91: <:: 10-4. ::>
[17:45:31	][LOOC] C24:RL.XRAY-57: sen de değiştir
[17:45:34	]Alexander Ivanov entered observer.
[17:45:34	][LOOC] C24:RL.XRAY-57: kırmızı kol ol
[17:45:36	]Luther Campbell entered observer.
[17:45:36	]Alexander Ivanov exited observer at their location.
[17:45:37	][LOOC] C24:RL.XRAY-57: maske düz benim gibi
[17:45:37	]Remos has unloaded their "C24:i1.VICTOR-63" character.
[17:45:38	]Luther Campbell exited observer at their location.
[17:45:41	]Remos loaded the character 'C24:i1.VICTOR-63'
[17:45:45	][LOOC] C24:i3.UNION-66: klavuz hala aynı mı
[17:45:45	]Alexander Ivanov entered observer.
[17:45:46	]Luther Campbell entered observer.
[17:45:48	][LOOC] C24:RL.XRAY-57: sunucu res yiyecek birazdan
[17:45:51	][LOOC] C24:RL.XRAY-57: herkes bu duvarda olsun
[17:45:52	][LOOC] C24:RL.XRAY-57: açılınca
[17:45:54	]Alexander Ivanov exited observer at their location.
[17:45:55	][LOOC] C24:i3.UNION-66: i3 smg yetkisi vardı
[17:46:00	][LOOC] C24:RL.XRAY-57: al smgni
[17:46:00	][LOOC] C24:ACM.YELLO-99: sa 
[17:46:01	][LOOC] C24:i3.UNION-66: değişti mi
[17:46:06	]C24:i3.UNION-66 ran 'EquipUn' on item 'USP-45' (#14561)
[17:46:06	]C24:i3.UNION-66 has gained a '17rnd Usp-Şarjörü' #14566.
[17:46:07	]C24:i3.UNION-66 ran 'drop' on item 'USP-45' (#14561)
[17:46:07	]C24:i3.UNION-66 has lost a 'USP-45' #14561.
[17:46:07	]C24:i3.UNION-66 ran 'drop' on item '17rnd Usp-Şarjörü' (#14565)
[17:46:07	]C24:i3.UNION-66 has lost a '17rnd Usp-Şarjörü' #14565.
[17:46:08	]C24:i3.UNION-66 ran 'drop' on item '17rnd Usp-Şarjörü' (#14566)
[17:46:08	]C24:i3.UNION-66 has lost a '17rnd Usp-Şarjörü' #14566.
[17:46:09	]C24:i3.UNION-66 ran 'drop' on item '17rnd Usp-Şarjörü' (#14569)
[17:46:09	]C24:i3.UNION-66 has lost a '17rnd Usp-Şarjörü' #14569.
[17:46:10	]C24:i3.UNION-66 ran 'drop' on item '17rnd Usp-Şarjörü' (#14563)
[17:46:10	]C24:i3.UNION-66 has lost a '17rnd Usp-Şarjörü' #14563.
[17:46:10	]C24:RL.XRAY-57 used command '/CharSetName acm C24:RCT.YELLO-99'.
[17:46:11	]C24:i3.UNION-66 ran 'drop' on item '17rnd Usp-Şarjörü' (#14567)
[17:46:11	]C24:i3.UNION-66 has lost a '17rnd Usp-Şarjörü' #14567.
[17:46:11	]C24:i3.UNION-66 ran 'drop' on item '17rnd Usp-Şarjörü' (#14568)
[17:46:11	]C24:i3.UNION-66 has lost a '17rnd Usp-Şarjörü' #14568.
[17:46:25	][LOOC] C24:RCT.YELLO-99: silah eğitimimi var la yeni geldim ben
[17:46:29	][LOOC] C24:i3.UNION-66: eror bunlar nasıl silecem :(
[17:46:34	][LOOC] C24:RL.XRAY-57: silah eğitimi değil genel olarak bi konuşma yapacağım
[17:46:35	]C24:RCT.YELLO-91 has lost a '17rnd Usp-Şarjörü' #15612.
[17:46:35	]C24:i3.UNION-66 ran 'drop' on item 'Ammunition Pouch' (#14564)
[17:46:35	]C24:i3.UNION-66 has lost a 'Ammunition Pouch' #14564.
[17:46:35	]C24:i3.UNION-66 has lost a '9mm Tabanca Mermisi' #14581.
[17:46:35	]C24:i3.UNION-66 has lost a '9mm Tabanca Mermisi' #14583.
[17:46:35	]C24:i3.UNION-66 has lost a '9mm Tabanca Mermisi' #14579.
[17:46:35	]C24:i3.UNION-66 has lost a '9mm Tabanca Mermisi' #14577.
[17:46:35	]C24:i3.UNION-66 has lost a '9mm Tabanca Mermisi' #14586.
[17:46:35	]C24:i3.UNION-66 has lost a '9mm Tabanca Mermisi' #14587.
[17:46:37	]C24:RL.XRAY-57 entered observer.
[17:46:38	]C24:RL.XRAY-57 exited observer at their location.
[17:46:40	]C24:i3.UNION-66 destroyed a 'Ammunition Pouch' #14564.
[17:46:41	]Luther Campbell ran 'Open' on item 'CWU PDA' (#15561)
[17:46:42	]C24:RL.XRAY-57 entered observer.
[17:46:42	]C24:RL.XRAY-57 exited observer at their location.
[17:46:46	]C24:RL.XRAY-57 used command '/PM 66 acele et'.
[17:46:48	][LOOC] C24:RCT.YELLO-99: ok
[17:46:49	]C24:i3.UNION-66 used the 'i5-i1 Ekipman Dağıtıcısı' vendor.
[17:46:52	]C24:i3.UNION-66 has gained 0 chips.
[17:46:52	]C24:i3.UNION-66 has gained a 'MP5A3' #15649.
[17:46:53	]C24:i3.UNION-66 has gained 0 chips.
[17:46:53	]C24:i3.UNION-66 has gained a '30rnd MP-şarjörü' #15650.
[17:46:54	]C24:i3.UNION-66 has gained 0 chips.
[17:46:54	]C24:i3.UNION-66 has gained a '30rnd MP-şarjörü' #15651.
[17:46:54	]C24:i3.UNION-66 has gained 0 chips.
[17:46:55	]C24:i3.UNION-66 has gained a '30rnd MP-şarjörü' #15652.
[17:46:55	]C24:i3.UNION-66 has gained 0 chips.
[17:46:55	]C24:i3.UNION-66 has gained a '30rnd MP-şarjörü' #15653.
[17:46:58	]C24:i3.UNION-66 has gained 0 chips.
[17:46:58	]C24:i3.UNION-66 has gained a 'SMG Mermisi' #15654.
[17:46:59	]C24:i3.UNION-66 has gained 0 chips.
[17:46:59	]C24:i3.UNION-66 has gained a 'SMG Mermisi' #15655.
[17:47:00	]C24:i3.UNION-66 has gained 0 chips.
[17:47:00	]C24:i3.UNION-66 has gained a 'SMG Mermisi' #15656.
[17:47:00	]C24:i3.UNION-66 has gained 0 chips.
[17:47:00	]C24:i3.UNION-66 has gained a 'SMG Mermisi' #15657.
[17:47:01	]C24:i3.UNION-66 has gained 0 chips.
[17:47:01	]C24:i3.UNION-66 has gained a 'SMG Mermisi' #15658.
[17:47:01	]C24:i3.UNION-66 has gained 0 chips.
[17:47:01	]C24:i3.UNION-66 has gained a 'SMG Mermisi' #15659.
[17:47:02	]C24:i3.UNION-35 has gone afk.
[17:47:07	]C24:i3.UNION-66 has gained 0 chips.
[17:47:07	]C24:i3.UNION-66 has gained a 'Ammunition Pouch' #15660.
[17:47:08	]C24:i1.VICTOR-63 has changed C24:i1.VICTOR-63's bodygroups.
[17:47:09	]Luther Campbell exited observer at their location.
[17:47:10	]C24:i3.UNION-66 has gained 0 chips.
[17:47:10	]C24:i3.UNION-66 has gained a 'SMG Mermisi' #15661.
[17:47:11	]Alexander Ivanov used command '/Broadcast Sevgili yurttaşlar, Vardiya Deposu 2'de taşıma işi başlamıştır. Üst işbirlikçi partisinden omlayan her yurttaş için katılım zorunludur.'.
[17:47:17	]Luther Campbell entered observer.
[17:47:19	][LOOC] C24:RL.XRAY-57: duvara geçim
[17:47:20	][LOOC] C24:RL.XRAY-57: duvara geçin
[17:47:22	]Alexander Ivanov entered observer.
[17:47:26	][LOOC] C24:RL.XRAY-57: sen de
[17:47:29	][LOOC] C24:RL.XRAY-57: res yiyecek
[17:47:30	]C24:i3.UNION-66 ran 'combine' on item '30rnd MP-şarjörü' (#15653)
[17:47:30	][LOOC] C24:RL.XRAY-57: ayrılmayın
[17:47:31	]C24:i3.UNION-66 ran 'combine' on item '30rnd MP-şarjörü' (#15652)
[17:47:32	]C24:i3.UNION-66 ran 'combine' on item '30rnd MP-şarjörü' (#15651)
[17:47:34	]C24:i3.UNION-66 ran 'combine' on item '30rnd MP-şarjörü' (#15650)
[17:47:34	]Luther Campbell has taken 1 damage from env_fire.
[17:47:34	]Luther Campbell has taken 1 damage from env_fire.
[17:47:34	]Luther Campbell has taken 1 damage from env_fire.
[17:47:35	]Luther Campbell has taken 1 damage from env_fire.
[17:47:35	]Luther Campbell has taken 1 damage from env_fire.
[17:47:35	]Luther Campbell has taken 1 damage from env_fire.
[17:47:37	][LOOC] C24:RL.XRAY-57: gelince çok kısa bi konuşma yapacağım
[17:47:38	]Valentino Threshed entered observer.
[17:47:42	][LOOC] C24:RL.XRAY-57: sonra salınacaksınız
[17:47:44	][LOOC] C24:RCT.YELLO-99: sonra rolemi gircez 
[17:47:46	][LOOC] C24:RL.XRAY-57: evet
[17:47:47	][LOOC] C24:i1.VICTOR-63: tamam
[17:47:47	]C24:i3.UNION-35 is no longer afk. Total time spent AFK: 340
[17:47:54	][LOOC] C24:RCT.YELLO-99: angara akdere mevzuya bak hele
[17:47:54	][LOOC] C24:RL.XRAY-57: eğitim yine yapılacak teker teker yapacağım
[17:47:54	]Alexander Ivanov exited observer at their location.
[17:47:59	][LOOC] C24:RL.XRAY-57: sizi sahadan çekeceğim
[17:48:02	][LOOC] C24:RL.XRAY-57: belirli kil
[17:48:02	]Luther Campbell exited observer at their location.
[17:48:03	][LOOC] C24:RL.XRAY-57: kişileri
[17:48:05	][ME] Alexander Ivanov: eşyaları alır, ilerler
[17:48:05	][LOOC] C24:RCT.YELLO-91: csgo addon istiyo bazı seyler error, ben csgo indireyim askflşasklgşasklg
[17:48:12	][LOOC] C24:RL.XRAY-57: sokaklar boş kalmasın diye herkesi aynı anda yapamayız
[17:48:14	][LOOC] C24:i1.VICTOR-63: onlar düzeltiliyor
[17:48:14	]Alexander Ivanov entered observer.
[17:48:16	]Luther Campbell entered observer.
[17:48:22	][LOOC] C24:i3.UNION-35: rolün biir kısmında yokum konuşmayı dinleyebilirim ama
[17:48:37	]C24:i1.VICTOR-63 used command '/CharDesc'.
[17:48:42	]Alexander Ivanov exited observer at their location.
[17:48:43	]Luther Campbell exited observer at their location.
[17:48:44	]Alexander Ivanov entered observer.
[17:48:46	]Alexander Ivanov exited observer at their location.
[17:48:47	]Alexander Ivanov entered observer.
[17:48:47	]Alexander Ivanov exited observer at their location.
[17:48:49	]Luther Campbell entered observer.
[17:48:50	]C24:RL.XRAY-57 used command '/CharSetName 99 C24:i4.XRAY-22'.
[17:48:50	]Luther Campbell exited observer at their location.
[17:48:56	]C24:i3.UNION-66 ran 'Equip' on item 'MP5A3' (#15649)
[17:49:00	]Alexander Ivanov entered observer.
[17:49:01	]Alexander Ivanov exited observer at their location.
[17:49:02	][LOOC] C24:RL.XRAY-57: i3 union, i4 xray ve i1 victor sahadaki en üst birimler olacak bugün
[17:49:11	][LOOC] C24:i4.XRAY-22: hmmm
[17:49:11	]Luther Campbell entered observer.
[17:49:11	][LOOC] C24:RL.XRAY-57: önceden eğitimleri var ve bazılarını tanıdığımdan
[17:49:12	]Alexander Ivanov entered observer.
[17:49:15	][LOOC] C24:RL.XRAY-57: diğer RCTler
[17:49:19	][LOOC] C24:RL.XRAY-57: i5 olacaksınız eğitim sonrası
[17:49:22	]Luther Campbell has spawned a cwulock.
[17:49:23	][LOOC] C24:RL.XRAY-57: sahada onlara bağlısınız
[17:49:25	]Luther Campbell ran 'take' on item 'CWU Lock' (#15662)
[17:49:25	]Luther Campbell has gained a 'CWU Lock' #15662.
[17:49:27	][LOOC] C24:RCT.YELLO-30: :D
[17:49:27	]Luther Campbell ran 'Place' on item 'CWU Lock' (#15662)
[17:49:29	][LOOC] C24:RL.XRAY-57: bugün teker teker RCTleri çekip özel eğitim vereceğim
[17:49:35	]Luther Campbell exited observer at their location.
[17:49:42	][LOOC] Luther Campbell: adamlarım benim be
[17:49:47	][LOOC] Luther Campbell: seviyom sizi
[17:49:50	]C24:i4.XRAY-22 used command '/PM rl i4 ün pistol yetkisi avr demi'.
[17:49:50	][LOOC] Luther Campbell: <3
[17:49:51	][LOOC] C24:RCT.YELLO-91: Luther dc adın ne
[17:49:55	]C24:RL.XRAY-57 used command '/PM 22 var'.
[17:49:56	][LOOC] Luther Campbell: lucifer
[17:49:56	]Luther Campbell entered observer.
[17:52:18	]crat has connected.
[17:52:40	]Jhonny has connected.
[17:53:10	]Remos has connected.
[17:53:41	]THE ÖMER has connected.
[17:54:14	]Scientist has connected.
[17:54:18	]Jhonny loaded the character 'C24:i4.XRAY-22'
[17:54:26	]THE ÖMER loaded the character 'C24:RCT.YELLO-30'
[17:54:31	]C24:RCT.YELLO-30 is fully healed.
[17:54:36	][LOOC] C24:i4.XRAY-22: gel sarılalım
[17:54:44	][ME] C24:i4.XRAY-22: sarılır
[17:54:56	][IT] C24:RCT.YELLO-30: şahsımda sarılır
[17:55:08	][LOOC] C24:RCT.YELLO-30: biz manyakmıyız
[17:55:22	]Hoo Lee Fuk has connected.
[17:55:23	]Wonder Of You has connected.
[17:55:27	]crat loaded the character 'C24:RL.XRAY-57'
[17:55:27	][LOOC] C24:i4.XRAY-22: kendinmi bilirim ama seni bilemem
[17:55:31	]C24:RL.XRAY-57 is fully healed.
[17:55:38	][IT] C24:RCT.YELLO-30: işlemi bitirir
[17:55:42	][LOOC] C24:RL.XRAY-57: lore bilgisi vereceğim azcık
[17:55:43	][LOOC] C24:i4.XRAY-22: öpimmi bide
[17:55:44	][LOOC] C24:RL.XRAY-57: bazı kurallar
[17:55:47	][LOOC] C24:RL.XRAY-57: LAN
[17:55:50	]Lynx has connected.
[17:55:51	][LOOC] C24:i4.XRAY-22: yok yok
[17:55:51	][LOOC] C24:RL.XRAY-57: erp sadece bize kardeş
[17:55:54	][LOOC] C24:RCT.YELLO-30: bu sarılıyor
[17:55:56	][LOOC] C24:RL.XRAY-57: reproduction simulation
[17:55:58	][LOOC] C24:RL.XRAY-57: hadi
[17:55:59	][LOOC] C24:RL.XRAY-57: bakim
[17:56:07	][LOOC] C24:i4.XRAY-22: o similasyon ama
[17:56:10	][LOOC] C24:RCT.YELLO-30: fun rp ya
[17:56:11	][LOOC] C24:RL.XRAY-57: sus la
[17:56:19	][LOOC] C24:i4.XRAY-22: KOMUTANIN SUS DİYO LAN
[17:56:27	]Hoo Lee Fuk loaded the character 'C24:RCT.YELLO-91'
[17:56:33	][LOOC] C24:i4.XRAY-22: fuxk
[17:56:34	]Remos loaded the character 'C24:i1.VICTOR-63'
[17:56:35	][LOOC] C24:RCT.YELLO-30: dondum
[17:56:46	]C24:RL.XRAY-57 used command '/ActStand 5'.
[17:56:49	]AuTiSTiC has connected.
[17:56:50	]Wonder Of You loaded the character 'Valentino Threshed'
[17:56:55	]Valentino Threshed is fully healed.
[17:57:00	]Valentino Threshed entered observer.
[17:57:00	][LOOC] C24:RL.XRAY-57: komut da öğreteyim
[17:57:01	]C24:RL.XRAY-57 used command '/ActStand 4'.
[17:57:02	]C24:RL.XRAY-57 used command '/ExitAct'.
[17:57:03	]C24:RL.XRAY-57 used command '/ActStand 4'.
[17:57:04	]Valentino Threshed has used a context menu option with the name: remove
[17:57:04	]C24:RL.XRAY-57 used command '/ExitAct'.
[17:57:04	]C24:RL.XRAY-57 used command '/ActStand 3'.
[17:57:05	]Valentino Threshed exited observer at their location.
[17:57:05	]C24:RL.XRAY-57 used command '/ExitAct'.
[17:57:06	]C24:RL.XRAY-57 used command '/ActStand 2'.
[17:57:06	]C24:RL.XRAY-57 used command '/ExitAct'.
[17:57:07	]C24:RL.XRAY-57 used command '/ActStand 1'.
[17:57:10	][LOOC] C24:RL.XRAY-57: /actstand 1
[17:57:11	][LOOC] C24:i1.VICTOR-63: ne öğrettin ki az önce
[17:57:12	]Valentino Threshed entered observer.
[17:57:14	][LOOC] C24:RL.XRAY-57: hazırda bekleme
[17:57:14	]C24:RL.XRAY-57 used command '/ExitAct'.
[17:57:15	]C24:i4.XRAY-22 used command '/ActStand 1'.
[17:57:16	]Valentino Threshed exited observer at their location.
[17:57:18	]C24:i1.VICTOR-63 used command '/ActStand 1'.
[17:57:21	]C24:RCT.YELLO-30 used command '/ActStand 1'.
[17:57:21	]C24:i4.XRAY-22 used command '/ExitAct'.
[17:57:23	]C24:RCT.YELLO-30 used command '/ExitAct'.
[17:57:23	]C24:i4.XRAY-22 used command '/ActStand 2'.
[17:57:25	]C24:i4.XRAY-22 used command '/ExitAct'.
[17:57:28	]C24:i4.XRAY-22 used command '/ActStand 3'.
[17:57:28	]C24:RCT.YELLO-91 used command '/ActStand 1'.
[17:57:29	]C24:i4.XRAY-22 used command '/ExitAct'.
[17:57:32	][LOOC] C24:RCT.YELLO-30: kullanalım mı?
[17:57:33	]C24:i4.XRAY-22 used command '/ActStand 4'.
[17:57:33	]C24:i1.VICTOR-63 used command '/ExitAct'.
[17:57:34	]C24:i4.XRAY-22 used command '/ExitAct'.
[17:57:36	]C24:i1.VICTOR-63 used command '/ActStand 1'.
[17:57:36	]C24:i4.XRAY-22 used command '/ActStand 5'.
