[15:28:37	]İlkokul Kundakçısı has connected.
[22:18:50	]Feliks Nowak has fired a toolgun with the name: stacker_improved
[22:18:50	]Feliks Nowak has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[22:19:04	]Feliks Nowak has fired a toolgun with the name: stacker_improved
[22:19:04	]Feliks Nowak has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[22:19:19	]Feliks Nowak has fired a toolgun with the name: stacker_improved
[22:19:19	]Feliks Nowak has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[22:19:24	]Feliks Nowak has used a context menu option with the name: remove
[22:19:41	]Feliks Nowak has fired a toolgun with the name: stacker_improved
[22:19:41	]Feliks Nowak has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[22:20:38	]Feliks Nowak has enabled persistence for 'models/props_combine/combine_booth_short01a.mdl'.
[22:20:38	]Feliks Nowak has used a context menu option with the name: persist
[22:20:38	]Feliks Nowak has enabled persistence for 'models/props_combine/combine_barricade_short01a.mdl'.
[22:20:38	]Feliks Nowak has used a context menu option with the name: persist
[22:20:39	]Feliks Nowak has enabled persistence for 'models/props_combine/combine_barricade_short01a.mdl'.
[22:20:39	]Feliks Nowak has used a context menu option with the name: persist
[22:20:40	]Feliks Nowak has enabled persistence for 'models/props_combine/combine_barricade_short01a.mdl'.
[22:20:40	]Feliks Nowak has used a context menu option with the name: persist
[22:20:41	]Feliks Nowak has enabled persistence for 'models/props_combine/combine_barricade_short01a.mdl'.
[22:20:41	]Feliks Nowak has used a context menu option with the name: persist
[22:20:42	]Feliks Nowak has enabled persistence for 'models/props_combine/combine_booth_short01a.mdl'.
[22:20:42	]Feliks Nowak has used a context menu option with the name: persist
[22:21:25	]Feliks Nowak has spawned 'models/props_trainstation/tracksign10.mdl'.
[22:21:41	]Feliks Nowak has spawned 'models/props_trainstation/tracksign10.mdl'.
[22:21:53	]Feliks Nowak has used a context menu option with the name: clientprop
[22:21:57	]Feliks Nowak has used a context menu option with the name: clientprop
[22:22:32	]Feliks Nowak has spawned 'models/props_c17/signpole001.mdl'.
[22:22:37	]Feliks Nowak has spawned 'models/props_c17/signpole001.mdl'.
[22:22:53	]Feliks Nowak has spawned 'models/props_c17/streetsign004f.mdl'.
[22:23:21	]Feliks Nowak entered observer.
[22:23:44	]Feliks Nowak exited observer at their location.
[22:23:59	]Feliks Nowak has fired a toolgun with the name: weld
[22:23:59	]Feliks Nowak has fired a toolgun with the name: weld
[22:24:15	]Feliks Nowak has fired a toolgun with the name: duplicator
[22:24:15	]Feliks Nowak has spawned 'models/props_c17/signpole001.mdl'.
[22:24:15	]Feliks Nowak has spawned 'models/props_c17/streetsign004f.mdl'.
[22:24:19	]Feliks Nowak has fired a toolgun with the name: duplicator
[22:24:19	]Feliks Nowak has spawned 'models/props_c17/signpole001.mdl'.
[22:24:19	]Feliks Nowak has spawned 'models/props_c17/streetsign004f.mdl'.
[22:24:22	]Feliks Nowak has fired a toolgun with the name: remover
[22:24:22	]Feliks Nowak has fired a toolgun with the name: remover
[22:24:29	]Feliks Nowak has fired a toolgun with the name: duplicator
[22:24:29	]Feliks Nowak has spawned 'models/props_c17/signpole001.mdl'.
[22:24:29	]Feliks Nowak has spawned 'models/props_c17/streetsign004f.mdl'.
[22:24:43	]Feliks Nowak has fired a toolgun with the name: remover
[22:24:44	]Feliks Nowak has fired a toolgun with the name: remover
[22:24:50	]Feliks Nowak has fired a toolgun with the name: duplicator
[22:24:50	]Feliks Nowak has spawned 'models/props_c17/signpole001.mdl'.
[22:24:50	]Feliks Nowak has spawned 'models/props_c17/streetsign004f.mdl'.
[22:25:00	]Feliks Nowak has spawned 'models/props_trainstation/tracksign01.mdl'.
[22:25:20	]Feliks Nowak entered observer.
[22:25:21	]Feliks Nowak exited observer at their location.
[22:25:25	]Feliks Nowak entered observer.
[22:25:26	]Feliks Nowak exited observer at their location.
[22:25:48	]Feliks Nowak entered observer.
[22:25:48	]Feliks Nowak exited observer at their location.
[22:25:49	]Feliks Nowak entered observer.
[22:25:49	]Feliks Nowak exited observer at their location.
[22:25:50	]Feliks Nowak entered observer.
[22:25:50	]Feliks Nowak exited observer at their location.
[22:25:51	]Feliks Nowak entered observer.
[22:25:54	]Feliks Nowak exited observer at their location.
[22:25:55	]Feliks Nowak entered observer.
[22:25:57	]Feliks Nowak exited observer at their location.
[22:26:10	]Feliks Nowak entered observer.
[22:26:10	]Feliks Nowak exited observer at their location.
[22:26:11	]Feliks Nowak entered observer.
[22:26:16	]Feliks Nowak exited observer at their location.
[22:27:00	]Feliks Nowak entered observer.
[22:27:00	]Feliks Nowak exited observer at their location.
[22:27:33	]Feliks Nowak entered observer.
[22:27:34	]Feliks Nowak exited observer at their location.
[22:27:55	]Feliks Nowak entered observer.
[22:27:56	]Feliks Nowak exited observer at their location.
[22:27:57	]Feliks Nowak entered observer.
[22:27:57	]Feliks Nowak exited observer at their location.
[22:28:00	]Feliks Nowak has used a context menu option with the name: remove
[22:28:03	]Feliks Nowak entered observer.
[22:28:04	]Feliks Nowak exited observer at their location.
[22:28:04	]Feliks Nowak entered observer.
[22:28:04	]Feliks Nowak exited observer at their location.
[22:28:05	]Feliks Nowak entered observer.
[22:28:05	]Feliks Nowak exited observer at their location.
[22:28:06	]Feliks Nowak entered observer.
[22:28:49	]Feliks Nowak exited observer at their location.
[22:34:05	]Feliks Nowak has gone afk.
[23:03:25	]Feliks Nowak is fully healed.
[23:49:00	]Feliks Nowak is no longer afk. Total time spent AFK: 4790
[23:49:07	]Feliks Nowak entered observer.
[23:49:08	]Feliks Nowak exited observer at their location.
[23:49:09	]Enistein (STEAM_0:1:98500861) has disconnected.
