[07:51:29	]Goblin has connected.
[17:44:32	][IC] C17:RCT.UNION-25: <:: Yürü! ::>
[17:44:34	]John Brookly used command '/Reply yazdığımı geri oku'.
[17:44:38	]Anton Fhiphi has given himself a magazine_mp_30rnd.
[17:44:38	]Anton Fhiphi has gained a '30rnd MP-şarjörü' #31361.
[17:44:41	][IC] Michael Sauers: Ayakta mı uyuyor bu?
[17:44:41	]C17:RCT.UNION-25 used command '/ActThreat'.
[17:44:44	]Anton Fhiphi has given himself a bullets_smg1.
[17:44:44	]Anton Fhiphi has gained a 'SMG Mermisi' #31362.
[17:44:47	]Anton Fhiphi ran 'combine' on item '30rnd MP-şarjörü' (#31361)
[17:44:47	]muhammet hoca used command '/CharSetSkin muhammet beard2'.
[17:44:50	]Anton Fhiphi entered observer.
[17:44:51	]John Brookly has used a context menu option with the name: vendor_edit
[17:44:52	]Anton Fhiphi exited observer at their location.
[17:44:53	]Anton Fhiphi entered observer.
[17:44:56	]C17:i3.UNION-66 used command '/PM broo beyin yanlış işledi'.
[17:45:00	][IC] Michael Sauers: Öyle görünüyor.
[17:45:01	]Maya Morgan ran 'take' on item 'Elektronik devreler' (#31364)
[17:45:01	]Maya Morgan has gained a 'Elektronik devreler' #31364.
[17:45:03	][LOOC] C17:i3.UNION-66: açıklaması normla adamın
[17:45:04	]Maya Morgan ran 'take' on item 'Boş Kupa' (#31363)
[17:45:04	]Maya Morgan has gained a 'Boş Kupa' #31363.
[17:45:09	][LOOC] C17:i3.UNION-66: tabikide anormal biri
[17:45:09	][IC] C17:RCT.UNION-25: <:: İlerle! ::>
[17:45:14	][IC] C17:i3.UNION-66: <:: Hey. ::>
[17:45:15	]Maya Morgan used command '/ViewInfo fikri'.
[17:45:16	]John Brookly has used a context menu option with the name: vendor_edit
[17:45:17	][IC] Michael Sauers: Tamam adamım.
[17:45:17	]Anton Fhiphi exited observer at their location.
[17:45:17	]muhammet hoca used command '/CharSetBodygroup muhammet beard 3'.
[17:45:20	]muhammet hoca used command '/CharSetBodygroup muhammet beard 3'.
[17:45:22	]muhammet hoca used command '/CharSetBodygroup muhammet beard 2'.
[17:45:23	][IC] C17:i5.UNION-35: <:: Kişi uyuyor gibi. ::>
[17:45:24	]Anton Fhiphi entered observer.
[17:45:24	]Anton Fhiphi exited observer at their location.
[17:45:24	]muhammet hoca used command '/CharSetBodygroup muhammet beard 1'.
[17:45:27	]muhammet hoca used command '/CharSetBodygroup muhammet beard 5'.
[17:45:30	]Anton Fhiphi entered observer.
[17:45:31	]Anton Fhiphi exited observer at their location.
[17:45:32	]Anton Fhiphi entered observer.
[17:45:34	]Maya Morgan used command '/CharEditBodygroup maya'.
[17:45:39	]Maya Morgan entered observer.
[17:45:49	][IC] C17:i1.HELIX-12: <:: SEN. ::>
[17:45:56	][IC] C17:i1.HELIX-12: <:: Neden yaralı dolaşıyorsun. ::>
[17:45:59	][IC] C17:i1.HELIX-12: <:: Bir sorun mu var? ::>
[17:46:00	]John Brookly has spawned a civil_protection_ration.
[17:46:02	]John Brookly ran 'Open' on item 'Sivil Koruma Rasyonu' (#31366)
[17:46:02	]John Brookly has gained a 'Metropolice Takviyeleri' #31367.
[17:46:02	]John Brookly has gained a 'Soda Bob Brawn' #31368.
[17:46:02	]John Brookly has gained a '20 Kredi Kuponu' #31369.
[17:46:05	]John Brookly has used a context menu option with the name: vendor_edit
[17:46:08	][IC] C17:i1.HELIX-12: <:: Büyük yaralarına bakılırsa düşmemişsin. ::>
[17:46:08	]Anton Fhiphi has gained a '30rnd MP-şarjörü' #30903.
[17:46:08	]Anton Fhiphi has lost a '30rnd MP-şarjörü' #31361.
[17:46:09	][LOOC] C17:i3.UNION-66: bazı büyük yaraları var
[17:46:18	]John Brookly ran 'Consume' on item 'Metropolice Takviyeleri' (#31367)
[17:46:18	]John Brookly has updated their Güç long boost target to 3 (current : 15).
[17:46:19	]John Brookly ran 'Consume' on item 'Soda Bob Brawn' (#31368)
[17:46:19	]John Brookly has wasted a level 1 long boost in Algı (current: 15; target: 5).
[17:46:19	]John Brookly has wasted a level 2 long boost in Çeviklik (current: 15; target: 3).
[17:46:20	][IC] C17:i1.HELIX-12: <:: Öyle mi. ::>
[17:46:20	]John Brookly ran 'drop' on item 'Plastik Çöp' (#30465)
[17:46:20	]John Brookly has lost a 'Plastik Çöp' #30465.
[17:46:22	][IT] C17:i3.UNION-66: yarasının görünüşü nasıldır?
[17:46:22	]John Brookly has used a context menu option with the name: remove
[17:46:23	]John Brookly ran 'drop' on item 'Boş Breen'in Suyu' (#30466)
[17:46:23	]John Brookly has lost a 'Boş Breen'in Suyu' #30466.
[17:46:24	]John Brookly ran 'drop' on item '20 Kredi Kuponu' (#31369)
[17:46:24	]John Brookly has lost a '20 Kredi Kuponu' #31369.
[17:46:25	]John Brookly has used a context menu option with the name: rb655_dissolve
[17:46:26	]John Brookly has used a context menu option with the name: remove
[17:46:27	]env_entity_dissolver destroyed a 'Boş Breen'in Suyu' #30466.
[17:46:28	][IT] C17:i1.HELIX-12: Yaraları neye benzemektedir
[17:46:36	][IT] Fikri Gül: Bacağı hafif burkulmuş gözüküyor
[17:46:39	][IC] C17:i1.HELIX-12: <:: Pekala. ::>
[17:46:45	][LOOC] C17:i3.UNION-66: o nasıl burkulma
[17:46:46	]John Brookly exited observer at their location.
[17:46:48	][IC] C17:i1.HELIX-12: <:: Sen. ::>
[17:46:51	]John Brookly has used a context menu option with the name: remove
[17:46:54	][IC] C17:i1.HELIX-12: <:: Senin neden kol bandın yok? ::>
[17:46:55	][LOOC] C17:i3.UNION-66: olsa ols akırıktır o
[17:47:01	][IC] C17:i1.HELIX-12: <:: Kol bandın nerede vatandaş. ::>
[17:47:05	]Fikri Gül has given himself a bandage.
[17:47:05	]Fikri Gül has gained a 'Bandaj Rulosu' #31370.
[17:47:07	]Fikri Gül ran 'use' on item 'Bandaj Rulosu' (#31370)
[17:47:07	]Fikri Gül has performed the 'Use Bandaj Rulosu' action, gaining 15 experience in medicine.
[17:47:07	]Fikri Gül was bandaged by Fikri Gül for 15 HP.
[17:47:08	]Fikri Gül ran 'use' on item 'Bandaj Rulosu' (#31370)
[17:47:08	]Fikri Gül has performed the 'Use Bandaj Rulosu' action, gaining 15 experience in medicine.
[17:47:08	]Fikri Gül was bandaged by Fikri Gül for 15 HP.
[17:47:08	]Fikri Gül ran 'use' on item 'Bandaj Rulosu' (#31370)
[17:47:08	]Fikri Gül has performed the 'Use Bandaj Rulosu' action, gaining 12 experience in medicine.
[17:47:08	]Fikri Gül was bandaged by Fikri Gül for 15 HP.
[17:47:09	]Fikri Gül ran 'use' on item 'Bandaj Rulosu' (#31370)
[17:47:09	]Fikri Gül was bandaged by Fikri Gül for 15 HP.
[17:47:09	]Fikri Gül ran 'use' on item 'Bandaj Rulosu' (#31370)
[17:47:09	]Fikri Gül was bandaged by Fikri Gül for 15 HP.
[17:47:10	]Fikri Gül ran 'use' on item 'Bandaj Rulosu' (#31370)
[17:47:10	]Fikri Gül was bandaged by Fikri Gül for 15 HP.
[17:47:11	][IC] C17:i1.HELIX-12: <:: Tekrarla anlaşılmadı? ::>
[17:47:11	]Anton Fhiphi has gained a '30rnd MP-şarjörü' #31361.
[17:47:11	]Anton Fhiphi has lost a '30rnd MP-şarjörü' #30903.
[17:47:15	][IC] C17:i3.UNION-66: <:: Hmph. ::>
[17:47:17	]Fikri Gül has given himself a firstaid.
[17:47:17	]Fikri Gül has gained a 'İlk Yardım Kiti' #31371.
[17:47:18	]Fikri Gül ran 'use' on item 'İlk Yardım Kiti' (#31371)
[17:47:18	]Fikri Gül was disinfected by Fikri Gül for 60 seconds.
[17:47:18	]Fikri Gül was bandaged by Fikri Gül for 50 HP.
[17:47:18	][IC] C17:i1.HELIX-12: <:: Verilmedi mi? ::>
[17:47:19	][IC] C17:i3.UNION-66: <:: Kimliğini. ::>
[17:47:19	]Fikri Gül ran 'use' on item 'İlk Yardım Kiti' (#31371)
[17:47:19	]Fikri Gül was disinfected by Fikri Gül for 60 seconds.
[17:47:19	]Fikri Gül was bandaged by Fikri Gül for 50 HP.
[17:47:20	]Fikri Gül ran 'use' on item 'İlk Yardım Kiti' (#31371)
[17:47:20	]Fikri Gül was disinfected by Fikri Gül for 60 seconds.
[17:47:20	]Fikri Gül was bandaged by Fikri Gül for 50 HP.
[17:47:20	]Fikri Gül has gained a 'Dikişli Kumaş' #31372.
[17:47:20	][IC] C17:i3.UNION-66: <:: Doğrula. ::>
[17:47:21	]Raoh Riko has gone afk.
[17:47:22	]Fikri Gül has given himself a firstaid.
[17:47:22	]Fikri Gül has gained a 'İlk Yardım Kiti' #31373.
[17:47:23	]Fikri Gül has given himself a firstaid.
[17:47:23	]Fikri Gül has gained a 'İlk Yardım Kiti' #31374.
[17:47:24	]Fikri Gül ran 'use' on item 'İlk Yardım Kiti' (#31373)
[17:47:24	]Fikri Gül was disinfected by Fikri Gül for 60 seconds.
[17:47:24	]Fikri Gül was bandaged by Fikri Gül for 50 HP.
[17:47:25	]Fikri Gül ran 'use' on item 'İlk Yardım Kiti' (#31373)
[17:47:25	]Fikri Gül was disinfected by Fikri Gül for 60 seconds.
[17:47:25	]Fikri Gül was bandaged by Fikri Gül for 50 HP.
[17:47:25	]muhammet hoca used command '/ID'.
[17:47:25	]Fikri Gül ran 'drop' on item 'İlk Yardım Kiti' (#31373)
[17:47:25	]Fikri Gül has lost a 'İlk Yardım Kiti' #31373.
[17:47:28	]Fikri Gül ran 'take' on item 'İlk Yardım Kiti' (#31373)
[17:47:28	]Fikri Gül has gained a 'İlk Yardım Kiti' #31373.
[17:47:29	]Fikri Gül ran 'use' on item 'İlk Yardım Kiti' (#31373)
[17:47:29	]Fikri Gül was disinfected by Fikri Gül for 60 seconds.
[17:47:29	]Fikri Gül was bandaged by Fikri Gül for 50 HP.
[17:47:29	]Fikri Gül has gained a 'Dikişli Kumaş' #31375.
[17:47:29	]Fikri Gül ran 'split' on item 'İlk Yardım Kiti' (#31374)
[17:47:30	]Fikri Gül has gained a 'İlk Yardım Kiti' #31376.
[17:47:31	]Fikri Gül ran 'use' on item 'İlk Yardım Kiti' (#31374)
[17:47:31	]Fikri Gül was disinfected by Fikri Gül for 60 seconds.
[17:47:31	]Fikri Gül was bandaged by Fikri Gül for 50 HP.
[17:47:31	]Fikri Gül ran 'use' on item 'İlk Yardım Kiti' (#31374)
[17:47:31	]Fikri Gül was disinfected by Fikri Gül for 60 seconds.
[17:47:31	]Fikri Gül was bandaged by Fikri Gül for 50 HP.
[17:47:31	]Fikri Gül has gained a 'Dikişli Kumaş' #31377.
[17:47:32	]John Brookly ran SAM command 'asay' with arguments: '3be'
[17:47:32	]Fikri Gül ran 'use' on item 'İlk Yardım Kiti' (#31376)
[17:47:32	]Fikri Gül was disinfected by Fikri Gül for 60 seconds.
[17:47:32	]Fikri Gül was bandaged by Fikri Gül for 50 HP.
[17:47:32	]Fikri Gül has gained a 'Dikişli Kumaş' #31378.
[17:47:36	][IT] muhammet hoca: kişi 69 yaşında 
[17:47:36	]John Brookly ran SAM command 'asay' with arguments: 'ses geliyo'
[17:47:37	][IC] John Brookly: #LKASGLKASGLKAS.
[17:47:41	]John Brookly ran SAM command 'asay' with arguments: 'aASLGKALSGLKASG'
[17:47:41	][IC] C17:i3.UNION-66: <:: Muhammet hoca mı? ::>
[17:47:41	][IC] C17:i1.HELIX-12: <:: Kimliğini kontrol edin vatandaş mı değil mi. ::>
[17:47:47	][IC] C17:RCT.UNION-25: <:: 2 violasyon. ::>
[17:47:51	][IC] C17:i3.UNION-66: <:: Duvara geçin. ::>
[17:48:00	][IC] C17:i1.HELIX-12: <:: DAĞILIN. ::>
[17:48:02	]Anton Fhiphi has gained a '30rnd MP-şarjörü' #30903.
[17:48:02	]Anton Fhiphi has lost a '30rnd MP-şarjörü' #31361.
[17:48:03	][IC] C17:i1.HELIX-12: <:: ŞİMDİ. ::>
[17:48:06	][IC] C17:RCT.UNION-25: <:: Hemen geri çekilin! ::>
[17:48:11	]Anton Fhiphi exited observer at their location.
[17:48:12	][IC] C17:i1.HELIX-12: <:: Sana diyorum. ::>
[17:48:12	][ME] C17:i3.UNION-66: kişinin 2 bacağını açar ve orta sertlikte arar
[17:48:15	][IC] C17:RCT.UNION-25: <:: İlerle! ::>
[17:48:17	]C17:i3.UNION-66 used command '/CharSearch'.
[17:48:20	]John Brookly entered observer.
[17:48:24	]C17:i1.HELIX-12 has lost a '30rnd MP-şarjörü' #29890.
[17:48:25	]Anton Fhiphi entered observer.
[17:48:28	][IC] C17:RCT.UNION-25: <:: Ateş edildi; düşman habisler burada. ::>
[17:48:29	][IC] C17:i1.HELIX-12: <:: Ateş sesi? ::>
[17:48:29	][Y] Michael Sauers: Ne oluyor?!
[17:48:29	]Fikri Gül entered observer.
[17:48:33	]John Brookly exited observer at their location.
[17:48:36	][IC] C17:i1.HELIX-12: <:: Siz ikiniz. ::>
[17:48:37	][IC] C17:i1.HELIX-12: <:: Dağılın. ::>
[17:48:38	]John Brookly ran 'Write' on item 'Büyük Kürdistan Hayali' (#30658)
[17:48:40	][IC] C17:i1.HELIX-12: <:: Ateş sesini bulun. ::>
[17:48:45	][IC] C17:i5.UNION-35: <:: 10-4. ::>
[17:48:46	][IC] C17:i1.HELIX-12: <:: Şimdi. ::>
[17:48:49	][IC] C17:i1.HELIX-12: <:: Ilerle. ::>
[17:48:50	]John Brookly ran 'take' on item 'Büyük Kürdistan Hayali' (#30658)
[17:48:50	]John Brookly has gained a 'Büyük Kürdistan Hayali' #30658.
[17:48:50	][IC] C17:i3.UNION-66: <:: Kişide demir var. ::>
[17:48:51	][IC] C17:i1.HELIX-12: <:: Ilerle. ::>
[17:48:53	]John Brookly opened the 'File Cabinet' #3719 container.
[17:48:55	]John Brookly has transferred a 'Büyük Kürdistan Hayali' #30658 to a container with the name 'File Cabinet' #3719.
[17:48:55	]John Brookly closed the 'File Cabinet' #3719 container.
[17:48:56	]C17:i3.UNION-66 used command '/CharSearch'.
[17:49:00	]C17:i3.UNION-66 has gained a 'Demir' #29161 from a container with the name 'muhammet hoca' #2362.
[17:49:06	][IC] C17:i5.UNION-35: <:: Silah sesi duymadım ben. ::>
[17:49:08	][IC] C17:i3.UNION-66: <:: Defol buradan! ::>
[17:49:10	][IC] C17:RCT.UNION-25: <:: Ben duydum. ::>
[17:49:10	]C17:i3.UNION-66 has gained a '30rnd MP-şarjörü' #30858.
[17:49:10	]C17:i3.UNION-66 has lost a '30rnd MP-şarjörü' #30861.
[17:49:12	][IC] C17:i1.HELIX-12: <:: Size diyorum. ::>
[17:49:13	][IC] C17:i1.HELIX-12: <:: İLERLEYİN. ::>
[17:49:14	]Anton Fhiphi exited observer at their location.
[17:49:15	][IC] C17:RCT.UNION-25: <:: 10-4. ::>
[17:49:16	]Fikri Gül ran SAM command 'bring' with arguments: 'kasuga'
[17:49:19	]C17:i1.HELIX-12 has gained a '30rnd MP-şarjörü' #29890.
[17:49:19	]C17:i1.HELIX-12 has lost a '30rnd MP-şarjörü' #29889.
[17:49:19	]Kasuga Fruga is no longer afk. Total time spent AFK: 1530
[17:49:20	]Wonder Of You loaded the character 'Wallace Breen'
[17:49:28	]Wallace Breen entered observer.
[17:49:32	][IC] C17:RCT.UNION-25: <:: Hey. ::>
[17:49:43	]C17:i1.HELIX-12 used command '/Radio 404 Bölgesi Girişi Temiz'.
[17:49:48	]John Brookly opened the 'File Cabinet' #3719 container.
[17:49:50	]John Brookly has gained a 'Büyük Kürdistan Hayali' #30658 from a container with the name 'File Cabinet' #3719.
[17:49:50	]John Brookly closed the 'File Cabinet' #3719 container.
[17:49:56	][Y] C17:RCT.UNION-25: <:: Bekle. ::>
[17:50:00	][IC] C17:RCT.UNION-25: <:: Depoları arayalım. ::>
[17:50:04	]C17:i1.HELIX-12 used command '/Radio Ateş sesi duyuldu tetikte olun'.
[17:50:08	][ME] John Brookly: Bilgisayarına oturarak kamera kayıtlarını açar
[17:50:10	]otistik loaded the character 'Isaac Kleiner'
[17:50:13	]Isaac Kleiner entered observer.
[17:50:14	]C17:i5.UNION-35 has gained a '17rnd Usp-Şarjörü' #31138.
[17:50:14	]C17:i5.UNION-35 has lost a '17rnd Usp-Şarjörü' #31137.
[17:50:16	]C17:i5.UNION-35 has gained a '17rnd Usp-Şarjörü' #31137.
[17:50:16	]C17:i5.UNION-35 has lost a '17rnd Usp-Şarjörü' #31138.
[17:50:18	]C17:i3.UNION-66 used command '/Radio KT-1; team advance'.
[17:50:23	]Wallace Breen exited observer at their location.
[17:50:36	]C17:RCT.UNION-25 used command '/Radio KT-1; 2. Vardiya depolarını arıyor.'.
[17:50:38	]Isaac Kleiner exited observer at their location.
[17:50:39	][IC] C17:i1.HELIX-12: <:: Sen. ::>
[17:50:40	]Sinyor Gordon created the character 'Eli Vance'
[17:50:40	]Sinyor Gordon loaded the character 'Eli Vance'
[17:50:40	]Eli Vance has gained a 'Açık Gri Kol Bandı' #31379.
[17:50:40	]Eli Vance has gained a '#65091 Kimlik Kartı' #31380.
[17:50:42	]Eli Vance entered observer.
[17:50:46	]Maya Morgan has gone afk.
[17:50:47	][LOOC] C17:i5.UNION-35: nasıl açtın
[17:50:50	][IC] C17:i1.HELIX-12: <:: Sana diyorum. ::>
[17:50:50	][IC] John Brookly: Sivil Koruma.
[17:50:54	]Eli Vance exited observer at their location.
[17:50:55	][IC] C17:i1.HELIX-12: <:: Dinliyorum. ::>
[17:50:57	]C17:i3.UNION-66 used command '/Radio KT-1; interlock'.
[17:50:57	]C17:RCT.UNION-25 used command '/Radio Deposunu*'.
[17:50:58	]Wallace Breen entered observer.
[17:51:00	]Wallace Breen exited observer at their location.
[17:51:00	]Isaac Kleiner entered observer.
[17:51:01	]Isaac Kleiner exited observer at their location.
[17:51:07	]Eli Vance used command '/CharSetModel Eli models/player/eli.mdl'.
[17:51:09	][IC] John Brookly: Birisi benim masama evrensel birlik karşıtı bir kağıt bırakmış.
[17:51:12	][IC] John Brookly: Kamera kayıtlarına baktım.
[17:51:18	][IC] John Brookly: Bir sivil koruma girmiş en son.
[17:51:18	]C17:i3.UNION-66 used command '/Radio KT-1; team advance'.
[17:51:21	]Wallace Breen entered observer.
[17:51:27	][IC] C17:i1.HELIX-12: <:: Kamera kayıtlarını bana da göster. ::>
[17:51:28	][Y] Isaac Kleiner: Lamar!!!
[17:51:28	]Eli Vance has given himself a flashlight.
[17:51:28	]Eli Vance has gained a 'El Feneri' #31381.
[17:51:34	]C17:i5.UNION-35 has gained a '17rnd Usp-Şarjörü' #31138.
[17:51:34	]C17:i5.UNION-35 has lost a '17rnd Usp-Şarjörü' #31137.
[17:51:35	]Michael Sauers opened the 'Metal Çöp Kutusu' #3654 container.
[17:51:36	][IC] C17:RCT.UNION-25: <:: Temiz. ::>
[17:51:39	]Michael Sauers closed the 'Metal Çöp Kutusu' #3654 container.
[17:51:41	]Isaac Kleiner has used a context menu option with the name: rb655_door_open
[17:51:45	][IC] C17:RCT.UNION-25: <:: Burası temiz. ::>
[17:51:48	][IC] John Brookly: Kamera burda.
[17:51:51	][IC] C17:RCT.UNION-25: <:: Baktım oraya. ::>
[17:51:52	]Wallace Breen admin-searched the 'File Cabinet' #3719 container.
[17:51:52	]Wallace Breen has used a context menu option with the name: wncontainer_view
[17:51:54	]Wallace Breen admin-closed the 'File Cabinet' #3719 container.
[17:51:55	][IC] John Brookly: Burdaki kapıyı açıp içeri bir kağıt bırakmış.
[17:52:00	][IC] John Brookly: Sonra çıkmış.
[17:52:10	][ME] C17:i1.HELIX-12: Kamera kayıtlarını açar ve inceler
[17:52:10	]Isaac Kleiner was knocked unconscious and is bleeding out.
[17:52:10	]C17:RCT.UNION-25 used command '/Radio Vardiya deposu 1 temiz.'.
[17:52:13	]Isaac Kleiner ran SAM command 'respawn' with arguments: ''
[17:52:18	]Isaac Kleiner entered observer.
[17:52:19	]Isaac Kleiner exited observer at their location.
[17:52:19	][ME] John Brookly: Kağıdı çıkartır ve sivil korumaya verir
[17:52:21	][LOOC] C17:i1.HELIX-12: Bakabiliyor muyuz gerçekten yoksa?
[17:52:22	]John Brookly ran 'drop' on item 'Büyük Kürdistan Hayali' (#30658)
[17:52:22	]John Brookly has lost a 'Büyük Kürdistan Hayali' #30658.
[17:52:25	]C17:i1.HELIX-12 ran 'take' on item 'Büyük Kürdistan Hayali' (#30658)
[17:52:25	]C17:i1.HELIX-12 has gained a 'Büyük Kürdistan Hayali' #30658.
[17:52:29	][LOOC] John Brookly: loglardan baktım ben
[17:52:32	][LOOC] John Brookly: kamera kaydı diye
[17:52:41	][IC] Isaac Kleiner: ,.
[17:52:44	]C17:i1.HELIX-12 ran 'Write' on item 'Büyük Kürdistan Hayali' (#30658)
[17:52:49	]C17:i1.HELIX-12 ran 'Write' on item 'Büyük Kürdistan Hayali' (#30658)
[17:52:50	]Isaac Kleiner has fired a toolgun with the name: light
[17:52:50	]Wallace Breen exited observer at their location.
[17:52:50	][IC] C17:i3.UNION-66: <:: Pozisyon al. ::>
[17:52:51	][IC] C17:i5.UNION-35: <:: 25 arkada kaldı. ::>
[17:52:51	]Isaac Kleiner has fired a toolgun with the name: light
[17:52:52	]C17:i1.HELIX-12 ran 'Write' on item 'Büyük Kürdistan Hayali' (#30658)
[17:52:53	]Wallace Breen entered observer.
[17:52:54	]Wallace Breen exited observer at their location.
[17:52:57	]Isaac Kleiner has fired a toolgun with the name: light
[17:52:59	]Isaac Kleiner has fired a toolgun with the name: light
[17:52:59	]Isaac Kleiner has fired a toolgun with the name: light
[17:53:00	]Isaac Kleiner has fired a toolgun with the name: light
[17:53:02	]Isaac Kleiner has fired a toolgun with the name: light
[17:53:02	][IC] C17:i1.HELIX-12: <:: Hmph. ::>
[17:53:03	]C17:i3.UNION-66 used command '/Radio KT-1; team advance'.
[17:53:03	]Isaac Kleiner has fired a toolgun with the name: light
[17:53:05	]Isaac Kleiner has fired a toolgun with the name: light
[17:53:06	]Isaac Kleiner has fired a toolgun with the name: light
[17:53:07	]Isaac Kleiner has fired a toolgun with the name: light
[17:53:08	]Isaac Kleiner has fired a toolgun with the name: light
[17:53:08	]Eli Vance has spawned 'models/props_junk/PopCan01a.mdl'.
[17:53:09	]Wallace Breen has spawned a 'Entity [4359][ix_combinemonitor]'.
[17:53:12	][IT] John Brookly: RCT:U-62 adındaki kişi Sivil İşçi Birliğine girmiştir
[17:53:12	]Isaac Kleiner entered observer.
[17:53:13	]Isaac Kleiner exited observer at their location.
[17:53:16	][IC] C17:i5.UNION-35: <:: Temiz. ::>
[17:53:18	][IT] C17:i1.HELIX-12: SK'nın kimliği gözükmekte mi?
[17:53:18	]C17:i3.UNION-66 used command '/Radio clear'.
[17:53:19	]Wallace Breen has spawned a 'Entity [4359][ix_combinemonitor]'.
[17:53:21	]Isaac Kleiner has spawned a 'Entity [4360][ix_teleporter]'.
[17:53:22	]Wallace Breen entered observer.
[17:53:23	][IC] C17:i5.UNION-35: <:: Arka. ::>
[17:53:26	][IT] C17:i1.HELIX-12: U-62?
[17:53:27	]Wallace Breen exited observer at their location.
[17:53:28	]Isaac Kleiner entered observer.
[17:53:31	]Wallace Breen has spawned a 'Entity [4359][ix_console]'.
[17:53:34	]Wallace Breen entered observer.
[17:53:35	]Wallace Breen exited observer at their location.
[17:53:36	][LOOC] John Brookly: kod yazmıyormu kolunuzda vs
[17:53:40	]Wallace Breen has used a context menu option with the name: skin
[17:53:42	][LOOC] John Brookly: sana kalmıs
[17:53:44	]Wallace Breen has used a context menu option with the name: skin
[17:53:44	]Eli Vance has fired a toolgun with the name: light
[17:53:45	][LOOC] John Brookly: sk lideri sensin
[17:53:47	]Eli Vance has fired a toolgun with the name: light
[17:53:48	][LOOC] C17:i1.HELIX-12: U-62 Banlandı ASJIDSAMDSA
[17:53:52	][IT] John Brookly: +
[17:53:53	]Wallace Breen has spawned a 'Entity [4366][ix_intercom]'.
[17:53:53	][IC] C17:i3.UNION-66: <:: Öksürük sesi mi? ::>
[17:53:53	]Eli Vance has fired a toolgun with the name: light
[17:53:53	]Isaac Kleiner exited observer at their location.
[17:53:55	]Isaac Kleiner entered observer.
[17:53:58	]Wallace Breen has spawned a 'Entity [4365][ix_intercom]'.
[17:53:59	][IC] C17:i1.HELIX-12: <:: Pekala. ::>
[17:53:59	][LOOC] John Brookly: handscar demi
[17:54:02	][IC] C17:i1.HELIX-12: <:: İlgileneceğim. ::>
[17:54:04	][LOOC] C17:i1.HELIX-12: evet 
[17:54:08	][LOOC] John Brookly: hee
[17:54:09	]Wallace Breen has spawned a 'Entity [4372][ix_smuggler]'.
[17:54:11	][IC] C17:i1.HELIX-12: <:: Rapor için teşekkürler. ::>
[17:54:11	][LOOC] John Brookly: nie ban yedi
[17:54:12	]Isaac Kleiner has fired a toolgun with the name: light
[17:54:13	]Isaac Kleiner has spawned a 'Entity [4365][ix_teleporter]'.
[17:54:14	]Eli Vance has spawned 'models/props_junk/cardboard_box003a.mdl'.
[17:54:16	][IC] John Brookly: Önemli değil.
[17:54:18	]Wallace Breen entered observer.
[17:54:20	]Eli Vance has spawned 'models/props_junk/cardboard_box002b.mdl'.
[17:54:22	]Wallace Breen exited observer at their location.
[17:54:24	][IC] C17:i3.UNION-66: <:: Sessiz. ::>
[17:54:24	]Wallace Breen has spawned a 'Entity [4366][ix_shop_sign]'.
[17:54:24	]Eli Vance entered observer.
[17:54:25	]Eli Vance exited observer at their location.
[17:54:25	]Isaac Kleiner has spawned 'models/props/wall9.mdl'.
[17:54:26	]Eli Vance has spawned 'models/props_junk/cardboard_box004a.mdl'.
[17:54:28	][LOOC] C17:i3.UNION-66: alt basın
[17:54:29	]Isaac Kleiner has spawned 'models/props_wasteland/woodwall030b_window02a.mdl'.
[17:54:31	]Eli Vance has spawned 'models/props_junk/cardboard_box004a_gib01.mdl'.
[17:54:32	]Isaac Kleiner has spawned 'models/props_wasteland/woodwall030b_window01a.mdl'.
[17:54:33	]Isaac Kleiner has spawned 'models/props_wasteland/woodwall030b_window01a.mdl'.
[17:54:35	]Isaac Kleiner has spawned 'models/props_wasteland/plasterwall029g_window01a.mdl'.
[17:54:35	]Wallace Breen has spawned a 'Entity [4371][ix_customvendingmachine]'.
[17:54:36	]Isaac Kleiner has spawned 'models/props_wasteland/plasterwall029c_window01a.mdl'.
[17:54:37	]John Brookly has spawned 'models/chairs/armchair.mdl'.
[17:54:37	]Eli Vance has spawned 'models/props_junk/wood_pallet001a.mdl'.
[17:54:38	]Isaac Kleiner has spawned 'models/props_silo/wall_console1.mdl'.
[17:54:39	][LOOC] C17:i3.UNION-66: alt basılı tutarak yürüyün
[17:54:40	]Isaac Kleiner has spawned 'models/barn/barnwall3.mdl'.
[17:54:41	]John Brookly has spawned 'models/highrise/lobby_chair_01.mdl'.
[17:54:42	]Wallace Breen ran 'take' on item 'Vending Machine Key' (#31384)
[17:54:42	]Wallace Breen has gained a 'Vending Machine Key' #31384.
[17:54:42	][IC] C17:i5.UNION-35: <:: Buradaki kapıdan geliyor gibi. ::>
[17:54:43	]Isaac Kleiner has spawned 'models/props/wall10.mdl'.
[17:54:43	]Wallace Breen ran 'take' on item 'Vending Machine Key' (#31382)
[17:54:43	]Wallace Breen has gained a 'Vending Machine Key' #31382.
[17:54:44	]Eli Vance has spawned 'models/props_junk/wood_crate002a.mdl'.
[17:54:44	][LOOC] C17:i1.HELIX-12: Fail RP,REFUSE TO RP,Hakaret,
[17:54:44	]Wallace Breen ran 'take' on item 'Vending Machine Key' (#31383)
[17:54:44	]Wallace Breen has gained a 'Vending Machine Key' #31383.
[17:54:47	]Isaac Kleiner has spawned 'models/props_debris/wall001a_base.mdl'.
