[00:00:00	][IT] C24:i3.KING-20: anlıyor
[00:26:28	]C24:i3.KING-20 used command '/Radio 10-8'.
[00:26:28	][IC] C24:RCT.YELLO-54: <:: Git ve süpürge bul ohalde. ::>
[00:26:29	]nikita used command '/ExitAct'.
[00:26:39	][ME] C24:i3.KING-20: masanın üstündekileri alıyo
[00:26:40	][Y] C24:RCT.YELLO-54: <:: Bitince destek masasına gelin. ::>
[00:26:40	][ME] C24:i3.KING-20: masanın üstündekileri alıyor
[00:26:44	]C24:i3.KING-20 ran 'take' on item 'Metropolice Takviyeleri' (#164065)
[00:26:44	]C24:i3.KING-20 has gained a 'Metropolice Takviyeleri' #164065.
[00:26:45	]C24:i3.KING-20 ran 'take' on item 'Sivil Koruma Rasyonu' (#163798)
[00:26:45	]C24:i3.KING-20 has gained a 'Sivil Koruma Rasyonu' #163798.
[00:26:47	]C24:i3.KING-20 ran 'take' on item 'Kahve' (#159097)
[00:26:47	]C24:i3.KING-20 has gained a 'Kahve' #159097.
[00:27:00	][IC] C24:i3.KING-20: <:: Biraz çekilir misin bitanem. ::>
[00:27:08	][IC] C24:i3.KING-20: <:: Teşekkürler. ::>
[00:27:14	][IC] C24:i3.KING-20: <:: Buyrun. ::>
[00:27:21	][IC] C24:i3.KING-20: <:: Unutma. ::>
[00:27:23	][IC] Kemal Şengör: Bitirdik.
[00:27:24	][IC] C24:i3.KING-20: <:: Zırhını değiştir. ::>
[00:27:30	][IC] C24:RCT.YELLO-54: <:: Hmph. ::>
[00:27:33	]C24:i3.KING-20 used command '/Radio 54 rapor ver'.
[00:27:43	]C24:RCT.YELLO-54 used command '/Radio 10-20 Destek masası problem yok'.
[00:27:47	]C24:i3.KING-20 used command '/Radio copy'.
[00:27:47	]C24:i3.KING-20 opened the 'Rasyon Bölgesi Deposu' stash.
[00:27:50	][IC] C24:RCT.YELLO-54: <:: Doğrula. ::>
[00:27:50	]C24:i3.KING-20 has lost a 'Kahve' #159097.
[00:27:50	]C24:i3.KING-20 has transferred a 'Kahve' #159097 to a container with the name 'Rasyon Bölgesi Deposu' #9837.
[00:27:51	]C24:i3.KING-20 has lost a 'Sivil Koruma Rasyonu' #163798.
[00:27:51	]C24:i3.KING-20 has transferred a 'Sivil Koruma Rasyonu' #163798 to a container with the name 'Rasyon Bölgesi Deposu' #9837.
[00:27:52	]Kemal Şengör used command '/ID'.
[00:27:52	]C24:i3.KING-20 has lost a 'Metropolice Takviyeleri' #164065.
[00:27:52	]C24:i3.KING-20 has transferred a 'Metropolice Takviyeleri' #164065 to a container with the name 'Rasyon Bölgesi Deposu' #9837.
[00:27:53	]nikita used command '/ID'.
[00:27:57	]C24:i3.KING-20 has lost a 'Sivil Koruma Rasyonu' #163252.
[00:27:57	]C24:i3.KING-20 has transferred a 'Sivil Koruma Rasyonu' #163252 to a container with the name 'Rasyon Bölgesi Deposu' #9837.
[00:28:01	]C24:i3.KING-20 closed the 'Rasyon Bölgesi Deposu' stash.
[00:28:08	]Thomas Edward Lawrence used command '/ExitAct'.
[00:28:08	]C24:i3.KING-20 has acquired his ration, gaining 0 credits, 0 wages and a civil_protection_ration ration.
[00:28:21	]C24:i3.KING-20 ran 'take' on item 'Sivil Koruma Rasyonu' (#164115)
[00:28:21	]C24:i3.KING-20 has gained a 'Sivil Koruma Rasyonu' #164115.
[00:28:24	][IC] C24:RCT.YELLO-54: <:: Hizmet et. ::>
[00:28:26	][IC] C24:RCT.YELLO-54: <:: Yürü! ::>
[00:28:28	][IC] C24:RCT.YELLO-54: <:: Hareket et dedim! ::>
[00:28:29	]C24:i3.KING-20 ran 'Open' on item 'Sivil Koruma Rasyonu' (#164115)
[00:28:29	]C24:i3.KING-20 has gained a 'Metropolice Takviyeleri' #164116.
[00:28:29	]C24:i3.KING-20 has gained a 'Soda Bob Brawn' #164117.
[00:28:29	]C24:i3.KING-20 has gained a '20 Kredi Kuponu' #164118.
[00:28:31	]C24:i3.KING-20 ran 'Consume' on item 'Soda Bob Brawn' (#164117)
[00:28:31	]C24:i3.KING-20 extended their level 1 long boost in Algı.
[00:28:31	]C24:i3.KING-20 extended their level 2 long boost in Çeviklik.
[00:28:31	]C24:i3.KING-20 ran 'Consume' on item 'Metropolice Takviyeleri' (#164116)
[00:28:31	]C24:i3.KING-20 extended their level 3 long boost in Güç.
[00:28:33	]C24:i3.KING-20 opened the 'Rasyon Bölgesi Deposu' stash.
[00:28:34	][IC] C24:RCT.YELLO-54: <:: Ne. ::>
[00:28:39	][IC] C24:RCT.YELLO-54: <:: Git çöpe bırak. ::>
[00:28:39	]C24:i3.KING-20 ran 'combine' on item '20 Kredi Kuponu' (#161901)
[00:28:41	]C24:RCT.YELLO-54 used command '/ToggleRaise'.
[00:28:44	]C24:i3.KING-20 ran 'Consume' on item 'Sandviç' (#159453)
[00:28:44	]C24:i3.KING-20 has updated their Zeka long boost target to 3 (current : 5).
[00:28:47	]C24:i3.KING-20 closed the 'Rasyon Bölgesi Deposu' stash.
[00:28:50	][IC] C24:i3.KING-20: <:: Hm? ::>
[00:28:53	]Theodore Edward Kaczynski opened the 'Dropped Items' #10978 container.
[00:28:54	]Theodore Edward Kaczynski closed the 'Dropped Items' #10978 container.
[00:28:54	]nikita opened the 'Çöp Kutusu' #10952 container.
[00:28:56	]nikita has transferred a 'Boş Breen'in Suyu' #164114 to a container with the name 'Çöp Kutusu' #10952.
[00:28:57	]Alastor (STEAM_0:1:601523827) has disconnected.
[00:28:57	]nikita has transferred a 'Boş Kavanoz' #163622 to a container with the name 'Çöp Kutusu' #10952.
[00:28:58	]C24:RCT.YELLO-54 has critically hit Theodore Edward Kaczynski dealing 24 damage (CritChance was 1.00).
[00:28:58	]Theodore Edward Kaczynski has taken 24 damage from C24:RCT.YELLO-54.
[00:28:58	]nikita has transferred a 'Plastik Çöp' #163929 to a container with the name 'Çöp Kutusu' #10952.
[00:28:59	]nikita has transferred a 'Boş Breen'in Suyu' #163623 to a container with the name 'Çöp Kutusu' #10952.
[00:28:59	]nikita has transferred a 'Buzdolabı Kapağı' #163993 to a container with the name 'Çöp Kutusu' #10952.
[00:29:00	][IC] C24:RCT.YELLO-54: <:: Dur yerinde. ::>
[00:29:00	]nikita closed the 'Çöp Kutusu' #10952 container.
[00:29:02	]E-RP SLAYER has gone afk.
[00:29:08	][IC] C24:RCT.YELLO-54: <:: Sizi aptallar. ::>
[00:29:28	]C24:RCT.YELLO-54 has critically hit Theodore Edward Kaczynski dealing 24 damage (CritChance was 1.00).
[00:29:28	]Theodore Edward Kaczynski has taken 24 damage from C24:RCT.YELLO-54.
[00:29:30	]C24:RCT.YELLO-54 has critically hit Theodore Edward Kaczynski dealing 24 damage (CritChance was 1.00).
[00:29:30	]Theodore Edward Kaczynski has taken 24 damage from C24:RCT.YELLO-54.
[00:29:30	]Theodore Edward Kaczynski was just knocked out due to: hit by stunstick owned by C24:RCT.YELLO-54
[00:29:32	][IC] C24:i3.KING-20: <:: Get oujt. ::>
[00:29:34	][IC] C24:i3.KING-20: <:: Defol buradan! ::>
[00:29:36	][IC] C24:RCT.YELLO-54: <:: Sendemi istiyorsun. ::>
[00:29:44	][IC] C24:RCT.YELLO-54: <:: Sana dedim apta. ::>
[00:29:46	][IC] C24:RCT.YELLO-54: <:: Cevap ver. ::>
[00:29:49	][IC] Valeria Martin: H-hayır.
[00:29:57	][ME] C24:i3.KING-20: gülerek
[00:29:58	][IC] C24:i5.(X)KING-19: <:: Igh.. ::>
[00:29:58	]mini peqqa (STEAM_0:1:549865538) has disconnected.
[00:30:02	][IC] C24:i3.KING-20: <:: Beni neden takip ediyorsun ki. ::>
[00:30:02	][IC] C24:i3.KING-20: <:: Haha. ::>
[00:30:10	]C24:RCT.YELLO-54 used command '/Radio v243 Durumu var.'.
[00:30:14	][IC] C24:i5.(X)KING-19: <:: Bende bilmiyorum. ::>
[00:30:16	]C24:i3.KING-20 used command '/Radio ilgilen, gelicem'.
[00:30:16	][IC] C24:RCT.YELLO-54: <:: Birdaha basarsan sende yerde olucaksın. ::>
[00:30:20	][IC] C24:i3.KING-20: <:: Bana güveniyorsn. ::>
[00:30:26	][IC] C24:i3.KING-20: <:: Hemde çok. ::>
[00:30:28	]Thomas Edward Lawrence ran SAM command 'asay' with arguments: 'forcefield bozuk la geçtim gidiyom'
[00:30:28	]Thomas Edward Lawrence used command '/Help forcefield bozuk la geçtim gidiyom'.
[00:30:30	]C24:RCT.YELLO-54 used command '/Radio Kaçmaya çalıştığından bayılttım ampute gerekebilir.'.
[00:30:32	][IC] C24:i3.KING-20: <:: Psikolojik olarak o manaya geliyor. ::>
[00:30:35	]C24:i3.KING-20 used command '/Radio 10-2'.
[00:30:40	]C24:i3.KING-20 used command '/Radio öldürmeye çalıştıysa ampute t'.
[00:30:43	]C24:RCT.YELLO-54 ran 'Use' on item 'Lastik Kelepçe' (#157248)
[00:30:45	]C24:i3.KING-20 used command '/Radio çalışmadıysa etme'.
[00:30:45	][IC] C24:i5.(X)KING-19: <:: Ben gerçekten neden geldiğimi unuttum. ::>
[00:30:50	][IC] C24:i3.KING-20: <:: Haha. ::>
[00:30:55	][ME] C24:RCT.YELLO-54: Asansör boşluğuna itmeye çalıştı
[00:30:56	][IC] C24:i3.KING-20: <:: Zırhını değiştireceksin bebeğim. ::>
[00:30:59	][LOOC] C24:RCT.YELLO-54: void
[00:31:02	][IC] C24:i3.KING-20: <:: Ekipman tazeleyeceksin. ::>
[00:31:03	]C24:RCT.YELLO-54 used command '/Radio Asansör boşluğuna itmeye çalıştı'.
[00:31:06	][ME] C24:i3.KING-20: elini uzatır
[00:31:07	][IC] C24:RCT.YELLO-54: <:: Arkanı dön! ::>
[00:31:09	][ME] C24:i3.KING-20: sağ elini*
[00:31:14	][IC] C24:i3.KING-20: <:: Elimi de tut da. ::>
[00:31:16	][IC] C24:i5.(X)KING-19: <:: Ah, evet zırh.. ::>
[00:31:17	][IC] C24:i3.KING-20: <:: Unutma kim olduğumu. ::>
[00:31:17	][ME] C24:RCT.YELLO-54: Zorla ellerini arkada birleştirir
[00:31:18	][IC] C24:i3.KING-20: <:: Haha. ::>
[00:31:18	]C24:RCT.YELLO-54 ran 'Use' on item 'Lastik Kelepçe' (#157248)
[00:31:24	]C24:RCT.YELLO-54 ran 'Use' on item 'Lastik Kelepçe' (#157248)
[00:31:26	]C24:RCT.YELLO-54 has critically hit Theodore Edward Kaczynski dealing 24 damage (CritChance was 1.00).
[00:31:26	]Theodore Edward Kaczynski has taken 24 damage from C24:RCT.YELLO-54.
[00:31:27	]C24:RCT.YELLO-54 has critically hit Theodore Edward Kaczynski dealing 24 damage (CritChance was 1.00).
[00:31:27	]Theodore Edward Kaczynski was knocked unconscious and is bleeding out.
[00:31:29	][ME] C24:i3.KING-20: sağ elini uzatır
[00:31:31	][IC] C24:RCT.YELLO-54: <:: Aptal. ::>
[00:31:40	]C24:RCT.YELLO-54 used command '/Radio Tutuklanmaya direniyor halen.'.
[00:31:45	]C24:RCT.YELLO-54 ran 'Use' on item 'Lastik Kelepçe' (#157248)
[00:31:47	]C24:i3.KING-20 used command '/Radio bayılt copla'.
[00:31:55	]C24:i3.KING-20 used command '/Radio elektrik sistemini açıp 3 defa vur kafasına bayılıyor'.
[00:31:56	]Theodore Edward Kaczynski has dropped: Açık Gri Kol Bandı (#164108); Siyah tulum pantolonu (#164111); Eskimiş Kahverengi Ayakkabı (#164112); Siyah Tulum (#164110);
[00:31:56	]Theodore Edward Kaczynski was just killed due to: accepting their death
[00:31:58	]C24:RCT.YELLO-54 used command '/Radio 10-4 Bayılttım'.
[00:32:04	]C24:i3.KING-20 used command '/Radio bayıltmadın, öldürdün'.
[00:32:07	][IC] C24:i3.KING-20: <:: Elimi tut? ::>
[00:32:14	][IC] C24:i3.KING-20: <:: Daha güvende hissedersin? ::>
[00:32:15	][LOOC] C24:RCT.YELLO-54: abi adam e basılı tuttu yapcak bişe yok
[00:32:25	]C24:RCT.YELLO-54 used command '/CP adam kendini öldürdü yapabilcem bişe yok'.
[00:32:25	]C24:RCT.YELLO-54 used command '/ToggleRaise'.
[00:32:30	]C24:i3.KING-20 used command '/CP pekii'.
[00:32:31	][ME] C24:i5.(X)KING-19: Kişi yorgun ne dediğini anlamamış gibi sadece kafasını sallarç
[00:32:35	]C24:RCT.YELLO-54 used command '/Radio İşbirlikçiye napayım?'.
[00:32:37	]C24:RCT.YELLO-54 used command '/ToggleRaise'.
[00:32:41	][ME] C24:i3.KING-20: onun sol elini tutar ve kavrar
[00:32:56	][IT] C24:i3.KING-20: 19 un eli 20 ye küçücük geliyor ve avuç içine kolayca sığıyor
[00:33:07	][IT] C24:i3.KING-20: 20 nin eli çok sıcak
[00:33:09	][IC] C24:RCT.YELLO-54: <:: Doğrula. ::>
[00:33:11	]Valeria Martin used command '/ID'.
[00:33:23	][ME] C24:i3.KING-20: bırakır
[00:33:31	]C24:i3.KING-20 used command '/Radio zırh değişimi mevcut'.
[00:33:33	]C24:i3.KING-20 used command '/Radio aldırma'.
[00:33:36	][IC] C24:i3.KING-20: <:: Ben gidiyorum? ::>
[00:33:41	][IC] C24:i3.KING-20: <:: Yardımcı olacağım 54 e? ::>
[00:33:42	][IC] C24:i3.KING-20: <:: Pekii. ::>
[00:33:45	]Theodore Edward Kaczynski opened the 'Dropped Items' #10978 container.
[00:33:45	]Theodore Edward Kaczynski closed the 'Dropped Items' #10978 container.
[00:33:46	][ME] C24:i3.KING-20: maskesini çıkarır
[00:33:47	]Theodore Edward Kaczynski opened the 'Dropped Items' #10978 container.
[00:33:52	][ME] C24:i3.KING-20: boynuna yaklaşır
[00:33:54	]Theodore Edward Kaczynski has gained a 'Plastik Çöp' #162935 from a container with the name 'Dropped Items' #10978.
[00:33:56	]Theodore Edward Kaczynski has gained a 'Boş Votka Şişesi' #163744 from a container with the name 'Dropped Items' #10978.
[00:33:57	]Theodore Edward Kaczynski has gained a 'Kahverengi Ayakkabı' #163756 from a container with the name 'Dropped Items' #10978.
[00:33:57	]Theodore Edward Kaczynski has gained a 'Boş Breen'in Suyu' #163743 from a container with the name 'Dropped Items' #10978.
[00:33:57	][ME] C24:i5.(X)KING-19: Ne olduğunu anlamamışcasına sadece kafasını sallar.
[00:33:57	][ME] C24:i3.KING-20: boynunu öper
[00:33:57	]Theodore Edward Kaczynski has gained a 'Gri Tulum' #162929 from a container with the name 'Dropped Items' #10978.
[00:33:58	]Theodore Edward Kaczynski has gained a 'Siyah tulum pantolonu' #162930 from a container with the name 'Dropped Items' #10978.
[00:33:58	]Theodore Edward Kaczynski has gained a 'Kahverengi Deri Çizme' #162931 from a container with the name 'Dropped Items' #10978.
[00:33:59	]Theodore Edward Kaczynski closed the 'Dropped Items' #10978 container.
[00:34:03	][ME] C24:i3.KING-20: geri çekilir
[00:34:05	][IC] C24:RCT.YELLO-54: <:: Sen, vatandaş! Benimle gel. ::>
[00:34:07	][IC] C24:i3.KING-20: Istediğin zaman burdayım.
[00:34:14	][IC] C24:i3.KING-20: Birşey yapacaktım da.
[00:34:14	]C24:RCT.YELLO-54 used command '/Radio Diğerinide ağır rehabilite ediyorum.'.
[00:34:15	][IC] C24:i3.KING-20: Neyse.
[00:34:17	][IC] C24:i5.(X)KING-19: <:: Ah, evet.. ::>
[00:34:21	]C24:i3.KING-20 used command '/Radio copyt'.
[00:34:21	]C24:RCT.YELLO-54 used command '/ToggleRaise'.
[00:34:25	]C24:i3.KING-20 used command '/Radio copy;responding'.
[00:34:33	]C24:i5.(X)KING-19 used the 'Sivil Koruma Tedarikçisi' vendor.
[00:34:34	][IC] C24:RCT.YELLO-54: <:: Duvara yaslan! ::>
[00:34:44	][ME] C24:RCT.YELLO-54: üzerini arar
[00:34:51	]C24:RCT.YELLO-54 used command '/CharSearch'.
[00:34:51	]C24:i3.KING-20 entered observer.
[00:34:53	]C24:i5.(X)KING-19 ran 'drop' on item 'Hafif Görev Üniforması' (#130698)
[00:34:53	]C24:i5.(X)KING-19 has lost a 'Hafif Görev Üniforması' #130698.
[00:34:55	]C24:i5.(X)KING-19 ran 'take' on item 'Hafif Görev Üniforması' (#130698)
[00:34:55	]C24:i5.(X)KING-19 has gained a 'Hafif Görev Üniforması' #130698.
[00:34:57	]C24:i5.(X)KING-19 ran 'drop' on item 'Hafif Görev Üniforması' (#130698)
[00:34:57	]C24:i5.(X)KING-19 has lost a 'Hafif Görev Üniforması' #130698.
[00:35:00	]C24:i3.KING-20 exited observer at their location.
[00:35:03	]C24:i5.(X)KING-19 destroyed a 'Hafif Görev Üniforması' #130698.
[00:35:06	]C24:i5.(X)KING-19 used the 'Sivil Koruma Tedarikçisi' vendor.
[00:35:07	][IC] C24:i3.KING-20: <:: Hmph. ::>
[00:35:09	][IC] C24:i3.KING-20: <:: Turuncu saçlı ha. ::>
[00:35:10	]C24:i5.(X)KING-19 has gained 0 chips.
[00:35:10	]C24:i5.(X)KING-19 has gained a 'Hafif Görev Üniforması' #164119.
[00:35:11	][IC] Theodore Edward Kaczynski: Werıtuher.
[00:35:14	][IC] C24:i3.KING-20: <:: Eski sevgilim de turuncu saçlıydı. ::>
[00:35:16	][IC] C24:RCT.YELLO-54: <:: Hmph. ::>
[00:35:20	][IC] C24:i3.KING-20: <:: Ne yapmış. ::>
[00:35:21	][IC] C24:RCT.YELLO-54: <:: İsterseniz siz ilgilenin. ::>
[00:35:25	][IC] C24:RCT.YELLO-54: <:: O bana saldırana yardım etti. ::>
[00:35:27	]C24:i5.(X)KING-19 has changed C24:i5.(X)KING-19's bodygroups.
[00:35:29	][IC] C24:i3.KING-20: <:: Ne yaptı ona. ::>
[00:35:31	][IC] C24:RCT.YELLO-54: <:: Kaçırmaya çalıştı. ::>
[00:35:32	]C24:i5.(X)KING-19 used command '/SC tac-3'.
[00:35:39	][IC] C24:i3.KING-20: <:: Ağır rehabilite et. ::>
[00:35:40	][IC] Valeria Martin: E-efendim size saldırmadı o adam.
[00:35:42	][IC] C24:RCT.YELLO-54: <:: Ekstra kaçabilsin diye beni itti. ::>
[00:35:43	][IC] Valeria Martin: Sadece tükürdü.
[00:35:43	][IC] C24:RCT.YELLO-54: <:: Anlaşıldı. ::>
[00:35:51	][IC] C24:i3.KING-20: <:: Ağır rehabilite et demek. ::>
[00:35:53	][ME] C24:RCT.YELLO-54: Sert şekilde karnına bir darbe vurur
[00:35:55	]C24:RCT.YELLO-54 has critically hit Valeria Martin dealing 24 damage (CritChance was 1.00).
[00:35:55	]Valeria Martin has taken 24 damage from C24:RCT.YELLO-54.
[00:35:55	][IC] C24:i3.KING-20: <:: Sadece copla vur demek değil. ::>
[00:35:56	][IC] C24:i3.KING-20: <:: Unutma. ::>
[00:36:00	][IC] Valeria Martin: A-ahh.
[00:36:06	][IC] C24:RCT.YELLO-54: <:: Şüpheli, hukuki hükmü almaya hazırlanın! ::>
[00:36:16	]C24:i5.(X)KING-19 used the 'Sivil Koruma Tedarikçisi' vendor.
[00:36:16	]C24:i5.(X)KING-19 used the 'Sivil Koruma Tedarikçisi' vendor.
[00:36:24	][IC] C24:i3.KING-20: <:: V105 V182 V186. ::>
[00:36:33	][IC] C24:i3.KING-20: <:: Bunların birleşiminden dolayı ağır rehabilite. ::>
[00:36:34	][IC] C24:i3.KING-20: <:: Hizmet et. ::>
[00:36:38	][IC] C24:RCT.YELLO-54: <:: Anlaşıldı. ::>
[00:36:44	][IC] C24:i3.KING-20: <:: O eski sevgilimi sikmek isterdim. ::>
[00:36:48	]C24:i3.KING-20 entered observer.
[00:36:57	][IC] C24:RCT.YELLO-54: <:: Arkanı dön. ::>
[00:37:04	]C24:i3.KING-20 has spawned a 'Entity [1524][aw2_gunship]'.
[00:37:06	]C24:i3.KING-20 exited observer at their location.
[00:37:11	]C24:i3.KING-20 entered observer.
[00:37:12	][IC] C24:RCT.YELLO-54: <:: YÜzün güzelmiş yazık olacak. ::>
[00:37:18	]C24:i3.KING-20 used command '/Mentor yanlıs oldu'.
[00:37:20	][ME] C24:RCT.YELLO-54: Yüzüne doğru sert bir darbe geçirir
[00:37:22	]C24:RCT.YELLO-54 rolled 14 out of 20 (+5 from Güç).
[00:37:22	]C24:RCT.YELLO-54 used command '/Roll strength'.
[00:37:24	]C24:i3.KING-20 exited observer at their location.
[00:37:26	]C24:RCT.YELLO-54 has critically hit Valeria Martin dealing 24 damage (CritChance was 1.00).
[00:37:26	]Valeria Martin has taken 24 damage from C24:RCT.YELLO-54.
[00:37:26	][IC] Valeria Martin: A-ahh.
[00:37:35	][IC] Valeria Martin: Uh... Ah-huh.
[00:37:35	]Theodore Edward Kaczynski has hit Thomas Edward Lawrence dealing 3 damage (CritChance was 0.00).
[00:37:35	]Thomas Edward Lawrence has taken 3 damage from Theodore Edward Kaczynski.
[00:37:35	]Theodore Edward Kaczynski has damaged Thomas Edward Lawrence, dealing 5 with ix_hands
[00:37:40	][ME] C24:RCT.YELLO-54: Bacağının arkasına doğru sertçe vurur
[00:37:41	]Theodore Edward Kaczynski has hit Thomas Edward Lawrence dealing 3 damage (CritChance was 0.00).
[00:37:41	]Thomas Edward Lawrence has taken 3 damage from Theodore Edward Kaczynski.
[00:37:41	]Theodore Edward Kaczynski has damaged Thomas Edward Lawrence, dealing 5.0003 with ix_hands
[00:37:41	]C24:RCT.YELLO-54 has critically hit Valeria Martin dealing 24 damage (CritChance was 1.00).
[00:37:41	]Valeria Martin has taken 24 damage from C24:RCT.YELLO-54.
[00:37:42	]Theodore Edward Kaczynski has hit Thomas Edward Lawrence dealing 3 damage (CritChance was 0.00).
[00:37:42	]Thomas Edward Lawrence has taken 3 damage from Theodore Edward Kaczynski.
[00:37:42	]Theodore Edward Kaczynski has damaged Thomas Edward Lawrence, dealing 5.0006 with ix_hands
[00:37:43	]Theodore Edward Kaczynski has hit Thomas Edward Lawrence dealing 3 damage (CritChance was 0.00).
[00:37:43	]Thomas Edward Lawrence has taken 3 damage from Theodore Edward Kaczynski.
[00:37:43	]Theodore Edward Kaczynski has damaged Thomas Edward Lawrence, dealing 5.0009 with ix_hands
[00:37:43	]Theodore Edward Kaczynski has hit Thomas Edward Lawrence dealing 3 damage (CritChance was 0.00).
[00:37:43	]Thomas Edward Lawrence has taken 3 damage from Theodore Edward Kaczynski.
[00:37:43	]Theodore Edward Kaczynski has damaged Thomas Edward Lawrence, dealing 5.0012 with ix_hands
[00:37:44	]Theodore Edward Kaczynski has hit Thomas Edward Lawrence dealing 3 damage (CritChance was 0.00).
[00:37:44	]Thomas Edward Lawrence has taken 3 damage from Theodore Edward Kaczynski.
[00:37:44	]Theodore Edward Kaczynski has damaged Thomas Edward Lawrence, dealing 5.0015 with ix_hands
[00:37:45	]Theodore Edward Kaczynski has hit Thomas Edward Lawrence dealing 3 damage (CritChance was 0.00).
[00:37:45	]Thomas Edward Lawrence has taken 3 damage from Theodore Edward Kaczynski.
[00:37:45	]Theodore Edward Kaczynski has damaged Thomas Edward Lawrence, dealing 5.0018 with ix_hands
[00:37:46	]Theodore Edward Kaczynski has hit Thomas Edward Lawrence dealing 3 damage (CritChance was 0.00).
[00:37:46	]Thomas Edward Lawrence has taken 3 damage from Theodore Edward Kaczynski.
[00:37:46	]Theodore Edward Kaczynski has damaged Thomas Edward Lawrence, dealing 5.0021 with ix_hands
[00:37:47	]Theodore Edward Kaczynski has hit Thomas Edward Lawrence dealing 3 damage (CritChance was 0.00).
[00:37:47	]Thomas Edward Lawrence has taken 3 damage from Theodore Edward Kaczynski.
[00:37:47	]Theodore Edward Kaczynski has damaged Thomas Edward Lawrence, dealing 5.0024 with ix_hands
[00:37:48	]Theodore Edward Kaczynski has hit Thomas Edward Lawrence dealing 3 damage (CritChance was 0.00).
[00:37:48	]Thomas Edward Lawrence has taken 3 damage from Theodore Edward Kaczynski.
[00:37:48	]Theodore Edward Kaczynski has damaged Thomas Edward Lawrence, dealing 5.0027 with ix_hands
[00:37:48	][IC] C24:i5.(X)KING-19: <:: Ugh. ::>
[00:37:49	]Theodore Edward Kaczynski has hit Thomas Edward Lawrence dealing 3 damage (CritChance was 0.00).
[00:37:49	]Thomas Edward Lawrence has taken 3 damage from Theodore Edward Kaczynski.
[00:37:49	]Theodore Edward Kaczynski has damaged Thomas Edward Lawrence, dealing 5.003 with ix_hands
[00:37:50	][IC] Valeria Martin: Uh...
[00:37:51	][LOOC] C24:i3.KING-20: /Staticcharactionremove
[00:37:51	]Theodore Edward Kaczynski has hit Thomas Edward Lawrence dealing 3 damage (CritChance was 0.00).
[00:37:51	]Thomas Edward Lawrence has taken 3 damage from Theodore Edward Kaczynski.
[00:37:51	]Theodore Edward Kaczynski has damaged Thomas Edward Lawrence, dealing 5.0033 with ix_hands
[00:37:52	][IC] C24:RCT.YELLO-54: <:: Hmph. ::>
[00:37:52	]Theodore Edward Kaczynski has hit Thomas Edward Lawrence dealing 3 damage (CritChance was 0.00).
[00:37:52	]Thomas Edward Lawrence has taken 3 damage from Theodore Edward Kaczynski.
[00:37:52	]Theodore Edward Kaczynski has damaged Thomas Edward Lawrence, dealing 5.0036 with ix_hands
[00:37:53	][IC] C24:i3.KING-20: <:: Ha? ::>
[00:37:56	][IC] C24:i3.KING-20: <:: Kötü bişey mi yaptım? ::>
[00:37:59	]Thomas Edward Lawrence ran SAM command 'asay' with arguments: 'rdm'
[00:37:59	]Thomas Edward Lawrence used command '/Help rdm'.
[00:37:59	]Theodore Edward Kaczynski has hit Thomas Edward Lawrence dealing 3 damage (CritChance was 0.00).
[00:37:59	]Thomas Edward Lawrence has taken 3 damage from Theodore Edward Kaczynski.
[00:37:59	]Theodore Edward Kaczynski has damaged Thomas Edward Lawrence, dealing 5.0039 with ix_hands
[00:38:04	]C24:i5.(X)KING-19 used command '/StaticCharActionRemove'.
[00:38:05	][IC] C24:RCT.YELLO-54: <:: Akıllanmışsındır umarım. ::>
[00:38:07	][IC] Valeria Martin: Uh... Ah.
[00:38:11	]Thomas Edward Lawrence ran SAM command 'asay' with arguments: 'rdm YARDIM'
[00:38:11	]Thomas Edward Lawrence used command '/Help rdm YARDIM'.
[00:38:14	][ME] C24:RCT.YELLO-54: Sağ koluna doğru sertçe vurur
[00:38:16	]C24:RCT.YELLO-54 has critically hit Valeria Martin dealing 24 damage (CritChance was 1.00).
[00:38:16	]Valeria Martin has taken 24 damage from C24:RCT.YELLO-54.
[00:38:22	][IC] Valeria Martin: Aaah.
[00:38:23	][ME] C24:i5.(X)KING-19: Yorgun bir şekilde kafasını hayır anlamında sallar.
[00:38:28	][IC] C24:RCT.YELLO-54: <:: O aptal arkadaşın gibi ölmediğine dua etmelisin. ::>
[00:38:33	][ME] C24:i3.KING-20: eliyle kafasının üstünü sever
[00:38:44	][IC] C24:i3.KING-20: <:: Çok uslu ve tatlı bir kızsın sen. ::>
[00:38:46	][IC] C24:i3.KING-20: <:: Seni çok seviyorum. ::>
[00:38:48	][ME] C24:RCT.YELLO-54: Son olarak jopu beline asıp yüzüne sert bir tokat atar
[00:38:49	]Denizus has unloaded their "Thomas Edward Lawrence" character.
[00:38:49	]C24:RCT.YELLO-54 used command '/ToggleRaise'.
[00:38:51	]C24:RCT.YELLO-54 has hit Valeria Martin dealing 3 damage (CritChance was 0.00).
[00:38:51	]Valeria Martin was knocked unconscious and is bleeding out.
[00:38:51	]C24:RCT.YELLO-54 has damaged Valeria Martin, dealing 5.0012 with ix_hands
[00:38:52	]C24:RCT.YELLO-54 used command '/ToggleRaise'.
[00:38:53	][ME] C24:i3.KING-20: elini çeker
[00:38:56	]C24:RCT.YELLO-54 ran 'give' on item 'Dezenfekte Bandaj Rulosu' (#157236)
[00:38:56	]C24:RCT.YELLO-54 has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 22 experience in medicine.
