[01:26:30	]Night_Wish_ has connected.
[11:43:37	]Elisa Katseja exited observer at their location.
[11:43:38	]Vas'yok entered observer.
[11:43:40	]Vas'yok exited observer at their location.
[11:43:46	]Vas'yok entered observer.
[11:43:47	]Elisa Katseja entered observer.
[11:43:48	]Elisa Katseja exited observer at their location.
[11:43:52	]Vas'yok exited observer at their location.
[11:43:52	]Elisa Katseja entered observer.
[11:43:52	][LOOC] John Freeman: sen mi koydun
[11:43:53	]Vas'yok entered observer.
[11:43:57	][LOOC] Vas'yok: hayır
[11:44:01	][LOOC] John Freeman: he ok
[11:44:09	]Vas'yok ran 'drop' on item 'Vortigaunt Fedora' (#16177)
[11:44:09	]Vas'yok has lost a 'Vortigaunt Fedora' #16177.
[11:44:10	]Vas'yok ran 'drop' on item 'Vortigaunt Sweater' (#16179)
[11:44:10	]Vas'yok has lost a 'Vortigaunt Sweater' #16179.
[11:44:12	][LOOC] C24:i3.UNION-66: dcye tazmadım
[11:44:14	][IC] Vrigon The Enigmatic: Shaaaaa!
[11:44:19	]John Freeman used command '/ActStand'.
[11:44:20	][IC] Vrigon The Enigmatic: Dey'nach? *Unintelligible*.
[11:44:24	]John Freeman used command '/ExitAct'.
[11:44:25	]Elisa Katseja has used a context menu option with the name: skin
[11:44:25	][IC] Vas'yok: Churr! Galih churr alla gunn'!
[11:44:26	]Vas'yok exited observer at their location.
[11:44:29	]Elisa Katseja has used a context menu option with the name: skin
[11:44:30	][IC] Vrigon The Enigmatic: Şef.
[11:44:35	]S10/OWS.HURRICANE-45 ran 'combine' on item '30rnd MP-şarjörü' (#15779)
[11:44:41	]S10/OWS.HURRICANE-45 has gained a '30rnd MP-şarjörü' #15763.
[11:44:41	]S10/OWS.HURRICANE-45 has lost a '30rnd MP-şarjörü' #15779.
[11:44:42	]Elisa Katseja exited observer at their location.
[11:44:43	]Elisa Katseja entered observer.
[11:44:43	][IC] Vas'yok: Söyle vrigon.
[11:44:44	]John Freeman opened the 'File Cabinet' #2396 container.
[11:44:48	]Wonder Of You created the character 'Nedim Malik'
[11:44:48	]Wonder Of You loaded the character 'Nedim Malik'
[11:44:48	]Nedim Malik has gained a 'Açık Gri Kol Bandı' #16258.
[11:44:48	]Nedim Malik has gained a '#26690 Kimlik Kartı' #16259.
[11:44:48	]Nedim Malik has gained a 'Kırmızı Tulum' #16260.
[11:44:48	]Nedim Malik has gained a 'Kırmızı tulum pantolonu' #16261.
[11:44:48	]Nedim Malik has gained a 'Eskimiş Koyu Ayakkabı' #16262.
[11:44:48	]Nedim Malik has gained a 'Gözlükler' #16263.
[11:44:55	]John Freeman has transferred a 'Siyah tulum pantolonu' #8040 to a container with the name 'File Cabinet' #2396.
[11:44:55	]Victorian (STEAM_0:0:577700614) deleted character 'Elisa Katseja'
[11:44:56	][IC] Vrigon The Enigmatic: Gidip.
[11:44:57	]John Freeman has gained a 'Bilgisayar Parçaları' #16188 from a container with the name 'File Cabinet' #2396.
[11:44:57	][IC] Vrigon The Enigmatic: Biraz.
[11:44:57	]John Freeman closed the 'File Cabinet' #2396 container.
[11:45:00	]Victorian loaded the character 'Nikolas Kozár'
[11:45:03	][IC] Vrigon The Enigmatic: Headcrab yemeliyiz.
[11:45:04	][LOOC] C24:i3.UNION-66: sadece havalı olmak için ota geçiyor galiba
[11:45:05	]S10/OWS.HURRICANE-45 used command '/Radio Overwatch, Unit45, 10-8, 10-76 Catwalks, JET, Over.'.
[11:45:09	]John Freeman ran 'drop' on item 'Araç Kiti' (#16250)
[11:45:09	]John Freeman has lost a 'Araç Kiti' #16250.
[11:45:09	][LOOC] C24:i3.UNION-66: olur
[11:45:10	]Nikolas Kozár ran 'Equip' on item 'Bavul' (#15719)
[11:45:12	]Nedim Malik ran 'Equip' on item 'Açık Gri Kol Bandı' (#16258)
[11:45:12	]Nikolas Kozár entered observer.
[11:45:13	][IC] Vas'yok: Bana bir tane bul.
[11:45:15	][IC] Vas'yok: Sadece.
[11:45:18	]Nedim Malik entered observer.
[11:45:20	][LOOC] Vrigon The Enigmatic: canister atmalıyız
[11:45:22	]Vas'yok used command '/ActSit'.
[11:45:22	][LOOC] C24:i3.UNION-66: bi ara lr ile birliktey patroldeyken nexusrayız
[11:45:23	]John Freeman ran 'take' on item 'Araç Kiti' (#16250)
[11:45:23	]John Freeman has gained a 'Araç Kiti' #16250.
[11:45:29	]Nedim Malik exited observer at their location.
[11:45:30	]Vrigon The Enigmatic used command '/EnterMeditation'.
[11:45:33	][LOOC] C24:i3.UNION-66: get out of here dedi
[11:45:34	]John Freeman has performed the 'Craft Parçala: Bilgisayar Parçaları' action, gaining 70 experience in crafting.
[11:45:35	]John Freeman has gained a 'Elektronik devreler' #16264.
[11:45:36	][IC] Vas'yok: Ayrıca.
[11:45:36	][IC] Nedim Malik: AMAN CANİMMMM.
[11:45:38	][IC] Vas'yok: Ben şef değilim.
[11:45:40	][IC] Vrigon The Enigmatic: Hmm.
[11:45:40	][IC] Vas'yok: Elçiyim.
[11:45:41	]John Freeman ran 'take' on item 'Askeri Sınıf Devre Kartı' (#15905)
[11:45:41	]John Freeman has gained a 'Askeri Sınıf Devre Kartı' #15905.
[11:45:44	][IC] Vrigon The Enigmatic: Sende neden kelepçe var?
[11:45:46	]C24:i3.UNION-66 used command '/PM vas normal vortide kalkan olmaz'.
[11:45:50	][IC] Vas'yok: Kelepçemi var?
[11:45:52	]C24:i3.UNION-66 used command '/PM vas eğitimlisin sen'.
[11:45:58	][IC] Vrigon The Enigmatic: Yanlışmı görüyorum.
[11:45:58	]John Freeman ran 'drop' on item 'Askeri Sınıf Devre Kartı' (#15905)
[11:45:58	]John Freeman has lost a 'Askeri Sınıf Devre Kartı' #15905.
[11:46:04	]John Freeman ran 'take' on item 'Kırık Alıcı' (#15738)
[11:46:04	]John Freeman has gained a 'Kırık Alıcı' #15738.
[11:46:06	]C24:i3.UNION-66 used command '/PM vas he'.
[11:46:12	]John Freeman has performed the 'Craft Parçala: Kırık Alıcı' action, gaining 50 experience in crafting.
[11:46:21	]Vas'yok used command '/ExitAct'.
[11:46:23	]John Freeman ran 'drop' on item 'Araç Kiti' (#16250)
[11:46:23	]John Freeman has lost a 'Araç Kiti' #16250.
[11:46:34	]Lucifert (STEAM_0:0:142449284) deleted character 'Vas'yok'
[11:46:49	]C24:i3.UNION-66 has gained a '30rnd MP-şarjörü' #15663.
[11:46:49	]C24:i3.UNION-66 has lost a '30rnd MP-şarjörü' #15664.
[11:46:52	]C24:i5.VICTOR-61 has gained a '17rnd Usp-Şarjörü' #8816.
[11:46:52	]C24:i5.VICTOR-61 has lost a '17rnd Usp-Şarjörü' #8815.
[11:46:56	][LOOC] C24:i3.UNION-66: yok saka
[11:46:56	][IC] John Freeman: Ben napacaktım.
[11:47:06	][ME] S10/OWS.HURRICANE-45: Sağ elini Kulağına bastırır.
[11:47:08	]John Freeman has performed the 'Craft Su Vanası' action, gaining 50 experience in crafting.
[11:47:08	]John Freeman has gained a 'Water Valve' #16265.
[11:47:14	]Vrigon The Enigmatic entered observer.
[11:47:14	]Nedim Malik has spawned 'models/player/group03m/male_02.mdl'.
[11:47:15	]John Freeman ran 'Place' on item 'Water Valve' (#16265)
[11:47:17	]Vrigon The Enigmatic exited observer at their location.
[11:47:19	][IC] C24:i3.UNION-66: <:: Kitli değilmiş. ::>
[11:47:20	]John Freeman ran 'Place' on item 'Water Valve' (#16265)
[11:47:25	]Nedim Malik has spawned 'models/willardnetworks/conscripts/male_07.mdl'.
[11:47:29	][LOOC] C24:i3.UNION-66: kesinlikle ben yapmadım sadsadsad
[11:47:29	]Nedim Malik has spawned 'models/willardnetworks/m1nt/burlap_bag_male.mdl'.
[11:47:31	]John Freeman has gained level 26 in the Hız skill.
[11:47:38	]John Freeman ran 'take' on item 'Boş Benzin Bidonu' (#12473)
[11:47:38	]John Freeman has gained a 'Boş Benzin Bidonu' #12473.
[11:47:40	][ME] S10/OWS.HURRICANE-45: Elini Kulağından çeker
[11:47:40	][IT] Nikolas Kozár: Müziğin sesi, bu kasvetli ortamı daha ürkütücü yapıyor
[11:47:43	]John Freeman ran 'drop' on item 'Boş Benzin Bidonu' (#12473)
[11:47:43	]John Freeman has lost a 'Boş Benzin Bidonu' #12473.
[11:47:47	]Nedim Malik used command '/CharSetModel nedim models/willardnetworks/citizens/male_02.mdl'.
[11:47:52	]Vrigon The Enigmatic entered observer.
[11:47:56	]Lucifert created the character 'Vas'Yok'
[11:47:56	]Lucifert loaded the character 'Vas'Yok'
[11:47:59	]Vrigon The Enigmatic exited observer at their location.
[11:48:00	]Vas'Yok entered observer.
[11:48:00	]Nikolas Kozár exited observer at their location.
[11:48:03	]Nikolas Kozár entered observer.
[11:48:04	]Nikolas Kozár exited observer at their location.
[11:48:04	][IC] Vrigon The Enigmatic: Dey'nahh?
[11:48:04	]Vas'Yok exited observer at their location.
[11:48:13	][IC] Vas'Yok: Napıyoruz?
[11:48:14	][LOOC] Vrigon The Enigmatic: düzeldin
[11:48:15	][IC] Nedim Malik: AMAN CANİM.
[11:48:16	][IC] Vas'Yok: Churr! Galih churr alla gunn'!
[11:48:19	][IC] Nedim Malik: AKRABA DEDİĞİN NEDİR Kİ.
[11:48:23	][IC] John Freeman: Looc su deposu nasıl yuapıyoz.
[11:48:25	]Vas'Yok entered observer.
[11:48:26	][IC] Nedim Malik: TİCARİ BAĞIN YOKSA DİS KAPİNİN MANDALİ.
[11:48:33	]John Freeman has taken 5 damage from ix_item.
[11:48:33	]John Freeman has taken 10 damage from ix_item.
[11:48:34	][IC] Vrigon The Enigmatic: Shaaaaa!
[11:48:36	]John Freeman ran 'take' on item 'Ağrı Kesici' (#16251)
[11:48:36	]John Freeman has gained a 'Ağrı Kesici' #16251.
[11:48:39	]John Freeman ran 'take' on item 'Ağrı Kesici' (#16212)
[11:48:39	]John Freeman has gained a 'Ağrı Kesici' #16212.
[11:48:41	][IC] Nedim Malik: İHLAMUR VAR MİDİR CANİM.
[11:48:45	]Vrigon The Enigmatic entered observer.
[11:48:45	]John Freeman ran 'combine' on item 'Ağrı Kesici' (#16212)
[11:48:47	]John Freeman ran 'drop' on item 'Ağrı Kesici' (#16212)
[11:48:47	]John Freeman has lost a 'Ağrı Kesici' #16212.
[11:49:06	][OOC] John Freeman: su deposu nasıl yapıyoz la
[11:49:07	]Nikolas Kozár entered observer.
[11:49:12	]Vas'Yok exited observer at their location.
[11:49:16	]Nikolas Kozár exited observer at their location.
[11:49:18	][IC] Nedim Malik: ?
[11:49:20	][IC] John Freeman: !
[11:49:21	][IC] Vas'Yok: Churr! Galih churr alla gunn'!
[11:49:21	]Vrigon The Enigmatic exited observer at their location.
[11:49:21	][IC] C24:i3.UNION-66: <:: ? ::>
[11:49:24	][IC] Vrigon The Enigmatic: Chuaa.
[11:49:28	][IC] Nedim Malik: Çöplerde yatıyorum.
[11:49:33	][IC] John Freeman: Uhhh.
[11:49:35	][IC] Nedim Malik: Bir sorun teşkil ediyor mu caenim.
[11:49:35	][IC] C24:i3.UNION-66: <:: Ayağa kalk. ::>
[11:49:36	][ME] Vas'Yok: diğer vortigaunt'ın kulağına sessicez
[11:49:38	]Vrigon The Enigmatic used command '/EnterMeditation'.
[11:49:38	][IC] C24:i3.UNION-66: <:: Evet. ::>
[11:49:38	][ME] Vas'Yok: diğer vortigaunt'ın kulağına sessizce
[11:49:42	][IC] C24:i3.UNION-66: <:: Hareket ihlali. ::>
[11:49:43	][IC] Nedim Malik: Ne sorunu canim.
[11:49:45	][IC] C24:i3.UNION-66: <:: Kimliğini göster. ::>
[11:49:46	][W] Vas'Yok: Churr! Galih churr alla gunn'!
[11:49:47	][LOOC] Nikolas Kozár: AFK
[11:49:47	][LOOC] C24:i3.UNION-66: /id
[11:49:48	][IC] C24:i5.VICTOR-61: <:: Apply. ::>
[11:49:51	]Nedim Malik used command '/ID'.
[11:49:52	][W] Vrigon The Enigmatic: Shaaaaa!
[11:49:58	][W] Vrigon The Enigmatic: Dey'nach? *Unintelligible*.
[11:49:58	][W] Vas'Yok: Bu adamı seviyorum.
[11:50:00	][IC] C24:i3.UNION-66: <:: Administer. ::>
[11:50:01	][IC] John Freeman: Neler oluyor.
[11:50:01	][IC] Nedim Malik: Fareler ayagima dolaniyor.
[11:50:03	][W] Vas'Yok: Bunu koruyacağız.
[11:50:08	][W] Vrigon The Enigmatic: Tamam.
[11:50:16	][IC] Vas'Yok: Merhaba saygı değer insan.
[11:50:22	][IC] C24:i3.UNION-66: <:: Final verdict administered. ::>
[11:50:24	][IC] John Freeman: Merhaba?
[11:50:26	][IC] Vas'Yok: Bizim kim olduğumuzu bilmiyormusun?
[11:50:31	][IC] John Freeman: Hayır.
[11:50:34	][IC] Vas'Yok: A human is needed!
[11:50:39	][IC] Vas'Yok: Accept the charge.
[11:50:43	][IC] C24:i3.UNION-66: <:: Ihlaller kısmına. ::>
[11:50:44	][IC] Vrigon The Enigmatic: Accept energy.
[11:50:44	][IC] C24:i3.UNION-66: <:: Girdin mi. ::>
[11:50:51	][IC] Vrigon The Enigmatic: Gladly we accompany.
[11:50:57	][IC] Vrigon The Enigmatic: It appears they attempted an escape, but made it no farther than the abyss.
[11:50:57	][IC] John Freeman: Neden.
[11:50:59	][IC] Vas'Yok: Ozaman anlatmamız gerek.
[11:51:02	][IC] Vrigon The Enigmatic: Attend, now and learn to shepherd antlions with this so-called bug-bait.
[11:51:04	]Nikolas Kozár entered observer.
[11:51:06	][IC] Vas'Yok: Başla bakalım bilge.
[11:51:10	]Vas'Yok used command '/ActSit'.
[11:51:18	][LOOC] C24:i3.UNION-66: gerek yok
[11:51:39	][IT] Nikolas Kozár: John, bulaşmaması gereken şeylere mi bulaştı?
[11:51:41	][LOOC] C24:i3.UNION-66: talep cihazına geerek yok
[11:51:44	][IT] Vas'Yok: +
[11:51:58	]Nikolas Kozár exited observer at their location.
[11:52:14	]Vas'Yok used command '/ExitAct'.
[11:52:31	][ME] Nikolas Kozár: Telefonu açar
[11:52:37	]Nikolas Kozár entered observer.
[11:53:00	][IC] Vas'Yok: Bilgeyi dinle!
[11:53:05	][IC] John Freeman: Tamam.
[11:53:08	][IC] Vrigon The Enigmatic: Bizim kim olduğumuzu bilmiyorsan anlatayım, biz vortigauntlar dünyaya ulaşmış bir ırkız biz combine'a karşı duran yaşayan tek ırkız.
[11:53:14	][IT] Nikolas Kozár: Bilge... Vortigauntlar bu bilge dediklerine tapıyor olsa gerek
[11:53:22	][LOOC] C24:i3.UNION-66: 3 sk varken ota mı geçeceğiz
[11:53:26	][IC] John Freeman: Hmm.
[11:53:29	][LOOC] C24:i3.UNION-66: kod blue
[11:53:39	][IC] Vas'Yok: Insan!
[11:53:45	]C24:i3.UNION-66 used command '/PM nedim EVET'.
[11:53:46	][IC] Vas'Yok: Senle oldukça ilgileneceğiz.
[11:53:51	][IC] Vas'Yok: Birdaha ki sefere görüşürüz.
[11:53:56	][IC] John Freeman: Tamam.
[11:53:57	]Vas'Yok entered observer.
[11:53:57	]Vrigon The Enigmatic used command '/EnterMeditation'.
[11:53:57	][IT] Nikolas Kozár: Yan odadan insan müziği duyulabilir
[11:54:00	]Vrigon The Enigmatic entered observer.
[11:54:07	]C24:i3.UNION-66 used command '/PM nedim sonra değil'.
[11:54:11	][IC] John Freeman: Çok garip.
[11:54:20	]C24:i3.UNION-66 used command '/PM nedim sonra değil sıralama yok'.
[11:54:22	]Nikolas Kozár exited observer at their location.
[11:54:23	]Nikolas Kozár entered observer.
[11:54:29	]Nikolas Kozár exited observer at their location.
[11:54:30	]John Freeman ran 'take' on item 'Metal Dişli' (#14940)
[11:54:30	]John Freeman has gained a 'Metal Dişli' #14940.
[11:54:33	]Nikolas Kozár entered observer.
[11:54:34	]John Freeman ran 'take' on item 'Araç Kiti' (#16250)
[11:54:34	]John Freeman has gained a 'Araç Kiti' #16250.
[11:54:41	]John Freeman has performed the 'Craft Parçala: Metal Dişli' action, gaining 40 experience in crafting.
[11:54:41	]Nikolas Kozár exited observer at their location.
[11:54:42	]Nikolas Kozár entered observer.
[11:54:51	]John Freeman ran 'drop' on item 'Araç Kiti' (#16250)
[11:54:51	]John Freeman has lost a 'Araç Kiti' #16250.
[11:54:52	]Nikolas Kozár exited observer at their location.
[11:54:53	]S10/OWS.HURRICANE-45 has gained a '30rnd MP-şarjörü' #15779.
[11:54:53	]S10/OWS.HURRICANE-45 has lost a '30rnd MP-şarjörü' #15767.
[11:55:04	][IC] Nikolas Kozár: Siz iyi misiniz?
[11:55:05	][LOOC] C24:i3.UNION-66: hepsini yapıyoruz
[11:55:08	][IC] Nedim Malik: Görücekler.
[11:55:19	]John Freeman opened the 'File Cabinet' #2396 container.
[11:55:20	][IC] Nikolas Kozár: Mhm...
[11:55:23	][LOOC] C24:i3.UNION-66: 2. sosyo uyumsuzlukta sadece rehabilitasyon yapmıyoruz
[11:55:24	][IC] Nedim Malik: Emeğimle kazandığım sadakat kredimi sıkıştığım için geri aldılar.
[11:55:25	]John Freeman has gained a 'Araba Aküsü' #16083 from a container with the name 'File Cabinet' #2396.
[11:55:26	]John Freeman closed the 'File Cabinet' #2396 container.
[11:55:27	]Vas'Yok exited observer at their location.
[11:55:27	]Vas'Yok entered observer.
[11:55:28	]John Freeman opened the 'File Cabinet' #2396 container.
[11:55:32	]John Freeman has transferred a 'Araba Aküsü' #16083 to a container with the name 'File Cabinet' #2396.
[11:55:33	][LOOC] C24:i3.UNION-66: yani sıralı değil
[11:55:33	]S10/OWS.HURRICANE-45 used command '/Radio Overwatch, Requesting, Winder Dispatch,.'.
[11:55:37	]John Freeman closed the 'File Cabinet' #2396 container.
[11:55:38	][IC] Nedim Malik: Şehrin en iyi noktasına gelicem görücekler.
[11:55:38	][ME] Nikolas Kozár: Eline bir not defteri alır, gizlice birşeyler yazar. O kadar gizli midir?
[11:55:39	][LOOC] C24:i3.UNION-66: boşuna sitem ediyor
[11:55:41	]Nikolas Kozár rolled 4 out of 20.
[11:55:41	]Nikolas Kozár used command '/Roll'.
[11:55:45	][IC] Nikolas Kozár: Mhm.
[11:55:45	]Nedim Malik rolled 18 out of 20.
[11:55:45	]Nedim Malik used command '/Roll'.
[11:55:50	][OOC] John Freeman: su deposu nasıl yaparım la
[11:55:51	][IT] Nedim Malik: ne yaziyor
[11:55:59	][IC] Nikolas Kozár: Oh, hey.
[11:56:03	]S10/OWS.HURRICANE-45 has gained a '30rnd MP-şarjörü' #15767.
[11:56:03	]S10/OWS.HURRICANE-45 has lost a '30rnd MP-şarjörü' #15779.
[11:56:05	][IC] Nikolas Kozár: Önemli birşey değil.
[11:56:08	][IC] Nikolas Kozár: Teşekkürler.
[11:56:10	][IT] Nedim Malik: ne yaziyor
[11:56:11	][IC] C24:i3.UNION-66: <:: Bu sesler ne. ::>
[11:56:21	]John Freeman ran 'take' on item 'Ahşap Tahta' (#16104)
[11:56:21	]John Freeman has gained a 'Ahşap Tahta' #16104.
[11:56:21	]C24:i3.UNION-66 used command '/Radio plazada vortigunt sesleri geliyor'.
[11:56:22	][IT] Nikolas Kozár: Kişinin temel davranışları hakkında bir analiz
[11:56:23	]John Freeman ran 'take' on item 'Cam kırıkları' (#16056)
[11:56:23	]John Freeman has gained a 'Cam kırıkları' #16056.
[11:56:24	]John Freeman ran 'take' on item 'Cam kırıkları' (#15097)
[11:56:24	]John Freeman has gained a 'Cam kırıkları' #15097.
[11:56:27	]John Freeman ran 'take' on item 'Ahşap Tahta' (#15868)
[11:56:27	]John Freeman has gained a 'Ahşap Tahta' #15868.
[11:56:30	]C24:i3.UNION-66 used command '/Radio ayrıca yeşil bir ışık'.
[11:56:31	][IC] Nedim Malik: God... Damn... It...
[11:56:33	]S10/OWS.HURRICANE-45 used command '/Radio Biyotik, Tespit Edildi,'.
[11:56:37	]Vas'Yok exited observer at their location.
[11:56:40	]Vas'Yok entered observer.
[11:56:47	][IC] Nikolas Kozár: Şu gözlüklüye dikkat edin.
[11:56:59	][W] Vas'Yok: Churr! Galih churr alla gunn'!
[11:57:00	][IC] Nikolas Kozár: Bir işler çeviriyor olabilir.
[11:57:06	][IC] C24:i3.UNION-66: <:: Anlaşıldı. ::>
[11:57:10	]Nedim Malik has given himself a pda.
[11:57:10	]Nedim Malik has gained a 'Combine PDA' #16266.
[11:57:12	][IC] C24:i5.VICTOR-61: <:: Tamamdır. ::>
[11:57:13	]Nedim Malik ran 'Equip' on item 'Combine PDA' (#16266)
[11:57:13	]Nedim Malik entered observer.
[11:57:13	][W] Vas'Yok: Accept the charge.
[11:57:15	][IC] C24:i3.UNION-66: <:: Şüphelenme sebebi. ::>
[11:57:16	][IC] C24:i3.UNION-66: <:: Nedir. ::>
[11:57:30	]Nedim Malik exited observer at their location.
[11:57:30	][IC] Nikolas Kozár: Bu şehrin başına geçeceğini, intikam alacağını söyledi.
[11:57:38	]Nedim Malik entered observer.
[11:57:38	]John Freeman used command '/PM nikolas biz bu tezgahları nerden buluyoz'.
[11:57:39	][IC] Nikolas Kozár: Ya da sadece delinin tekidir, bilemem.
[11:57:42	]C24:i3.UNION-66 used command '/PM nedim umarım q menüden silah çekmemişsindir öyle bir ses geldi'.
[11:57:44	]Vrigon The Enigmatic used command '/PM vas geleyimmi'.
[11:57:46	][IC] C24:i3.UNION-66: <:: Tamam anlaşıldı. ::>
[11:57:48	]Nikolas Kozár used command '/PM John Freeman craftlanabilir'.
[11:57:51	]Vas'Yok used command '/PM vrigon gel'.
[11:58:00	]Nikolas Kozár entered observer.
[11:58:05	]John Freeman used command '/PM nikolas ben yapamıymom'.
[11:58:35	][IC] C24:i3.UNION-66: <:: Nedimi bol a alıyorum. ::>
[11:58:40	]Vrigon The Enigmatic used command '/PM vas johnu koruyacaktık biz'.
[11:58:42	]Nikolas Kozár exited observer at their location.
[11:58:42	]John Freeman used command '/PM nik he level yetmiyor,'.
[11:58:49	][PICKUP DISPENSER] Wonder Of You ( Nedim Malik ) picked up an item from the pickup dispenser.
[11:58:50	]Nedim Malik has gained a 'Dükkan Anahtarı' #16267.
[11:58:50	]Vrigon The Enigmatic used command '/PM vas tamam'.
[11:58:50	]John Freeman ran 'take' on item 'Boş Breen'in Suyu' (#16116)
[11:58:50	]John Freeman has gained a 'Boş Breen'in Suyu' #16116.
[11:58:53	]John Freeman ran 'take' on item 'Boş Kavanoz' (#16208)
[11:58:53	]John Freeman has gained a 'Boş Kavanoz' #16208.
[11:58:55	]Vrigon The Enigmatic exited observer at their location.
[11:58:57	]Nedim Malik ran 'SetCredits' on item '#26690 Kimlik Kartı' (#16259)
[11:59:01	]Wonder Of You has set card #16259's credits to 500.
[11:59:03	]John Freeman has performed the 'Craft Parçala: Boş Kavanoz' action, gaining 20 experience in crafting.
[11:59:04	][IC] Vrigon The Enigmatic: Seni sevdim.
[11:59:06	]John Freeman has performed the 'Craft Parçala: Boş Breen'in Suyu' action, gaining 20 experience in crafting.
[11:59:20	]Nedim Malik exited observer at their location.
[11:59:25	][IC] John Freeman: Tamam?
[11:59:32	]Nedim Malik has spawned 'models/props_combine/breendesk.mdl'.
[11:59:34	][IC] John Freeman: Benden ne istiyorsunuz.
[11:59:42	]Vrigon The Enigmatic used command '/PM vas nasıl çağırıyonuz la'.
[11:59:48	]Vrigon The Enigmatic used command '/PM vas komudu falanmı var :D'.
[11:59:51	]Nikolas Kozár entered observer.
[11:59:53	]Nikolas Kozár exited observer at their location.
[11:59:54	]S10/OWS.HURRICANE-45 used command '/Radio Overwatch, Unit 45, 10-19, APEX, Over.'.
[11:59:57	]Nedim Malik entered observer.
[12:00:00	][IC] Vrigon The Enigmatic: Seni koruyacağım.
[12:00:08	][IC] Vrigon The Enigmatic: Accept energy.
[12:00:09	]Vrigon The Enigmatic entered observer.
[12:00:13	]Vas'Yok exited observer at their location.
[12:00:15	]Vrigon The Enigmatic exited observer at their location.
[12:00:15	][LOOC] C24:i3.UNION-66: yakında teknoloji kullanır buluruz
[12:00:16	][IC] Vrigon The Enigmatic: Accept energy.
[12:00:18	]Vas'Yok entered observer.
[12:00:18	][LOOC] John Freeman: nasıl yapıyoz la,
[12:00:23	]Nedim Malik exited observer at their location.
[12:00:25	][IC] Vas'Yok: Accept energy.
[12:00:26	][LOOC] Vrigon The Enigmatic: neyi
[12:00:27	]Nikolas Kozár entered observer.
[12:00:29	][IC] Vas'Yok: Accept the charge.
[12:00:31	][IC] Vas'Yok: Accept the charge.
[12:00:31	]Vas'Yok exited observer at their location.
[12:00:32	]Vas'Yok entered observer.
[12:00:33	]Nedim Malik has enabled persistence for 'models/props_combine/breendesk.mdl'.
[12:00:33	]Nedim Malik has used a context menu option with the name: persist
[12:00:35	][LOOC] John Freeman: kabult et demiyonmu
[12:00:35	][IC] Vas'Yok: Accept energy.
[12:00:45	][LOOC] C24:i3.UNION-66: hayır öyle değil teknolojik alet kullanınca yazıyor
[12:00:53	]Vrigon The Enigmatic used command '/PM vas accept energy dediğinde ne olcak'.
[12:00:53	][LOOC] C24:i3.UNION-66: bak rasyonu nikolas kullanmış yazdı
[12:00:56	][IC] C24:i3.UNION-66: <:: Bir ses geldi. ::>
[12:01:02	]Nedim Malik has spawned 'models/n7/vorti_outfit/hoodie.mdl'.
[12:01:04	]Nedim Malik entered observer.
[12:01:11	]Nedim Malik has given himself a flashlight.
[12:01:11	]Nedim Malik has gained a 'Flashlight' #16268.
[12:01:11	][PICKUP DISPENSER] Victorian ( Nikolas Kozár ) picked up an item from the pickup dispenser.
[12:01:11	]Nikolas Kozár has gained a 'Daire Anahtarı' #16269.
[12:01:12	]Nedim Malik exited observer at their location.
[12:01:14	]Nedim Malik entered observer.
[12:01:14	]Nedim Malik exited observer at their location.
[12:01:14	][IC] C24:i3.UNION-66: <:: Hmph. ::>
[12:01:15	]Nedim Malik entered observer.
[12:01:15	]Nedim Malik exited observer at their location.
[12:01:17	]Nedim Malik entered observer.
[12:01:18	]Nedim Malik exited observer at their location.
[12:01:20	][IC] C24:i3.UNION-66: <:: Sıkıntı yok. ::>
[12:01:28	]Nedim Malik has spawned 'models/n7/vorti_outfit/light01.mdl'.
[12:01:34	]Nikolas Kozár exited observer at their location.
[12:01:35	]Nedim Malik has spawned 'models/willardnetworks/clothingitems/glasses.mdl'.
[12:01:36	][LOOC] Vrigon The Enigmatic: kitapı var
[12:01:37	]Nedim Malik entered observer.
[12:01:38	]Nikolas Kozár ran 'Lock' on item 'Daire Anahtarı' (#16269)
[12:01:38	]Nedim Malik exited observer at their location.
[12:01:39	]Nedim Malik entered observer.
[12:01:39	]Nikolas Kozár ran 'Unlock' on item 'Daire Anahtarı' (#16269)
[12:01:39	]Nedim Malik exited observer at their location.
[12:01:40	]Vrigon The Enigmatic entered observer.
[12:01:42	][LOOC] John Freeman: he
[12:01:46	]Nikolas Kozár ran 'Lock' on item 'Daire Anahtarı' (#16269)
[12:01:48	]John Freeman ran 'combine' on item 'Cam kırıkları' (#15097)
[12:01:49	]John Freeman ran 'combine' on item 'Cam kırıkları' (#15097)
[12:01:53	]John Freeman ran 'drop' on item 'Cam kırıkları' (#16252)
[12:01:53	]John Freeman has lost a 'Cam kırıkları' #16252.
[12:01:55	]Nedim Malik has spawned 'models/willardnetworks/clothingitems/head_boonie.mdl'.
[12:01:56	]John Freeman ran 'combine' on item 'Demir' (#15773)
[12:02:00	]John Freeman ran 'combine' on item 'Demir' (#15773)
[12:02:02	]John Freeman ran 'combine' on item 'Demir' (#15992)
[12:02:04	]Nikolas Kozár used command '/ActSit 5'.
[12:02:06	]John Freeman ran 'combine' on item 'Demir' (#15992)
[12:02:09	]John Freeman ran 'combine' on item 'Demir' (#15992)
[12:02:10	]John Freeman ran 'combine' on item 'Demir' (#15773)
[12:02:13	]John Freeman ran 'combine' on item 'Demir' (#15992)
