[17:27:40	]Pozytyw has connected.
[19:40:15	]gORDON fREEMAN exited observer at their location.
[19:40:20	]gORDON fREEMAN entered observer.
[19:40:32	]gORDON fREEMAN has spawned a 'NPC [407][npc_monk]'.
[19:40:36	]gORDON fREEMAN exited observer at their location.
[19:40:38	]gORDON fREEMAN has hit npc_monk in the right arm dealing 0 damage (CritChance was 0.38).
[19:40:38	]gORDON fREEMAN has hit npc_monk in the chest dealing 11 damage (CritChance was 0.42).
[19:40:39	]gORDON fREEMAN entered observer.
[19:40:43	]gORDON fREEMAN has hit npc_monk in the head dealing 9 damage (CritChance was 0.42).
[19:40:43	]gORDON fREEMAN has critically hit npc_monk in the head dealing 19 damage (CritChance was 0.42).
[19:40:43	]gORDON fREEMAN has critically hit npc_monk in the head dealing 19 damage (CritChance was 0.42).
[19:40:43	]gORDON fREEMAN has hit npc_monk in the chest dealing 11 damage (CritChance was 0.42).
[19:40:43	]gORDON fREEMAN has critically hit npc_monk in the chest dealing 18 damage (CritChance was 0.42).
[19:40:43	]gORDON fREEMAN has hit npc_monk in the chest dealing 11 damage (CritChance was 0.42).
[19:40:47	]gORDON fREEMAN exited observer at their location.
[19:40:50	]gORDON fREEMAN entered observer.
[19:43:02	]gORDON fREEMAN exited observer at their location.
[19:43:18	]gORDON fREEMAN entered observer.
[19:43:18	]gORDON fREEMAN exited observer at their location.
[19:43:19	]gORDON fREEMAN entered observer.
[19:43:19	]gORDON fREEMAN exited observer at their location.
[19:43:22	]gORDON fREEMAN entered observer.
[19:44:20	]gORDON fREEMAN exited observer at their location.
[19:44:23	]gORDON fREEMAN entered observer.
[19:44:23	]gORDON fREEMAN exited observer at their location.
[19:44:23	]gORDON fREEMAN entered observer.
[19:44:24	]gORDON fREEMAN exited observer at their location.
[19:44:25	]gORDON fREEMAN entered observer.
[19:44:25	]gORDON fREEMAN exited observer at their location.
[19:44:26	]gORDON fREEMAN entered observer.
[19:44:27	]gORDON fREEMAN exited observer at their location.
[19:44:27	]gORDON fREEMAN entered observer.
[19:44:35	]gORDON fREEMAN exited observer at their location.
[19:44:38	]gORDON fREEMAN entered observer.
[19:44:41	]gORDON fREEMAN exited observer at their location.
[19:45:23	]gORDON fREEMAN entered observer.
[19:45:24	]gORDON fREEMAN exited observer at their location.
[19:45:24	]gORDON fREEMAN entered observer.
[19:45:25	]gORDON fREEMAN exited observer at their location.
[19:45:26	]gORDON fREEMAN entered observer.
[19:45:28	]gORDON fREEMAN exited observer at their location.
[19:45:40	]gORDON fREEMAN entered observer.
[19:46:27	]gORDON fREEMAN exited observer at their location.
[19:46:27	]gORDON fREEMAN entered observer.
[19:46:28	]gORDON fREEMAN exited observer at their location.
[19:46:28	]gORDON fREEMAN entered observer.
[19:46:29	]gORDON fREEMAN exited observer at their location.
[19:46:30	]gORDON fREEMAN entered observer.
[19:46:54	]gORDON fREEMAN exited observer at their location.
[19:46:55	]gORDON fREEMAN entered observer.
[19:46:56	]gORDON fREEMAN exited observer at their location.
[19:46:57	]gORDON fREEMAN entered observer.
[19:46:57	]gORDON fREEMAN exited observer at their location.
[19:46:59	]gORDON fREEMAN ran 'take' on item 'Infestation Control Crate' (#3021)
[19:47:23	]gORDON fREEMAN entered observer.
[19:47:24	]gORDON fREEMAN exited observer at their location.
[19:47:27	]gORDON fREEMAN entered observer.
[19:47:28	]gORDON fREEMAN exited observer at their location.
[19:47:28	]gORDON fREEMAN entered observer.
[19:47:31	]gORDON fREEMAN exited observer at their location.
[19:47:33	]gORDON fREEMAN entered observer.
[19:47:33	]gORDON fREEMAN exited observer at their location.
[19:47:36	]gORDON fREEMAN entered observer.
[19:47:57	]gORDON fREEMAN exited observer at their location.
[19:47:58	]gORDON fREEMAN entered observer.
[19:48:13	]gORDON fREEMAN exited observer at their location.
[19:48:15	]gORDON fREEMAN entered observer.
[19:51:03	]gORDON fREEMAN exited observer at their location.
[19:51:04	]gORDON fREEMAN entered observer.
[19:51:40	]gORDON fREEMAN exited observer at their location.
[19:51:48	]gORDON fREEMAN entered observer.
[19:51:49	]gORDON fREEMAN exited observer at their location.
[19:51:55	]gORDON fREEMAN entered observer.
[19:56:43	]gORDON fREEMAN exited observer at their location.
[19:56:46	]gORDON fREEMAN entered observer.
[19:56:47	]gORDON fREEMAN exited observer at their location.
[19:56:52	]gORDON fREEMAN entered observer.
[19:59:27	]gORDON fREEMAN exited observer at their location.
[19:59:28	]gORDON fREEMAN entered observer.
[19:59:41	]gORDON fREEMAN exited observer at their location.
[19:59:42	]gORDON fREEMAN entered observer.
[19:59:43	]gORDON fREEMAN exited observer at their location.
[19:59:50	]gORDON fREEMAN entered observer.
[19:59:58	]gORDON fREEMAN has used a context menu option with the name: remove
[20:00:27	]gORDON fREEMAN exited observer at their location.
[20:00:27	]gORDON fREEMAN entered observer.
[20:00:33	]gORDON fREEMAN exited observer at their location.
[20:00:33	]gORDON fREEMAN has taken 2 damage from worldspawn.
[20:00:33	]gORDON fREEMAN entered observer.
[20:00:54	]gORDON fREEMAN exited observer at their location.
[20:00:56	]gORDON fREEMAN entered observer.
[20:01:02	]gORDON fREEMAN exited observer at their location.
[20:01:03	]gORDON fREEMAN has pressed the "BOE_Anthem" map button.
[20:01:08	]gORDON fREEMAN has pressed the "BOE_Intro" map button.
[20:01:14	]gORDON fREEMAN has pressed the "BOE_TechnicalIssues" map button.
[20:01:19	]gORDON fREEMAN has pressed the "BOE_Set2Camera" map button.
[20:01:23	]gORDON fREEMAN has pressed the "BOE_CamerasOff" map button.
[20:01:24	]gORDON fREEMAN has pressed the "BOE_Intermission" map button.
[20:01:26	]gORDON fREEMAN has pressed the "BOE_TechnicalIssues" map button.
[20:01:27	]gORDON fREEMAN entered observer.
[20:01:35	]gORDON fREEMAN exited observer at their location.
[20:01:44	]gORDON fREEMAN entered observer.
[20:02:08	]gORDON fREEMAN exited observer at their location.
[20:02:11	]gORDON fREEMAN has pressed the "BOE_Intermission" map button.
[20:02:16	]gORDON fREEMAN has pressed the "BOE_TechnicalIssues" map button.
[20:02:23	]gORDON fREEMAN has pressed the "BOE_NewsIntro" map button.
[20:02:41	]gORDON fREEMAN has pressed the "BOE_CloseupCamera" map button.
[20:03:01	]gORDON fREEMAN entered observer.
[20:09:10	]gORDON fREEMAN exited observer at their location.
[20:09:18	]gORDON fREEMAN entered observer.
[20:09:18	]gORDON fREEMAN exited observer at their location.
[20:09:20	]gORDON fREEMAN entered observer.
[20:14:46	]gORDON fREEMAN has gone afk.
[20:30:11	]gORDON fREEMAN is fully healed.
[20:43:11	]gORDON fREEMAN is no longer afk. Total time spent AFK: 2000
[20:43:16	]gORDON fREEMAN exited observer at their location.
[20:43:27	]gORDON fREEMAN entered observer.
[20:43:30	]gORDON fREEMAN exited observer at their location.
[20:43:31	]gORDON fREEMAN entered observer.
[20:43:31	]gORDON fREEMAN exited observer at their location.
[20:43:33	]gORDON fREEMAN entered observer.
[20:43:35	]gORDON fREEMAN exited observer at their location.
[20:43:39	]gORDON fREEMAN entered observer.
[20:43:40	]gORDON fREEMAN exited observer at their location.
[20:43:43	]gORDON fREEMAN entered observer.
[20:43:44	]gORDON fREEMAN exited observer at their location.
[20:43:46	]gORDON fREEMAN entered observer.
[20:43:48	]gORDON fREEMAN exited observer at their location.
[20:43:49	]gORDON fREEMAN entered observer.
[20:43:50	]gORDON fREEMAN exited observer at their location.
[20:43:53	]gORDON fREEMAN entered observer.
[20:43:53	]gORDON fREEMAN exited observer at their location.
[20:43:55	]gORDON fREEMAN entered observer.
[20:43:56	]gORDON fREEMAN exited observer at their location.
[20:43:59	]gORDON fREEMAN entered observer.
[20:43:59	]gORDON fREEMAN exited observer at their location.
[20:44:00	]gORDON fREEMAN entered observer.
[20:44:02	]gORDON fREEMAN exited observer at their location.
[20:44:04	]gORDON fREEMAN entered observer.
[20:44:05	]gORDON fREEMAN exited observer at their location.
[20:44:06	]gORDON fREEMAN entered observer.
[20:44:06	]gORDON fREEMAN exited observer at their location.
[20:44:09	]gORDON fREEMAN entered observer.
[20:44:09	]gORDON fREEMAN exited observer at their location.
[20:44:16	]Snakeiter (STEAM_0:1:146784845) has disconnected.
[23:20:44	]Inkaaz has connected.
[23:21:10	]Inkaaz loaded the character 'Kotek Loxiego'
[23:21:23	]Kotek Loxiego set music to '"willardnetworks/charactercreation/wn_phaneron.mp3"'.
[23:23:17	]Kotek Loxiego set DiscordLink to '"https://discord.gg/FcVSNDQnrp"'.
[23:24:20	]Kotek Loxiego entered observer.
[23:24:45	]Kotek Loxiego has spawned a 'Entity [408][ix_terminal]'.
[23:25:09	]Kotek Loxiego exited observer at their location.
[23:25:11	]Kotek Loxiego has spawned a 'Entity [408][ix_terminal]'.
[23:25:23	]Kotek Loxiego has spawned a 'Entity [408][ix_terminal]'.
[23:25:24	]Kotek Loxiego has spawned a 'Entity [409][ix_terminal]'.
[23:25:29	]Kotek Loxiego has fired a toolgun with the name: creator
[23:25:29	]Kotek Loxiego has spawned a 'Entity [406][ix_terminal]'.
[23:25:31	]Kotek Loxiego entered observer.
[23:25:33	]Kotek Loxiego exited observer at their location.
[23:25:39	]Kotek Loxiego has fired a toolgun with the name: creator
[23:25:39	]Kotek Loxiego has spawned a 'Entity [406][ix_terminal]'.
[23:25:41	]Kotek Loxiego has fired a toolgun with the name: creator
[23:25:41	]Kotek Loxiego has spawned a 'Entity [408][ix_terminal]'.
[23:25:41	]Kotek Loxiego has fired a toolgun with the name: creator
[23:25:41	]Kotek Loxiego has spawned a 'Entity [406][ix_terminal]'.
[23:25:42	]Kotek Loxiego has fired a toolgun with the name: creator
[23:25:42	]Kotek Loxiego has spawned a 'Entity [408][ix_terminal]'.
[23:25:43	]Kotek Loxiego has fired a toolgun with the name: creator
[23:25:43	]Kotek Loxiego has spawned a 'Entity [406][ix_terminal]'.
[23:25:46	]Kotek Loxiego has spawned a 'Entity [406][ix_combinebarricade]'.
[23:25:48	]Kotek Loxiego has spawned a 'Entity [408][ix_terminal]'.
[23:25:49	]Kotek Loxiego has spawned a 'Entity [406][ix_terminal]'.
[23:25:51	]Kotek Loxiego has spawned a 'Entity [408][ix_terminal]'.
[23:25:53	]Kotek Loxiego has fired a toolgun with the name: creator
[23:25:53	]Kotek Loxiego has spawned a 'Entity [406][ix_terminal]'.
[23:25:54	]Kotek Loxiego has fired a toolgun with the name: creator
[23:25:54	]Kotek Loxiego has spawned a 'Entity [408][ix_terminal]'.
[23:25:55	]Kotek Loxiego has fired a toolgun with the name: creator
[23:25:55	]Kotek Loxiego has spawned a 'Entity [406][ix_terminal]'.
[23:25:56	]Kotek Loxiego has spawned a 'Entity [408][ix_terminal]'.
[23:26:06	]Kotek Loxiego entered observer.
[23:26:08	]Kotek Loxiego exited observer at their location.
[23:28:11	]Kotek Loxiego entered observer.
[23:28:16	]Kotek Loxiego exited observer at their location.
[23:28:18	]Kotek Loxiego entered observer.
[23:28:45	]Kotek Loxiego exited observer at their location.
[23:28:47	]Kotek Loxiego entered observer.
[23:28:49	]Kotek Loxiego exited observer at their location.
[23:28:53	]Kotek Loxiego has spawned a 'Entity [409][ix_combinemonitor_small]'.
[23:28:54	]Kotek Loxiego has spawned a 'Entity [410][ix_combinemonitor]'.
[23:28:56	]Kotek Loxiego has spawned a 'Entity [409][ix_combinemonitor_tv]'.
[23:29:00	]Kotek Loxiego has spawned a 'Entity [409][ix_console]'.
[23:29:04	]Kotek Loxiego entered observer.
[23:29:07	]Kotek Loxiego exited observer at their location.
[23:29:08	]Kotek Loxiego has spawned a 'Entity [409][ix_console]'.
[23:29:43	]Kotek Loxiego entered observer.
[23:29:45	]Kotek Loxiego has spawned a 'Entity [410][ix_containerlock]'.
[23:29:47	]Kotek Loxiego exited observer at their location.
[23:29:52	]Kotek Loxiego has spawned a 'Entity [410][ix_terminal]'.
[23:29:54	]Kotek Loxiego has spawned a 'Entity [411][ix_terminal]'.
[23:29:56	]Kotek Loxiego has spawned a 'Entity [410][ix_terminal]'.
[23:29:57	]Kotek Loxiego has spawned a 'Entity [410][ix_terminal]'.
[23:30:12	]Kotek Loxiego has spawned a 'Entity [411][ix_rationdispenser]'.
[23:30:13	]Kotek Loxiego has spawned a 'Entity [419][ix_pickupterminal]'.
[23:30:16	]Kotek Loxiego has spawned a 'Entity [411][ix_pickupterminal]'.
[23:30:19	]Kotek Loxiego has spawned a 'Entity [418][ix_pickupterminal]'.
[23:30:20	]Kotek Loxiego has spawned a 'Entity [411][ix_pickupterminal]'.
[23:30:27	]Kotek Loxiego has spawned a 'Entity [411][ix_pickupterminal]'.
[23:30:32	]Kotek Loxiego entered observer.
[23:30:38	]Kotek Loxiego exited observer at their location.
[23:30:41	]Kotek Loxiego has spawned a 'Entity [410][ix_terminal]'.
[23:30:43	]Kotek Loxiego has spawned a 'Entity [411][ix_terminal]'.
[23:30:53	]Kotek Loxiego has spawned a 'Entity [410][ix_cwuterminal]'.
[23:30:56	]Kotek Loxiego has spawned a 'Entity [410][ix_pickupterminal]'.
[23:31:08	]Kotek Loxiego entered observer.
[23:31:11	]Kotek Loxiego exited observer at their location.
[23:31:40	]Kotek Loxiego has spawned a 'Entity [410][ix_pickupterminal]'.
[23:31:48	]Kotek Loxiego has spawned a 'Entity [417][ix_terminal]'.
[23:31:49	]Kotek Loxiego has spawned a 'Entity [418][ix_terminal]'.
[23:31:54	]Kotek Loxiego has spawned a 'Entity [417][ix_terminal]'.
[23:31:56	]Kotek Loxiego has spawned a 'Entity [418][ix_terminal]'.
[23:31:57	]Kotek Loxiego has spawned a 'Entity [417][ix_terminal]'.
[23:32:21	]Kotek Loxiego entered observer.
[23:32:25	]Kotek Loxiego has spawned a 'Entity [418][ix_combinelock_cmru]'.
[23:32:28	]Kotek Loxiego exited observer at their location.
[23:32:34	]Kotek Loxiego has spawned a 'Entity [419][ix_combinelock_cmru]'.
[23:32:35	]Kotek Loxiego entered observer.
[23:32:42	]Kotek Loxiego has spawned a 'Entity [417][ix_combinelock_cmru]'.
[23:32:45	]Kotek Loxiego has spawned a 'Entity [417][ix_combinelock_cmru]'.
[23:32:48	]Kotek Loxiego has spawned a 'Entity [417][ix_combinelock_cmru]'.
[23:32:49	]Kotek Loxiego exited observer at their location.
[23:32:51	]Kotek Loxiego entered observer.
[23:32:54	]Kotek Loxiego has spawned a 'Entity [418][ix_combinelock_cmru]'.
[23:32:55	]Kotek Loxiego exited observer at their location.
[23:32:57	]Kotek Loxiego has spawned a 'Entity [419][ix_combinelock_cmru]'.
[23:32:58	]Kotek Loxiego entered observer.
[23:33:01	]Kotek Loxiego exited observer at their location.
[23:33:02	]Kotek Loxiego entered observer.
[23:33:13	]Kotek Loxiego exited observer at their location.
[23:33:17	]Kotek Loxiego has spawned a 'Entity [418][ix_terminal]'.
[23:33:18	]Kotek Loxiego has spawned a 'Entity [420][ix_terminal]'.
[23:33:52	]Kotek Loxiego entered observer.
[23:34:24	]Kotek Loxiego exited observer at their location.
[23:34:25	]Kotek Loxiego has spawned a 'Entity [418][ix_combinelock_dob]'.
[23:34:27	]Kotek Loxiego entered observer.
[23:34:32	]Kotek Loxiego exited observer at their location.
[23:34:33	]Kotek Loxiego has spawned a 'Entity [418][ix_combinelock_dob]'.
[23:34:35	]Kotek Loxiego entered observer.
[23:34:36	]Kotek Loxiego has spawned a 'Entity [418][ix_combinelock_dob]'.
[23:34:39	]Kotek Loxiego exited observer at their location.
[23:34:40	]Kotek Loxiego has spawned a 'Entity [418][ix_combinelock_cwu]'.
[23:34:42	]Kotek Loxiego entered observer.
[23:35:08	]Kotek Loxiego exited observer at their location.
[23:35:10	]Kotek Loxiego has spawned a 'Entity [418][ix_combinelock_dob]'.
[23:35:14	]Kotek Loxiego has spawned a 'Entity [421][ix_combinelock_dob]'.
[23:35:21	]Kotek Loxiego entered observer.
[23:35:22	]Kotek Loxiego exited observer at their location.
[23:35:23	]Kotek Loxiego entered observer.
[23:35:24	]Kotek Loxiego exited observer at their location.
[23:35:26	]Kotek Loxiego entered observer.
[23:35:27	]Kotek Loxiego exited observer at their location.
[23:35:30	]Kotek Loxiego entered observer.
[23:35:31	]Kotek Loxiego exited observer at their location.
[23:35:33	]Kotek Loxiego ran SAM command 'slay' with arguments: '^'
[23:35:35	]Kotek Loxiego entered observer.
[23:35:42	]Kotek Loxiego exited observer at their location.
[23:36:37	]Kotek Loxiego entered observer.
[23:36:39	]Kotek Loxiego exited observer at their location.
[23:36:44	]Kotek Loxiego ran SAM command 'slay' with arguments: '^'
[23:36:46	]Kotek Loxiego entered observer.
[23:36:54	]Kotek Loxiego exited observer at their location.
[23:36:57	]Kotek Loxiego has spawned a 'Entity [412][ix_combinelock_dob]'.
[23:37:06	]Kotek Loxiego entered observer.
[23:37:12	]Kotek Loxiego exited observer at their location.
[23:37:13	]Kotek Loxiego entered observer.
[23:37:14	]Kotek Loxiego has spawned a 'Entity [412][ix_rationdispenser]'.
[23:37:19	]Kotek Loxiego exited observer at their location.
[23:37:19	]Kotek Loxiego entered observer.
[23:37:23	]Kotek Loxiego exited observer at their location.
[23:37:23	]Kotek Loxiego entered observer.
[23:37:30	]Kotek Loxiego exited observer at their location.
[23:37:32	]Kotek Loxiego has spawned a 'Entity [412][ix_rationdispenser]'.
[23:37:35	]Kotek Loxiego has spawned a 'Entity [415][ix_rationdispenser]'.
[23:37:45	]Kotek Loxiego entered observer.
[23:37:46	]Kotek Loxiego exited observer at their location.
[23:37:58	]Inkaaz loaded the character 'Hiroto Nakamura'
[23:38:01	]Hiroto Nakamura entered observer.
[23:38:02	]Hiroto Nakamura exited observer at their location.
[23:38:03	]Hiroto Nakamura is fully healed.
[23:38:06	]Hiroto Nakamura has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[23:39:01	]Hiroto Nakamura has used a context menu option with the name: remove
[23:39:03	]Hiroto Nakamura entered observer.
[23:40:08	]Hiroto Nakamura exited observer at their location.
[23:40:08	]Hiroto Nakamura entered observer.
[23:40:11	]Hiroto Nakamura exited observer at their location.
[23:40:25	]Hiroto Nakamura entered observer.
[23:42:48	]Inkaaz has connected.
[23:43:24	]Inkaaz loaded the character 'Kotek Loxiego'
[23:43:40	]Kotek Loxiego entered observer.
[23:43:43	]Kotek Loxiego exited observer at their location.
[23:43:49	]Kotek Loxiego entered observer.
[23:43:51	]Kotek Loxiego exited observer at their location.
[23:43:52	]Kotek Loxiego entered observer.
[23:44:28	]Kotek Loxiego exited observer at their location.
[23:44:34	]Kotek Loxiego entered observer.
[23:44:39	]Kotek Loxiego exited observer at their location.
[23:44:41	]Kotek Loxiego entered observer.
[23:44:43	]Kotek Loxiego exited observer at their location.
[23:44:57	]Kotek Loxiego entered observer.
[23:44:59	]Kotek Loxiego exited observer at their location.
[23:45:05	]Kotek Loxiego entered observer.
[23:45:13	]Kotek Loxiego exited observer at their location.
[23:45:20	]Kotek Loxiego entered observer.
[23:45:39	]Kotek Loxiego exited observer at their location.
[23:45:45	]Kotek Loxiego entered observer.
[23:45:45	]Kotek Loxiego exited observer at their location.
[23:46:06	]Kotek Loxiego entered observer.
[23:46:15	]Kotek Loxiego exited observer at their location.
[23:46:16	]Kotek Loxiego entered observer.
[23:46:39	]Kotek Loxiego exited observer at their location.
[23:46:46	]Kotek Loxiego entered observer.
[23:48:53	]Kotek Loxiego exited observer at their location.
[23:49:25	]Kotek Loxiego entered observer.
[23:51:17	]Kotek Loxiego exited observer at their location.
[23:51:17	]Kotek Loxiego entered observer.
[23:51:25	]Kotek Loxiego exited observer at their location.
[23:51:32	]Kotek Loxiego has spawned a 'Entity [414][ix_forcefield]'.
[23:51:37	]Kotek Loxiego has spawned a 'Entity [414][ix_forcefield]'.
[23:51:39	]Kotek Loxiego has spawned a 'Entity [416][ix_forcefield]'.
[23:51:44	]Kotek Loxiego has spawned a 'Entity [414][ix_forcefield]'.
[23:51:47	]Kotek Loxiego entered observer.
[23:51:51	]Kotek Loxiego exited observer at their location.
[23:51:52	]Kotek Loxiego has spawned a 'Entity [414][ix_forcefield]'.
[23:51:56	]Kotek Loxiego has spawned a 'Entity [416][ix_forcefield]'.
[23:52:00	]Kotek Loxiego has spawned a 'Entity [414][ix_forcefield]'.
[23:52:06	]Kotek Loxiego has fired a toolgun with the name: creator
[23:52:06	]Kotek Loxiego has spawned a 'Entity [414][ix_forcefield]'.
[23:52:08	]Kotek Loxiego entered observer.
[23:52:10	]Kotek Loxiego has fired a toolgun with the name: creator
[23:52:10	]Kotek Loxiego has spawned a 'Entity [413][ix_forcefield]'.
[23:52:14	]Kotek Loxiego has spawned a 'Entity [415][ix_forcefield]'.
[23:52:40	]Kotek Loxiego exited observer at their location.
[23:52:40	]Kotek Loxiego has spawned a 'Entity [413][ix_cwuterminal]'.
[23:52:42	]Kotek Loxiego has spawned a 'Entity [415][ix_fabricator]'.
[23:52:45	]Kotek Loxiego has spawned a 'Entity [413][ix_pickupcache]'.
[23:52:51	]Kotek Loxiego has spawned a 'Entity [413][ix_trashcollector]'.
[23:52:53	]Kotek Loxiego has spawned a 'Entity [423][ix_workshiftterminal]'.
[23:52:56	]Kotek Loxiego entered observer.
[23:53:09	]Kotek Loxiego exited observer at their location.
[23:53:11	]Kotek Loxiego has spawned a 'Entity [413][ix_workshiftterminal]'.
[23:53:30	]Kotek Loxiego entered observer.
[23:53:32	]Kotek Loxiego exited observer at their location.
[23:53:33	]Kotek Loxiego entered observer.
[23:53:36	]Kotek Loxiego exited observer at their location.
[23:53:37	]Kotek Loxiego has spawned a 'Entity [413][ix_workshiftterminal]'.
[23:53:47	]Kotek Loxiego entered observer.
[23:53:51	]Kotek Loxiego has spawned a 'Entity [413][ix_keg]'.
[23:53:56	]Kotek Loxiego has spawned a 'Entity [413][ix_watercache]'.
[23:55:13	]Kotek Loxiego has spawned a 'Entity [413][ix_medical_computer]'.
[23:55:17	]Kotek Loxiego exited observer at their location.
[23:55:17	]Kotek Loxiego entered observer.
[23:55:20	]Kotek Loxiego has spawned a 'Entity [413][ix_medical_computer]'.
[23:55:21	]Kotek Loxiego exited observer at their location.
[23:55:23	]Kotek Loxiego has spawned a 'Entity [413][ix_medical_computer]'.
[23:55:24	]Kotek Loxiego entered observer.
[23:55:27	]Kotek Loxiego exited observer at their location.
[23:55:29	]Kotek Loxiego entered observer.
[23:55:39	]Kotek Loxiego exited observer at their location.
[23:55:51	]Kotek Loxiego has used a context menu option with the name: remove
[23:55:52	]Kotek Loxiego entered observer.
[23:56:00	]Kotek Loxiego has used a context menu option with the name: remove
[23:56:01	]Kotek Loxiego exited observer at their location.
[23:56:02	]Kotek Loxiego entered observer.
[23:56:06	]Kotek Loxiego exited observer at their location.
[23:56:06	]Kotek Loxiego entered observer.
[23:56:34	]Kotek Loxiego has used a context menu option with the name: remove
[23:56:37	]Kotek Loxiego has used a context menu option with the name: remove
[23:56:41	]Kotek Loxiego has used a context menu option with the name: remove
[23:56:43	]Kotek Loxiego has used a context menu option with the name: remove
[23:56:44	]Kotek Loxiego has used a context menu option with the name: remove
[23:56:45	]Kotek Loxiego has used a context menu option with the name: remove
[23:57:11	]Kotek Loxiego exited observer at their location.
[23:57:19	]Kotek Loxiego has spawned a metal_trash_can.
[23:57:21	]Kotek Loxiego has spawned a trash_bin.
[23:57:23	]Kotek Loxiego has used a context menu option with the name: remove
[23:57:25	]Kotek Loxiego entered observer.
[23:57:27	]Kotek Loxiego exited observer at their location.
[23:57:28	]Kotek Loxiego entered observer.
[23:57:33	]Kotek Loxiego has fired a toolgun with the name: sh_npcspawnedit
[23:57:34	]Kotek Loxiego has fired a toolgun with the name: sh_npcspawnedit
[23:57:34	]Kotek Loxiego has fired a toolgun with the name: sh_npcspawnedit
[23:57:35	]Kotek Loxiego has fired a toolgun with the name: sh_npcspawnedit
[23:57:35	]Kotek Loxiego has fired a toolgun with the name: sh_npcspawnedit
[23:57:35	]Kotek Loxiego has fired a toolgun with the name: sh_npcspawnedit
[23:57:35	]Kotek Loxiego has fired a toolgun with the name: sh_npcspawnedit
[23:57:35	]Kotek Loxiego exited observer at their location.
[23:57:36	]Kotek Loxiego has fired a toolgun with the name: sh_npcspawnedit
[23:57:36	]Kotek Loxiego has fired a toolgun with the name: sh_npcspawnedit
[23:57:36	]Kotek Loxiego has fired a toolgun with the name: sh_npcspawnedit
[23:57:36	]Kotek Loxiego has fired a toolgun with the name: sh_npcspawnedit
[23:57:36	]Kotek Loxiego has fired a toolgun with the name: sh_npcspawnedit
[23:57:37	]Kotek Loxiego has fired a toolgun with the name: sh_npcspawnedit
[23:57:38	]Kotek Loxiego has fired a toolgun with the name: sh_npcspawnedit
[23:57:39	]Kotek Loxiego entered observer.
[23:57:41	]Kotek Loxiego exited observer at their location.
[23:57:41	]Kotek Loxiego entered observer.
[23:57:41	]Kotek Loxiego exited observer at their location.
[23:57:43	]Kotek Loxiego entered observer.
[23:58:03	]Kotek Loxiego exited observer at their location.
[23:58:04	]Kotek Loxiego entered observer.
[23:58:06	]Kotek Loxiego exited observer at their location.
[23:58:06	]Kotek Loxiego entered observer.
[23:58:07	]Kotek Loxiego exited observer at their location.
[23:58:07	]Kotek Loxiego entered observer.
[23:58:07	]Kotek Loxiego exited observer at their location.
[23:58:08	]Kotek Loxiego entered observer.
[23:58:09	]Kotek Loxiego exited observer at their location.
[23:58:10	]Kotek Loxiego entered observer.
[23:58:11	]Kotek Loxiego exited observer at their location.
[23:58:11	]Kotek Loxiego entered observer.
[23:58:14	]Kotek Loxiego exited observer at their location.
[23:58:14	]Kotek Loxiego entered observer.
[23:58:15	]Kotek Loxiego exited observer at their location.
[23:58:16	]Kotek Loxiego entered observer.
[23:58:17	]Kotek Loxiego exited observer at their location.
[23:58:18	]Kotek Loxiego entered observer.
[23:58:18	]Kotek Loxiego exited observer at their location.
[23:58:19	]Kotek Loxiego entered observer.
[23:58:20	]Kotek Loxiego exited observer at their location.
[23:58:20	]Kotek Loxiego entered observer.
[23:58:22	]Kotek Loxiego has spawned a 'Entity [395][ix_intercom]'.
[23:58:29	]Kotek Loxiego has used a context menu option with the name: ixchangeintercomchannel
[23:58:31	]Kotek Loxiego exited observer at their location.
[23:58:31	]Kotek Loxiego entered observer.
[23:58:32	]Kotek Loxiego exited observer at their location.
[23:58:32	]Kotek Loxiego entered observer.
[23:58:33	]Kotek Loxiego exited observer at their location.
[23:58:34	]Kotek Loxiego entered observer.
[23:58:34	]Kotek Loxiego exited observer at their location.
[23:58:35	]Kotek Loxiego entered observer.
[23:58:35	]Kotek Loxiego exited observer at their location.
[23:58:36	]Kotek Loxiego entered observer.
[23:58:38	]Kotek Loxiego exited observer at their location.
[23:58:40	]Kotek Loxiego entered observer.
[23:58:47	]Kotek Loxiego exited observer at their location.
[23:58:51	]Kotek Loxiego entered observer.
[23:58:53	]Kotek Loxiego exited observer at their location.
[23:58:54	]Kotek Loxiego entered observer.
[23:59:06	]Kotek Loxiego exited observer at their location.
[23:59:12	]Kotek Loxiego has spawned a 'Entity [395][ix_terminal]'.
[23:59:21	]Kotek Loxiego entered observer.
[23:59:31	]Kotek Loxiego has spawned a 'Entity [396][ix_terminal]'.
[23:59:35	]Kotek Loxiego exited observer at their location.
[23:59:36	]Kotek Loxiego entered observer.
[23:59:54	]Kotek Loxiego has spawned a 'Entity [396][ix_discscanner]'.
[23:59:58	]Kotek Loxiego has spawned a 'Entity [396][ix_containerlock]'.
