[16:04:53	]Victorian has connected.
[16:41:58	]Hilbert Ritter has used a context menu option with the name: npc_smaller
[16:42:00	]Hilbert Ritter has used a context menu option with the name: npc_smaller
[16:42:01	]Hilbert Ritter has used a context menu option with the name: npc_smaller
[16:42:03	]Hilbert Ritter has used a context menu option with the name: npc_smaller
[16:42:07	]Hilbert Ritter has used a context menu option with the name: npc_smaller
[16:42:11	]Hilbert Ritter has used a context menu option with the name: npc_smaller
[16:42:13	]Hilbert Ritter has used a context menu option with the name: npc_smaller
[16:42:15	]Hilbert Ritter has used a context menu option with the name: npc_smaller
[16:42:18	]Hilbert Ritter has used a context menu option with the name: npc_smaller
[16:42:19	]Hilbert Ritter entered observer.
[16:42:53	]Hilbert Ritter has used a context menu option with the name: npc_smaller
[16:42:55	]Hilbert Ritter has used a context menu option with the name: npc_smaller
[16:43:39	]Hilbert Ritter has used a context menu option with the name: npc_bigger
[16:44:04	]Hilbert Ritter has used a context menu option with the name: npc_bigger
[16:44:07	]Hilbert Ritter has used a context menu option with the name: npc_bigger
[16:45:57	]Hilbert Ritter exited observer at their location.
[16:45:58	]Hilbert Ritter entered observer.
[16:46:14	]Hilbert Ritter exited observer at their location.
[16:46:15	]Hilbert Ritter entered observer.
[16:46:15	]Hilbert Ritter exited observer at their location.
[16:46:15	]Hilbert Ritter entered observer.
[16:46:15	]Hilbert Ritter exited observer at their location.
[16:46:16	]Hilbert Ritter entered observer.
[16:46:16	]Hilbert Ritter exited observer at their location.
[16:46:16	]Hilbert Ritter entered observer.
[16:46:17	]Hilbert Ritter exited observer at their location.
[16:46:24	]Hilbert Ritter entered observer.
[16:46:24	]Hilbert Ritter exited observer at their location.
[16:46:26	]Hilbert Ritter entered observer.
[16:46:26	]Hilbert Ritter exited observer at their location.
[16:46:27	]Hilbert Ritter entered observer.
[16:46:27	]Hilbert Ritter exited observer at their location.
[16:46:29	]Hilbert Ritter entered observer.
[16:46:29	]Hilbert Ritter exited observer at their location.
[16:46:31	]Hilbert Ritter entered observer.
[16:46:31	]Hilbert Ritter exited observer at their location.
[16:46:33	]Hilbert Ritter entered observer.
[16:46:34	]Hilbert Ritter exited observer at their location.
[16:46:38	]Hilbert Ritter entered observer.
[16:46:48	]Hilbert Ritter has used a context menu option with the name: npc_bigger
[16:47:02	]Hilbert Ritter has used a context menu option with the name: npc_bigger
[16:47:05	]Hilbert Ritter exited observer at their location.
[16:47:07	]Hilbert Ritter entered observer.
[16:47:07	]Hilbert Ritter exited observer at their location.
[16:47:09	]Hilbert Ritter entered observer.
[16:47:09	]Hilbert Ritter exited observer at their location.
[16:47:10	]Hilbert Ritter entered observer.
[16:47:10	]Hilbert Ritter exited observer at their location.
[16:47:10	]Hilbert Ritter entered observer.
[16:47:11	]Hilbert Ritter exited observer at their location.
[16:47:13	]Hilbert Ritter entered observer.
[16:47:13	]Hilbert Ritter exited observer at their location.
[16:47:15	]Hilbert Ritter entered observer.
[16:47:15	]Hilbert Ritter exited observer at their location.
[16:47:15	]Hilbert Ritter entered observer.
[16:47:16	]Hilbert Ritter exited observer at their location.
[16:47:16	]Hilbert Ritter entered observer.
[16:47:17	]Hilbert Ritter exited observer at their location.
[16:47:17	]Hilbert Ritter entered observer.
[16:47:19	]Hilbert Ritter exited observer at their location.
[16:47:21	]Hilbert Ritter has taken 40 damage from worldspawn.
[16:47:22	]Hilbert Ritter entered observer.
[16:47:22	]Hilbert Ritter exited observer at their location.
[16:47:24	]Hilbert Ritter entered observer.
[16:47:24	]Hilbert Ritter exited observer at their location.
[16:47:28	]Hilbert Ritter ran SAM command 'hp' with arguments: 'Hilbert' '100'
[16:47:28	]Hilbert Ritter entered observer.
[16:47:29	]Hilbert Ritter exited observer at their location.
[16:47:30	]Hilbert Ritter entered observer.
[16:47:31	]Hilbert Ritter exited observer at their location.
[16:47:31	]Hilbert Ritter entered observer.
[16:47:31	]Hilbert Ritter is fully healed.
[16:47:31	]Hilbert Ritter exited observer at their location.
[16:47:33	]Hilbert Ritter entered observer.
[16:47:34	]Hilbert Ritter exited observer at their location.
[16:47:36	]Hilbert Ritter has spawned a 'Entity [4626][sent_vj_mossman]'.
[16:47:43	]Hilbert Ritter has spawned a 'NPC [4626][npc_vj_hl2_citizen2]'.
[16:47:48	]Hilbert Ritter has spawned a 'NPC [5021][npc_vj_hl2_citizen2]'.
[16:47:50	]Hilbert Ritter has spawned a 'NPC [4626][npc_vj_hl2_citizen2]'.
[16:47:54	]Hilbert Ritter has spawned a 'NPC [4626][npc_vj_hl2_citizen2]'.
[16:48:03	]Hilbert Ritter has used a context menu option with the name: npc_smaller
[16:48:07	]Hilbert Ritter has used a context menu option with the name: npc_smaller
[16:48:10	]Hilbert Ritter has used a context menu option with the name: npc_bigger
[16:48:23	]Hilbert Ritter has used a context menu option with the name: npc_bigger
[16:48:25	]Hilbert Ritter entered observer.
[16:48:31	]Hilbert Ritter exited observer at their location.
[16:48:32	]Hilbert Ritter has spawned a 'NPC [4626][npc_vj_hl2_dog]'.
[16:48:32	]Hilbert Ritter entered observer.
[16:48:33	]Hilbert Ritter exited observer at their location.
[16:48:34	]Hilbert Ritter entered observer.
[16:48:35	]Hilbert Ritter exited observer at their location.
[16:48:38	]Hilbert Ritter entered observer.
[16:48:57	]Hilbert Ritter exited observer at their location.
[16:49:01	]Hilbert Ritter entered observer.
[16:49:02	]Hilbert Ritter exited observer at their location.
[16:49:04	]Hilbert Ritter entered observer.
[16:49:05	]Hilbert Ritter exited observer at their location.
[16:49:08	]Hilbert Ritter entered observer.
[16:49:08	]Hilbert Ritter exited observer at their location.
[16:49:08	]Hilbert Ritter has taken 2 damage from Hilbert Ritter.
[16:49:09	]Hilbert Ritter has taken 4 damage from Hilbert Ritter.
[16:49:09	]Hilbert Ritter entered observer.
[16:49:09	]Hilbert Ritter exited observer at their location.
[16:49:10	]Hilbert Ritter entered observer.
[16:49:10	]Hilbert Ritter exited observer at their location.
[16:49:11	]Hilbert Ritter entered observer.
[16:49:11	]Hilbert Ritter exited observer at their location.
[16:49:12	]Hilbert Ritter entered observer.
[16:49:13	]Hilbert Ritter exited observer at their location.
[16:49:13	]Hilbert Ritter has taken 2 damage from Hilbert Ritter.
[16:49:13	]Hilbert Ritter has taken 4 damage from Hilbert Ritter.
[16:49:14	]Hilbert Ritter entered observer.
[16:49:14	]Hilbert Ritter exited observer at their location.
[16:49:15	]Hilbert Ritter entered observer.
[16:49:15	]Hilbert Ritter exited observer at their location.
[16:49:16	]Hilbert Ritter entered observer.
[16:49:17	]Hilbert Ritter exited observer at their location.
[16:49:20	]Hilbert Ritter entered observer.
[16:49:21	]Hilbert Ritter exited observer at their location.
[16:49:24	]Hilbert Ritter entered observer.
[16:49:25	]Hilbert Ritter exited observer at their location.
[16:49:27	]Hilbert Ritter entered observer.
[16:49:28	]Hilbert Ritter exited observer at their location.
[16:49:29	]Hilbert Ritter entered observer.
[16:49:39	]Hilbert Ritter exited observer at their location.
[16:49:39	]Hilbert Ritter entered observer.
[16:49:40	]Hilbert Ritter exited observer at their location.
[16:49:40	]Hilbert Ritter entered observer.
[16:50:01	]Hilbert Ritter exited observer at their location.
[16:50:03	]Hilbert Ritter entered observer.
[16:50:04	]Hilbert Ritter exited observer at their location.
[16:50:04	]Hilbert Ritter entered observer.
[16:50:05	]Hilbert Ritter exited observer at their location.
[16:50:06	]Hilbert Ritter entered observer.
[16:50:06	]Hilbert Ritter exited observer at their location.
[16:50:09	]Hilbert Ritter entered observer.
[16:50:19	]Hilbert Ritter has spawned a 'NPC [4626][npc_vj_hl2_metrocop]'.
[16:50:29	]Hilbert Ritter has spawned a 'NPC [4626][npc_poisonzombie]'.
[16:50:33	]Hilbert Ritter exited observer at their location.
[16:50:37	]Hilbert Ritter has taken 5 damage from npc_headcrab_poison.
[16:50:37	]Hilbert Ritter was knocked unconscious and is bleeding out.
[16:50:46	]Hilbert Ritter ran SAM command 'hp' with arguments: 'Hilbert' '100'
[16:50:46	]Hilbert Ritter is no longer unconscious from critical wounds.
[16:50:46	]Hilbert Ritter is fully healed.
[16:50:47	]Hilbert Ritter entered observer.
[16:50:54	]Hilbert Ritter used command '/CharStopBleedout Hilbert'.
[16:50:55	]Hilbert Ritter exited observer at their location.
[16:50:56	]Hilbert Ritter entered observer.
[16:51:01	]Hilbert Ritter has spawned a 'NPC [5024][npc_zombie]'.
[16:51:05	]Hilbert Ritter has spawned a 'NPC [1869][npc_antlion]'.
[16:51:29	]Hilbert Ritter has spawned a 'NPC [1869][npc_vj_test_humanply]'.
[16:51:50	]Hilbert Ritter exited observer at their location.
[16:51:51	]Hilbert Ritter entered observer.
[16:51:52	]Hilbert Ritter exited observer at their location.
[16:51:54	]Hilbert Ritter entered observer.
[16:51:54	]Hilbert Ritter exited observer at their location.
[16:51:54	]Hilbert Ritter entered observer.
[16:51:54	]Hilbert Ritter exited observer at their location.
[16:51:54	]Hilbert Ritter entered observer.
[16:51:54	]Hilbert Ritter exited observer at their location.
[16:51:56	]Hilbert Ritter entered observer.
[16:51:56	]Hilbert Ritter exited observer at their location.
[16:51:56	]Hilbert Ritter entered observer.
[16:51:56	]Hilbert Ritter exited observer at their location.
[16:51:57	]Hilbert Ritter entered observer.
[16:51:57	]Hilbert Ritter exited observer at their location.
[16:52:01	][IC] Hilbert Ritter: V.
[16:52:06	]Hilbert Ritter entered observer.
[16:52:29	]Hilbert Ritter exited observer at their location.
[16:52:31	]Hilbert Ritter entered observer.
[16:52:33	]Hilbert Ritter exited observer at their location.
[16:52:33	]Hilbert Ritter entered observer.
[16:52:47	]Hilbert Ritter exited observer at their location.
[16:52:49	]Hilbert Ritter entered observer.
[16:52:58	]Hilbert Ritter has used a context menu option with the name: ignite
[16:53:00	]Hilbert Ritter has used a context menu option with the name: extinguish
[16:53:02	]Hilbert Ritter has used a context menu option with the name: remove
[16:53:04	]Hilbert Ritter has spawned a 'NPC [1868][npc_headcrab]'.
[16:53:07	]Hilbert Ritter has used a context menu option with the name: ignite
[16:53:08	]Hilbert Ritter has used a context menu option with the name: extinguish
[16:53:09	]Hilbert Ritter exited observer at their location.
[16:53:10	]Hilbert Ritter entered observer.
[16:53:10	]Hilbert Ritter exited observer at their location.
[16:53:11	]Hilbert Ritter entered observer.
[16:53:13	]Hilbert Ritter exited observer at their location.
[16:53:22	]Hilbert Ritter has spawned a 'NPC [1869][npc_antlionguard]'.
[16:53:24	]Hilbert Ritter entered observer.
[16:53:28	]Hilbert Ritter has spawned a 'NPC [1869][npc_antlionguard]'.
[16:53:37	]Hilbert Ritter has spawned a 'NPC [1869][npc_antlionguard]'.
[16:53:47	]Hilbert Ritter exited observer at their location.
[16:54:11	]Hilbert Ritter entered observer.
[16:54:30	]Hilbert Ritter exited observer at their location.
[16:54:32	]Hilbert Ritter entered observer.
[16:54:40	]Hilbert Ritter exited observer at their location.
[16:55:03	]Hilbert Ritter entered observer.
[16:55:13	]Hilbert Ritter exited observer at their location.
[16:55:17	]Hilbert Ritter entered observer.
[16:55:18	]Hilbert Ritter has spawned a 'NPC [1868][npc_antlionguard]'.
[16:55:30	]Hilbert Ritter has spawned a 'NPC [1868][npc_antlion]'.
[16:55:42	]Hilbert Ritter has spawned a 'NPC [1868][npc_antlion]'.
[16:55:50	]Hilbert Ritter has spawned a 'NPC [5019][npc_barnacle]'.
[16:56:12	]Hilbert Ritter has used a context menu option with the name: remove
[16:56:15	]Hilbert Ritter exited observer at their location.
[16:56:15	]Hilbert Ritter entered observer.
[16:56:15	]Hilbert Ritter exited observer at their location.
[16:56:17	]Hilbert Ritter entered observer.
[16:56:17	]Hilbert Ritter exited observer at their location.
[16:56:18	]Hilbert Ritter entered observer.
[16:56:18	]Hilbert Ritter exited observer at their location.
[16:56:19	]Hilbert Ritter entered observer.
[16:56:19	]Hilbert Ritter exited observer at their location.
[16:56:20	]Hilbert Ritter entered observer.
[16:56:20	]Hilbert Ritter exited observer at their location.
[16:56:21	]Hilbert Ritter entered observer.
[16:56:24	]Hilbert Ritter has spawned a 'NPC [1869][npc_zombie]'.
[16:56:25	]Hilbert Ritter exited observer at their location.
[16:56:29	]Hilbert Ritter entered observer.
[16:56:32	]Hilbert Ritter has spawned a 'NPC [1869][npc_zombie]'.
[16:56:37	]Hilbert Ritter has spawned a 'NPC [1869][npc_gman]'.
[16:56:41	]Hilbert Ritter has spawned a 'NPC [1869][npc_kleiner]'.
[16:56:43	]Hilbert Ritter exited observer at their location.
[16:56:44	]Hilbert Ritter entered observer.
[16:56:45	]Hilbert Ritter exited observer at their location.
[16:56:49	]Hilbert Ritter has spawned a 'NPC [1869][npc_barney]'.
[16:56:54	]Hilbert Ritter has spawned a 'NPC [5047][npc_alyx]'.
[16:56:59	]Hilbert Ritter has spawned a 'NPC [1869][npc_breen]'.
[16:57:04	]Hilbert Ritter has damaged npc_breen, dealing 5.0006 with ix_hands
[16:57:05	]Hilbert Ritter has damaged npc_breen, dealing 5.0006 with ix_hands
[16:57:09	]Hilbert Ritter has used a context menu option with the name: remove
[16:57:10	]Hilbert Ritter has spawned a 'NPC [1869][npc_citizen]'.
[16:57:11	]Hilbert Ritter has damaged npc_citizen, dealing 5.0006 with ix_hands
[16:57:12	]Hilbert Ritter has damaged npc_citizen, dealing 5.0006 with ix_hands
[16:57:13	]Hilbert Ritter has damaged npc_citizen, dealing 5.0006 with ix_hands
[16:57:14	]Hilbert Ritter has damaged npc_citizen, dealing 5.0006 with ix_hands
[16:57:15	]Hilbert Ritter has damaged npc_citizen, dealing 5.0006 with ix_hands
[16:57:16	]Hilbert Ritter has damaged npc_citizen, dealing 5.0006 with ix_hands
[16:57:18	]Hilbert Ritter has spawned a 'NPC [1869][npc_citizen]'.
[16:57:19	]Hilbert Ritter has damaged npc_citizen, dealing 5.0006 with ix_hands
[16:57:20	]Hilbert Ritter has damaged npc_citizen, dealing 5.0006 with ix_hands
[16:57:31	]Hilbert Ritter has spawned a 'NPC [1869][npc_cscanner]'.
[16:57:35	]Hilbert Ritter has damaged npc_cscanner, dealing 5.0006 with ix_hands
[16:57:36	]Hilbert Ritter has damaged npc_cscanner, dealing 5.0006 with ix_hands
[16:57:37	]Hilbert Ritter has damaged npc_cscanner, dealing 5.0006 with ix_hands
[16:57:41	]Hilbert Ritter has damaged npc_cscanner, dealing 5.0006 with ix_hands
[16:57:43	]Hilbert Ritter has damaged npc_cscanner, dealing 5.0006 with ix_hands
[16:57:52	]Hilbert Ritter has damaged npc_cscanner, dealing 5.0006 with ix_hands
[16:58:14	]Hilbert Ritter entered observer.
[16:58:20	]Hilbert Ritter exited observer at their location.
[16:58:22	]Hilbert Ritter entered observer.
[16:58:23	]Hilbert Ritter exited observer at their location.
[16:58:25	]Hilbert Ritter entered observer.
[16:58:28	]Hilbert Ritter exited observer at their location.
[16:58:30	]Hilbert Ritter entered observer.
[16:58:30	]Hilbert Ritter exited observer at their location.
[16:58:31	]Hilbert Ritter entered observer.
[16:58:31	]Hilbert Ritter exited observer at their location.
[16:58:31	]Hilbert Ritter entered observer.
[16:58:40	]Hilbert Ritter exited observer at their location.
[16:58:41	]Hilbert Ritter entered observer.
[16:58:41	]Hilbert Ritter exited observer at their location.
[16:58:42	]Hilbert Ritter entered observer.
[16:58:42	]Hilbert Ritter exited observer at their location.
[16:58:44	]Hilbert Ritter entered observer.
[16:58:44	]Hilbert Ritter exited observer at their location.
[16:59:06	]Victorian (STEAM_0:0:577700614) has disconnected.
[19:13:40	]Victorian has connected.
[19:16:42	]Victorian loaded the character 'Hilbert Ritter'
[19:17:06	]Hilbert Ritter entered observer.
[19:17:28	][IC] Hilbert Ritter: Yo.
[19:17:44	]Hilbert Ritter exited observer at their location.
[19:17:49	]Hilbert Ritter entered observer.
[19:17:58	]Hilbert Ritter exited observer at their location.
[19:17:59	]Hilbert Ritter entered observer.
[19:17:59	]Hilbert Ritter exited observer at their location.
[19:18:00	]Hilbert Ritter entered observer.
[19:18:00	]Hilbert Ritter exited observer at their location.
[19:18:01	]Hilbert Ritter entered observer.
[19:18:01	]Hilbert Ritter exited observer at their location.
[19:18:03	]Hilbert Ritter entered observer.
[19:18:04	]Hilbert Ritter exited observer at their location.
[19:18:10	]Hilbert Ritter entered observer.
[19:18:17	]Hilbert Ritter exited observer at their location.
[19:18:18	]Hilbert Ritter entered observer.
[19:18:19	]Hilbert Ritter exited observer at their location.
[19:18:20	]Hilbert Ritter entered observer.
[19:18:20	]Hilbert Ritter exited observer at their location.
[19:18:22	]Hilbert Ritter entered observer.
[19:18:23	]Hilbert Ritter exited observer at their location.
[19:18:25	]Hilbert Ritter entered observer.
[19:18:27	]Hilbert Ritter has used a context menu option with the name: skin
[19:18:30	]Hilbert Ritter has used a context menu option with the name: skin
[19:18:32	]Hilbert Ritter has used a context menu option with the name: skin
[19:18:35	]Hilbert Ritter has used a context menu option with the name: skin
[19:18:37	]Hilbert Ritter has used a context menu option with the name: skin
[19:18:40	]Hilbert Ritter has used a context menu option with the name: skin
[19:18:43	]Hilbert Ritter has used a context menu option with the name: skin
[19:18:47	]Hilbert Ritter has used a context menu option with the name: skin
[19:18:51	]Hilbert Ritter has used a context menu option with the name: skin
[19:18:53	]Hilbert Ritter has used a context menu option with the name: skin
[19:18:55	]Hilbert Ritter has used a context menu option with the name: skin
[19:18:58	]Hilbert Ritter has used a context menu option with the name: skin
[19:19:00	]Hilbert Ritter has used a context menu option with the name: skin
[19:19:04	]Hilbert Ritter has used a context menu option with the name: skin
[19:19:08	]Hilbert Ritter has used a context menu option with the name: skin
[19:19:10	]Hilbert Ritter has used a context menu option with the name: skin
[19:19:13	]Hilbert Ritter has used a context menu option with the name: skin
[19:19:14	]Hilbert Ritter exited observer at their location.
[19:19:15	]Hilbert Ritter entered observer.
[19:19:16	]Hilbert Ritter exited observer at their location.
[19:19:26	]Hilbert Ritter opened the 'Büyük Kutu' #6457 container.
[19:19:28	]Hilbert Ritter closed the 'Büyük Kutu' #6457 container.
[19:19:31	]Hilbert Ritter opened the 'Malzemeler #2' #6534 container.
[19:19:33	]Hilbert Ritter has gained a 'Reçine' #68377 from a container with the name 'Malzemeler #2' #6534.
[19:19:35	]Hilbert Ritter has gained a 'Reçine' #68344 from a container with the name 'Malzemeler #2' #6534.
[19:19:36	]Hilbert Ritter closed the 'Malzemeler #2' #6534 container.
[19:19:40	]Hilbert Ritter ran 'Consume' on item 'Breen'in Suyu' (#68701)
[19:19:40	]Hilbert Ritter has gained a level -2 long boost in Zeka.
[19:19:40	]Hilbert Ritter has gained a level -1 long boost in Algı.
[19:19:40	]Hilbert Ritter has gained a 'Boş Breen'in Suyu' #68719.
[19:19:46	]Hilbert Ritter entered observer.
[19:19:47	]Hilbert Ritter exited observer at their location.
[19:19:48	]Hilbert Ritter entered observer.
[19:19:48	]Hilbert Ritter exited observer at their location.
[19:20:03	]Hilbert Ritter ran 'take' on item 'Hurda Metal' (#68499)
[19:20:03	]Hilbert Ritter has gained a 'Hurda Metal' #68499.
[19:20:04	]Hilbert Ritter ran 'take' on item 'Reçine' (#68503)
[19:20:04	]Hilbert Ritter has gained a 'Reçine' #68503.
[19:20:10	]Hilbert Ritter ran 'drop' on item 'Hurda Metal' (#68499)
[19:20:10	]Hilbert Ritter has lost a 'Hurda Metal' #68499.
[19:20:24	]Hilbert Ritter entered observer.
[19:20:25	]Hilbert Ritter exited observer at their location.
[19:20:27	]Hilbert Ritter entered observer.
[19:20:27	]Hilbert Ritter exited observer at their location.
[19:20:35	]Hilbert Ritter entered observer.
[19:20:46	]Hilbert Ritter exited observer at their location.
[19:20:54	]Hilbert Ritter used command '/PanelRemove'.
[19:20:56	]Hilbert Ritter entered observer.
[19:20:57	]Hilbert Ritter exited observer at their location.
[19:21:00	][IC] Hilbert Ritter: CWU gaming.
[19:21:02	][IC] Hilbert Ritter: Setup.
[19:21:03	]Hilbert Ritter entered observer.
[19:21:11	]Hilbert Ritter exited observer at their location.
[19:21:16	][IC] Hilbert Ritter: Rate my office.
[19:21:24	]Hilbert Ritter entered observer.
[19:21:31	]Hilbert Ritter exited observer at their location.
[19:21:33	]Hilbert Ritter entered observer.
[19:21:41	]Hilbert Ritter exited observer at their location.
[19:21:49	]Hilbert Ritter used command '/ActSit 8'.
[19:21:51	]Hilbert Ritter used command '/ExitAct'.
[19:21:52	]Hilbert Ritter entered observer.
[19:21:58	]Hilbert Ritter exited observer at their location.
[19:22:08	]Hilbert Ritter entered observer.
[19:22:14	]Hilbert Ritter exited observer at their location.
[19:22:22	][IC] Hilbert Ritter: Cca gaming.
[19:22:23	]Hilbert Ritter entered observer.
[19:22:33	]Hilbert Ritter exited observer at their location.
[19:22:42	]Hilbert Ritter has spawned 'models/props_c17/oildrum001_explosive.mdl'.
[19:22:43	]Hilbert Ritter entered observer.
[19:22:52	]Hilbert Ritter has spawned a 'NPC [5025][npc_alyx]'.
[19:22:57	]Hilbert Ritter exited observer at their location.
[19:23:09	][IC] Hilbert Ritter: What the.
[19:23:16	]Hilbert Ritter has used a context menu option with the name: remove
[19:23:16	]Hilbert Ritter entered observer.
[19:23:26	]Hilbert Ritter exited observer at their location.
[19:23:27	]Hilbert Ritter entered observer.
[19:23:51	]Hilbert Ritter exited observer at their location.
[19:23:54	]Hilbert Ritter used command '/PanelRemove'.
[19:23:55	]Hilbert Ritter entered observer.
[19:24:01	]Hilbert Ritter used command '/PanelRemove'.
[19:24:24	]Hilbert Ritter exited observer at their location.
[19:24:25	]Hilbert Ritter entered observer.
[19:24:41	]Hilbert Ritter exited observer at their location.
[19:24:50	][IC] Hilbert Ritter: Room reveal.
[19:24:54	]Hilbert Ritter entered observer.
[19:25:06	]Hilbert Ritter exited observer at their location.
[19:25:10	][IC] Hilbert Ritter: Cwu gamin v2.
[19:25:16	]Hilbert Ritter entered observer.
[19:25:22	]Hilbert Ritter exited observer at their location.
[19:25:23	]Hilbert Ritter entered observer.
[19:25:24	]Hilbert Ritter exited observer at their location.
[19:25:26	]Hilbert Ritter entered observer.
[19:25:26	]Hilbert Ritter exited observer at their location.
[19:25:28	]Hilbert Ritter entered observer.
[19:25:28	]Hilbert Ritter exited observer at their location.
[19:25:29	]Hilbert Ritter entered observer.
[19:25:29	]Hilbert Ritter exited observer at their location.
[19:25:31	]Hilbert Ritter has taken 6 damage from worldspawn.
[19:25:43	]Victorian loaded the character 'Alexandr Volkov'
[19:25:49	]Alexandr Volkov entered observer.
[19:25:58	]Alexandr Volkov exited observer at their location.
[19:26:01	]Alexandr Volkov entered observer.
[19:26:08	]Alexandr Volkov exited observer at their location.
[19:26:41	]Alexandr Volkov entered observer.
[19:26:48	]Alexandr Volkov exited observer at their location.
[19:26:49	]Alexandr Volkov has taken 2 damage from Alexandr Volkov.
[19:26:49	]Alexandr Volkov entered observer.
[19:26:51	]Alexandr Volkov exited observer at their location.
[19:26:58	]Alexandr Volkov has spawned a 'NPC [5024][npc_vj_hl2_metrocop3]'.
[19:26:58	]Alexandr Volkov has spawned a 'NPC [5026][npc_vj_hl2_metrocop3]'.
[19:26:58	]Alexandr Volkov has spawned a 'NPC [5028][npc_vj_hl2_metrocop3]'.
[19:26:58	]Alexandr Volkov has spawned a 'NPC [5049][npc_vj_hl2_metrocop3]'.
[19:26:58	]Alexandr Volkov has spawned a 'NPC [5051][npc_vj_hl2_metrocop3]'.
[19:27:00	]Alexandr Volkov has taken 10 damage from Combine Recruiter.
[19:27:00	]Alexandr Volkov has taken 10 damage from Combine Recruiter.
[19:27:00	]Alexandr Volkov has taken 10 damage from Combine Recruiter.
[19:27:01	]Alexandr Volkov has taken 10 damage from Combine Recruiter.
[19:27:01	]Alexandr Volkov has taken 10 damage from Combine Recruiter.
[19:27:01	]Alexandr Volkov has taken 10 damage from Combine Recruiter.
[19:27:01	]Alexandr Volkov has taken 10 damage from Combine Recruiter.
[19:27:01	]Alexandr Volkov has taken 10 damage from Combine Recruiter.
[19:27:01	]Alexandr Volkov has taken 10 damage from Combine Recruiter.
[19:27:01	]Alexandr Volkov was knocked unconscious and is bleeding out.
[19:27:02	]Alexandr Volkov entered observer.
[19:27:07	]Alexandr Volkov ran SAM command 'hp' with arguments: 'Alexandr' '100'
[19:27:07	]Alexandr Volkov is no longer unconscious from critical wounds.
[19:27:07	]Alexandr Volkov is fully healed.
[19:27:08	]Alexandr Volkov entered observer.
[19:27:17	]Alexandr Volkov used command '/CharStopBleedout Alexandr'.
[19:27:42	]Alexandr Volkov exited observer at their location.
[19:27:42	]Alexandr Volkov has taken 10 damage from Combine Recruiter.
[19:27:48	]Alexandr Volkov has taken 10 damage from Combine Recruiter.
[19:27:49	]Alexandr Volkov has taken 10 damage from Combine Recruiter.
[19:27:49	]Alexandr Volkov has taken 10 damage from Combine Recruiter.
[19:27:50	]Alexandr Volkov has taken 10 damage from Combine Recruiter.
[19:27:50	]Alexandr Volkov entered observer.
[19:28:04	]Alexandr Volkov destroyed a 'Boş Bob Suyu' #68251.
[19:28:06	]Alexandr Volkov exited observer at their location.
[19:28:06	]Alexandr Volkov entered observer.
[19:28:12	]Alexandr Volkov has used a context menu option with the name: remove
[19:28:20	]Alexandr Volkov has fired a toolgun with the name: remover
[19:28:20	]Alexandr Volkov has fired a toolgun with the name: remover
[19:28:20	]Alexandr Volkov has fired a toolgun with the name: remover
[19:28:20	]Alexandr Volkov has fired a toolgun with the name: remover
[19:28:21	]Alexandr Volkov has fired a toolgun with the name: remover
[19:28:22	]Alexandr Volkov has fired a toolgun with the name: remover
[19:28:22	]Alexandr Volkov has fired a toolgun with the name: remover
[19:28:23	]Alexandr Volkov has fired a toolgun with the name: remover
[19:28:24	]Alexandr Volkov has fired a toolgun with the name: remover
[19:28:26	]Alexandr Volkov has fired a toolgun with the name: remover
[19:28:26	]Alexandr Volkov has fired a toolgun with the name: remover
[19:28:26	]Alexandr Volkov has fired a toolgun with the name: remover
[19:28:28	]Alexandr Volkov has fired a toolgun with the name: remover
[19:28:29	]Alexandr Volkov has fired a toolgun with the name: remover
[19:28:29	]Alexandr Volkov has fired a toolgun with the name: remover
[19:28:31	]Alexandr Volkov has fired a toolgun with the name: remover
[19:28:34	]Alexandr Volkov exited observer at their location.
[19:28:36	]Alexandr Volkov entered observer.
[19:28:36	]Alexandr Volkov exited observer at their location.
[19:28:37	]Alexandr Volkov entered observer.
[19:28:47	]Alexandr Volkov exited observer at their location.
[19:28:50	]Alexandr Volkov entered observer.
[19:28:54	]Alexandr Volkov exited observer at their location.
[19:28:58	]Alexandr Volkov entered observer.
[19:29:01	]Alexandr Volkov exited observer at their location.
[19:29:01	]Alexandr Volkov entered observer.
[19:29:02	]Alexandr Volkov exited observer at their location.
[19:29:02	]Alexandr Volkov entered observer.
[19:29:03	]Alexandr Volkov exited observer at their location.
[19:29:03	]Alexandr Volkov was knocked unconscious and is bleeding out.
[19:29:03	]Alexandr Volkov entered observer.
[19:29:03	]Alexandr Volkov exited observer at their location.
[19:29:09	]Alexandr Volkov ran SAM command 'hp' with arguments: 'Alexandr' '100'
[19:29:12	]Alexandr Volkov is no longer unconscious from critical wounds.
[19:29:12	]Alexandr Volkov is fully healed.
[19:29:14	]Alexandr Volkov used command '/CharStopBleedout Alexandr'.
[19:29:26	]Alexandr Volkov entered observer.
[19:29:27	]Alexandr Volkov exited observer at their location.
[19:29:28	]Alexandr Volkov entered observer.
[19:29:28	]Alexandr Volkov exited observer at their location.
[19:29:33	]Alexandr Volkov entered observer.
[19:30:17	]Victorian (STEAM_0:0:577700614) has disconnected.
