[10:41:31	]Deadasf has connected.
[13:28:42	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1205.
[13:28:42	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1207.
[13:28:42	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1208.
[13:28:42	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1204.
[13:28:42	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1203.
[13:28:43	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Goodfella Cigars' (#1211)
[13:28:43	]C24:UNION:i1:Roller-7762 has gained a 'Goodfella Cigars' #1211.
[13:28:43	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1219.
[13:28:43	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1215.
[13:28:43	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1218.
[13:28:43	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1217.
[13:28:43	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1212.
[13:28:43	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1214.
[13:28:43	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1216.
[13:28:43	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1213.
[13:28:45	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Goodfella Cigars' (#1175)
[13:28:45	]C24:UNION:i1:Roller-7762 has gained a 'Goodfella Cigars' #1175.
[13:28:45	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1183.
[13:28:45	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1179.
[13:28:45	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1182.
[13:28:45	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1178.
[13:28:45	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1180.
[13:28:45	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1176.
[13:28:45	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1177.
[13:28:45	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1181.
[13:28:46	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Goodfella Cigars' (#1238)
[13:28:46	]C24:UNION:i1:Roller-7762 has gained a 'Goodfella Cigars' #1238.
[13:28:47	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1246.
[13:28:47	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1242.
[13:28:47	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1245.
[13:28:47	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1241.
[13:28:47	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1244.
[13:28:47	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1243.
[13:28:47	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1239.
[13:28:47	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1240.
[13:28:47	]Adrian Naylor has spawned a largebag.
[13:28:48	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Goodfella Cigars' (#1220)
[13:28:48	]C24:UNION:i1:Roller-7762 has gained a 'Goodfella Cigars' #1220.
[13:28:48	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1228.
[13:28:48	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1226.
[13:28:48	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1221.
[13:28:48	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1224.
[13:28:48	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1227.
[13:28:48	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1223.
[13:28:48	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1222.
[13:28:48	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1225.
[13:28:49	]Adrian Naylor ran 'take' on item 'Large Bag' (#1265)
[13:28:49	]Adrian Naylor has gained a 'Large Bag' #1265.
[13:28:49	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Goodfella Cigars' (#1229)
[13:28:50	]C24:UNION:i1:Roller-7762 has gained a 'Goodfella Cigars' #1229.
[13:28:50	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1230.
[13:28:50	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1237.
[13:28:50	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1233.
[13:28:50	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1231.
[13:28:50	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1232.
[13:28:50	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1234.
[13:28:50	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1236.
[13:28:50	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1235.
[13:28:50	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Goodfella Cigars' (#1193)
[13:28:51	]C24:UNION:i1:Roller-7762 has gained a 'Goodfella Cigars' #1193.
[13:28:51	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1198.
[13:28:51	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1194.
[13:28:51	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1201.
[13:28:51	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1197.
[13:28:51	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1199.
[13:28:51	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1196.
[13:28:51	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1195.
[13:28:51	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1200.
[13:28:55	]C24:UNION:i1:Roller-7762 has transferred a 'Goodfella Cigars' #1202 to a container with the name 'Vending Machine' #446.
[13:28:56	]C24:UNION:i1:Roller-7762 has transferred a 'Goodfella Cigars' #1175 to a container with the name 'Vending Machine' #446.
[13:28:57	]C24:UNION:i1:Roller-7762 has transferred a 'Goodfella Cigars' #1211 to a container with the name 'Vending Machine' #446.
[13:28:58	]C24:UNION:i1:Roller-7762 has transferred a 'Goodfella Cigars' #1193 to a container with the name 'Vending Machine' #446.
[13:28:58	]Adrian Naylor ran 'Assemble' on item 'Ammunition Bench Assembly Kit' (#1160)
[13:28:58	]Adrian Naylor has gained a 'Ammunition Station' #1266.
[13:28:59	]C24:UNION:i1:Roller-7762 has transferred a 'Goodfella Cigars' #1229 to a container with the name 'Vending Machine' #446.
[13:29:00	]C24:UNION:i1:Roller-7762 has transferred a 'Goodfella Cigars' #1220 to a container with the name 'Vending Machine' #446.
[13:29:02	]C24:UNION:i1:Roller-7762 has transferred a 'Goodfella Cigars' #1184 to a container with the name 'Vending Machine' #446.
[13:29:03	]C24:UNION:i1:Roller-7762 has transferred a 'Goodfella Cigars' #1247 to a container with the name 'Vending Machine' #446.
[13:29:05	]C24:UNION:i1:Roller-7762 has transferred a 'Goodfella Cigars' #1256 to a container with the name 'Vending Machine' #446.
[13:29:06	]Adrian Naylor ran 'place' on item 'Ammunition Station' (#1266)
[13:29:06	]C24:UNION:i1:Roller-7762 has transferred a 'Goodfella Cigars' #1238 to a container with the name 'Vending Machine' #446.
[13:29:13	]Adrian Naylor ran 'Bolt' on item 'Ammunition Station' (#1267)
[13:29:27	]Adrian Naylor ran 'Use' on item 'Ammunition Station' (#1267)
[13:29:32	]Adrian Naylor has used a context menu option with the name: remove
[13:29:33	]C24:UNION:i1:Roller-7762 entered observer.
[13:29:39	]C24:UNION:i1:Roller-7762 exited observer at their location.
[13:29:42	]C24:UNION:i1:Roller-7762 entered observer.
[13:29:47	]C24:UNION:i1:Roller-7762 exited observer at their location.
[13:30:08	]C24:UNION:i1:Roller-7762 has spawned a ciggie_pack.
[13:30:09	]C24:UNION:i1:Roller-7762 has spawned a ciggie_pack.
[13:30:10	]C24:UNION:i1:Roller-7762 has spawned a ciggie_pack.
[13:30:10	]C24:UNION:i1:Roller-7762 has spawned a ciggie_pack.
[13:30:11	]C24:UNION:i1:Roller-7762 has spawned a ciggie_pack.
[13:30:11	]C24:UNION:i1:Roller-7762 has spawned a ciggie_pack.
[13:30:12	]C24:UNION:i1:Roller-7762 has spawned a ciggie_pack.
[13:30:12	]C24:UNION:i1:Roller-7762 has spawned a ciggie_pack.
[13:30:12	]C24:UNION:i1:Roller-7762 has spawned a ciggie_pack.
[13:30:18	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Benefactor Edition Cigarette Pack' (#1295)
[13:30:18	]C24:UNION:i1:Roller-7762 has gained a 'Benefactor Edition Cigarette Pack' #1295.
[13:30:18	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1303.
[13:30:18	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1299.
[13:30:18	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1302.
[13:30:18	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1298.
[13:30:18	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1297.
[13:30:18	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1296.
[13:30:18	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1301.
[13:30:18	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1300.
[13:30:19	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Benefactor Edition Cigarette Pack' (#1331)
[13:30:19	]C24:UNION:i1:Roller-7762 has gained a 'Benefactor Edition Cigarette Pack' #1331.
[13:30:19	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1339.
[13:30:19	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1335.
[13:30:19	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1338.
[13:30:19	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1337.
[13:30:19	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1334.
[13:30:19	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1336.
[13:30:19	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1333.
[13:30:19	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1332.
[13:30:21	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Benefactor Edition Cigarette Pack' (#1313)
[13:30:21	]C24:UNION:i1:Roller-7762 has gained a 'Benefactor Edition Cigarette Pack' #1313.
[13:30:21	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1321.
[13:30:21	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1314.
[13:30:21	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1319.
[13:30:21	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1317.
[13:30:21	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1318.
[13:30:21	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1316.
[13:30:21	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1315.
[13:30:21	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1320.
[13:30:22	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Benefactor Edition Cigarette Pack' (#1304)
[13:30:22	]C24:UNION:i1:Roller-7762 has gained a 'Benefactor Edition Cigarette Pack' #1304.
[13:30:22	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1308.
[13:30:22	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1312.
[13:30:22	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1311.
[13:30:22	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1306.
[13:30:22	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1309.
[13:30:22	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1307.
[13:30:22	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1305.
[13:30:22	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1310.
[13:30:23	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Benefactor Edition Cigarette Pack' (#1340)
[13:30:23	]C24:UNION:i1:Roller-7762 has gained a 'Benefactor Edition Cigarette Pack' #1340.
[13:30:23	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1344.
[13:30:23	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1345.
[13:30:23	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1348.
[13:30:23	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1347.
[13:30:23	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1341.
[13:30:23	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1343.
[13:30:23	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1342.
[13:30:23	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1346.
[13:30:24	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Benefactor Edition Cigarette Pack' (#1322)
[13:30:24	]C24:UNION:i1:Roller-7762 has gained a 'Benefactor Edition Cigarette Pack' #1322.
[13:30:24	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1327.
[13:30:24	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1330.
[13:30:24	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1326.
[13:30:24	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1329.
[13:30:24	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1325.
[13:30:24	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1328.
[13:30:24	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1324.
[13:30:24	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1323.
[13:30:26	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Benefactor Edition Cigarette Pack' (#1268)
[13:30:26	]C24:UNION:i1:Roller-7762 has gained a 'Benefactor Edition Cigarette Pack' #1268.
[13:30:26	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1270.
[13:30:26	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1272.
[13:30:26	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1275.
[13:30:26	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1271.
[13:30:26	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1276.
[13:30:26	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1274.
[13:30:26	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1269.
[13:30:26	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1273.
[13:30:28	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Benefactor Edition Cigarette Pack' (#1286)
[13:30:28	]C24:UNION:i1:Roller-7762 has gained a 'Benefactor Edition Cigarette Pack' #1286.
[13:30:28	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1292.
[13:30:28	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1294.
[13:30:28	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1287.
[13:30:28	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1290.
[13:30:28	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1293.
[13:30:28	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1289.
[13:30:28	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1291.
[13:30:28	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1288.
[13:30:30	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Benefactor Edition Cigarette Pack' (#1277)
[13:30:30	]C24:UNION:i1:Roller-7762 has gained a 'Benefactor Edition Cigarette Pack' #1277.
[13:30:30	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1285.
[13:30:30	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1281.
[13:30:30	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1283.
[13:30:30	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1284.
[13:30:30	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1278.
[13:30:30	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1280.
[13:30:30	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1279.
[13:30:30	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #1282.
[13:30:49	]C24:UNION:i1:Roller-7762 has transferred a 'Benefactor Edition Cigarette Pack' #1313 to a container with the name 'Vending Machine' #446.
[13:30:50	]C24:UNION:i1:Roller-7762 has transferred a 'Benefactor Edition Cigarette Pack' #1340 to a container with the name 'Vending Machine' #446.
[13:30:51	]C24:UNION:i1:Roller-7762 has transferred a 'Benefactor Edition Cigarette Pack' #1304 to a container with the name 'Vending Machine' #446.
[13:30:52	]C24:UNION:i1:Roller-7762 has transferred a 'Benefactor Edition Cigarette Pack' #1322 to a container with the name 'Vending Machine' #446.
[13:30:53	]C24:UNION:i1:Roller-7762 has transferred a 'Benefactor Edition Cigarette Pack' #1277 to a container with the name 'Vending Machine' #446.
[13:30:54	]C24:UNION:i1:Roller-7762 has transferred a 'Benefactor Edition Cigarette Pack' #1286 to a container with the name 'Vending Machine' #446.
[13:30:56	]C24:UNION:i1:Roller-7762 has transferred a 'Benefactor Edition Cigarette Pack' #1331 to a container with the name 'Vending Machine' #446.
[13:30:57	]C24:UNION:i1:Roller-7762 has transferred a 'Benefactor Edition Cigarette Pack' #1268 to a container with the name 'Vending Machine' #446.
[13:30:58	]C24:UNION:i1:Roller-7762 has transferred a 'Benefactor Edition Cigarette Pack' #1295 to a container with the name 'Vending Machine' #446.
[13:31:19	]C24:UNION:i1:Roller-7762 has spawned a food_crisps.
[13:31:19	]C24:UNION:i1:Roller-7762 has spawned a food_crisps.
[13:31:19	]C24:UNION:i1:Roller-7762 has spawned a food_crisps.
[13:31:20	]C24:UNION:i1:Roller-7762 has spawned a food_crisps.
[13:31:20	]C24:UNION:i1:Roller-7762 has spawned a food_crisps.
[13:31:20	]C24:UNION:i1:Roller-7762 has spawned a food_crisps.
[13:31:20	]C24:UNION:i1:Roller-7762 has spawned a food_crisps.
[13:31:21	]C24:UNION:i1:Roller-7762 has spawned a food_crisps.
[13:31:21	]C24:UNION:i1:Roller-7762 has spawned a food_crisps.
[13:31:22	]C24:UNION:i1:Roller-7762 has spawned a food_crisps.
[13:31:23	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Potato Crisps' (#1354)
[13:31:23	]C24:UNION:i1:Roller-7762 has gained a 'Potato Crisps' #1354.
[13:31:25	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Potato Crisps' (#1352)
[13:31:25	]C24:UNION:i1:Roller-7762 has gained a 'Potato Crisps' #1352.
[13:31:27	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Potato Crisps' (#1357)
[13:31:27	]C24:UNION:i1:Roller-7762 has gained a 'Potato Crisps' #1357.
[13:31:28	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Potato Crisps' (#1358)
[13:31:28	]C24:UNION:i1:Roller-7762 has gained a 'Potato Crisps' #1358.
[13:31:29	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Potato Crisps' (#1356)
[13:31:29	]C24:UNION:i1:Roller-7762 has gained a 'Potato Crisps' #1356.
[13:31:31	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Potato Crisps' (#1355)
[13:31:31	]C24:UNION:i1:Roller-7762 has gained a 'Potato Crisps' #1355.
[13:31:32	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Potato Crisps' (#1353)
[13:31:32	]C24:UNION:i1:Roller-7762 has gained a 'Potato Crisps' #1353.
[13:31:34	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Potato Crisps' (#1351)
[13:31:34	]C24:UNION:i1:Roller-7762 has gained a 'Potato Crisps' #1351.
[13:31:35	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Potato Crisps' (#1350)
[13:31:35	]C24:UNION:i1:Roller-7762 has gained a 'Potato Crisps' #1350.
[13:31:37	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Potato Crisps' (#1349)
[13:31:37	]C24:UNION:i1:Roller-7762 has gained a 'Potato Crisps' #1349.
[13:31:41	]C24:UNION:i1:Roller-7762 has transferred a 'Potato Crisps' #1356 to a container with the name 'Vending Machine' #446.
[13:31:42	]C24:UNION:i1:Roller-7762 has transferred a 'Potato Crisps' #1358 to a container with the name 'Vending Machine' #446.
[13:31:43	]C24:UNION:i1:Roller-7762 has transferred a 'Potato Crisps' #1355 to a container with the name 'Vending Machine' #446.
[13:31:44	]C24:UNION:i1:Roller-7762 has transferred a 'Potato Crisps' #1349 to a container with the name 'Vending Machine' #446.
[13:31:45	]C24:UNION:i1:Roller-7762 has transferred a 'Potato Crisps' #1350 to a container with the name 'Vending Machine' #446.
[13:31:47	]C24:UNION:i1:Roller-7762 has transferred a 'Potato Crisps' #1351 to a container with the name 'Vending Machine' #446.
[13:31:48	]C24:UNION:i1:Roller-7762 has transferred a 'Potato Crisps' #1353 to a container with the name 'Vending Machine' #446.
[13:31:49	]C24:UNION:i1:Roller-7762 has transferred a 'Potato Crisps' #1357 to a container with the name 'Vending Machine' #446.
[13:31:51	]C24:UNION:i1:Roller-7762 has transferred a 'Potato Crisps' #1352 to a container with the name 'Vending Machine' #446.
[13:31:52	]C24:UNION:i1:Roller-7762 has transferred a 'Potato Crisps' #1354 to a container with the name 'Vending Machine' #446.
[13:32:36	]C24:UNION:i1:Roller-7762 has spawned a drink_wi_coffee.
[13:32:54	]C24:UNION:i1:Roller-7762 ran 'Consume' on item 'Willard Industries Coffee' (#1359)
[13:32:54	]C24:UNION:i1:Roller-7762 has wasted a level 3 long boost in Intelligence (current: 1; target: 3).
[13:32:54	]C24:UNION:i1:Roller-7762 has wasted a level 3 long boost in Agility (current: 0; target: 5).
[13:32:54	]C24:UNION:i1:Roller-7762 has gained a 'Empty Coffee Cup' #1360.
[13:32:59	]C24:UNION:i1:Roller-7762 has spawned a tool_coffeemachine.
[13:33:01	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Coffee Machine' (#1361)
[13:33:01	]C24:UNION:i1:Roller-7762 has gained a 'Coffee Machine' #1361.
[13:33:10	]C24:UNION:i1:Roller-7762 ran 'SetDurability' on item 'Coffee Machine' (#1361)
[13:33:13	]C24:UNION:i1:Roller-7762 ran 'drop' on item 'Coffee Machine' (#1361)
[13:33:13	]C24:UNION:i1:Roller-7762 has lost a 'Coffee Machine' #1361.
[13:33:18	]C24:UNION:i1:Roller-7762 has spawned a junk_coffeecup.
[13:33:27	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Empty Coffee Cup' (#1362)
[13:33:27	]C24:UNION:i1:Roller-7762 has gained a 'Empty Coffee Cup' #1362.
[13:33:28	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Coffee Machine' (#1361)
[13:33:28	]C24:UNION:i1:Roller-7762 has gained a 'Coffee Machine' #1361.
[13:33:30	]C24:UNION:i1:Roller-7762 ran 'drop' on item 'Coffee Machine' (#1361)
[13:33:30	]C24:UNION:i1:Roller-7762 has lost a 'Coffee Machine' #1361.
[13:33:34	]C24:UNION:i1:Roller-7762 has used a context menu option with the name: rb655_dissolve
[13:33:36	]env_entity_dissolver destroyed a 'Coffee Machine' #1361.
[13:33:36	]C24:UNION:i1:Roller-7762 ran 'drop' on item 'Empty Coffee Cup' (#1362)
[13:33:36	]C24:UNION:i1:Roller-7762 has lost a 'Empty Coffee Cup' #1362.
[13:33:37	]C24:UNION:i1:Roller-7762 ran 'drop' on item 'Empty Coffee Cup' (#1360)
[13:33:37	]C24:UNION:i1:Roller-7762 has lost a 'Empty Coffee Cup' #1360.
[13:33:39	]C24:UNION:i1:Roller-7762 has used a context menu option with the name: rb655_dissolve
[13:33:40	]C24:UNION:i1:Roller-7762 has used a context menu option with the name: rb655_dissolve
[13:33:41	]env_entity_dissolver destroyed a 'Empty Coffee Cup' #1362.
[13:33:42	]env_entity_dissolver destroyed a 'Empty Coffee Cup' #1360.
[13:33:49	]C24:UNION:i1:Roller-7762 has spawned a drink_coffee.
[13:33:49	]C24:UNION:i1:Roller-7762 has spawned a drink_coffee.
[13:33:50	]C24:UNION:i1:Roller-7762 has spawned a drink_coffee.
[13:33:50	]C24:UNION:i1:Roller-7762 has spawned a drink_coffee.
[13:33:51	]C24:UNION:i1:Roller-7762 has spawned a drink_coffee.
[13:33:51	]C24:UNION:i1:Roller-7762 has spawned a drink_coffee.
[13:33:52	]C24:UNION:i1:Roller-7762 has spawned a drink_coffee.
[13:33:53	]C24:UNION:i1:Roller-7762 has spawned a drink_coffee.
[13:33:53	]C24:UNION:i1:Roller-7762 has spawned a drink_coffee.
[13:33:54	]C24:UNION:i1:Roller-7762 has spawned a drink_coffee.
[13:33:56	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Cup of Coffee' (#1366)
[13:33:56	]C24:UNION:i1:Roller-7762 has gained a 'Cup of Coffee' #1366.
[13:33:59	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Cup of Coffee' (#1367)
[13:33:59	]C24:UNION:i1:Roller-7762 has gained a 'Cup of Coffee' #1367.
[13:34:00	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Cup of Coffee' (#1368)
[13:34:00	]C24:UNION:i1:Roller-7762 has gained a 'Cup of Coffee' #1368.
[13:34:01	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Cup of Coffee' (#1369)
[13:34:01	]C24:UNION:i1:Roller-7762 has gained a 'Cup of Coffee' #1369.
[13:34:03	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Cup of Coffee' (#1365)
[13:34:03	]C24:UNION:i1:Roller-7762 has gained a 'Cup of Coffee' #1365.
[13:34:04	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Cup of Coffee' (#1363)
[13:34:04	]C24:UNION:i1:Roller-7762 has gained a 'Cup of Coffee' #1363.
[13:34:05	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Cup of Coffee' (#1364)
[13:34:05	]C24:UNION:i1:Roller-7762 has gained a 'Cup of Coffee' #1364.
[13:34:06	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Cup of Coffee' (#1371)
[13:34:06	]C24:UNION:i1:Roller-7762 has gained a 'Cup of Coffee' #1371.
[13:34:08	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Cup of Coffee' (#1372)
[13:34:08	]C24:UNION:i1:Roller-7762 has gained a 'Cup of Coffee' #1372.
[13:34:09	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Cup of Coffee' (#1370)
[13:34:09	]C24:UNION:i1:Roller-7762 has gained a 'Cup of Coffee' #1370.
[13:34:12	]C24:UNION:i1:Roller-7762 has transferred a 'Cup of Coffee' #1363 to a container with the name 'Vending Machine' #446.
[13:34:14	]C24:UNION:i1:Roller-7762 has transferred a 'Cup of Coffee' #1365 to a container with the name 'Vending Machine' #446.
[13:34:15	]C24:UNION:i1:Roller-7762 has transferred a 'Cup of Coffee' #1369 to a container with the name 'Vending Machine' #446.
[13:34:16	]C24:UNION:i1:Roller-7762 has transferred a 'Cup of Coffee' #1370 to a container with the name 'Vending Machine' #446.
[13:34:17	]C24:UNION:i1:Roller-7762 has transferred a 'Cup of Coffee' #1372 to a container with the name 'Vending Machine' #446.
[13:34:18	]C24:UNION:i1:Roller-7762 has transferred a 'Cup of Coffee' #1368 to a container with the name 'Vending Machine' #446.
[13:34:19	]C24:UNION:i1:Roller-7762 has transferred a 'Cup of Coffee' #1367 to a container with the name 'Vending Machine' #446.
