[15:19:52	]Oktawiangr has connected.
[16:07:52	]Boiko Dulkiewicz exited observer at their location.
[16:07:56	]Boiko Dulkiewicz entered observer.
[16:07:57	]Boiko Dulkiewicz exited observer at their location.
[16:07:58	]Lt. Anastasiy Jegorowich has spawned a 'Entity [2645][ix_garbage]'.
[16:07:58	]Boiko Dulkiewicz entered observer.
[16:07:59	]Boiko Dulkiewicz exited observer at their location.
[16:08:01	]Lt. Anastasiy Jegorowich has spawned a 'Entity [2644][ix_garbage]'.
[16:08:03	]Sgt. Richard Levittoux has spawned a pistolammo.
[16:08:07	]Lt. Anastasiy Jegorowich exited observer at their location.
[16:08:08	]Lt. Anastasiy Jegorowich has spawned a 'Entity [2648][ix_garbage]'.
[16:08:08	]Sgt. Richard Levittoux has used a context menu option with the name: remove
[16:08:10	]Sgt. Richard Levittoux has spawned a smg1ammo.
[16:08:11	]Lt. Anastasiy Jegorowich has spawned a 'Entity [2646][ix_garbage]'.
[16:08:15	]Lt. Anastasiy Jegorowich has spawned a 'Entity [2649][ix_garbage]'.
[16:08:18	]Lt. Anastasiy Jegorowich entered observer.
[16:08:21	]LT CHUJ DUPKA CIPKA used command '/Doorkick'.
[16:08:24	]Sgt. Richard Levittoux has spawned 'models/props_junk/PlasticCrate01a.mdl'.
[16:08:28	]LT CHUJ DUPKA CIPKA has spawned a 'Entity [2650][ent_mannable_combinecannon]'.
[16:08:33	]LT CHUJ DUPKA CIPKA has spawned a 'Entity [2650][ent_mannable_combinecannon]'.
[16:08:36	]Boiko Dulkiewicz entered observer.
[16:08:38	]Lt. Anastasiy Jegorowich exited observer at their location.
[16:08:43	]Boiko Dulkiewicz exited observer at their location.
[16:08:46	]Boiko Dulkiewicz entered observer.
[16:08:47	]Boiko Dulkiewicz exited observer at their location.
[16:09:03	]Boiko Dulkiewicz entered observer.
[16:09:06	]Boiko Dulkiewicz exited observer at their location.
[16:09:11	]Boiko Dulkiewicz has spawned 'models/props_junk/Shoe001a.mdl'.
[16:09:26	]Boiko Dulkiewicz has fired a toolgun with the name: sh_persist
[16:09:26	]Boiko Dulkiewicz has enabled persistence for 'models/props_junk/shoe001a.mdl'.
[16:09:28	]Boiko Dulkiewicz has fired a toolgun with the name: sh_persist
[16:09:28	]Boiko Dulkiewicz has fired a toolgun with the name: sh_persist
[16:09:28	]Boiko Dulkiewicz has disabled persistence for 'models/props_junk/shoe001a.mdl'.
[16:09:29	]Boiko Dulkiewicz has fired a toolgun with the name: sh_persist
[16:09:29	]Boiko Dulkiewicz has enabled persistence for 'models/props_junk/shoe001a.mdl'.
[16:09:30	]Lt. Anastasiy Jegorowich entered observer.
[16:09:34	]Sgt. Richard Levittoux has spawned 'models/props_junk/PlasticCrate01a.mdl'.
[16:09:38	]Boiko Dulkiewicz has spawned 'models/props_junk/Shoe001a.mdl'.
[16:09:45	]Lt. Anastasiy Jegorowich exited observer at their location.
[16:09:46	]Boiko Dulkiewicz has fired a toolgun with the name: sh_persist
[16:09:47	]Boiko Dulkiewicz has fired a toolgun with the name: sh_persist
[16:09:47	]Boiko Dulkiewicz has enabled persistence for 'models/props_junk/shoe001a.mdl'.
[16:09:51	]Boiko Dulkiewicz entered observer.
[16:09:52	]Boiko Dulkiewicz exited observer at their location.
[16:09:57	]Sgt. Richard Levittoux entered observer.
[16:09:58	]Boiko Dulkiewicz entered observer.
[16:10:00	]LT CHUJ DUPKA CIPKA used command '/Doorkick'.
[16:10:04	]Boiko Dulkiewicz exited observer at their location.
[16:10:11	]Sgt. Richard Levittoux exited observer at their location.
[16:10:13	]Lt. Anastasiy Jegorowich has spawned 'models/props_junk/PushCart01a.mdl'.
[16:10:18	]Sgt. Richard Levittoux entered observer.
[16:10:20	]Boiko Dulkiewicz has spawned 'models/props_junk/garbage_newspaper001a.mdl'.
[16:10:23	]Sgt. Richard Levittoux has used a context menu option with the name: rb655_dissolve
[16:10:25	]env_entity_dissolver destroyed a 'Stary VSK-94' #6872.
[16:10:26	]Sgt. Richard Levittoux exited observer at their location.
[16:10:26	]LT CHUJ DUPKA CIPKA ran 'take' on item 'Stary VSK-94' (#6871)
[16:10:26	]LT CHUJ DUPKA CIPKA has gained a 'Stary VSK-94' #6871.
[16:10:28	]Sgt. Richard Levittoux entered observer.
[16:10:29	]Boiko Dulkiewicz has fired a toolgun with the name: sh_persist
[16:10:29	]Boiko Dulkiewicz has disabled persistence for 'models/props_junk/garbage_newspaper001a.mdl'.
[16:10:30	]Lt. Anastasiy Jegorowich has spawned 'models/props_junk/wood_crate001a.mdl'.
[16:10:30	]LT CHUJ DUPKA CIPKA ran 'Equip' on item 'Stary VSK-94' (#6871)
[16:10:30	]Boiko Dulkiewicz has fired a toolgun with the name: sh_persist
[16:10:30	]Boiko Dulkiewicz has enabled persistence for 'models/props_junk/garbage_newspaper001a.mdl'.
[16:10:31	]LT CHUJ DUPKA CIPKA used command '/ToggleRaise'.
[16:10:31	]Boiko Dulkiewicz has fired a toolgun with the name: sh_persist
[16:10:31	]Boiko Dulkiewicz has enabled persistence for 'models/props_junk/garbage_newspaper001a.mdl'.
[16:10:32	]Boiko Dulkiewicz has fired a toolgun with the name: sh_persist
[16:10:32	]Boiko Dulkiewicz has disabled persistence for 'models/props_c17/chair_office01a.mdl'.
[16:10:32	]Lt. Anastasiy Jegorowich has spawned 'models/props_junk/wood_crate001a.mdl'.
[16:10:33	]Boiko Dulkiewicz has fired a toolgun with the name: sh_persist
[16:10:33	]Boiko Dulkiewicz has enabled persistence for 'models/props_c17/chair_office01a.mdl'.
[16:10:37	]Lt. Anastasiy Jegorowich has spawned 'models/props_junk/wood_crate001a.mdl'.
[16:10:40	]Lt. Anastasiy Jegorowich entered observer.
[16:10:40	]Lt. Anastasiy Jegorowich exited observer at their location.
[16:10:42	]Sgt. Richard Levittoux exited observer at their location.
[16:10:44	]Sgt. Richard Levittoux entered observer.
[16:10:46	]Sgt. Richard Levittoux exited observer at their location.
[16:10:50	]Lt. Anastasiy Jegorowich entered observer.
[16:10:59	]LT CHUJ DUPKA CIPKA has given himself a go_optic_schmidt.
[16:10:59	]LT CHUJ DUPKA CIPKA has gained a 'PM-II (7x)' #6920.
[16:11:01	]Boiko Dulkiewicz entered observer.
[16:11:03	]Lt. Anastasiy Jegorowich exited observer at their location.
[16:11:05	]LT CHUJ DUPKA CIPKA has lost a 'PM-II (7x)' #6920.
[16:11:10	]LT CHUJ DUPKA CIPKA ran 'EquipUn' on item 'Stary VSK-94' (#6871)
[16:11:11	]LT CHUJ DUPKA CIPKA ran 'drop' on item 'Stary VSK-94' (#6871)
[16:11:11	]LT CHUJ DUPKA CIPKA has lost a 'Stary VSK-94' #6871.
[16:11:11	]Boiko Dulkiewicz exited observer at their location.
[16:11:12	]Lt. Anastasiy Jegorowich has spawned a 'Entity [2657][ix_combinebarricade]'.
[16:11:14	]Lt. Anastasiy Jegorowich entered observer.
[16:11:16	]Sgt. Richard Levittoux ran 'take' on item 'Stary VSK-94' (#6871)
[16:11:16	]Sgt. Richard Levittoux has gained a 'Stary VSK-94' #6871.
[16:11:18	]Sgt. Richard Levittoux ran 'Equip' on item 'Stary VSK-94' (#6871)
[16:11:21	]Lt. Anastasiy Jegorowich exited observer at their location.
[16:11:22	]Boiko Dulkiewicz entered observer.
[16:11:24	]Lt. Anastasiy Jegorowich entered observer.
[16:11:24	]Sgt. Richard Levittoux ran 'EquipUn' on item 'Stary VSK-94' (#6871)
[16:11:26	]Sgt. Richard Levittoux ran 'drop' on item 'Stary VSK-94' (#6871)
[16:11:26	]Sgt. Richard Levittoux has lost a 'Stary VSK-94' #6871.
[16:11:29	]Boiko Dulkiewicz exited observer at their location.
[16:11:30	]Boiko Dulkiewicz entered observer.
[16:11:31	]Boiko Dulkiewicz exited observer at their location.
[16:11:34	]Boiko Dulkiewicz has spawned 'models/props_junk/Shovel01a.mdl'.
[16:11:36	]Lt. Anastasiy Jegorowich exited observer at their location.
[16:11:41	]Lt. Anastasiy Jegorowich entered observer.
[16:11:41	]Sgt. Richard Levittoux entered observer.
[16:11:45	]Sgt. Richard Levittoux exited observer at their location.
[16:11:46	]Boiko Dulkiewicz has fired a toolgun with the name: nocollideworld
[16:11:46	]LT CHUJ DUPKA CIPKA has given himself a head_helmet.
[16:11:46	]LT CHUJ DUPKA CIPKA has gained a 'Hełm' #6921.
[16:11:48	]LT CHUJ DUPKA CIPKA has given himself a head_helmet.
[16:11:48	]LT CHUJ DUPKA CIPKA has gained a 'Hełm' #6922.
[16:11:48	]LT CHUJ DUPKA CIPKA has given himself a head_helmet.
[16:11:49	]LT CHUJ DUPKA CIPKA has gained a 'Hełm' #6923.
[16:11:49	]LT CHUJ DUPKA CIPKA has given himself a head_helmet.
[16:11:49	]LT CHUJ DUPKA CIPKA has gained a 'Hełm' #6924.
[16:11:50	]LT CHUJ DUPKA CIPKA ran 'drop' on item 'Hełm' (#6924)
[16:11:50	]LT CHUJ DUPKA CIPKA has lost a 'Hełm' #6924.
[16:11:51	]LT CHUJ DUPKA CIPKA ran 'drop' on item 'Hełm' (#6921)
[16:11:51	]LT CHUJ DUPKA CIPKA has lost a 'Hełm' #6921.
[16:11:51	]LT CHUJ DUPKA CIPKA ran 'drop' on item 'Hełm' (#6923)
[16:11:51	]LT CHUJ DUPKA CIPKA has lost a 'Hełm' #6923.
[16:11:52	]LT CHUJ DUPKA CIPKA ran 'drop' on item 'Hełm' (#6922)
[16:11:52	]LT CHUJ DUPKA CIPKA has lost a 'Hełm' #6922.
[16:11:57	]LT CHUJ DUPKA CIPKA has given himself a head_helmet.
[16:11:57	]LT CHUJ DUPKA CIPKA has gained a 'Hełm' #6925.
[16:11:58	]LT CHUJ DUPKA CIPKA has given himself a head_helmet.
[16:11:58	]LT CHUJ DUPKA CIPKA has gained a 'Hełm' #6926.
[16:11:59	]LT CHUJ DUPKA CIPKA ran 'drop' on item 'Hełm' (#6925)
[16:11:59	]LT CHUJ DUPKA CIPKA has lost a 'Hełm' #6925.
[16:12:00	]LT CHUJ DUPKA CIPKA ran 'drop' on item 'Hełm' (#6926)
[16:12:00	]LT CHUJ DUPKA CIPKA has lost a 'Hełm' #6926.
[16:12:01	]LT CHUJ DUPKA CIPKA has given himself a helmet_medic.
[16:12:01	]LT CHUJ DUPKA CIPKA has gained a 'Hełm medyka' #6927.
[16:12:03	]LT CHUJ DUPKA CIPKA has given himself a helmet_medic.
[16:12:03	]LT CHUJ DUPKA CIPKA has gained a 'Hełm medyka' #6928.
[16:12:05	]LT CHUJ DUPKA CIPKA has used a context menu option with the name: remove
[16:12:06	]LT CHUJ DUPKA CIPKA has used a context menu option with the name: remove
[16:12:07	]LT CHUJ DUPKA CIPKA ran 'drop' on item 'Hełm medyka' (#6927)
[16:12:07	]LT CHUJ DUPKA CIPKA has lost a 'Hełm medyka' #6927.
[16:12:08	]LT CHUJ DUPKA CIPKA ran 'drop' on item 'Hełm medyka' (#6928)
[16:12:08	]LT CHUJ DUPKA CIPKA has lost a 'Hełm medyka' #6928.
[16:12:11	]Lt. Anastasiy Jegorowich exited observer at their location.
[16:12:12	]Boiko Dulkiewicz has spawned 'models/props_junk/cardboard_box004a.mdl'.
[16:12:12	]Lt. Anastasiy Jegorowich entered observer.
[16:12:21	]Boiko Dulkiewicz has fired a toolgun with the name: nocollideworld
[16:12:27	]LT CHUJ DUPKA CIPKA has given himself a head_hardhat.
[16:12:27	]LT CHUJ DUPKA CIPKA has gained a 'Kask ochronny' #6929.
[16:12:28	]LT CHUJ DUPKA CIPKA has given himself a head_hardhat.
[16:12:28	]LT CHUJ DUPKA CIPKA has gained a 'Kask ochronny' #6930.
[16:12:29	]LT CHUJ DUPKA CIPKA ran 'drop' on item 'Kask ochronny' (#6929)
[16:12:29	]LT CHUJ DUPKA CIPKA has lost a 'Kask ochronny' #6929.
[16:12:30	]LT CHUJ DUPKA CIPKA ran 'drop' on item 'Kask ochronny' (#6930)
[16:12:30	]LT CHUJ DUPKA CIPKA has lost a 'Kask ochronny' #6930.
[16:12:37	]Lt. Anastasiy Jegorowich exited observer at their location.
[16:12:38	]LT CHUJ DUPKA CIPKA has given himself a hardhat_green.
[16:12:38	]LT CHUJ DUPKA CIPKA has gained a 'Zielony kask ochronny' #6931.
[16:12:39	]LT CHUJ DUPKA CIPKA has given himself a hardhat_green.
[16:12:39	]LT CHUJ DUPKA CIPKA has gained a 'Zielony kask ochronny' #6932.
[16:12:43	]LT CHUJ DUPKA CIPKA ran 'drop' on item 'Zielony kask ochronny' (#6931)
[16:12:43	]LT CHUJ DUPKA CIPKA has lost a 'Zielony kask ochronny' #6931.
[16:12:44	]LT CHUJ DUPKA CIPKA ran 'drop' on item 'Zielony kask ochronny' (#6932)
[16:12:44	]LT CHUJ DUPKA CIPKA has lost a 'Zielony kask ochronny' #6932.
[16:12:45	]Lt. Anastasiy Jegorowich entered observer.
[16:12:48	]Boiko Dulkiewicz created a stash (models/props_junk/cardboard_box004a.mdl).
[16:12:48	]Boiko Dulkiewicz has used a context menu option with the name: ixcreatestash
[16:12:58	]LT CHUJ DUPKA CIPKA used command '/Doorkick'.
[16:13:03	]Sgt. Richard Levittoux entered observer.
[16:13:04	]LT CHUJ DUPKA CIPKA ran SAM command 'goto' with arguments: 'Lt.'
[16:13:04	]Sgt. Richard Levittoux exited observer at their location.
[16:13:05	]LT CHUJ DUPKA CIPKA entered observer.
[16:13:05	]Sgt. Richard Levittoux entered observer.
[16:13:06	]LT CHUJ DUPKA CIPKA exited observer.
[16:13:07	]Boiko Dulkiewicz has set a stash name to 'Zakopana skrytka'.
[16:13:07	]Boiko Dulkiewicz has used a context menu option with the name: ixstashsetname
[16:13:07	]LT CHUJ DUPKA CIPKA entered observer.
[16:13:07	]LT CHUJ DUPKA CIPKA exited observer.
[16:13:07	]LT CHUJ DUPKA CIPKA entered observer.
[16:13:09	]LT CHUJ DUPKA CIPKA exited observer.
[16:13:09	]Boiko Dulkiewicz opened the 'Zakopana skrytka' stash.
[16:13:09	]LT CHUJ DUPKA CIPKA entered observer.
[16:13:10	]LT CHUJ DUPKA CIPKA exited observer.
[16:13:10	]LT CHUJ DUPKA CIPKA entered observer.
[16:13:11	]LT CHUJ DUPKA CIPKA exited observer.
[16:13:12	]LT CHUJ DUPKA CIPKA entered observer.
[16:13:12	]LT CHUJ DUPKA CIPKA exited observer.
[16:13:12	]LT CHUJ DUPKA CIPKA has taken 5 damage from slimePit3.
[16:13:13	]LT CHUJ DUPKA CIPKA has taken 5 damage from slimePit3.
[16:13:13	]LT CHUJ DUPKA CIPKA has taken 5 damage from slimePit3.
[16:13:14	]LT CHUJ DUPKA CIPKA has taken 5 damage from slimePit3.
[16:13:15	]Boiko Dulkiewicz closed the 'Zakopana skrytka' stash.
[16:13:18	][IC] Sgt. Richard Levittoux: Uu.
[16:13:31	]Boiko Dulkiewicz entered observer.
[16:13:32	]Boiko Dulkiewicz exited observer at their location.
[16:13:37	]LT CHUJ DUPKA CIPKA entered observer.
[16:13:38	]Sgt. Richard Levittoux exited observer at their location.
[16:13:38	]LT CHUJ DUPKA CIPKA exited observer at their location.
[16:13:39	]Sgt. Richard Levittoux entered observer.
[16:13:39	]LT CHUJ DUPKA CIPKA entered observer.
[16:13:40	]LT CHUJ DUPKA CIPKA exited observer at their location.
[16:13:41	]LT CHUJ DUPKA CIPKA entered observer.
[16:13:42	]LT CHUJ DUPKA CIPKA exited observer at their location.
[16:13:42	]Boiko Dulkiewicz has spawned 'models/props_junk/glassjug01.mdl'.
[16:13:43	]LT CHUJ DUPKA CIPKA entered observer.
[16:13:43	]LT CHUJ DUPKA CIPKA exited observer at their location.
[16:13:45	]LT CHUJ DUPKA CIPKA has spawned a dummy_smallbomb.
[16:13:45	]Sgt. Richard Levittoux exited observer at their location.
[16:13:47	]Sgt. Richard Levittoux entered observer.
[16:13:50	]LT CHUJ DUPKA CIPKA ran 'take' on item 'Mała Bomba' (#6933)
[16:13:50	]LT CHUJ DUPKA CIPKA has gained a 'Mała Bomba' #6933.
[16:13:57	]Boiko Dulkiewicz has spawned 'models/props_junk/garbage_plasticbottle003a.mdl'.
[16:13:57	]Sgt. Richard Levittoux has spawned a pistolammo.
[16:13:57	]Sgt. Richard Levittoux has spawned a pistolammo.
[16:13:58	]Sgt. Richard Levittoux has spawned a pistolammo.
[16:13:58	]Sgt. Richard Levittoux has spawned a pistolammo.
[16:13:58	]Sgt. Richard Levittoux has spawned a pistolammo.
[16:13:58	]Sgt. Richard Levittoux has spawned a pistolammo.
[16:13:58	]Sgt. Richard Levittoux has spawned a pistolammo.
[16:13:58	]Sgt. Richard Levittoux has spawned a pistolammo.
[16:14:01	]LT CHUJ DUPKA CIPKA ran 'drop' on item 'Mała Bomba' (#6933)
[16:14:01	]LT CHUJ DUPKA CIPKA has lost a 'Mała Bomba' #6933.
[16:14:10	]Sgt. Richard Levittoux exited observer at their location.
[16:14:15	]Sgt. Richard Levittoux has spawned a dummy_smallbomb.
[16:14:17	]Boiko Dulkiewicz has fired a toolgun with the name: nocollideworld
[16:14:17	]Sgt. Richard Levittoux ran 'take' on item 'Mała Bomba' (#6942)
[16:14:17	]Sgt. Richard Levittoux has gained a 'Mała Bomba' #6942.
[16:14:21	]Sgt. Richard Levittoux ran 'drop' on item 'Mała Bomba' (#6942)
[16:14:21	]Sgt. Richard Levittoux has lost a 'Mała Bomba' #6942.
[16:14:23	]Sgt. Richard Levittoux entered observer.
[16:14:23	]Sgt. Richard Levittoux exited observer at their location.
[16:14:26	]Boiko Dulkiewicz has used a context menu option with the name: collision_on
[16:14:30	]Sgt. Richard Levittoux has used a context menu option with the name: rb655_dissolve
[16:14:32	]env_entity_dissolver destroyed a 'Mała Bomba' #6942.
[16:14:54	]Boiko Dulkiewicz entered observer.
[16:14:58	]Sgt. Richard Levittoux entered observer.
[16:15:05	]Lt. Anastasiy Jegorowich has spawned 'models/props_wasteland/rockcliff_cluster02b.mdl'.
[16:15:09	]Lt. Anastasiy Jegorowich has spawned 'models/props_wasteland/rockcliff_cluster02c.mdl'.
[16:15:13	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: nocollide
[16:15:13	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: nocollide
[16:15:19	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: nocollideworld
[16:15:19	]LT CHUJ DUPKA CIPKA has used a context menu option with the name: remove
[16:15:27	]Recik nie jest już AFK. Całkowity czas spędzony AFK:  895
[16:15:28	]Sgt. Richard Levittoux exited observer at their location.
[16:15:34	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: sh_persist
[16:15:34	]Lt. Anastasiy Jegorowich has enabled persistence for 'models/props_wasteland/rockcliff_cluster02c.mdl'.
[16:15:34	]Sgt. Richard Levittoux entered observer.
[16:15:34	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: sh_persist
[16:15:34	]Lt. Anastasiy Jegorowich has enabled persistence for 'models/props_wasteland/rockcliff_cluster02b.mdl'.
[16:15:37	]Sgt. Richard Levittoux exited observer at their location.
[16:15:41	]Sgt. Richard Levittoux has fired a toolgun with the name: remover
[16:15:41	]Sgt. Richard Levittoux has fired a toolgun with the name: remover
[16:15:41	]Sgt. Richard Levittoux has fired a toolgun with the name: remover
[16:15:42	]Sgt. Richard Levittoux has fired a toolgun with the name: remover
[16:15:42	]Sgt. Richard Levittoux entered observer.
[16:16:21	]LT CHUJ DUPKA CIPKA has given himself a dummy_biolock_expar2.
[16:16:21	]LT CHUJ DUPKA CIPKA has gained a 'Dziwny Karabin Kombinatu (Z Biolockiem)' #6943.
[16:16:23	]LT CHUJ DUPKA CIPKA ran 'Unlock' on item 'Dziwny Karabin Kombinatu (Z Biolockiem)' (#6943)
[16:16:43	]LT CHUJ DUPKA CIPKA ran 'drop' on item 'Dziwny Karabin Kombinatu (Z Biolockiem)' (#6943)
[16:16:43	]LT CHUJ DUPKA CIPKA has lost a 'Dziwny Karabin Kombinatu (Z Biolockiem)' #6943.
[16:16:46	]LT CHUJ DUPKA CIPKA has used a context menu option with the name: remove
[16:17:14	]Sgt. Richard Levittoux has spawned a 357ammo.
[16:17:15	]Sgt. Richard Levittoux has spawned a 357ammo.
[16:17:15	]Sgt. Richard Levittoux has spawned a 357ammo.
[16:17:16	]Sgt. Richard Levittoux has spawned a 357ammo.
[16:17:29	]Sgt. Richard Levittoux has spawned a magazine_popper_6rnd.
[16:17:30	]Sgt. Richard Levittoux has spawned a magazine_popper_6rnd.
[16:17:30	]Sgt. Richard Levittoux has spawned a magazine_popper_6rnd.
[16:17:30	]Sgt. Richard Levittoux has spawned a magazine_popper_6rnd.
[16:17:34	]LT CHUJ DUPKA CIPKA ran SAM command 'goto' with arguments: 'Lt.'
[16:17:35	]Sgt. Richard Levittoux has fired a toolgun with the name: remover
[16:17:35	]Sgt. Richard Levittoux has fired a toolgun with the name: remover
[16:17:35	]Sgt. Richard Levittoux has fired a toolgun with the name: remover
[16:17:36	]LT CHUJ DUPKA CIPKA entered observer.
[16:17:42	]LT CHUJ DUPKA CIPKA used command '/ToggleRaise'.
[16:17:47	]Lt. Anastasiy Jegorowich exited observer at their location.
[16:17:48	]LT CHUJ DUPKA CIPKA exited observer at their location.
[16:17:51	]LT CHUJ DUPKA CIPKA entered observer.
[16:17:52	]LT CHUJ DUPKA CIPKA exited observer at their location.
[16:17:53	]Sgt. Richard Levittoux has spawned a magazine_popper_6rnd.
[16:17:54	]LT CHUJ DUPKA CIPKA used command '/ToggleRaise'.
[16:17:55	]Sgt. Richard Levittoux has spawned a magazine_popper_6rnd.
[16:18:10	]Sgt. Richard Levittoux has spawned a magazine_usp_15rnd.
[16:18:11	]Boiko Dulkiewicz exited observer at their location.
[16:18:13	]Sgt. Richard Levittoux has fired a toolgun with the name: remover
[16:18:15	]Sgt. Richard Levittoux has spawned a magazine_usp_15rnd.
[16:18:15	]Sgt. Richard Levittoux has spawned a magazine_usp_15rnd.
[16:18:19	]Boiko Dulkiewicz entered observer.
[16:18:21	]Boiko Dulkiewicz exited observer at their location.
[16:18:23	]Sgt. Richard Levittoux has spawned a magazine_usp_15rnd.
[16:18:24	]Sgt. Richard Levittoux has spawned a magazine_usp_15rnd.
[16:18:36	]Sgt. Richard Levittoux has spawned a magazine_usp_15rnd.
[16:18:37	]Sgt. Richard Levittoux has spawned a magazine_usp_15rnd.
[16:18:40	]Lt. Anastasiy Jegorowich has spawned 'models/props_vehicles/apc001.mdl'.
[16:18:44	]Lt. Anastasiy Jegorowich entered observer.
[16:18:45	]Lt. Anastasiy Jegorowich exited observer at their location.
[16:18:50	]Boiko Dulkiewicz has given himself a paper.
[16:18:50	]Boiko Dulkiewicz has gained a 'Papier' #6961.
[16:18:53	]Lt. Anastasiy Jegorowich entered observer.
[16:18:53	]Boiko Dulkiewicz ran 'Write' on item 'Papier' (#6961)
[16:19:01	]Sgt. Richard Levittoux has spawned a magazine_makeshift_15rnd.
[16:19:02	]Lt. Anastasiy Jegorowich exited observer at their location.
[16:19:04	]Sgt. Richard Levittoux has spawned a magazine_makeshift_15rnd.
[16:19:04	]Boiko Dulkiewicz ran 'Write' on item 'Papier' (#6961)
[16:19:19	]Lt. Anastasiy Jegorowich has spawned 'models/props_foliage/tree_poplar_01.mdl'.
[16:19:21	]Sgt. Richard Levittoux has spawned a magazine_makeshift_8rnd.
[16:19:22	]Sgt. Richard Levittoux has spawned a magazine_makeshift_8rnd.
[16:19:23	]Lt. Anastasiy Jegorowich has spawned 'models/props_foliage/tree_deciduous_02a.mdl'.
[16:19:26	]Lt. Anastasiy Jegorowich has spawned 'models/props_foliage/tree_deciduous_01a.mdl'.
[16:19:38	]Sgt. Richard Levittoux has spawned a pistolammo.
[16:19:40	]Sgt. Richard Levittoux has spawned a pistolammo.
[16:19:52	]Sgt. Richard Levittoux has spawned a pistolammo.
[16:19:53	]Boiko Dulkiewicz entered observer.
[16:19:53	]Sgt. Richard Levittoux has spawned a pistolammo.
[16:19:59	]Sgt. Richard Levittoux exited observer at their location.
[16:19:59	]Sgt. Richard Levittoux entered observer.
[16:20:08	]LT CHUJ DUPKA CIPKA has spawned a 'Entity [2692][pfx1_07]'.
[16:20:15	]LT CHUJ DUPKA CIPKA has spawned a 'Entity [2700][pfx1_00]'.
[16:20:15	]Boiko Dulkiewicz exited observer at their location.
[16:20:24	]LT CHUJ DUPKA CIPKA has spawned a 'Entity [2700][pfx1_05]'.
[16:20:27	]Recik przeszedł w tryb AFK.
[16:20:32	]LT CHUJ DUPKA CIPKA has spawned a 'Entity [2700][pfx1_0c]'.
[16:20:37	]LT CHUJ DUPKA CIPKA has spawned a 'Entity [2700][pfx1_03~]'.
[16:20:39	]Sgt. Richard Levittoux exited observer at their location.
[16:20:39	]Lt. Anastasiy Jegorowich has spawned 'models/props_foliage/tree_cliff_02a.mdl'.
[16:20:40	]Sgt. Richard Levittoux entered observer.
[16:20:46	]Sgt. Richard Levittoux exited observer at their location.
[16:20:47	]LT CHUJ DUPKA CIPKA entered observer.
[16:20:50	]Sgt. Richard Levittoux entered observer.
[16:20:51	]Sgt. Richard Levittoux exited observer at their location.
[16:20:58	]LT CHUJ DUPKA CIPKA exited observer at their location.
[16:21:02	]Lt. Anastasiy Jegorowich entered observer.
[16:21:09	]Sgt. Richard Levittoux entered observer.
[16:21:10	]Sgt. Richard Levittoux exited observer at their location.
[16:21:10	]Sgt. Richard Levittoux entered observer.
[16:21:12	]Sgt. Richard Levittoux exited observer at their location.
[16:21:13	]Lt. Anastasiy Jegorowich exited observer at their location.
[16:21:18	]LT CHUJ DUPKA CIPKA has spawned a 'Entity [2702][pfx2_06]'.
[16:21:19	]Sgt. Richard Levittoux entered observer.
[16:21:23	]Sgt. Richard Levittoux has spawned 'models/props_vehicles/car001a_hatchback.mdl'.
[16:21:30	]Sgt. Richard Levittoux has spawned 'models/props_vehicles/car002b_physics.mdl'.
[16:21:32	]Sgt. Richard Levittoux exited observer at their location.
[16:21:36	]LT CHUJ DUPKA CIPKA has spawned a 'Entity [2703][pfx7_00]'.
[16:21:37	]Sgt. Richard Levittoux entered observer.
[16:21:45	]LT CHUJ DUPKA CIPKA has spawned a 'Entity [2704][pfx7_00]'.
[16:21:56	]Sgt. Richard Levittoux exited observer at their location.
[16:21:57	]Sgt. Richard Levittoux entered observer.
[16:22:03	]Sgt. Richard Levittoux exited observer at their location.
[16:22:08	]LT CHUJ DUPKA CIPKA entered observer.
[16:22:10	]LT CHUJ DUPKA CIPKA has spawned a 'Entity [2705][pfx1_09]'.
[16:22:11	]LT CHUJ DUPKA CIPKA exited observer at their location.
[16:22:12	]Sgt. Richard Levittoux entered observer.
[16:22:13	]Sgt. Richard Levittoux exited observer at their location.
[16:22:15	]LT CHUJ DUPKA CIPKA entered observer.
[16:22:20	]LT CHUJ DUPKA CIPKA has spawned a 'Entity [2705][pfx1_0d]'.
[16:22:25	]Sgt. Richard Levittoux entered observer.
[16:22:26	]Sgt. Richard Levittoux exited observer at their location.
[16:22:27	]Sgt. Richard Levittoux entered observer.
[16:22:27	]Sgt. Richard Levittoux exited observer at their location.
[16:22:28	]LT CHUJ DUPKA CIPKA has spawned a 'Entity [2706][pfx1_0d]'.
[16:22:29	]Sgt. Richard Levittoux entered observer.
[16:22:29	]Lt. Anastasiy Jegorowich has spawned 'models/props_foliage/driftwood_03a.mdl'.
[16:22:29	]Sgt. Richard Levittoux exited observer at their location.
[16:22:30	]Sgt. Richard Levittoux entered observer.
[16:22:31	]Sgt. Richard Levittoux exited observer at their location.
[16:22:34	]Lt. Anastasiy Jegorowich has spawned 'models/props_foliage/driftwood_clump_02a.mdl'.
[16:22:36	]LT CHUJ DUPKA CIPKA has spawned a 'Entity [2708][pfx1_0e]'.
