[16:53:08	]Coloss s'est connecté.
[20:26:38	]Cpl. Francis Duval used the 'John Doe' vendor.
[20:26:47	]C13:i2.HERO-26 a fait apparaitre 'models/props_junk/TrashDumpster02b.mdl.
[20:26:51	]Capitaine Alexandre Lambert used the 'John Doe' vendor.
[20:26:52	]Atraous créé le personnage 'C13:RCT.UNION-283'
[20:26:52	]Atraous has gained level 5 in the Armes skill.
[20:26:52	]Atraous has gained level 10 in the Vitesse skill.
[20:26:52	]Atraous chargé le personnage 'C13:RCT.UNION-283'
[20:26:52	]C13:RCT.UNION-283 a gagné un '# Carte CID n° : 59406' #201466.
[20:26:52	]C13:RCT.UNION-283 a gagné un 'DATA-PAD' #201467.
[20:26:52	]C13:RCT.UNION-283 a gagné un 'Uniforme PC - Recrue' #201468.
[20:26:52	]C13:RCT.UNION-283 a gagné un 'Radio portable' #201469.
[20:26:52	]C13:RCT.UNION-283 a gagné un 'Lampe Torche' #201470.
[20:26:53	]C13:RCT.UNION-283 a gagné un 'Petite sacoche' #201471.
[20:26:53	]C13:RCT.UNION-283 a gagné un 'Sac' #201472.
[20:26:53	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:26:53	]Capitaine Alexandre Lambert a gagné un 'Munitions de fusils d'assault' #201473.
[20:26:54	]C13:i2.HERO-26 a désactivé le mode observateur à son point d'origine.
[20:26:54	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:26:54	]Capitaine Alexandre Lambert a gagné un 'Munitions de fusils d'assault' #201474.
[20:26:54	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:26:54	]Capitaine Alexandre Lambert a gagné un 'Munitions de fusils d'assault' #201475.
[20:26:56	]Cpl. Francis Duval used the 'John Doe' vendor.
[20:26:58	]Capitaine Alexandre Lambert a exécuté 'combine' sur l'article 'Poche à Munitions' (#201441)
[20:26:59	]Capitaine Alexandre Lambert a exécuté 'combine' sur l'article 'Poche à Munitions' (#201441)
[20:26:59	]Capitaine Alexandre Lambert a exécuté 'combine' sur l'article 'Poche à Munitions' (#201441)
[20:27:01	]C13:i2.HERO-26 a activé le mode observateur.
[20:27:02	]Capitaine Alexandre Lambert used the 'John Doe' vendor.
[20:27:02	]C13:i2.HERO-26 a désactivé le mode observateur à son point d'origine.
[20:27:03	][LOOC] Asling Costelo: t'aime bien
[20:27:03	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:27:04	]Capitaine Alexandre Lambert a gagné un 'Munitions de fusils d'assault' #201476.
[20:27:04	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:27:04	]Capitaine Alexandre Lambert a gagné un 'Munitions de fusils d'assault' #201477.
[20:27:05	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:27:05	]Capitaine Alexandre Lambert a gagné un 'Munitions de fusils d'assault' #201478.
[20:27:07	]Capitaine Alexandre Lambert used the 'John Doe' vendor.
[20:27:08	][IC] C13:i2.HERO-26: <:: Yo. ::>
[20:27:09	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:27:09	]Capitaine Alexandre Lambert a gagné un 'Grenade à fragmentation' #201479.
[20:27:09	][LOOC] Asling Costelo: t'aime bien
[20:27:10	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:27:10	]Capitaine Alexandre Lambert a gagné un 'Grenade à fragmentation' #201480.
[20:27:10	][IC] C13:i2.HERO-26: <:: Viens avec moi. ::>
[20:27:11	][LOOC] Pierre Dubois: il veut....
[20:27:13	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:27:13	]Capitaine Alexandre Lambert a gagné un 'Bandage' #201481.
[20:27:14	]C13:i2.HERO-26 a activé le mode observateur.
[20:27:17	]Capitaine Alexandre Lambert used the 'John Doe' vendor.
[20:27:17	]C13:i2.HERO-26 a désactivé le mode observateur à son point d'origine.
[20:27:21	][IC] C13:RCT.UNION-283: Oe oe oe.
[20:27:22	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:27:22	]Capitaine Alexandre Lambert a gagné un 'Petite sacoche' #201482.
[20:27:23	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:27:23	]Capitaine Alexandre Lambert a gagné un 'Sac' #201483.
[20:27:29	]Capitaine Alexandre Lambert used the 'John Doe' vendor.
[20:27:35	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:27:35	]Capitaine Alexandre Lambert a gagné un 'Poche de sang' #201484.
[20:27:35	]Cpl. Francis Duval a perdu un 'Chargeur de G3' #201405.
[20:27:36	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:27:36	]Capitaine Alexandre Lambert a gagné un 'Kit de soin' #201485.
[20:27:38	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:27:38	]Capitaine Alexandre Lambert a gagné un 'Morphine' #201486.
[20:27:39	]Cpl. Francis Duval a gagné un 'Chargeur de G3' #201405.
[20:27:39	]Cpl. Francis Duval a perdu un 'Chargeur de G3' #201404.
[20:27:45	]Cpl. Francis Duval used the 'John Doe' vendor.
[20:27:47	][IC] C13:i2.HERO-26: <:: Matricule? ::>
[20:27:47	]Asling Costelo has gained level 7 in the Armes skill.
[20:27:49	]Asling Costelo has gained level 4 in the Vitesse skill.
[20:27:49	]Thibault Dubois a exécuté 'drop' sur l'article '# Carte CID n° : 48267' (#201348)
[20:27:49	]Thibault Dubois a perdu un '# Carte CID n° : 48267' #201348.
[20:27:50	]Thibault Dubois a exécuté 'drop' sur l'article 'Brassard - Gris' (#201347)
[20:27:50	]Thibault Dubois a perdu un 'Brassard - Gris' #201347.
[20:27:52	]Thibault Dubois a activé le mode observateur.
[20:27:52	][IC] C13:RCT.UNION-283: 75.
[20:27:53	]Thibault Dubois a désactivé le mode observateur à son point d'origine.
[20:27:54	]C13:i2.HERO-26 a utilisé la commande '/CharSetName RCT C13:i3.XRAY-75'.
[20:27:58	]Thibault Dubois a utilisé une option de menu contextuel portant ce nom : remove
[20:28:00	][IC] Cpl. Francis Duval: Les munitions de pistolet.
[20:28:00	]Thibault Dubois a utilisé une option de menu contextuel portant ce nom : rb655_dissolve
[20:28:00	][IC] Capitaine Alexandre Lambert: Ah.
[20:28:01	]C13:i2.HERO-26 s'est give rappel_gear.
[20:28:02	]Thibault Dubois a utilisé une option de menu contextuel portant ce nom : remove
[20:28:02	]env_entity_dissolver détruit un '# Carte CID n° : 48267' #201348.
[20:28:02	][IC] Capitaine Alexandre Lambert: Ouais.
[20:28:05	]Thibault Dubois a utilisé une option de menu contextuel portant ce nom : remove
[20:28:06	]viperoffi s'est connecté.
[20:28:07	]C13:i2.HERO-26 a activé le mode observateur.
[20:28:07	]Cpl. Francis Duval used the 'John Doe' vendor.
[20:28:07	]C13:i2.HERO-26 a désactivé le mode observateur à son point d'origine.
[20:28:09	]Capitaine Alexandre Lambert a utilisé une option de menu contextuel portant ce nom : vendor_edit
[20:28:10	]Cpl. Francis Duval a gagné 0 jetons.
[20:28:10	]Cpl. Francis Duval a gagné un 'Chargeur de Glock' #201488.
[20:28:11	]Cpl. Francis Duval a gagné 0 jetons.
[20:28:11	]Cpl. Francis Duval a gagné un 'Chargeur de Glock' #201489.
[20:28:14	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Rappel Gear' (#201487)
[20:28:14	]C13:i3.XRAY-75 a gagné un 'Rappel Gear' #201487.
[20:28:17	]Thibault Dubois used the 'John Doe' vendor.
[20:28:18	]Tuki créé le personnage 'Syrthal'Kar'
[20:28:19	]Tuki chargé le personnage 'Syrthal'Kar'
[20:28:19	]C13:i2.HERO-26 s'est give mask_cp.
[20:28:19	]S4ty s'est connecté.
[20:28:20	]Thibault Dubois a gagné 0 jetons.
[20:28:20	]C13:i3.XRAY-75 a exécuté 'Equip' sur l'article 'Rappel Gear' (#201487)
[20:28:20	]Thibault Dubois a gagné un 'Uniforme avec Kevlar vert de Tier 2' #201491.
[20:28:23	]C13:i2.HERO-26 s'est give uniform_cp.
[20:28:28	][IC] Capitaine Alexandre Lambert: C'est bon.
[20:28:28	]C13:i2.HERO-26 s'est give largebag.
[20:28:28	]Capitaine Alexandre Lambert used the 'John Doe' vendor.
[20:28:29	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Uniforme PC - Terrain' (#201492)
[20:28:29	]C13:i3.XRAY-75 a gagné un 'Uniforme PC - Terrain' #201492.
[20:28:29	]Cpl. Francis Duval used the 'John Doe' vendor.
[20:28:29	]C13:i2.HERO-26 s'est give smallbag.
[20:28:30	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Masque à gaz PMG-5 (AUG)' (#201490)
[20:28:30	]C13:i3.XRAY-75 a gagné un 'Masque à gaz PMG-5 (AUG)' #201490.
[20:28:31	]Cpl. Francis Duval a gagné 0 jetons.
[20:28:31	]Cpl. Francis Duval a gagné un 'Munitions de pistolet' #201495.
[20:28:31	]Cpl. Francis Duval a gagné 0 jetons.
[20:28:31	]Cpl. Francis Duval a gagné un 'Munitions de pistolet' #201496.
[20:28:33	]C13:i2.HERO-26 s'est give bullet_pouch.
[20:28:33	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Sac' (#201493)
[20:28:33	]C13:i3.XRAY-75 a gagné un 'Sac' #201493.
[20:28:33	]C13:i2.HERO-26 s'est give mag_pouch.
[20:28:35	]C13:i2.HERO-26 s'est give mag_pouch.
[20:28:35	]Thibault Dubois a exécuté 'drop' sur l'article 'Combinaison grise' (#201349)
[20:28:35	]Thibault Dubois a perdu un 'Combinaison grise' #201349.
[20:28:35	]C13:i2.HERO-26 s'est give medical_pouch.
[20:28:36	][IC] Cpl. Francis Duval: Super nickel.
[20:28:37	]Thibault Dubois a utilisé une option de menu contextuel portant ce nom : remove
[20:28:37	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Petite sacoche' (#201494)
[20:28:37	]C13:i3.XRAY-75 a gagné un 'Petite sacoche' #201494.
[20:28:38	]Thibault Dubois used the 'John Doe' vendor.
[20:28:38	][AltChecker] S4ty rejoint pour la première fois.
[20:28:39	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Poche à Munitions' (#201497)
[20:28:39	]C13:i3.XRAY-75 a gagné un 'Poche à Munitions' #201497.
[20:28:39	]C13:i2.HERO-26 is admin-searching C13:i3.XRAY-75's inventory.
[20:28:39	]C13:i2.HERO-26 a utilisé une option de menu contextuel portant ce nom : ixviewinventory
[20:28:39	]Cpl. Francis Duval a exécuté 'combine' sur l'article 'Chargeur de Glock' (#201489)
[20:28:40	]Cpl. Francis Duval a exécuté 'combine' sur l'article 'Chargeur de Glock' (#201488)
[20:28:40	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Poche à Chargeurs' (#201498)
[20:28:40	]C13:i3.XRAY-75 a gagné un 'Poche à Chargeurs' #201498.
[20:28:42	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Poche à Chargeurs' (#201499)
[20:28:42	]C13:i3.XRAY-75 a gagné un 'Poche à Chargeurs' #201499.
[20:28:43	]C13:i2.HERO-26 a exécuté 'drop' sur l'article 'Petite sacoche' (#201494)
[20:28:43	]C13:i3.XRAY-75 a perdu un 'Petite sacoche' #201494.
[20:28:44	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Trousse de Secours' (#201500)
[20:28:44	]C13:i3.XRAY-75 a gagné un 'Trousse de Secours' #201500.
[20:28:45	]C13:i2.HERO-26 a exécuté 'drop' sur l'article 'Sac' (#201472)
[20:28:45	]C13:i3.XRAY-75 a perdu un 'Sac' #201472.
[20:28:46	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Sac' (#201472)
[20:28:46	]C13:i3.XRAY-75 a gagné un 'Sac' #201472.
[20:28:46	]C13:i2.HERO-26 has closed C13:i3.XRAY-75's inventory.
[20:28:47	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Petite sacoche' (#201494)
[20:28:47	]C13:i3.XRAY-75 a gagné un 'Petite sacoche' #201494.
[20:28:47	]C13:i2.HERO-26 a utilisé une option de menu contextuel portant ce nom : rb655_dissolve
[20:28:49	]Capitaine Alexandre Lambert is admin-searching Cpl. Francis Duval's inventory.
[20:28:49	]Capitaine Alexandre Lambert a utilisé une option de menu contextuel portant ce nom : ixviewinventory
[20:28:49	]C13:i3.XRAY-75 a exécuté 'drop' sur l'article 'Uniforme PC - Recrue' (#201468)
[20:28:49	]C13:i3.XRAY-75 a perdu un 'Uniforme PC - Recrue' #201468.
[20:28:50	]C13:i2.HERO-26 is admin-searching C13:i3.XRAY-75's inventory.
[20:28:50	]C13:i2.HERO-26 a utilisé une option de menu contextuel portant ce nom : ixviewinventory
[20:28:51	]Thibault Dubois used the 'John Doe' vendor.
[20:28:51	]Capitaine Alexandre Lambert has closed Cpl. Francis Duval's inventory.
[20:28:52	]C13:i2.HERO-26 a exécuté 'drop' sur l'article 'Trousse de Secours' (#201500)
[20:28:52	]C13:i3.XRAY-75 a perdu un 'Trousse de Secours' #201500.
[20:28:52	]Capitaine Alexandre Lambert used the 'John Doe' vendor.
[20:28:54	]Cpl. Francis Duval a exécuté 'combine' sur l'article 'Chargeur de Glock' (#201488)
[20:28:54	]C13:i2.HERO-26 a exécuté 'drop' sur l'article 'Sac' (#201472)
[20:28:54	]C13:i3.XRAY-75 a perdu un 'Sac' #201472.
[20:28:55	]C13:i2.HERO-26 has closed C13:i3.XRAY-75's inventory.
[20:28:56	]C13:i2.HERO-26 a utilisé une option de menu contextuel portant ce nom : rb655_dissolve
[20:28:57	]Cpl. Francis Duval a exécuté 'combine' sur l'article 'Chargeur de Glock' (#198982)
[20:28:58	]C13:i2.HERO-26 a utilisé une option de menu contextuel portant ce nom : rb655_dissolve
[20:28:58	]env_entity_dissolver détruit un 'Sac' #201472.
[20:28:59	]Cpl. Francis Duval a exécuté 'drop' sur l'article 'Munitions de pistolet' (#201495)
[20:28:59	]Cpl. Francis Duval a perdu un 'Munitions de pistolet' #201495.
[20:29:00	]env_entity_dissolver détruit un 'Trousse de Secours' #201500.
[20:29:00	]C13:i2.HERO-26 a utilisé une option de menu contextuel portant ce nom : rb655_dissolve
[20:29:00	]Cpl. Francis Duval used the 'John Doe' vendor.
[20:29:02	]Cpl. Francis Duval a gagné 0 jetons.
[20:29:02	]env_entity_dissolver détruit un 'Uniforme PC - Recrue' #201468.
[20:29:02	]Cpl. Francis Duval a gagné un 'Munitions de pistolet' #201501.
[20:29:03	]Garet a utilisé la commande '/ViewInfo syr'.
[20:29:03	]C13:i2.HERO-26 is admin-searching C13:i3.XRAY-75's inventory.
[20:29:03	]C13:i2.HERO-26 a utilisé une option de menu contextuel portant ce nom : ixviewinventory
[20:29:14	][IC] Capitaine Alexandre Lambert: Tu la chié d'ou ton glock.
[20:29:15	]C13:i2.HERO-26 has closed C13:i3.XRAY-75's inventory.
[20:29:17	]C13:i2.HERO-26 s'est give medical_pouch.
[20:29:20	][IC] Thibault Dubois: Hahahahah.
[20:29:20	]C13:i2.HERO-26 is admin-searching C13:i3.XRAY-75's inventory.
[20:29:20	]C13:i2.HERO-26 a utilisé une option de menu contextuel portant ce nom : ixviewinventory
[20:29:20	][IC] Capitaine Alexandre Lambert: Parce que il y est pas dans le truc.
[20:29:22	]C13:i2.HERO-26 a exécuté 'drop' sur l'article 'Petite sacoche' (#201494)
[20:29:22	]C13:i3.XRAY-75 a perdu un 'Petite sacoche' #201494.
[20:29:22	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Trousse de Secours' (#201502)
[20:29:22	]C13:i3.XRAY-75 a gagné un 'Trousse de Secours' #201502.
[20:29:23	]C13:i2.HERO-26 has closed C13:i3.XRAY-75's inventory.
[20:29:25	]C13:i2.HERO-26 a utilisé une option de menu contextuel portant ce nom : rb655_dissolve
[20:29:26	][IC] Cpl. Francis Duval: C'est un cadeau de Arceneaux en personne.
[20:29:27	]env_entity_dissolver détruit un 'Petite sacoche' #201494.
[20:29:27	]C13:i2.HERO-26 is admin-searching C13:i3.XRAY-75's inventory.
[20:29:27	]C13:i2.HERO-26 a utilisé une option de menu contextuel portant ce nom : ixviewinventory
[20:29:30	][IC] Capitaine Alexandre Lambert: Mouais mouais.
[20:29:33	]C13:i2.HERO-26 has closed C13:i3.XRAY-75's inventory.
[20:29:33	][IC] Thibault Dubois: Mon zeub ouais.
[20:29:35	]C13:i2.HERO-26 s'est give stunstick.
[20:29:36	]Capitaine Alexandre Lambert a utilisé une option de menu contextuel portant ce nom : vendor_edit
[20:29:38	]C13:i2.HERO-26 s'est give cmb_hkusp.
[20:29:39	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'CV-2000 Matraque électrique' (#201503)
[20:29:39	]C13:i3.XRAY-75 a gagné un 'CV-2000 Matraque électrique' #201503.
[20:29:39	]Tuki a déchargé son personnage "Syrthal'Kar".
[20:29:40	][IC] Cpl. Francis Duval: Si tu as un problème avec ça, va lui dire en face.
[20:29:41	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'HK USP .45' (#201504)
[20:29:41	]C13:i3.XRAY-75 a gagné un 'HK USP .45' #201504.
[20:29:42	]C13:i2.HERO-26 s'est give gen_mp7.
[20:29:43	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'MP7A1' (#201505)
[20:29:44	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'MP7A1' (#201505)
[20:29:44	]Tuki chargé le personnage 'Tuki'
[20:29:46	]C13:i2.HERO-26 s'est give bullets_smg1.
[20:29:47	]C13:i2.HERO-26 s'est give bullets_smg1.
[20:29:47	]Thibault Dubois used the 'John Doe' vendor.
[20:29:47	]C13:i2.HERO-26 s'est give bullets_smg1.
[20:29:47	]C13:i2.HERO-26 s'est give bullets_smg1.
[20:29:48	]C13:i2.HERO-26 s'est give bullets_smg1.
[20:29:48	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'MP7A1' (#201505)
[20:29:48	]C13:i3.XRAY-75 a gagné un 'MP7A1' #201505.
[20:29:49	]Thibault Dubois a gagné 0 jetons.
[20:29:50	]Thibault Dubois a gagné un 'Glock 17' #201511.
[20:29:50	]C13:i2.HERO-26 s'est give bullets_pistol.
[20:29:50	]C13:i2.HERO-26 s'est give bullets_pistol.
[20:29:50	]C13:i2.HERO-26 s'est give bullets_pistol.
[20:29:51	]C13:i2.HERO-26 s'est give bullets_pistol.
[20:29:51	]C13:i2.HERO-26 s'est give bullets_pistol.
[20:29:53	][IC] Capitaine Alexandre Lambert: C'est moi arceneaux ici man.
[20:29:53	]Thibault Dubois a gagné 0 jetons.
[20:29:54	]Thibault Dubois a gagné un 'Poche à Chargeurs' #201517.
[20:29:54	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Munitions pour mitraillette' (#201506)
[20:29:54	]C13:i3.XRAY-75 a gagné un 'Munitions pour mitraillette' #201506.
[20:29:54	]Capitaine Alexandre Lambert used the 'John Doe' vendor.
[20:29:55	]Thibault Dubois a gagné 0 jetons.
[20:29:55	]Thibault Dubois a gagné un 'Chargeur de Glock' #201518.
[20:29:55	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Munitions pour mitraillette' (#201507)
[20:29:55	]C13:i3.XRAY-75 a gagné un 'Munitions pour mitraillette' #201507.
[20:29:55	]Thibault Dubois a gagné 0 jetons.
[20:29:55	]Thibault Dubois a gagné un 'Chargeur de Glock' #201519.
[20:29:56	]Thibault Dubois a gagné 0 jetons.
[20:29:56	]Thibault Dubois a gagné un 'Chargeur de Glock' #201520.
[20:29:56	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Munitions pour mitraillette' (#201508)
[20:29:56	]C13:i3.XRAY-75 a gagné un 'Munitions pour mitraillette' #201508.
[20:29:56	]Thibault Dubois a gagné 0 jetons.
[20:29:56	]Thibault Dubois a gagné un 'Chargeur de Glock' #201521.
[20:29:56	]Thibault Dubois a gagné 0 jetons.
[20:29:56	]Thibault Dubois a gagné un 'Chargeur de Glock' #201522.
[20:29:57	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Munitions pour mitraillette' (#201509)
[20:29:57	]C13:i3.XRAY-75 a gagné un 'Munitions pour mitraillette' #201509.
[20:29:57	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:29:57	]Capitaine Alexandre Lambert a gagné un 'Glock 17' #201523.
[20:29:58	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Munitions pour mitraillette' (#201510)
[20:29:58	]C13:i3.XRAY-75 a gagné un 'Munitions pour mitraillette' #201510.
[20:29:59	][IC] Cpl. Francis Duval: Ta gueule.
[20:29:59	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Munitions de pistolet' (#201512)
[20:29:59	]C13:i3.XRAY-75 a gagné un 'Munitions de pistolet' #201512.
[20:30:00	]C13:i2.HERO-26 s'est give magazine_usp.
[20:30:00	]C13:i2.HERO-26 s'est give magazine_usp.
[20:30:00	]C13:i2.HERO-26 s'est give magazine_usp.
[20:30:01	]Tuki a déchargé son personnage "Tuki".
[20:30:01	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Munitions de pistolet' (#201513)
[20:30:01	]C13:i3.XRAY-75 a gagné un 'Munitions de pistolet' #201513.
[20:30:01	]C13:i2.HERO-26 s'est give magazine_usp.
[20:30:01	]C13:i2.HERO-26 s'est give magazine_usp.
[20:30:02	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Munitions de pistolet' (#201514)
[20:30:02	]C13:i3.XRAY-75 a gagné un 'Munitions de pistolet' #201514.
[20:30:03	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Munitions de pistolet' (#201515)
[20:30:03	]C13:i3.XRAY-75 a gagné un 'Munitions de pistolet' #201515.
[20:30:04	]C13:i2.HERO-26 s'est give magazine_mp.
[20:30:04	]C13:i2.HERO-26 s'est give magazine_mp.
[20:30:04	]C13:i2.HERO-26 s'est give magazine_mp.
[20:30:04	]C13:i2.HERO-26 s'est give magazine_mp.
[20:30:05	]C13:i2.HERO-26 s'est give magazine_mp.
[20:30:05	]C13:i2.HERO-26 s'est give magazine_mp.
[20:30:05	]Tuki chargé le personnage 'Syrthal'Kar'
[20:30:06	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Munitions de pistolet' (#201516)
[20:30:06	]C13:i3.XRAY-75 a gagné un 'Munitions de pistolet' #201516.
[20:30:06	]Capitaine Alexandre Lambert used the 'John Doe' vendor.
[20:30:08	]Thibault Dubois a exécuté 'Equip' sur l'article 'Glock 17' (#201511)
[20:30:09	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:30:09	]Capitaine Alexandre Lambert a gagné un 'Chargeur de Glock' #201535.
[20:30:10	]Syrthal'Kar has gained level 32 in the Vortessence skill.
[20:30:10	]Garet a utilisé la commande '/CharSkillAdd syr vortessence 27'.
[20:30:10	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:30:10	]Capitaine Alexandre Lambert a gagné un 'Chargeur de Glock' #201536.
[20:30:12	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Chargeur MP 30' (#201534)
[20:30:13	]Garet a utilisé la commande '/ViewInfo syr'.
[20:30:13	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:30:13	]Capitaine Alexandre Lambert a gagné un 'Munitions de pistolet' #201537.
[20:30:13	]Thibault Dubois used the 'John Doe' vendor.
[20:30:14	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:30:14	]Capitaine Alexandre Lambert a gagné un 'Munitions de pistolet' #201538.
[20:30:14	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:30:14	]Capitaine Alexandre Lambert a gagné un 'Munitions de pistolet' #201539.
[20:30:15	]Capitaine Alexandre Lambert a gagné 0 jetons.
[20:30:15	]Capitaine Alexandre Lambert a gagné un 'Munitions de pistolet' #201540.
[20:30:16	]C13:i3.XRAY-75 a exécuté 'combine' sur l'article 'Poche à Munitions' (#201497)
[20:30:18	]C13:i3.XRAY-75 a exécuté 'combine' sur l'article 'Poche à Munitions' (#201497)
[20:30:18	]Thibault Dubois a gagné 0 jetons.
[20:30:19	]Thibault Dubois a gagné 0 jetons.
[20:30:19	]The Watcher créé le personnage 'Rusa Douc'
[20:30:19	]The Watcher chargé le personnage 'Rusa Douc'
[20:30:19	]Rusa Douc a gagné un 'Valise' #201541.
[20:30:19	]Rusa Douc a gagné un 'Lampe Torche' #201542.
[20:30:19	]Rusa Douc a gagné un 'Brassard - Gris' #201543.
[20:30:19	]Rusa Douc a gagné un '# Carte CID n° : 66842' #201544.
[20:30:19	]Rusa Douc a gagné un 'Combinaison rouge' #201545.
[20:30:19	]Rusa Douc a gagné un 'Pantalon de combinaison vert' #201546.
[20:30:19	]Rusa Douc a gagné un 'Chaussures marron usées' #201547.
[20:30:19	]Thibault Dubois a gagné 0 jetons.
[20:30:20	]Thibault Dubois a gagné 0 jetons.
[20:30:20	]Thibault Dubois a gagné 0 jetons.
[20:30:21	]Capitaine Alexandre Lambert a exécuté 'combine' sur l'article 'Chargeur de Glock' (#201536)
[20:30:22	]Capitaine Alexandre Lambert a exécuté 'combine' sur l'article 'Chargeur de Glock' (#201535)
[20:30:23	]Thibault Dubois a gagné 0 jetons.
[20:30:23	]Thibault Dubois a gagné un 'Chargeur de Glock' #201548.
[20:30:23	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Chargeur MP 30' (#201533)
[20:30:23	]C13:i3.XRAY-75 a gagné un 'Chargeur MP 30' #201533.
[20:30:23	]Thibault Dubois a gagné 0 jetons.
[20:30:23	]Thibault Dubois a gagné un 'Chargeur de Glock' #201549.
[20:30:24	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Chargeur MP 30' (#201534)
[20:30:24	]C13:i3.XRAY-75 a gagné un 'Chargeur MP 30' #201534.
[20:30:24	]Capitaine Alexandre Lambert a exécuté 'combine' sur l'article 'Munitions de pistolet' (#201538)
[20:30:25	]Thibault Dubois a gagné 0 jetons.
[20:30:25	]Thibault Dubois a gagné un 'Chargeur de Glock' #201550.
[20:30:26	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Chargeur USP' (#201527)
[20:30:26	]C13:i3.XRAY-75 a gagné un 'Chargeur USP' #201527.
[20:30:28	]Thibault Dubois a gagné 0 jetons.
[20:30:28	]Thibault Dubois a gagné un 'Munitions de pistolet' #201551.
[20:30:28	]Thibault Dubois a gagné 0 jetons.
[20:30:28	]Thibault Dubois a gagné un 'Munitions de pistolet' #201552.
[20:30:29	]Thibault Dubois a gagné 0 jetons.
[20:30:29	]Thibault Dubois a gagné un 'Munitions de pistolet' #201553.
[20:30:31	]Capitaine Alexandre Lambert a exécuté 'combine' sur l'article 'Chargeur de G3' (#201438)
[20:30:31	]Thibault Dubois a exécuté 'combine' sur l'article 'Chargeur de Glock' (#201549)
[20:30:32	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Chargeur USP' (#201528)
[20:30:32	]C13:i3.XRAY-75 a gagné un 'Chargeur USP' #201528.
[20:30:32	]Capitaine Alexandre Lambert a exécuté 'combine' sur l'article 'Chargeur de G3' (#201439)
[20:30:33	]C13:i2.HERO-26 a utilisé la commande '/CharEditBodygroup xray'.
[20:30:33	]Thibault Dubois a exécuté 'combine' sur l'article 'Chargeur de Glock' (#201548)
[20:30:34	]Capitaine Alexandre Lambert a exécuté 'combine' sur l'article 'Chargeur de G3' (#201437)
[20:30:34	]C13:i3.XRAY-75 a exécuté 'take' sur l'article 'Chargeur USP' (#201524)
[20:30:34	]C13:i3.XRAY-75 a gagné un 'Chargeur USP' #201524.
[20:30:34	]Capitaine Alexandre Lambert a exécuté 'combine' sur l'article 'Chargeur de G3' (#201437)
[20:30:35	]Thibault Dubois a exécuté 'combine' sur l'article 'Chargeur de Glock' (#201550)
[20:30:36	]Thibault Dubois a exécuté 'combine' sur l'article 'Chargeur de Glock' (#201550)
