[08:31:15	]Neo-Wolffe has connected.
[18:03:34	]Timothy Hudson has gained a 'Sarı İşçi Ceketi' #149089 from a container with the name 'Büyük Kutu' #9692.
[18:03:35	]Timothy Hudson closed the 'Büyük Kutu' #9692 container.
[18:03:35	]Frank Furt has lost a '20rnd Glock Magazine' #75836.
[18:03:36	][IC] C24:i1.TAP-1: <:: Sikeyim. ::>
[18:03:38	][IC] C24:i1.TAP-1: <:: Ne oldu 88? ::>
[18:03:39	]C24:i3.KING-58 ran 'drop' on item 'Combine Filter' (#162341)
[18:03:39	]C24:i3.KING-58 has lost a 'Combine Filter' #162341.
[18:03:41	]Frank Furt ran 'drop' on item 'Bandaj Rulosu' (#159998)
[18:03:41	]Frank Furt has lost a 'Bandaj Rulosu' #159998.
[18:03:41	]C24:i3.KING-58 ran 'take' on item 'Combine Filter' (#162346)
[18:03:41	]C24:i3.KING-58 has gained a 'Combine Filter' #162346.
[18:03:42	]Frank Furt ran 'drop' on item 'Dezenfekte Bandaj Rulosu' (#70139)
[18:03:42	]Frank Furt has lost a 'Dezenfekte Bandaj Rulosu' #70139.
[18:03:42	][IC] C24:i1.TAP-1: <:: Ne oldu da böyle oldu şehir. ::>
[18:03:42	]C24:i3.KING-58 ran 'take' on item 'Combine Filter' (#162341)
[18:03:42	]C24:i3.KING-58 has gained a 'Combine Filter' #162341.
[18:03:42	]C24:i3.KING-58 entered observer.
[18:03:44	]Frank Furt has used a context menu option with the name: remove
[18:03:45	]Frank Furt has used a context menu option with the name: remove
[18:03:45	]C24:i3.KING-58 exited observer at their location.
[18:03:46	]C24:i3.KING-58 used the 'Sivil Koruma Tedarikçisi' vendor.
[18:03:49	]C24:i3.KING-58 has gained 0 chips.
[18:03:49	]C24:i3.KING-58 has gained a 'Combine Filter' #162348.
[18:03:50	]C24:i3.KING-58 has gained 0 chips.
[18:03:50	]C24:i3.KING-58 has gained a 'Combine Filter' #162349.
[18:03:50	]C24:i3.KING-58 has gained 0 chips.
[18:03:50	]C24:i3.KING-58 has gained a 'Combine Filter' #162350.
[18:03:51	][IC] Timothy Hudson: Ceket güzelmiş bak.
[18:03:52	]Frank Furt has given himself a disinfected_bandage.
[18:03:52	]Frank Furt has gained a 'Dezenfekte Bandaj Rulosu' #162351.
[18:03:52	][IC] C24:i1.VICTOR-88: <:: Bilmiyorum ama kıçımızı kollasak iyi olur. ::>
[18:03:52	]Frank Furt has given himself a disinfected_bandage.
[18:03:52	]Frank Furt has gained a 'Dezenfekte Bandaj Rulosu' #162352.
[18:03:53	][IC] Timothy Hudson: SIB.
[18:03:55	]Valeria Martin used command '/ExitAct'.
[18:03:55	]Mahmud Youssef used command '/ExitAct'.
[18:03:56	][IC] C24:i1.TAP-1: <:: Aynen. ::>
[18:03:56	][IC] C24:i1.VICTOR-88: <:: Bok yoluna sorun yaşamayalım. ::>
[18:03:58	][IC] Timothy Hudson: Tam götveren oldun.
[18:04:03	][IC] C24:i1.TAP-1: <:: Aynen. Umarım. ::>
[18:04:04	][IC] Timothy Hudson: Ögh...oldum.
[18:04:09	]Timothy Hudson opened the 'Büyük Kutu' #9692 container.
[18:04:10	]C24:i1.TAP-1 has gained a '20rnd Glock Magazine' #132240.
[18:04:10	]C24:i1.TAP-1 has lost a '20rnd Glock Magazine' #132241.
[18:04:10	]E-RP SLAYER used command '/PlaySong https://www.youtube.com/watch?v=A424apyybuM&list=OLAK5uy_kvnusQold6SvH6u5f3EnM7gMO-WVr_mRU&index=6 0'.
[18:04:11	]Timothy Hudson has transferred a 'Sarı İşçi Ceketi' #149089 to a container with the name 'Büyük Kutu' #9692.
[18:04:12	]Timothy Hudson closed the 'Büyük Kutu' #9692 container.
[18:04:13	]Scientist has unloaded their "Koh'Lach" character.
[18:04:17	][IC] Garrett Foster: Inanırmısınız bilmem fakat.
[18:04:21	]C24:i5.(X)KING-19 has gained a '17rnd USP Magazine' #147058.
[18:04:21	]C24:i5.(X)KING-19 has lost a '17rnd USP Magazine' #147050.
[18:04:30	]Frank Furt ran 'combine' on item '5rnd AWP Magazine' (#75818)
[18:04:31	]Frank Furt ran 'combine' on item '5rnd AWP Magazine' (#75819)
[18:04:32	][ME] C24:i1.VICTOR-88: kemerinde ekipmanları yoklamaya başlar.
[18:04:32	]Frank Furt ran 'combine' on item '5rnd AWP Magazine' (#75819)
[18:04:37	][Y] C24:i3.KING-58: <:: Biri alsın. ::>
[18:04:40	]C24:i3.KING-58 ran 'drop' on item 'Combine Filter' (#162344)
[18:04:40	]C24:i3.KING-58 has lost a 'Combine Filter' #162344.
[18:04:40	]C24:i3.KING-58 ran 'drop' on item 'Combine Filter' (#162345)
[18:04:40	]C24:i3.KING-58 has lost a 'Combine Filter' #162345.
[18:04:42	]Frank Furt ran 'drop' on item 'Adrenalin' (#80545)
[18:04:42	]Frank Furt has lost a 'Adrenalin' #80545.
[18:04:42	]C24:i3.KING-58 ran 'drop' on item 'Combine Filter' (#162343)
[18:04:42	]C24:i3.KING-58 has lost a 'Combine Filter' #162343.
[18:04:43	]C24:i3.KING-58 ran 'drop' on item 'Combine Filter' (#162342)
[18:04:43	]C24:i3.KING-58 has lost a 'Combine Filter' #162342.
[18:04:43	]Frank Furt ran 'drop' on item 'Morfin' (#80546)
[18:04:43	]Frank Furt has lost a 'Morfin' #80546.
[18:04:43	][IC] Valeria Martin: Bir gün bunların hepsi kötü bir anı olarak kalacak.
[18:04:45	]THE ÖMER has unloaded their "S10/OWS.FLASH-31" character.
[18:04:46	][IC] Garrett Foster: Zehiri 1 kişiye 2 dakika içerisinde tek atıyor.
[18:04:47	][IC] Garrett Foster: Yavru hali.
[18:04:48	][IC] C24:i3.KING-58: <:: 19. ::>
[18:04:49	]Frank Furt has given himself a adrenaline.
[18:04:49	]THE ÖMER loaded the character 'Güvercin'
[18:04:49	]Frank Furt has gained a 'Adrenalin' #162353.
[18:04:49	][IC] C24:i3.KING-58: <:: Dikkat et. ::>
[18:04:50	]E-RP SLAYER has spawned a 'NPC [6530][npc_vj_hlrof_gonome]'.
[18:04:50	]E-RP SLAYER has fired a toolgun with the name: vjstool_npcmover
[18:04:50	]C24:i3.KING-58 ran 'drop' on item 'Combine Filter' (#162350)
[18:04:50	]C24:i3.KING-58 has lost a 'Combine Filter' #162350.
[18:04:51	]C24:i3.KING-58 ran 'drop' on item 'Combine Filter' (#162349)
[18:04:51	]C24:i3.KING-58 has lost a 'Combine Filter' #162349.
[18:04:52	]Frank Furt has given himself a morphine.
[18:04:52	][ME] C24:i1.VICTOR-88: filtreyi kemerine sokuşturur.
[18:04:52	]Frank Furt has gained a 'Morfin' #162354.
[18:04:52	][IC] C24:i3.KING-58: <:: Kesin kulaln. ::>
[18:04:53	]C24:i1.VICTOR-88 ran 'take' on item 'Combine Filter' (#162343)
[18:04:53	]C24:i1.VICTOR-88 has gained a 'Combine Filter' #162343.
[18:04:53	][IC] C24:i3.KING-58: <:: Bunları. ::>
[18:04:54	][IC] C24:i3.KING-58: <:: Al. ::>
[18:04:55	]C24:i1.VICTOR-88 ran 'take' on item 'Combine Filter' (#162342)
[18:04:55	]C24:i1.VICTOR-88 has gained a 'Combine Filter' #162342.
[18:04:57	][ME] C24:i1.TAP-1: filterisini çıkartır ve yerdeki filtreyi alır maskesine takar ardındans ola doğru iyice çeker
[18:04:59	]C24:i1.TAP-1 ran 'EquipUn' on item 'Combine Filter' (#132234)
[18:04:59	]C24:i5.(X)KING-19 ran 'take' on item 'Combine Filter' (#162349)
[18:04:59	]C24:i5.(X)KING-19 has gained a 'Combine Filter' #162349.
[18:05:00	]C24:i1.VICTOR-88 ran 'Equip' on item 'Combine Filter' (#162342)
[18:05:00	]C24:i5.(X)KING-19 ran 'take' on item 'Combine Filter' (#162350)
[18:05:00	]C24:i5.(X)KING-19 has gained a 'Combine Filter' #162350.
[18:05:00	]C24:i5.(X)KING-19 has gained a '17rnd USP Magazine' #147050.
[18:05:00	]C24:i5.(X)KING-19 has lost a '17rnd USP Magazine' #147058.
[18:05:01	][IC] C24:i3.KING-58: <:: 3 5. ::>
[18:05:01	]C24:i1.VICTOR-88 has gained level 7 in the Silahlar skill.
[18:05:01	]C24:i1.VICTOR-88 has critically hit npc_vj_hlrof_gonome in the stomach dealing 13 damage (CritChance was 0.53).
[18:05:01	]C24:i1.VICTOR-88 has hit npc_vj_hlrof_gonome in the chest dealing 12 damage (CritChance was 0.40).
[18:05:02	]C24:i1.VICTOR-88 has critically hit npc_vj_hlrof_gonome in the chest dealing 15 damage (CritChance was 0.40).
[18:05:02	]C24:i1.VICTOR-88 has gained level 8 in the Silahlar skill.
[18:05:02	]C24:i1.VICTOR-88 has critically hit npc_vj_hlrof_gonome in the chest dealing 15 damage (CritChance was 0.40).
[18:05:02	]C24:i1.VICTOR-88 has hit npc_vj_hlrof_gonome in the chest dealing 12 damage (CritChance was 0.40).
[18:05:02	][ME] C24:i1.TAP-1: nefesini tutar
[18:05:02	]C24:i1.VICTOR-88 has hit npc_vj_hlrof_gonome in the chest dealing 12 damage (CritChance was 0.40).
[18:05:02	][IC] Jhony Caston: Kardeşim gelsin.
[18:05:02	]C24:i1.VICTOR-88 has gained level 9 in the Silahlar skill.
[18:05:02	]C24:i1.VICTOR-88 has hit npc_vj_hlrof_gonome in the chest dealing 12 damage (CritChance was 0.40).
[18:05:03	]C24:i1.VICTOR-88 has hit npc_vj_hlrof_gonome in the right arm dealing 6 damage (CritChance was 0.40).
[18:05:03	]C24:i1.VICTOR-88 has hit npc_vj_hlrof_gonome in the right arm dealing 6 damage (CritChance was 0.40).
[18:05:03	]C24:i1.VICTOR-88 has critically hit npc_vj_hlrof_gonome in the head dealing 18 damage (CritChance was 0.13).
[18:05:03	]C24:i3.KING-58 ran 'drop' on item 'Combine Filter' (#162348)
[18:05:03	]C24:i3.KING-58 has lost a 'Combine Filter' #162348.
[18:05:03	]C24:i1.VICTOR-88 has gained level 10 in the Silahlar skill.
[18:05:03	]C24:i1.VICTOR-88 has critically hit npc_vj_hlrof_gonome in the stomach dealing 13 damage (CritChance was 0.53).
[18:05:03	]C24:i1.VICTOR-88 has hit npc_vj_hlrof_gonome in the right arm dealing 6 damage (CritChance was 0.40).
[18:05:03	]C24:i1.VICTOR-88 has hit npc_vj_hlrof_gonome in the right arm dealing 6 damage (CritChance was 0.40).
[18:05:04	]C24:i1.VICTOR-88 has hit npc_vj_hlrof_gonome in the head dealing 15 damage (CritChance was 0.13).
[18:05:04	]C24:i3.KING-58 ran 'drop' on item 'Combine Filter' (#162341)
[18:05:04	]C24:i3.KING-58 has lost a 'Combine Filter' #162341.
[18:05:04	]C24:i1.VICTOR-88 has hit npc_vj_hlrof_gonome in the head dealing 15 damage (CritChance was 0.13).
[18:05:04	]C24:i1.TAP-1 has gained a '20rnd Glock Magazine' #132241.
[18:05:04	]C24:i1.TAP-1 has lost a '20rnd Glock Magazine' #132239.
[18:05:05	][IC] C24:i3.KING-58: <:: Kulaln. ::>
[18:05:05	]C24:i1.VICTOR-88 has gained a '17rnd USP Magazine' #86735.
[18:05:05	]C24:i1.VICTOR-88 has lost a '17rnd USP Magazine' #86738.
[18:05:05	]C24:i3.KING-58 used command '/ToggleRaise'.
[18:05:06	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the chest dealing 10 damage (CritChance was 0.40).
[18:05:06	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the chest dealing 10 damage (CritChance was 0.40).
[18:05:06	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the chest dealing 10 damage (CritChance was 0.40).
[18:05:07	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the head dealing 13 damage (CritChance was 0.13).
[18:05:07	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the head dealing 13 damage (CritChance was 0.13).
[18:05:07	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the chest dealing 10 damage (CritChance was 0.40).
[18:05:07	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the chest dealing 10 damage (CritChance was 0.40).
[18:05:07	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the chest dealing 10 damage (CritChance was 0.40).
[18:05:07	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the chest dealing 10 damage (CritChance was 0.40).
[18:05:07	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the chest dealing 10 damage (CritChance was 0.40).
[18:05:08	]C24:i1.TAP-1 has critically hit npc_vj_hlrof_gonome in the chest dealing 13 damage (CritChance was 0.40).
[18:05:08	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the chest dealing 10 damage (CritChance was 0.40).
[18:05:08	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the chest dealing 10 damage (CritChance was 0.40).
[18:05:08	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the chest dealing 10 damage (CritChance was 0.40).
[18:05:08	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the chest dealing 10 damage (CritChance was 0.40).
[18:05:08	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the chest dealing 10 damage (CritChance was 0.40).
[18:05:08	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the head dealing 13 damage (CritChance was 0.13).
[18:05:08	]C24:i1.TAP-1 has hit npc_vj_hlrof_gonome in the head dealing 13 damage (CritChance was 0.13).
[18:05:09	]C24:i5.UNION-35 ran 'take' on item 'Combine Filter' (#162348)
[18:05:09	]C24:i5.UNION-35 has gained a 'Combine Filter' #162348.
[18:05:10	][IC] Timothy Hudson: Kardeşin mi vardı?
[18:05:11	]C24:i1.TAP-1 ran 'take' on item 'Combine Filter' (#162345)
[18:05:11	]C24:i1.TAP-1 has gained a 'Combine Filter' #162345.
[18:05:11	][IC] C24:i5.UNION-35: <:: Filtrem var. ::>
[18:05:12	][IC] Jhony Caston: O da biraz alıcak.
[18:05:12	]C24:i3.KING-58 ran 'take' on item 'Combine Filter' (#162341)
[18:05:12	]C24:i3.KING-58 has gained a 'Combine Filter' #162341.
[18:05:12	]C24:i1.TAP-1 ran 'take' on item 'Combine Filter' (#162344)
[18:05:12	]C24:i1.TAP-1 has gained a 'Combine Filter' #162344.
[18:05:13	][IC] Jhony Caston: Evet.
[18:05:14	][IC] C24:i3.KING-58: <:: Anlaşıldı. ::>
[18:05:14	]C24:i1.TAP-1 ran 'Equip' on item 'Combine Filter' (#162344)
[18:05:15	]C24:i1.VICTOR-88 used command '/Radio Filtreler için teşekkür ederim!'.
[18:05:15	]C24:i3.KING-58 ran 'Equip' on item 'Combine Filter' (#162346)
[18:05:15	]Güvercin has gained level 21 in the Hız skill.
[18:05:20	][ME] C24:i1.TAP-1: derin nefes alır
[18:05:20	]C24:i1.TAP-1 has gained a '20rnd Glock Magazine' #132239.
[18:05:20	]C24:i1.TAP-1 has lost a '20rnd Glock Magazine' #132238.
[18:05:20	][IC] Garrett Foster: Bana verin hahaha.
[18:05:22	][IC] C24:i3.KING-58: <:: Bouncer mevcut. ::>
[18:05:23	][IC] Timothy Hudson: Vay amına, hiç tanışmadım.
[18:05:23	][IC] C24:i3.KING-58: <:: Bilignize. ::>
[18:05:24	]Frank Furt has given himself a highquality_filter.
[18:05:24	]Frank Furt has gained a 'High-Quality Filter' #162355.
[18:05:25	]Frank Furt ran 'Equip' on item 'High-Quality Filter' (#162355)
[18:05:27	][IC] C24:i1.TAP-1: <:: Hıhı. ::>
[18:05:36	][IC] C24:i3.KING-58: <:: Extractor pardon. ::>
[18:05:37	]Jhony Caston opened the 'Büyük Kutu' #9692 container.
[18:05:39	][IC] C24:i3.KING-58: <:: Bouncer değil. ::>
[18:05:40	][IC] C24:i3.KING-58: <:: Karıştırdım. ::>
[18:05:40	]Frank Furt ran SAM command 'goto' with arguments: 'Slayer'
[18:05:42	][IC] C24:i1.TAP-1: <:: Tamam sen arkada kal. ::>
[18:05:43	]C24:i5.(X)KING-19 used command '/Radio 10-6 zırh yenilemesi'.
[18:05:47	][IC] C24:i1.TAP-1: <:: Beni engelleme. ::>
[18:05:48	]Timothy Hudson ran 'EquipUn' on item 'Bavul' (#127725)
[18:05:50	][IC] C24:i3.KING-58: <:: Anlaşıldı. ::>
[18:05:52	]C24:i1.TAP-1 used command '/Radio 35?'.
[18:05:58	]C24:i1.TAP-1 used command '/Radio durum raporu'.
[18:05:59	]C24:i5.UNION-35 used command '/Radio efendim'.
[18:06:01	]Frank Furt has given himself a dummy_emp.
[18:06:02	]Jhony Caston closed the 'Büyük Kutu' #9692 container.
[18:06:05	]C24:i1.TAP-1 has gained a '20rnd Glock Magazine' #132238.
[18:06:05	]C24:i1.TAP-1 has lost a '20rnd Glock Magazine' #132241.
[18:06:08	]C24:i1.TAP-1 has gained a '20rnd Glock Magazine' #132241.
[18:06:08	]C24:i1.TAP-1 has lost a '20rnd Glock Magazine' #132238.
[18:06:11	]Frank Furt has spawned a dummy_emp.
[18:06:12	][IC] C24:i1.TAP-1: <:: Ah,lanet olsun. ::>
[18:06:12	]Frank Furt ran 'take' on item 'Geliştirilmiş EMP Bombası' (#162356)
[18:06:15	]Frank Furt ran 'take' on item 'Geliştirilmiş EMP Bombası' (#162356)
[18:06:15	]Frank Furt has gained a 'Geliştirilmiş EMP Bombası' #162356.
[18:06:15	]C24:i5.(X)KING-19 ran 'drop' on item 'Hafif Görev Üniforması' (#130698)
[18:06:17	]C24:i1.TAP-1 has gained a 'Glock 26 Subcompact Frame' #132318.
[18:06:17	]C24:i1.TAP-1 has lost a 'Glock 26 Subcompact Frame' #132318.
[18:06:22	]C24:i5.(X)KING-19 ran 'EquipUn' on item 'Combine Filter' (#162301)
[18:06:25	][ME] Güvercin: Guguklar.
[18:06:26	]Goblin [MG] has connected.
[18:06:26	]C24:i5.(X)KING-19 ran 'Equip' on item 'Combine Filter' (#162301)
[18:06:27	]C24:i5.(X)KING-19 ran 'EquipUn' on item 'Combine Filter' (#162301)
[18:06:28	]C24:i5.UNION-35 used command '/Radio kod 100'.
[18:06:33	]C24:i5.(X)KING-19 ran 'drop' on item 'Hafif Görev Üniforması' (#130698)
[18:06:36	]Shane Walsh has unloaded their "C24:i5.(X)KING-19" character.
[18:06:40	]Shane Walsh loaded the character 'C24:i5.(X)KING-19'
[18:06:43	]C24:i3.KING-58 used command '/Radio weapon ready'.
[18:06:48	]Frank Furt used command '/CharEditBodygroup Frank'.
[18:06:49	]C24:i5.(X)KING-19 ran 'drop' on item 'PMG-5 (AUG) Gaz Maskesi' (#157811)
[18:06:49	]C24:i5.(X)KING-19 has lost a 'PMG-5 (AUG) Gaz Maskesi' #157811.
[18:06:56	]C24:i5.(X)KING-19 ran 'take' on item 'PMG-5 (AUG) Gaz Maskesi' (#157811)
[18:06:56	]C24:i5.(X)KING-19 has gained a 'PMG-5 (AUG) Gaz Maskesi' #157811.
[18:07:00	][IC] Garrett Foster: Bazen.
[18:07:01	]Timothy Hudson used command '/ActStand 2'.
[18:07:03	][IC] C24:i5.UNION-35: <:: Sivil kapıdan uzak dur. ::>
[18:07:04	][IC] Garrett Foster: Rüyamda peynir görüyorum.
[18:07:10	]C24:i3.KING-58 used command '/Radio 19'.
[18:07:10	]Kaan has connected.
[18:07:10	]C24:i1.TAP-1 used command '/Radio HARDPOINT PROSECUTE'.
[18:07:11	]C24:i5.(X)KING-19 ran 'Repair' on item 'Hafif Görev Üniforması' (#130698)
[18:07:14	]C24:i3.KING-58 used command '/Radio bütün birimler'.
[18:07:15	]Frank Furt exited observer at their location.
[18:07:20	]C24:i5.(X)KING-19 has changed C24:i5.(X)KING-19's bodygroups.
[18:07:20	]Frank Furt entered observer.
[18:07:22	]Jhony Caston opened the 'Büyük Buzdolabı' #9699 container.
[18:07:23	]C24:i3.KING-58 used command '/Radio size bahşedilen filtreleri kullanın'.
[18:07:24	]Jhony Caston closed the 'Büyük Buzdolabı' #9699 container.
[18:07:26	]C24:i5.(X)KING-19 ran 'Equip' on item 'Combine Filter' (#162301)
[18:07:31	][IC] C24:i1.VICTOR-88: <:: Beraber, çok güçlüyüz ha bir? ::>
[18:07:31	]C24:i3.KING-58 used command '/Radio kapalı alanlardaki birimler kapıları ve camları kapatsın'.
[18:07:34	][IC] C24:i1.TAP-1: <:: Hassiktir! ::>
[18:07:36	][IC] C24:i1.TAP-1: <:: Evet! ::>
[18:07:36	]C24:i3.KING-58 used command '/Radio savunma alanı oluşturun'.
[18:07:37	]Timothy Hudson used command '/ExitAct'.
[18:07:37	][IC] C24:i1.TAP-1: <:: Sonsuza kadar. ::>
[18:07:41	][IC] C24:i1.VICTOR-88: <:: Beraber hareket edersek buradan kurtulabiliriz. ::>
[18:07:42	][IC] C24:i3.KING-58: <:: Şehir git gide çöküyor. ::>
[18:07:44	][IC] C24:i3.KING-58: <:: Zaten. ::>
[18:07:46	]Jhony Caston used command '/ActDown'.
[18:07:48	]E-RP SLAYER has spawned a 'NPC [6457][npc_fastzombie]'.
[18:07:49	]E-RP SLAYER has spawned a 'NPC [6458][npc_fastzombie]'.
[18:07:49	][IC] C24:i3.KING-58: <:: Bu salgından belliydi. ::>
[18:07:50	]E-RP SLAYER has spawned a 'NPC [6459][npc_fastzombie]'.
[18:07:51	]E-RP SLAYER has fired a toolgun with the name: vjstool_npcmover
[18:07:58	]C24:i1.VICTOR-88 has gained level 11 in the Silahlar skill.
[18:07:58	]C24:i1.VICTOR-88 has critically hit npc_fastzombie dealing 12 damage (CritChance was 0.66).
[18:07:58	]C24:i1.VICTOR-88 has critically hit npc_fastzombie dealing 12 damage (CritChance was 0.66).
[18:07:58	]C24:i1.VICTOR-88 has critically hit npc_fastzombie dealing 12 damage (CritChance was 0.66).
[18:07:59	]C24:i3.KING-58 has critically hit npc_fastzombie dealing 8 damage (CritChance was 0.72).
[18:07:59	]C24:i3.KING-58 has critically hit npc_fastzombie dealing 8 damage (CritChance was 0.72).
[18:07:59	]C24:i1.TAP-1 has gained a '8rnd Shotgun Magazine' #156809.
[18:07:59	]C24:i1.TAP-1 has lost a '8rnd Shotgun Magazine' #156808.
[18:07:59	]C24:i3.KING-58 has hit npc_fastzombie in the head dealing 10 damage (CritChance was 0.14).
[18:08:00	]C24:i3.KING-58 has hit npc_fastzombie in the head dealing 10 damage (CritChance was 0.14).
[18:08:01	]C24:i1.TAP-1 used command '/ToggleRaise'.
[18:08:01	]C24:i1.VICTOR-88 has gained level 12 in the Silahlar skill.
[18:08:01	]C24:i1.VICTOR-88 has critically hit npc_fastzombie dealing 12 damage (CritChance was 0.66).
[18:08:01	]E-RP SLAYER has spawned a 'NPC [6459][npc_fastzombie]'.
[18:08:02	]C24:i3.KING-58 has hit npc_fastzombie in the head dealing 10 damage (CritChance was 0.14).
[18:08:02	]C24:i3.KING-58 has hit npc_fastzombie in the head dealing 10 damage (CritChance was 0.14).
[18:08:02	]C24:i3.KING-58 has critically hit npc_fastzombie dealing 8 damage (CritChance was 0.72).
[18:08:02	]C24:i1.TAP-1 used command '/ToggleRaise'.
[18:08:02	]C24:i3.KING-58 has critically hit npc_fastzombie dealing 8 damage (CritChance was 0.72).
[18:08:02	]C24:i3.KING-58 has hit npc_fastzombie dealing 6 damage (CritChance was 0.72).
[18:08:02	]C24:i3.KING-58 has hit npc_headcrab_fast dealing 6 damage (CritChance was 0.72).
[18:08:03	]C24:i1.VICTOR-88 has gained a '17rnd USP Magazine' #86738.
[18:08:03	]C24:i1.VICTOR-88 has lost a '17rnd USP Magazine' #86737.
[18:08:04	]E-RP SLAYER has spawned a 'NPC [6457][npc_fastzombie]'.
[18:08:04	]C24:i1.TAP-1 has hit npc_fastzombie dealing 6 damage (CritChance was 0.60).
[18:08:04	]C24:i1.TAP-1 has critically hit npc_fastzombie dealing 8 damage (CritChance was 0.60).
[18:08:04	]C24:i1.TAP-1 has hit npc_fastzombie dealing 6 damage (CritChance was 0.60).
[18:08:04	]C24:i1.TAP-1 has critically hit npc_fastzombie dealing 8 damage (CritChance was 0.60).
[18:08:04	]C24:i1.TAP-1 has hit npc_fastzombie dealing 6 damage (CritChance was 0.60).
[18:08:04	]C24:i1.TAP-1 has critically hit npc_fastzombie dealing 8 damage (CritChance was 0.60).
[18:08:04	]C24:i1.TAP-1 has critically hit npc_fastzombie dealing 8 damage (CritChance was 0.60).
[18:08:05	]C24:i1.TAP-1 has taken 5 damage from npc_fastzombie.
[18:08:05	]C24:i3.KING-58 used command '/ToggleRaise'.
[18:08:05	]E-RP SLAYER has spawned a 'NPC [6487][npc_fastzombie]'.
[18:08:06	]C24:i1.TAP-1 is fully healed.
[18:08:07	]C24:i3.KING-58 has critically hit npc_fastzombie dealing 12 damage (CritChance was 0.66).
[18:08:07	]C24:i3.KING-58 has hit npc_headcrab_fast dealing 9 damage (CritChance was 0.66).
[18:08:07	]C24:i3.KING-58 has critically hit npc_headcrab_fast dealing 12 damage (CritChance was 0.66).
[18:08:07	]C24:i5.(X)KING-19 has gained a '17rnd USP Magazine' #147058.
[18:08:07	]C24:i5.(X)KING-19 has lost a '17rnd USP Magazine' #147050.
[18:08:09	][IC] C24:i1.TAP-1: <:: Hassiktir! ::>
[18:08:10	]C24:i1.VICTOR-88 has taken 3 damage from npc_fastzombie.
[18:08:10	]C24:i1.VICTOR-88 has critically hit npc_fastzombie dealing 12 damage (CritChance was 0.66).
[18:08:10	]C24:i1.VICTOR-88 has gained level 13 in the Silahlar skill.
[18:08:10	]C24:i1.VICTOR-88 has critically hit npc_fastzombie dealing 12 damage (CritChance was 0.66).
[18:08:10	]C24:i1.VICTOR-88 has taken 3 damage from npc_fastzombie.
[18:08:10	]C24:i1.TAP-1 has hit npc_fastzombie dealing 6 damage (CritChance was 0.60).
[18:08:10	]C24:i1.TAP-1 has critically hit npc_fastzombie dealing 8 damage (CritChance was 0.60).
[18:08:10	]C24:i1.TAP-1 has critically hit npc_fastzombie dealing 8 damage (CritChance was 0.60).
[18:08:10	]C24:i1.VICTOR-88 has critically hit npc_fastzombie dealing 12 damage (CritChance was 0.66).
[18:08:11	]C24:i1.VICTOR-88 has hit npc_fastzombie in the head dealing 15 damage (CritChance was 0.13).
[18:08:12	]C24:i1.VICTOR-88 has gained a '17rnd USP Magazine' #86737.
[18:08:12	]C24:i1.VICTOR-88 has lost a '17rnd USP Magazine' #86736.
[18:08:13	]C24:i3.KING-58 has lost a '17rnd USP Magazine' #160939.
[18:08:13	]C24:i3.KING-58 has gained a '17rnd USP Magazine' #160940.
[18:08:13	]C24:i1.VICTOR-88 is fully healed.
[18:08:15	][Y] C24:i1.TAP-1: <:: Hayatını kurtardım! 88. ::>
[18:08:16	]E-RP SLAYER has spawned a 'NPC [6459][npc_fastzombie]'.
[18:08:16	][IC] C24:i1.TAP-1: <:: Haha. ::>
[18:08:17	]C24:i1.VICTOR-88 has critically hit npc_fastzombie dealing 12 damage (CritChance was 0.66).
[18:08:18	]C24:i1.TAP-1 has gained a '8rnd Shotgun Magazine' #156808.
[18:08:18	]C24:i1.TAP-1 has lost a '8rnd Shotgun Magazine' #156809.
[18:08:19	]Kaan loaded the character 'Alfred Caston'
[18:08:20	]Garrett Foster has spawned 'models/props_junk/Shoe001a.mdl'.
[18:08:20	][IC] Jhony Caston: Cok yoruldum dostum.
[18:08:21	]C24:i5.(X)KING-19 has critically hit npc_fastzombie dealing 12 damage (CritChance was 0.66).
[18:08:21	]C24:i5.(X)KING-19 has critically hit npc_fastzombie dealing 12 damage (CritChance was 0.66).
[18:08:21	]C24:i3.KING-58 has hit npc_fastzombie dealing 9 damage (CritChance was 0.66).
[18:08:21	]C24:i3.KING-58 has critically hit npc_fastzombie in the head dealing 18 damage (CritChance was 0.13).
[18:08:22	][LOOC] Timothy Hudson: şantiye ustası dinleniyor rp mi bu
