[21:46:12	]Lorf has connected.
[22:09:33	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:34	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:34	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:34	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:34	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:34	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:34	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:34	]C17:RCT.YELLO-50 has taken 20 damage from npc_antlionguard.
[22:09:35	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:35	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:35	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:35	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:36	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:36	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:36	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:36	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:36	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:36	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:36	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:36	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:36	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:36	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:36	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:36	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:36	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:38	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:38	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:38	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:38	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:38	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:38	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:42	]C17:RCT.YELLO-50 has taken 20 damage from npc_antlionguard.
[22:09:44	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:44	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:44	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:44	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:45	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:45	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:45	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:45	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:45	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:45	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:46	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:46	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:46	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:46	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:46	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:46	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:46	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:46	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:46	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:46	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:46	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:46	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:46	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:46	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:47	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:47	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:47	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:47	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:47	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:47	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:47	]C17:RCT.YELLO-50 has taken 10 damage from npc_antlionguard.
[22:09:47	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:47	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:47	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:47	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:10:26	]C17:RCT.YELLO-50 has given himself a tool_knife.
[22:10:26	]C17:RCT.YELLO-50 has gained a 'Kitchen Knife' #3889.
[22:10:50	]C17:RCT.YELLO-50 has given himself a tool_toolkit.
[22:10:50	]C17:RCT.YELLO-50 has gained a 'Toolkit' #3890.
[22:10:51	]C17:RCT.YELLO-50 has given himself a tool_spoon.
[22:10:51	]C17:RCT.YELLO-50 has gained a 'Kitchen Spoon' #3891.
[22:10:52	]C17:RCT.YELLO-50 has given himself a tool_scissors.
[22:10:52	]C17:RCT.YELLO-50 has gained a 'Scissors' #3892.
[22:11:06	]C17:RCT.YELLO-50 has given himself a fireaxe.
[22:11:06	]C17:RCT.YELLO-50 has gained a 'Fire Axe' #3893.
[22:11:14	]C17:RCT.YELLO-50 has given himself a fireaxe.
[22:11:14	]C17:RCT.YELLO-50 has gained a 'Fire Axe' #3894.
[22:11:16	]C17:RCT.YELLO-50 has given himself a hatchet.
[22:11:16	]C17:RCT.YELLO-50 has gained a 'Hatchet' #3895.
[22:11:18	]C17:RCT.YELLO-50 ran 'Equip' on item 'Hatchet' (#3895)
[22:11:22	]C17:RCT.YELLO-50 has gained a 'Raw Antlion Meat' #3896.
[22:11:23	]C17:RCT.YELLO-50 has gained a 'Raw Antlion Meat' #3897.
[22:11:24	]C17:RCT.YELLO-50 has gained a 'Raw Antlion Meat' #3898.
[22:11:27	]C17:RCT.YELLO-50 has gained a 'Raw Antlion Meat' #3899.
[22:11:28	]C17:RCT.YELLO-50 has gained a 'Raw Antlion Meat' #3900.
[22:11:29	]C17:RCT.YELLO-50 has gained a 'Raw Antlion Meat' #3901.
[22:11:30	]C17:RCT.YELLO-50 has gained a 'Raw Antlion Meat' #3902.
[22:11:31	]C17:RCT.YELLO-50 has gained a 'Raw Antlion Meat' #3903.
[22:11:32	]C17:RCT.YELLO-50 has gained a 'Raw Antlion Meat' #3904.
[22:11:33	]C17:RCT.YELLO-50 has gained a 'Raw Antlion Meat' #3905.
[22:11:46	]C17:RCT.YELLO-50 ran 'Consume' on item 'Raw Antlion Meat' (#3900)
[22:11:47	]C17:RCT.YELLO-50 ran 'Consume' on item 'Raw Antlion Meat' (#3900)
[22:11:48	]C17:RCT.YELLO-50 ran 'Consume' on item 'Raw Antlion Meat' (#3896)
[22:12:12	]C17:RCT.YELLO-50 has spawned a 'NPC [502][npc_zombie]'.
[22:12:14	]C17:RCT.YELLO-50 has critically hit npc_zombie dealing 60 damage (CritChance was 0.80).
[22:12:22	]C17:RCT.YELLO-50 has spawned a 'NPC [502][npc_fastzombie]'.
[22:12:24	]C17:RCT.YELLO-50 has taken 3 damage from npc_fastzombie.
[22:12:24	]C17:RCT.YELLO-50 has taken 3 damage from npc_fastzombie.
[22:12:24	]C17:RCT.YELLO-50 has critically hit npc_fastzombie dealing 60 damage (CritChance was 0.80).
[22:12:29	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_antlion_burrowed]'.
[22:12:31	]C17:RCT.YELLO-50 has taken 5 damage from npc_antlion.
[22:12:32	]C17:RCT.YELLO-50 has hit npc_antlion dealing 48 damage (CritChance was 0.80).
[22:12:34	]C17:RCT.YELLO-50 has gained a 'Raw Antlion Meat' #3906.
[22:12:36	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_zombie_slump]'.
[22:12:46	]C17:RCT.YELLO-50 has critically hit npc_zombie dealing 60 damage (CritChance was 0.80).
[22:12:53	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_antlionguard_burrowed]'.
[22:12:55	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_antlion_burrowed]'.
[22:12:58	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_antlion_burrowed]'.
[22:13:00	]C17:RCT.YELLO-50 has spawned a 'Entity [507][npc_antlion_burrowed]'.
[22:13:02	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_antlion_burrowed]'.
[22:13:03	]C17:RCT.YELLO-50 entered observer.
[22:13:07	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_antlion_burrowed]'.
[22:13:09	]C17:RCT.YELLO-50 has spawned a 'Entity [507][npc_antlion_burrowed]'.
[22:13:19	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_antlionworker_burrowed]'.
[22:13:22	]C17:RCT.YELLO-50 has critically hit npc_antlion dealing 24 damage (CritChance was 0.80).
[22:13:24	]C17:RCT.YELLO-50 has spawned a 'Entity [507][npc_antlionworker_burrowed]'.
[22:13:25	]C17:RCT.YELLO-50 exited observer at their location.
[22:13:40	]C17:RCT.YELLO-50 has critically hit npc_antlion dealing 24 damage (CritChance was 0.80).
[22:13:41	]C17:RCT.YELLO-50 has critically hit npc_antlion dealing 24 damage (CritChance was 0.80).
[22:13:44	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_caveguard_burrowed]'.
[22:13:48	]C17:RCT.YELLO-50 has taken 10 damage from npc_antlionguard.
[22:13:48	]C17:RCT.YELLO-50 has taken 10 damage from npc_antlionguard.
[22:13:52	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_fastzombie_slump_a]'.
[22:13:56	]C17:RCT.YELLO-50 entered observer.
[22:13:59	]C17:RCT.YELLO-50 has spawned a 'Entity [509][npc_fastzombie_slump_a]'.
[22:14:02	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_fastzombie_slump_b]'.
[22:14:05	]C17:RCT.YELLO-50 has critically hit npc_fastzombie dealing 24 damage (CritChance was 0.80).
[22:14:07	]C17:RCT.YELLO-50 has critically hit npc_fastzombie in the head dealing 24 damage (CritChance was 0.80).
[22:14:09	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_fastzombie_slump_c]'.
[22:14:11	]C17:RCT.YELLO-50 has spawned a 'Entity [510][npc_headcrab_burrowed]'.
[22:14:16	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_poisonzombie_slump]'.
[22:14:20	]C17:RCT.YELLO-50 has spawned a 'Entity [509][npc_poisonzombie_slump]'.
[22:14:25	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_zombierun_prone]'.
[22:14:28	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_zombierun_slump]'.
[22:14:30	]C17:RCT.YELLO-50 has spawned a 'Entity [510][npc_zombie_prone]'.
[22:14:33	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_zombie_slump]'.
[22:14:37	]C17:RCT.YELLO-50 has spawned a 'Entity [510][npc_zombie_slump_attack]'.
[22:14:45	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_zombine_prone]'.
[22:14:49	]C17:RCT.YELLO-50 has critically hit npc_zombine dealing 24 damage (CritChance was 0.80).
[22:14:50	]C17:RCT.YELLO-50 exited observer at their location.
[22:14:52	]C17:RCT.YELLO-50 has hit npc_zombine dealing 19 damage (CritChance was 0.80).
[22:14:54	]C17:RCT.YELLO-50 has critically hit npc_zombine dealing 24 damage (CritChance was 0.80).
[22:14:55	]C17:RCT.YELLO-50 has hit npc_zombine dealing 19 damage (CritChance was 0.80).
[22:14:57	]C17:RCT.YELLO-50 has hit npc_zombine dealing 48 damage (CritChance was 0.80).
[22:14:59	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_zombine_slump]'.
[22:15:02	]C17:RCT.YELLO-50 has critically hit npc_zombine dealing 60 damage (CritChance was 0.80).
[22:15:04	]C17:RCT.YELLO-50 has critically hit npc_zombine dealing 60 damage (CritChance was 0.80).
[22:15:06	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_zombine_slump_attack]'.
[22:15:11	]C17:RCT.YELLO-50 has critically hit npc_zombine dealing 24 damage (CritChance was 0.80).
[22:15:12	]C17:RCT.YELLO-50 has critically hit npc_zombine dealing 24 damage (CritChance was 0.80).
[22:15:13	]C17:RCT.YELLO-50 has critically hit npc_zombine dealing 24 damage (CritChance was 0.80).
[22:15:14	]C17:RCT.YELLO-50 has critically hit npc_zombine dealing 24 damage (CritChance was 0.80).
[22:15:15	]C17:RCT.YELLO-50 has hit npc_zombine dealing 19 damage (CritChance was 0.80).
[22:15:17	]C17:RCT.YELLO-50 has spawned a 'Entity [502][npc_zombie_slump_attack]'.
[22:15:20	]C17:RCT.YELLO-50 has critically hit npc_zombie in the chest dealing 24 damage (CritChance was 0.80).
[22:15:22	]C17:RCT.YELLO-50 has hit npc_zombie in the head dealing 19 damage (CritChance was 0.80).
[22:15:31	]C17:RCT.YELLO-50 has spawned a 'NPC [502][npc_gman]'.
[22:15:36	]C17:RCT.YELLO-50 has hit npc_gman in the head dealing 8 damage (CritChance was 0.80).
[22:15:42	]C17:RCT.YELLO-50 has used a context menu option with the name: bodygroups
[22:15:47	]C17:RCT.YELLO-50 has used a context menu option with the name: bodygroups
[22:15:50	]C17:RCT.YELLO-50 has used a context menu option with the name: rb655_dissolve
[22:15:55	]C17:RCT.YELLO-50 has spawned a 'NPC [502][npc_gman]'.
[22:16:02	]C17:RCT.YELLO-50 has spawned a 'NPC [505][npc_mossman]'.
[22:16:04	]C17:RCT.YELLO-50 has used a context menu option with the name: rb655_dissolve
[22:16:09	]C17:RCT.YELLO-50 has used a context menu option with the name: rb655_dissolve
[22:16:18	]C17:RCT.YELLO-50 ran 'Bolt' on item 'Vehicle Workbench' (#3714)
[22:16:33	]C17:RCT.YELLO-50 ran 'PackUp' on item 'Vehicle Workbench' (#3714)
[22:16:35	]C17:RCT.YELLO-50 ran 'UnBolt' on item 'Vehicle Workbench' (#3714)
[22:16:37	]C17:RCT.YELLO-50 ran 'Use' on item 'Vehicle Workbench' (#3714)
[22:16:43	]C17:RCT.YELLO-50 entered observer.
[22:16:44	]C17:RCT.YELLO-50 exited observer at their location.
[22:16:45	]C17:RCT.YELLO-50 entered observer.
[22:16:52	]C17:RCT.YELLO-50 exited observer at their location.
[22:16:54	]C17:RCT.YELLO-50 entered observer.
[22:17:06	]C17:RCT.YELLO-50 exited observer at their location.
[22:17:08	]C17:RCT.YELLO-50 entered observer.
[22:17:09	]C17:RCT.YELLO-50 exited observer at their location.
[22:17:12	]C17:RCT.YELLO-50 entered observer.
[22:17:13	]C17:RCT.YELLO-50 exited observer at their location.
[22:17:14	]C17:RCT.YELLO-50 entered observer.
[22:17:15	]C17:RCT.YELLO-50 exited observer at their location.
[22:17:21	]C17:RCT.YELLO-50 entered observer.
[22:17:22	]C17:RCT.YELLO-50 exited observer at their location.
[22:17:24	]C17:RCT.YELLO-50 was knocked unconscious and is bleeding out.
[22:17:40	]C17:RCT.YELLO-50 was just killed due to: accepting their death
[22:17:43	]C17:RCT.YELLO-50 entered observer.
[22:17:47	]C17:RCT.YELLO-50 exited observer at their location.
[22:17:47	]C17:RCT.YELLO-50 entered observer.
[22:17:54	]C17:RCT.YELLO-50 has spawned a 'NPC [472][npc_vj_zombiearmor]'.
[22:17:57	]C17:RCT.YELLO-50 has spawned a 'NPC [475][npc_vj_zombiegiant]'.
[22:17:59	]C17:RCT.YELLO-50 exited observer at their location.
[22:18:02	]C17:RCT.YELLO-50 entered observer.
[22:18:08	]C17:RCT.YELLO-50 has spawned a 'NPC [479][npc_vj_zombiesuper]'.
[22:18:12	]C17:RCT.YELLO-50 exited observer at their location.
[22:18:20	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the left arm dealing 0 damage (CritChance was 0.84).
[22:18:20	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the left arm dealing 8 damage (CritChance was 0.84).
[22:18:20	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the left arm dealing 0 damage (CritChance was 0.84).
[22:18:20	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the left arm dealing 8 damage (CritChance was 0.84).
[22:18:20	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the stomach dealing 0 damage (CritChance was 0.84).
[22:18:20	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the stomach dealing 9 damage (CritChance was 0.84).
[22:18:20	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the left arm dealing 0 damage (CritChance was 0.84).
[22:18:20	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the left arm dealing 8 damage (CritChance was 0.84).
[22:18:20	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the chest dealing 9 damage (CritChance was 0.84).
[22:18:20	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the left arm dealing 8 damage (CritChance was 0.84).
[22:18:21	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the head dealing 0 damage (CritChance was 0.84).
[22:18:21	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the head dealing 10 damage (CritChance was 0.84).
[22:18:21	]C17:RCT.YELLO-50 has hit npc_vj_zombiearmor in the head dealing 0 damage (CritChance was 0.84).
[22:18:21	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the head dealing 10 damage (CritChance was 0.84).
[22:18:21	]C17:RCT.YELLO-50 has hit npc_vj_zombiearmor in the head dealing 0 damage (CritChance was 0.84).
[22:18:21	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the head dealing 10 damage (CritChance was 0.84).
[22:18:21	]C17:RCT.YELLO-50 has hit npc_vj_zombiearmor in the head dealing 0 damage (CritChance was 0.84).
[22:18:21	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the head dealing 10 damage (CritChance was 0.84).
[22:18:21	]C17:RCT.YELLO-50 has hit npc_vj_zombiearmor in the head dealing 5 damage (CritChance was 0.84).
[22:18:21	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the head dealing 0 damage (CritChance was 0.84).
[22:18:21	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiearmor in the head dealing 10 damage (CritChance was 0.84).
[22:18:22	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiegiant in the head dealing 0 damage (CritChance was 0.84).
[22:18:22	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiegiant in the head dealing 4 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the chest dealing 9 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has hit npc_vj_zombiesuper in the head dealing 5 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the chest dealing 0 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the chest dealing 9 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has hit npc_vj_zombiesuper in the chest dealing 0 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the chest dealing 9 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the chest dealing 0 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has hit npc_vj_zombiesuper in the chest dealing 6 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the chest dealing 0 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the chest dealing 9 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has hit npc_vj_zombiesuper in the chest dealing 0 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the chest dealing 9 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:23	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has hit npc_vj_zombiesuper in the head dealing 5 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:24	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:25	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:25	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:25	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the chest dealing 9 damage (CritChance was 0.84).
[22:18:25	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the chest dealing 9 damage (CritChance was 0.84).
[22:18:25	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 0 damage (CritChance was 0.84).
[22:18:25	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:25	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the head dealing 10 damage (CritChance was 0.84).
[22:18:25	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiesuper in the chest dealing 9 damage (CritChance was 0.84).
[22:18:25	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiegiant in the left leg dealing 0 damage (CritChance was 0.84).
[22:18:25	]C17:RCT.YELLO-50 has critically hit npc_vj_zombiegiant in the left leg dealing 9 damage (CritChance was 0.84).
