[14:56:28	]Guilgouille s'est connecté.
[15:16:34	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:35	]Guilgouille a subi 5 dégâts de worldspawn.
[15:16:35	]Guilgouille a activé le mode observateur.
[15:16:36	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:37	]Guilgouille a activé le mode observateur.
[15:16:37	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:38	]Guilgouille a activé le mode observateur.
[15:16:39	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:40	]Guilgouille a activé le mode observateur.
[15:16:40	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:41	]Guilgouille a activé le mode observateur.
[15:16:41	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:44	]Guilgouille a activé le mode observateur.
[15:16:44	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:45	]Guilgouille a activé le mode observateur.
[15:16:45	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:47	]Guilgouille a activé le mode observateur.
[15:16:47	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:48	]Guilgouille a activé le mode observateur.
[15:16:48	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:49	]Guilgouille a activé le mode observateur.
[15:16:50	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:51	]Guilgouille a activé le mode observateur.
[15:16:51	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:52	]Guilgouille a activé le mode observateur.
[15:16:52	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:53	]Guilgouille s'est give frag_grenade.
[15:16:53	]Guilgouille a gagné un 'Grenade à fragmentation' #199441.
[15:16:54	]Guilgouille a exécuté 'Equip' sur l'article 'Grenade à fragmentation' (#199441)
[15:17:00	][DEBUG-WEPBAL] Chance: 0.000; Roll: 0.853; Result: HIT;
[15:17:00	][DEBUG-WEPBAL] Chance: 0.000; Roll: 0.178; Result: HIT;
[15:17:01	]Guilgouille s'est give incendiary_grenade.
[15:17:01	]Guilgouille a gagné un 'Grenade incendiaire' #199442.
[15:17:02	]Guilgouille a exécuté 'Equip' sur l'article 'Grenade incendiaire' (#199442)
[15:17:07	]Guilgouille a activé le mode observateur.
[15:17:07	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:17:08	]Guilgouille a activé le mode observateur.
[15:17:09	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:17:11	]Guilgouille s'est give flash_grenade.
[15:17:11	]Guilgouille a gagné un 'Grenade Flash' #199443.
[15:17:14	]Guilgouille a exécuté 'Equip' sur l'article 'Grenade Flash' (#199443)
[15:17:26	]Guilgouille (STEAM_0:0:93399942) s'est déconnecté.
