[13:28:08	]DavşanAbi has connected.
[17:00:51	][IC] Daniel Reynolds: Xen_web.
[17:00:53	][IC] Daniel Reynolds: Yaz.
[17:00:54	][IC] Daniel Reynolds: Çıkar.
[17:00:55	]Lynx loaded the character 'Harry Gutenberg'
[17:00:57	][IC] C24:i1.HELIX-12: <:: Meslektaşınsa üstlerine bildir. ::>
[17:00:58	]Daniel Reynolds has spawned 'models/jq/hlvr/props/xenpack/xen_web_floor_wall001.mdl'.
[17:01:00	]Harry Gutenberg is fully healed.
[17:01:01	]Bigman94 (TR) has connected.
[17:01:02	][IC] C24:i1.HELIX-12: <:: Sivilse çalmadan yargıla. ::>
[17:01:02	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_barrel_mush_floor03.mdl'.
[17:01:04	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_clusterpod_008.mdl'.
[17:01:06	][IC] C24:RCT.YELLO-59: <:: Anladım. ::>
[17:01:07	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[17:01:07	][IT] Ali Bayraktar: öbür kapıyıda aç ama kontrol etmeyi unutma
[17:01:08	][ME] muhamet sofracıbaşı: bilgisayar oynuyomuş gibi davranır
[17:01:08	]civilnetworks.net sadscientist loaded the character 'Mark Chekov'
[17:01:09	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_vort_plant.mdl'.
[17:01:09	][IC] C24:i1.HELIX-12: <:: Suçlarda hırsızlık hakkında ne yapman gerektiği yazıyor. ::>
[17:01:10	][IT] Ali Bayraktar: ölmeni istemem
[17:01:11	]Daniel Reynolds has spawned 'models/jq/hlvr/props/xenpack/xen_web_cone001.mdl'.
[17:01:11	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_pod_structure001.mdl'.
[17:01:14	][IT] Ali Bayraktar: seni burdan çıkarıam
[17:01:15	]C24:i1.HELIX-12 ran 'Consume' on item 'Metropolice Takviyeleri' (#41672)
[17:01:15	]C24:i1.HELIX-12 extended their level 3 long boost in Güç.
[17:01:16	]C24:i1.HELIX-12 ran 'Consume' on item 'Soda Bob Brawn' (#41673)
[17:01:16	]C24:i1.HELIX-12 extended their level 1 long boost in Algı.
[17:01:16	]C24:i1.HELIX-12 extended their level 2 long boost in Çeviklik.
[17:01:20	][ME] Muhammed Anderson: kapıyı hafifce aralık açar ve kontrol eder
[17:01:21	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_barrel_tendrils.mdl'.
[17:01:26	][IT] Ali Bayraktar: temiz
[17:01:31	][ME] Muhammed Anderson: güçlü bir şekilde ittirir
[17:01:32	]Ali Bayraktar has used a context menu option with the name: rb655_door_unlock
[17:01:34	]Daniel Reynolds has spawned 'models/jq/hlvr/props/xenpack/xen_web_mid.mdl'.
[17:01:35	]Daniel Reynolds has spawned 'models/jq/hlvr/props/xenpack/xen_web_wide.mdl'.
[17:01:37	]C24:i1.HELIX-12 ran 'Use' on item '20 Kredi Kuponu' (#41226)
[17:01:38	]deathguard loaded the character 'muhamet özgürtaş'
[17:01:39	]C24:i1.HELIX-12 has used a coupon at a ration dispenser, gaining 20 credits.
[17:01:40	][ME] Muhammed Anderson: kapıyı hafifce aralık açar ve kontrol eder
[17:01:41	][IT] Ali Bayraktar: tamam
[17:01:42	]Harry Gutenberg used command '/ActLean 2'.
[17:01:47	][IC] C24:i1.HELIX-12: <:: Kredini burada kullanıp hesabına işletebilirsin. ::>
[17:01:48	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_web_floor_wall001.mdl'.
[17:01:49	][IT] Ali Bayraktar: şimdi burayıda kontrol et 
[17:01:49	]C24:i1.HELIX-12 ran 'Use' on item '20 Kredi Kuponu' (#41674)
[17:01:51	]C24:i1.HELIX-12 has used a coupon at a ration dispenser, gaining 20 credits.
[17:01:52	][IT] Norgaun: içeride kimse yok
[17:01:52	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_web_corner_small005.mdl'.
[17:01:52	][IT] Ali Bayraktar: tabi kapı varsa
[17:01:54	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_web_corner_small003.mdl'.
[17:01:54	][IC] muhamet özgürtaş: Wilde falan nerede.
[17:01:54	]Hoo Lee Fuk [MG] (STEAM_0:0:479033164) has disconnected.
[17:01:55	][IT] Ali Bayraktar: en son vardı
[17:01:56	]Daniel Reynolds has enabled persistence for 'models/jq/hlvr/props/xenpack/xen_web_mid.mdl'.
[17:01:56	]Daniel Reynolds has used a context menu option with the name: persist
[17:01:56	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_web_cone001.mdl'.
[17:01:57	]Daniel Reynolds has enabled persistence for 'models/jq/hlvr/props/xenpack/xen_web_cone001.mdl'.
[17:01:57	]Daniel Reynolds has used a context menu option with the name: persist
[17:01:58	]Mark Chekov is fully healed.
[17:02:00	]CWU:INDUSTRIAL.4543 entered observer.
[17:02:01	]CWU:INDUSTRIAL.4543 exited observer at their location.
[17:02:02	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_web_floor_wall001.mdl'.
[17:02:04	][IT] Ali Bayraktar: şimdi beni iyi dinle
[17:02:05	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_strand_anchor008.mdl'.
[17:02:08	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_strand_anchor005.mdl'.
[17:02:11	]Bigman94 (TR) (STEAM_0:1:557868548) has disconnected.
[17:02:12	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_strand_anchor004.mdl'.
[17:02:13	][IT] Ali Bayraktar: seni karşılayacağım
[17:02:13	]Norgaun ran SAM command 'asay' with arguments: 'sinyor /itleri kullanırken başına 'telsizden:' diye ekle'
[17:02:16	]Norgaun ran SAM command 'asay' with arguments: 'gmlerle karışmasın'
[17:02:19	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_fungus_seedling02.mdl'.
[17:02:21	]deathguard loaded the character 'muhamet sofracıbaşı'
[17:02:22	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_coral_01.mdl'.
[17:02:23	][LOOC] C24:i1.HELIX-12: Kredine sağ tıkla
[17:02:27	][ME] Muhammed Anderson: kusacak gibi bir ses çıkarır
[17:02:27	][LOOC] C24:i1.HELIX-12: Makineye bakarak
[17:02:29	]Daniel Reynolds has spawned 'models/jq/hlvr/props/xenpack/xen_wallpod001b.mdl'.
[17:02:31	][LOOC] C24:i1.HELIX-12: Kullan de
[17:02:32	][IT] Ali Bayraktar: Telsizden: ne oldu?
[17:02:33	]Williams  O'Sullivan ran 'take' on item 'Boş Kahverengi Şişe' (#41675)
[17:02:33	]Williams  O'Sullivan has gained a 'Boş Kahverengi Şişe' #41675.
[17:02:34	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_small_mold_cluster_1.mdl'.
[17:02:37	]Williams  O'Sullivan ran 'take' on item 'Hurda Metal' (#41676)
[17:02:37	]Williams  O'Sullivan has gained a 'Hurda Metal' #41676.
[17:02:39	]CWU:INDUSTRIAL.4543 has used a context menu option with the name: remove
[17:02:40	][LOOC] C24:i1.HELIX-12: Makineye e basma kredine sağ tıkla
[17:02:41	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001.mdl'.
[17:02:46	][IT] Ali Bayraktar: Telsizden: lanet olsun...
[17:02:49	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001.mdl'.
[17:02:50	]Daniel Reynolds has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001_filled.mdl'.
[17:02:53	]Jerry Lawyer exited observer at their location.
[17:02:56	]CWU:INDUSTRIAL.4543 entered observer.
[17:02:58	]CWU:INDUSTRIAL.4543 exited observer at their location.
[17:02:58	][LOOC] C24:i1.HELIX-12: Kredi kuponun var ya inventory'de
[17:02:58	][IT] Ali Bayraktar: Telsizden: pekala bir demir kapı olması gerek
[17:02:58	][LOOC] C24:RCT.YELLO-59: kredi chips mi oluyor
[17:03:01	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001.mdl'.
[17:03:02	][LOOC] C24:i1.HELIX-12: hayır
[17:03:05	]muhamet sofracıbaşı opened the 'Trash Bin' #2829 container.
[17:03:07	]muhamet sofracıbaşı closed the 'Trash Bin' #2829 container.
[17:03:09	][IT] Ali Bayraktar: Telsizden: aç onu
[17:03:16	]Daniel Reynolds has spawned 'models/jq/hlvr/props/xenpack/xen_web_floor_wall001.mdl'.
[17:03:18	]C24:i1.HELIX-12 has spawned a 5_coupon.
[17:03:18	][ME] Muhammed Anderson: güçlü bir şekilde kolu açmak için ittirir
[17:03:19	]Daniel Reynolds has spawned 'models/jq/hlvr/props/xenpack/xen_web_corner_small004.mdl'.
[17:03:19	][IC] C24:i1.HELIX-12: <:: Al bunu. ::>
[17:03:20	]Ali Bayraktar has used a context menu option with the name: rb655_door_open
[17:03:20	]Daniel Reynolds has spawned 'models/jq/hlvr/props/xenpack/xen_web_corner_small003.mdl'.
[17:03:21	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001.mdl'.
[17:03:22	][IC] C24:i1.HELIX-12: <:: Yerde. ::>
[17:03:25	]C24:RCT.YELLO-59 ran 'take' on item '5 Kredi Kuponu' (#41678)
[17:03:25	]C24:RCT.YELLO-59 has gained a '5 Kredi Kuponu' #41678.
[17:03:27	][IC] C24:RCT.YELLO-59: <:: Aldım. ::>
[17:03:29	]Harry Gutenberg used command '/ExitAct'.
[17:03:29	][IT] Ali Bayraktar: Telsizden: dümdüz git
[17:03:31	][IT] Ali Bayraktar: Telsizden: sakın sapma
[17:03:32	]Daniel Reynolds has spawned 'models/jq/hlvr/props/infestation/p1/xen_grenade_plant.mdl'.
[17:03:32	]C24:RCT.YELLO-59 ran 'Use' on item '5 Kredi Kuponu' (#41678)
[17:03:32	]CWU:INDUSTRIAL.4543 entered observer.
[17:03:33	][LOOC] C24:i1.HELIX-12: Onu kullan makineye bakarak
[17:03:34	]Williams  O'Sullivan has gained a 'Bitki Saksısı' #41681.
[17:03:34	]Vasile Grigore exited observer at their location.
[17:03:35	]Muhammed Anderson ran 'take' on item 'Yapıştırıcı' (#41680)
[17:03:35	]Muhammed Anderson has gained a 'Yapıştırıcı' #41680.
[17:03:36	]Daniel Reynolds entered observer.
[17:03:36	][IT] Ali Bayraktar: Telsizden: daha doğrusu soldan git
[17:03:37	]Muhammed Anderson ran 'take' on item 'Boş Votka Şişesi' (#41679)
[17:03:37	]Muhammed Anderson has gained a 'Boş Votka Şişesi' #41679.
[17:03:37	]C24:RCT.YELLO-59 ran 'Use' on item '5 Kredi Kuponu' (#41678)
[17:03:38	]Vasile Grigore has gained a '17rnd Usp-Şarjörü' #31732.
[17:03:38	]Vasile Grigore has lost a '17rnd Usp-Şarjörü' #36428.
[17:03:39	][IT] Ali Bayraktar: Telsizden: uzun bir yol
[17:03:39	]C24:RCT.YELLO-59 has used a coupon at a ration dispenser, gaining 5 credits.
[17:03:41	][LOOC] C24:i1.HELIX-12: Öyle evet
[17:03:42	]Daniel Reynolds ran SAM command 'asay' with arguments: 'persistledinmi'
[17:03:44	]Ali Bayraktar has used a context menu option with the name: rb655_door_lock
[17:03:46	][IC] Mark Chekov: Yapamam.
[17:03:46	]Ali Bayraktar has used a context menu option with the name: rb655_door_close
[17:03:47	][LOOC] C24:i1.HELIX-12: Hesabına geçti o para şimdi
[17:03:47	]Bigman94 (TR) has connected.
[17:03:48	][IC] Mark Chekov: Konuşamam..
[17:03:50	][IT] Ali Bayraktar: Telsizden: tamamdır
[17:03:53	][LOOC] C24:RCT.YELLO-59: sağol
[17:03:53	][IC] C24:i1.HELIX-12: <:: Pekala. ::>
[17:04:01	][IT] Ali Bayraktar: Telsizden: seni karşılayacağım.
[17:04:03	]muhamet sofracıbaşı ran 'take' on item 'Boş Breen'in Suyu' (#41298)
[17:04:03	]muhamet sofracıbaşı has gained a 'Boş Breen'in Suyu' #41298.
[17:04:06	]Ali Bayraktar has given himself a head_gasmask.
[17:04:06	]Ali Bayraktar has gained a 'Gaz maskesi' #41682.
[17:04:07	]muhamet sofracıbaşı ran 'drop' on item 'Boş Breen'in Suyu' (#41298)
[17:04:07	]muhamet sofracıbaşı has lost a 'Boş Breen'in Suyu' #41298.
[17:04:10	]Ali Bayraktar has given himself a torso_green_kevlar_t3.
[17:04:10	]Ali Bayraktar has gained a 'Ağır Yeşil Kevlar Üniforma' #41683.
[17:04:12	]Ali Bayraktar has given himself a legs_black_padded_pants.
[17:04:12	]Ali Bayraktar has gained a 'Siyah Dolgulu Pantolon' #41684.
[17:04:15	]Ali Bayraktar ran 'drop' on item 'Ağır Yeşil Kevlar Üniforma' (#41683)
[17:04:15	]Ali Bayraktar has lost a 'Ağır Yeşil Kevlar Üniforma' #41683.
[17:04:16	]Ali Bayraktar ran 'drop' on item 'Gri Tulum' (#41490)
[17:04:16	]Ali Bayraktar has lost a 'Gri Tulum' #41490.
[17:04:18	]Ali Bayraktar has used a context menu option with the name: remove
[17:04:18	][IC] C24:RCT.YELLO-59: <:: O sivil ne yapıyor? ::>
[17:04:19	][IC] Mark Chekov: Kaç kere dövüldüm o manyaklar tarafından..
[17:04:19	]Ali Bayraktar has used a context menu option with the name: remove
[17:04:23	]Ali Bayraktar ran SAM command 'asay' with arguments: 'amk yine bug oldu'
[17:04:25	]CWU:INDUSTRIAL.4543 has spawned 'models/props_xen/crystals/xen_crystals_orange_3.mdl'.
[17:04:26	][IC] C24:i1.HELIX-12: <:: Bir şey yapmıyor? ::>
[17:04:29	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_neck_piece.mdl'.
[17:04:30	][IT] Ali Bayraktar: Telsizden: ilerle
[17:04:31	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_web_cone001.mdl'.
[17:04:34	][IT] Ali Bayraktar: Telsizden: sakın sapma
[17:04:35	][IC] Mark Chekov: Bir dakika şu ney?
[17:04:37	][IT] Ali Bayraktar: Telsizden: evet
[17:04:37	][IC] C24:RCT.YELLO-59: <:: Çöp atıyormuş sanırım. ::>
[17:04:39	][IC] C24:i1.HELIX-12: <:: Çöpe çöp atıyor. ::>
[17:04:42	][ME] muhamet sofracıbaşı: sakin bir şekilde çöpün üstüne tırmanır
[17:04:43	][IC] Mark Chekov: Ha.
[17:04:43	]CWU:INDUSTRIAL.4543 has spawned 'models/scenery/structural/vesuvius/bartap.mdl'.
[17:04:47	]Ali Bayraktar exited observer at their location.
[17:04:47	][IC] C24:i1.HELIX-12: <:: Sen de paronoya başlangıcı olabilir. ::>
[17:04:48	]CWU:INDUSTRIAL.4543 exited observer at their location.
[17:04:48	]Jerry Lawyer ran 'take' on item 'Bilgisayar Parçaları' (#41649)
[17:04:48	]Jerry Lawyer has gained a 'Bilgisayar Parçaları' #41649.
[17:04:49	]Jerry Lawyer ran 'take' on item 'Boş Kavanoz' (#41648)
[17:04:49	]Jerry Lawyer has gained a 'Boş Kavanoz' #41648.
[17:04:51	]Jerry Lawyer ran 'take' on item 'Boş Breen'in Suyu' (#41647)
[17:04:51	]Jerry Lawyer has gained a 'Boş Breen'in Suyu' #41647.
[17:04:55	][LOOC] C24:RCT.YELLO-59: qwegqgegqeuq
[17:04:55	][IT] Ali Bayraktar: Telsizden: seni görebiliyorum
[17:04:55	]Daniel Reynolds exited observer at their location.
[17:04:59	][IC] C24:i1.HELIX-12: <:: Destek masası ile ilgieln. ::>
[17:04:59	][IC] Ali Bayraktar: Ah.
[17:04:59	]Vasile Grigore entered observer.
[17:05:03	][IC] C24:RCT.YELLO-59: <:: Anlaşıldı. ::>
[17:05:04	][IC] muhamet sofracıbaşı: Oldu.
[17:05:04	][IC] Ali Bayraktar: Sanırsam.
[17:05:05	][IC] C24:i1.HELIX-12: <:: Ney shot? ::>
[17:05:09	]Williams  O'Sullivan ran 'Place' on item 'Enfekte Kontrolü Kutusu' (#41604)
[17:05:09	]Williams  O'Sullivan created a 'Enfekte Kontrolü Kutusu' container.
[17:05:11	][IC] Ali Bayraktar: Hayatta kalan tek sensin.
[17:05:11	][IC] C24:i1.HELIX-12: <:: İngilizce mi konuşuyorsun. ::>
[17:05:13	][IC] C24:RCT.YELLO-59: <:: Buney? ::>
[17:05:17	]C24:i1.HELIX-12 opened the 'Enfekte Kontrolü Kutusu' #4733 container.
[17:05:18	]Ali Bayraktar ran 'drop' on item 'Siyah Dolgulu Pantolon' (#41684)
[17:05:18	]Ali Bayraktar has lost a 'Siyah Dolgulu Pantolon' #41684.
[17:05:19	]C24:i1.HELIX-12 closed the 'Enfekte Kontrolü Kutusu' #4733 container.
[17:05:20	]Ali Bayraktar ran 'take' on item 'Siyah Dolgulu Pantolon' (#41684)
[17:05:20	]Ali Bayraktar has gained a 'Siyah Dolgulu Pantolon' #41684.
[17:05:22	][IC] Daniel Reynolds: Götenberg nasılsın.
[17:05:23	][IC] C24:i1.HELIX-12: <:: Nereden buldun bunu? ::>
[17:05:24	][IC] C24:RCT.YELLO-59: <:: Efendim buney? ::>
[17:05:28	][IC] Ali Bayraktar: Ne demek.
[17:05:30	][IC] Ali Bayraktar: Şimdi.
[17:05:30	][IC] muhamet sofracıbaşı: Oha.
[17:05:30	][LOOC] Harry Gutenberg: bir daha götenberg dersen
[17:05:31	][ME] C24:RCT.YELLO-59: kutuyu inceler
[17:05:35	][IC] Ali Bayraktar: En önemli ana geldik.
[17:05:35	][LOOC] Harry Gutenberg: 2. böbreği alırım
[17:05:35	]C24:i1.HELIX-12 has used a context menu option with the name: remove
[17:05:35	][IC] muhamet sofracıbaşı: Kutumu buldun.
[17:05:41	]CWU:INDUSTRIAL.4543 has given himself a yellow_hazmat_uniform.
[17:05:41	]CWU:INDUSTRIAL.4543 has gained a 'Yellow Hazmat Uniform' #41685.
[17:05:42	]CWU:INDUSTRIAL.4543 has given himself a yellow_hazmat_uniform.
[17:05:42	]CWU:INDUSTRIAL.4543 has gained a 'Yellow Hazmat Uniform' #41686.
[17:05:44	]CWU:INDUSTRIAL.4543 has given himself a yellow_hazmat_uniform.
[17:05:44	]CWU:INDUSTRIAL.4543 has gained a 'Yellow Hazmat Uniform' #41687.
[17:05:45	]CWU:INDUSTRIAL.4543 has given himself a yellow_hazmat_uniform.
[17:05:45	]CWU:INDUSTRIAL.4543 has gained a 'Yellow Hazmat Uniform' #41688.
[17:05:45	][IC] Ali Bayraktar: Benle gel.
[17:05:46	][LOOC] Daniel Reynolds: bötengerg
[17:05:47	][IC] muhamet sofracıbaşı: Merhaba.
[17:05:48	]CWU:INDUSTRIAL.4543 has given himself a yellow_hazmat_uniform.
[17:05:48	]CWU:INDUSTRIAL.4543 has gained a 'Yellow Hazmat Uniform' #41689.
[17:05:49	][IC] C24:i1.HELIX-12: <:: Senin kol bandın nerede? ::>
[17:05:53	]Mark Chekov opened the 'Kişisel Depo' stash.
[17:05:54	]CWU:INDUSTRIAL.4543 ran 'drop' on item 'Yellow Hazmat Uniform' (#41689)
[17:05:54	]CWU:INDUSTRIAL.4543 has lost a 'Yellow Hazmat Uniform' #41689.
[17:05:58	][LOOC] Harry Gutenberg: gutenberg demezsen alacam
[17:05:59	][IC] muhamet sofracıbaşı: Ne yemeği.
[17:05:59	][IC] Ali Bayraktar: Çıkman için.
[17:06:00	]CWU:INDUSTRIAL.4543 entered observer.
[17:06:01	]CWU:INDUSTRIAL.4543 exited observer at their location.
[17:06:03	]CWU:INDUSTRIAL.4543 ran 'drop' on item 'Yellow Hazmat Uniform' (#41688)
[17:06:03	]CWU:INDUSTRIAL.4543 has lost a 'Yellow Hazmat Uniform' #41688.
[17:06:03	]Mark Chekov closed the 'Kişisel Depo' stash.
[17:06:04	]Vasile Grigore is admin-searching Williams  O'Sullivan's inventory.
[17:06:04	]Vasile Grigore has used a context menu option with the name: ixviewinventory
[17:06:04	][IC] C24:i1.HELIX-12: <:: Neyin yok? ::>
[17:06:05	]CWU:INDUSTRIAL.4543 ran 'drop' on item 'Yellow Hazmat Uniform' (#41687)
[17:06:05	]CWU:INDUSTRIAL.4543 has lost a 'Yellow Hazmat Uniform' #41687.
[17:06:07	][IC] muhamet sofracıbaşı: Ha tamam.
[17:06:07	]CWU:INDUSTRIAL.4543 ran 'drop' on item 'Yellow Hazmat Uniform' (#41686)
[17:06:07	]CWU:INDUSTRIAL.4543 has lost a 'Yellow Hazmat Uniform' #41686.
[17:06:07	]Vasile Grigore has closed Williams  O'Sullivan's inventory.
[17:06:07	][IC] Daniel Reynolds: Iyiyim gutenberg.
[17:06:09	]CWU:INDUSTRIAL.4543 ran 'drop' on item 'Yellow Hazmat Uniform' (#41685)
[17:06:09	]CWU:INDUSTRIAL.4543 has lost a 'Yellow Hazmat Uniform' #41685.
[17:06:10	][IC] C24:i1.HELIX-12: <:: Neyden bahsediyorsun sen. ::>
[17:06:11	]CWU:INDUSTRIAL.4543 has given himself a yellow_hazmat_uniform.
[17:06:11	]CWU:INDUSTRIAL.4543 has gained a 'Yellow Hazmat Uniform' #41690.
[17:06:11	][LOOC] Williams  O'Sullivan: öldüm gitti
[17:06:12	]CWU:INDUSTRIAL.4543 ran 'drop' on item 'Yellow Hazmat Uniform' (#41690)
[17:06:12	]CWU:INDUSTRIAL.4543 has lost a 'Yellow Hazmat Uniform' #41690.
[17:06:14	][IC] C24:i1.HELIX-12: <:: Duvara geç. ::>
[17:06:14	][IC] Daniel Reynolds: Gel.
[17:06:16	]CWU:INDUSTRIAL.4543 has given himself a white_hazmat_uniform.
[17:06:16	]CWU:INDUSTRIAL.4543 has gained a 'White Hazmat Uniform' #41691.
[17:06:16	][IC] C24:i1.HELIX-12: <:: Şimdi. ::>
[17:06:16	]CWU:INDUSTRIAL.4543 has given himself a white_hazmat_uniform.
[17:06:16	]CWU:INDUSTRIAL.4543 has gained a 'White Hazmat Uniform' #41692.
[17:06:18	][IC] Ali Bayraktar: Benim kimsem yok.
[17:06:19	][IC] muhamet sofracıbaşı: Kimseye.
[17:06:23	][IC] C24:RCT.YELLO-59: <:: Yürü. ::>
[17:06:24	][IC] Ali Bayraktar: Tüm ekip dağıldı.
[17:06:28	][IC] Ali Bayraktar: Herkes öldü.
[17:06:30	][IC] Ali Bayraktar: Bende zaten.
[17:06:30	][IC] C24:i1.HELIX-12: <:: Kimliğini doğrula. ::>
[17:06:32	][IC] muhamet sofracıbaşı: Bişey düşünmüyorum.
[17:06:32	][IC] C24:i1.HELIX-12: <:: Arkanı dön. ::>
[17:06:35	][IC] Ali Bayraktar: Normal bir hayata geçeceğim.
[17:06:42	][IC] C24:i1.HELIX-12: <:: Sana diyorum. ::>
[17:06:43	][IC] muhamet sofracıbaşı: Sklarlan uğraşmak dayak yiyene kadar eğlenceli.
[17:06:43	][IC] Ali Bayraktar: Direniş işlerini bırakıp temize çıkmak istiyorum.
[17:06:44	][IC] Mark Chekov: Burası neresi lan.
[17:06:45	][IC] Daniel Reynolds: Bak gutennberg.
[17:06:47	][IC] Ali Bayraktar: Bak dostum.
[17:06:47	][IC] C24:i1.HELIX-12: <:: Arkanı dön. ::>
[17:06:48	]CWU:INDUSTRIAL.4543 entered observer.
[17:06:49	]Williams  O'Sullivan used command '/ID'.
[17:06:50	][IC] C24:i1.HELIX-12: <:: Aptal herif. ::>
[17:06:50	]CWU:INDUSTRIAL.4543 exited observer at their location.
[17:06:51	][IC] Daniel Reynolds: Cmru pdası artık tamir oldu.
[17:06:51	][IC] Ali Bayraktar: Eğer.
[17:06:58	][IC] muhamet sofracıbaşı: Söyle.
[17:06:58	]Harry Gutenberg ran 'Open' on item 'CMRU PDA' (#25360)
[17:06:59	][IC] Ali Bayraktar: Bu işe devam etmek istersen buyur.
[17:07:01	][IC] Ali Bayraktar: Lağım orda.
[17:07:04	][IC] muhamet sofracıbaşı: Söyle.
[17:07:06	][IC] Daniel Reynolds: Yani medical report yazabilecezz.
[17:07:08	]CWU:INDUSTRIAL.4543 has given himself a sledgehammer.
[17:07:10	]CWU:INDUSTRIAL.4543 ran 'EquipUn' on item 'Fubar' (#41600)
[17:07:12	]CWU:INDUSTRIAL.4543 ran 'Equip' on item 'Fubar' (#41600)
[17:07:12	][IC] Mark Chekov: Girilmiyormuş.
[17:07:13	][IC] Ali Bayraktar: Zehirli gazlardan dolayı enfekte olup ölmek istiyorsan tabi.
[17:07:14	][LOOC] C24:RCT.YELLO-59: pardon
[17:07:15	][IC] Ali Bayraktar: Gidebilirsin.
[17:07:15	][IC] muhamet sofracıbaşı: Ben güvenip geldim.
[17:07:16	][IC] Daniel Reynolds: Tamir değilde.
[17:07:19	][IC] C24:i1.HELIX-12: <:: Sen siyah sınıfsın. ::>
[17:07:19	]CWU:INDUSTRIAL.4543 has given himself a flare.
[17:07:19	]CWU:INDUSTRIAL.4543 has gained a 'Flare' #41693.
[17:07:20	][IC] Daniel Reynolds: Yazılımları güncellenmiş.
[17:07:21	]CWU:INDUSTRIAL.4543 ran 'Equip' on item 'Flare' (#41693)
[17:07:22	][IC] Ali Bayraktar: Kimse kalmadı bildiğpim kadarıyla.
[17:07:23	]Harry Gutenberg ran 'Open' on item 'CMRU PDA' (#25360)
[17:07:26	][IC] C24:i1.HELIX-12: <:: AL BUNU. ::>
[17:07:27	][IC] Daniel Reynolds: Kişinin tam ismini yazman yeterli.
[17:07:29	]civilnetworks.net sadscientist loaded the character 'S10/OWS.GHOST-77'
[17:07:31	][IC] Ali Bayraktar: Şimdi burası çok tehlikeli benle gel.
[17:07:31	]Harry Gutenberg ran 'Open' on item 'CMRU PDA' (#25360)
[17:07:31	][IC] muhamet sofracıbaşı: Eskiden.
[17:07:32	]C24:i1.HELIX-12 has spawned a armband_black.
[17:07:33	]CWU:INDUSTRIAL.4543 entered observer.
[17:07:34	][IC] Daniel Reynolds: Amaaa.
[17:07:35	][IC] C24:i1.HELIX-12: <:: Şunu tak. ::>
[17:07:36	]CWU:INDUSTRIAL.4543 exited observer at their location.
[17:07:39	][ME] C24:i1.HELIX-12: Uzatır
[17:07:43	]Williams  O'Sullivan ran 'take' on item 'Siyah Kol Bandı' (#41694)
[17:07:43	]Williams  O'Sullivan has gained a 'Siyah Kol Bandı' #41694.
[17:07:45	]Williams  O'Sullivan ran 'Equip' on item 'Siyah Kol Bandı' (#41694)
[17:07:46	]CWU:INDUSTRIAL.4543 entered observer.
[17:07:47	][IC] muhamet sofracıbaşı: Hmm nasıl bir.
[17:07:51	][ME] Williams  O'Sullivan: alır.
[17:07:53	][IC] Daniel Reynolds: Eğer boş boş reportlar yazıp götenberglik yaparsan elinden alırım haaa.
[17:07:54	][IC] Ali Bayraktar: Dikkatli ol burda.
[17:07:55	][IC] C24:i1.HELIX-12: <:: Siktir git buradan şimdi. ::>
[17:07:58	][LOOC] Daniel Reynolds: *gutenberg
[17:08:05	][IC] muhamet sofracıbaşı: Bomba yapamam ama atabilirim.
[17:08:05	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_web_flat_posable.mdl'.
[17:08:09	]CWU:INDUSTRIAL.4543 has spawned 'models/jq/hlvr/props/xenpack/xen_web_flat_posable.mdl'.
