[15:08:05	]Ender has connected.
[16:00:13	]Herald Zenman has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 22 experience in medicine.
[16:00:13	]Herald Zenman was disinfected by Herald Zenman for 72 seconds.
[16:00:13	]Herald Zenman was bandaged by Herald Zenman for 16 HP.
[16:00:14	]Herald Zenman ran 'use' on item 'Dezenfekte Bandaj Rulosu' (#65617)
[16:00:14	]Herald Zenman has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 15 experience in medicine.
[16:00:14	]Herald Zenman was disinfected by Herald Zenman for 72 seconds.
[16:00:14	]Herald Zenman was bandaged by Herald Zenman for 16 HP.
[16:00:14	]Herald Zenman ran 'use' on item 'Dezenfekte Bandaj Rulosu' (#65617)
[16:00:14	]Herald Zenman has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 15 experience in medicine.
[16:00:14	]Herald Zenman was disinfected by Herald Zenman for 72 seconds.
[16:00:14	]Herald Zenman was bandaged by Herald Zenman for 16 HP.
[16:00:16	]Herald Zenman ran 'use' on item 'Dezenfekte Bandaj Rulosu' (#65617)
[16:00:16	]Herald Zenman has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 15 experience in medicine.
[16:00:16	]Herald Zenman was disinfected by Herald Zenman for 72 seconds.
[16:00:16	]Herald Zenman was bandaged by Herald Zenman for 16 HP.
[16:00:17	]Wilson Dawson ran 'EquipUn' on item 'Levye' (#64468)
[16:01:04	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:01:08	]Wilson Dawson ran 'use' on item 'Dezenfekte Bandaj Rulosu' (#65623)
[16:01:08	]Wilson Dawson has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 22 experience in medicine.
[16:01:08	]Wilson Dawson was disinfected by Wilson Dawson for 117 seconds.
[16:01:08	]Wilson Dawson was bandaged by Wilson Dawson for 18 HP.
[16:01:09	]Wilson Dawson ran 'use' on item 'Dezenfekte Bandaj Rulosu' (#65623)
[16:01:09	]Wilson Dawson was disinfected by Wilson Dawson for 117 seconds.
[16:01:09	]Wilson Dawson was bandaged by Wilson Dawson for 18 HP.
[16:01:16	]Wilson Dawson ran 'give' on item 'Dezenfekte Bandaj Rulosu' (#65623)
[16:01:16	]Wilson Dawson has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 15 experience in medicine.
[16:01:16	]Herald Zenman was disinfected by Wilson Dawson for 117 seconds.
[16:01:16	]Herald Zenman was bandaged by Wilson Dawson for 18 HP.
[16:01:16	]Wilson Dawson ran 'give' on item 'Dezenfekte Bandaj Rulosu' (#65623)
[16:01:16	]Herald Zenman was disinfected by Wilson Dawson for 117 seconds.
[16:01:16	]Herald Zenman was bandaged by Wilson Dawson for 18 HP.
[16:01:20	]Wilson Dawson has gained level 16 in the Hız skill.
[16:02:02	]Ellie Williams has connected.
[16:02:03	]Wilson Dawson opened the 'Kişisel Depo' stash.
[16:02:03	]Herald Zenman opened the 'Kişisel Depo' stash.
[16:02:05	]Herald Zenman closed the 'Kişisel Depo' stash.
[16:02:06	]Wilson Dawson closed the 'Kişisel Depo' stash.
[16:02:26	]Wilson Dawson is fully healed.
[16:02:32	]Herald Zenman opened the 'Çöp Kutusu' #5690 container.
[16:02:34	]Wilson Dawson opened the 'Çöp Kutusu' #5690 container.
[16:02:34	]Herald Zenman closed the 'Çöp Kutusu' #5690 container.
[16:02:36	]Herald Zenman closed the 'Çöp Kutusu' #5690 container.
[16:02:38	]Herald Zenman has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[16:02:51	]Herald Zenman ran 'Open' on item 'Rasyon' (#65646)
[16:02:51	]Herald Zenman has gained a 'Yapay Macun' #65647.
[16:02:51	]Herald Zenman has gained a 'Breen'in Suyu' #65648.
[16:02:51	]Herald Zenman has gained a '15 Kredi Kuponu' #65649.
[16:02:53	]Herald Zenman ran 'Consume' on item 'Yapay Macun' (#65647)
[16:02:54	]Herald Zenman has gained a 'Boş Kavanoz' #65650.
[16:02:55	]Herald Zenman ran 'Consume' on item 'Breen'in Suyu' (#65648)
[16:02:55	]Herald Zenman has gained a 'Boş Breen'in Suyu' #65651.
[16:02:59	]Herald Zenman ran 'drop' on item 'Boş Kavanoz' (#65650)
[16:02:59	]Herald Zenman has lost a 'Boş Kavanoz' #65650.
[16:02:59	]Herald Zenman ran 'drop' on item 'Boş Breen'in Suyu' (#65651)
[16:02:59	]Herald Zenman has lost a 'Boş Breen'in Suyu' #65651.
[16:03:04	]Herald Zenman ran 'Use' on item '15 Kredi Kuponu' (#65649)
[16:03:06	]Herald Zenman has used a coupon at a ration dispenser, gaining 15 credits.
[16:03:35	]Wilson Dawson ran 'Equip' on item 'Stunstick' (#62105)
[16:03:53	]Herald Zenman was just knocked out due to: hit by stunstick owned by Wilson Dawson
[16:03:56	]Herald Zenman used command '/CharGetUp'.
[16:03:59	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:04:05	]C45:RCT.YELLO-32 has gained a 'Şarjör Çantası' #65652.
[16:04:09	]C45:RCT.YELLO-32 has gained a 'Stunstick' #65653.
[16:04:15	]C45:RCT.YELLO-32 has gained a 'SK Üniforması' #65654.
[16:04:16	]C45:RCT.YELLO-32 has gained a 'Çuval' #65655.
[16:04:17	]C45:RCT.YELLO-32 has gained a 'Çuval' #65656.
[16:04:18	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65657.
[16:04:18	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65658.
[16:04:19	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65659.
[16:04:19	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65660.
[16:04:19	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65661.
[16:04:22	]C45:RCT.YELLO-32 has gained a 'Identity Card Creation Device' #65662.
[16:04:24	]C45:RCT.YELLO-32 has gained a 'Boş CID Kartı' #65663.
[16:04:26	]C45:RCT.YELLO-32 has gained a 'Dezenfekte Bandaj Rulosu' #65664.
[16:04:27	]C45:RCT.YELLO-32 has gained a 'Dezenfekte Bandaj Rulosu' #65665.
[16:04:30	]C45:RCT.YELLO-32 has gained a 'Combine Filter' #65666.
[16:04:39	]Ellie Williams loaded the character 'Tommy Black'
[16:04:42	]C45:RCT.YELLO-32 ran 'drop' on item 'SK Üniforması' (#65594)
[16:04:42	]C45:RCT.YELLO-32 has lost a 'SK Üniforması' #65594.
[16:04:44	]Tommy Black is fully healed.
[16:04:45	]Herald Zenman used command '/CharGetUp'.
[16:04:52	]Herald Zenman used command '/CharGetUp'.
[16:04:52	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:04:53	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:04:55	]C45:RCT.YELLO-32 has gained a 'SK Maskesi' #65667.
[16:05:06	]Herald Zenman used command '/CharGetUp'.
[16:05:06	]Herald Zenman used command '/CharGetUp'.
[16:05:10	]Tommy Black ran 'Unlock' on item 'Daire Anahtarı' (#64499)
[16:05:15	]Tommy Black ran 'Lock' on item 'Daire Anahtarı' (#64499)
[16:05:15	]Herald Zenman was knocked unconscious and is bleeding out.
[16:05:16	]Herald Zenman used command '/CharGetUp'.
[16:05:33	]Wilson Dawson ran 'drop' on item 'Plastik Çöp' (#65632)
[16:05:33	]Wilson Dawson has lost a 'Plastik Çöp' #65632.
[16:05:37	]Herald Zenman used command '/CharGetUp'.
[16:05:45	]Wilson Dawson ran 'EquipUn' on item 'Stunstick' (#62105)
[16:05:58	]Wilson Dawson opened the 'Kişisel Depo' stash.
[16:06:01	]Wilson Dawson closed the 'Kişisel Depo' stash.
[16:06:05	]Wilson Dawson opened the 'Kişisel Depo' stash.
[16:06:07	]Wilson Dawson has lost a 'Büyük Çanta' #64395.
[16:06:07	]Wilson Dawson has transferred a 'Büyük Çanta' #64395 to a container with the name 'Kişisel Depo' #6104.
[16:06:08	]Wilson Dawson closed the 'Kişisel Depo' stash.
[16:06:16	]Wilson Dawson opened the 'Kişisel Depo' stash.
[16:06:18	]Wilson Dawson has lost a 'Büyük Çanta' #64394.
[16:06:18	]Wilson Dawson has transferred a 'Büyük Çanta' #64394 to a container with the name 'Kişisel Depo' #6104.
[16:06:18	]Wilson Dawson closed the 'Kişisel Depo' stash.
[16:06:21	]Tommy Black used command '/PM wilson bu camları yine sen mi kırdın'.
[16:06:25	]Tommy Black ran 'Unlock' on item 'Daire Anahtarı' (#64499)
[16:06:37	]Wilson Dawson used command '/PM tommy aga pvpd elim kaydı kusura bakma'.
[16:06:56	][W] Tommy Black: SK'lar!
[16:06:59	]Wilson Dawson ran 'Equip' on item 'Levye' (#64468)
[16:07:02	]Herald Zenman was killed while bleeding out.
[16:07:02	]ix_forcefield has killed Herald Zenman with ix_forcefield.
[16:07:02	]Herald Zenman has dropped: Açık Gri Kol Bandı (#64267); Sigara (#55414); El Feneri (#62106);
[16:07:10	][LOOC] Tommy Black: bunu yapamazsın knk amk
[16:07:18	][LOOC] Wilson Dawson: arkadaşımı çalıyon amk
[16:07:20	]Herald Zenman used command '/CharDesc'.
[16:07:20	][LOOC] Tommy Black: nası bir roll yapma seyiniz var hangi sunucullarda oynadınız acaba
[16:07:29	][LOOC] Wilson Dawson: tedavi edicektim onu bırak dedim 50 kere
[16:07:30	][LOOC] Tommy Black: ne arkadaşını amk adamı sk lalra tesli medicem levye çekıyon
[16:07:31	]Wilson Dawson ran 'EquipUn' on item 'Levye' (#64468)
[16:07:37	][LOOC] Tommy Black: nesin sen amk eşkiya mısın
[16:07:42	][LOOC] Wilson Dawson: amk arkadaşım düştü tedavi edicem
[16:07:45	]C45:RCT.YELLO-32 ran 'Equip' on item 'Stunstick' (#65653)
[16:07:48	][LOOC] Tommy Black: naparsanız yapın amk rollere bak benden uzak durun
[16:07:49	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:07:50	][LOOC] Wilson Dawson: sende sklara götürüyon bırak dedim okadar
[16:07:52	]C45:RCT.YELLO-32 ran 'drop' on item 'Dezenfekte Bandaj Rulosu' (#65645)
[16:07:52	]C45:RCT.YELLO-32 has lost a 'Dezenfekte Bandaj Rulosu' #65645.
[16:07:53	]C45:RCT.YELLO-32 ran 'drop' on item 'Dezenfekte Bandaj Rulosu' (#65642)
[16:07:53	]C45:RCT.YELLO-32 has lost a 'Dezenfekte Bandaj Rulosu' #65642.
[16:07:53	]C45:RCT.YELLO-32 ran 'drop' on item 'Dezenfekte Bandaj Rulosu' (#65641)
[16:07:53	]C45:RCT.YELLO-32 has lost a 'Dezenfekte Bandaj Rulosu' #65641.
[16:07:55	][LOOC] Wilson Dawson: tamam git ozaman
[16:08:08	][LOOC] Tommy Black: bana 2 gram rolunu gösterme knk git gunrp ni başkalarına yap
[16:08:26	]Tommy Black ran 'Unlock' on item 'Dükkan Anahtarı' (#63222)
[16:08:32	]Herald Zenman ran 'take' on item 'Stunstick' (#65597)
[16:08:32	]Herald Zenman has gained a 'Stunstick' #65597.
[16:08:32	]Tommy Black ran 'Unlock' on item 'Dükkan Anahtarı' (#63222)
[16:08:35	]Wilson Dawson ran 'Equip' on item 'Stunstick' (#62105)
[16:08:36	]Herald Zenman ran 'Equip' on item 'Stunstick' (#65597)
[16:08:40	]Tommy Black ran 'Lock' on item 'Dükkan Anahtarı' (#63222)
[16:08:45	]Tommy Black used command '/ActSit 3'.
[16:08:46	]Tommy Black used command '/ExitAct'.
[16:08:47	]C45:RCT.YELLO-32 ran 'Equip' on item 'Combine Filter' (#65666)
[16:08:48	]Herald Zenman was just knocked out due to: hit by stunstick owned by Wilson Dawson
[16:08:48	]Tommy Black used command '/ActSit 6'.
[16:08:54	]Wilson Dawson has gained level 17 in the Hız skill.
[16:08:58	]Tommy Black used command '/ExitAct'.
[16:09:08	]Tommy Black has gained level 29 in the Hız skill.
[16:09:12	]Tommy Black opened the 'Dropped Items' #6308 container.
[16:09:15	]Tommy Black has gained a 'Sigara' #55414 from a container with the name 'Dropped Items' #6308.
[16:09:16	]Tommy Black has gained a 'El Feneri' #62106 from a container with the name 'Dropped Items' #6308.
[16:09:17	]Tommy Black closed the 'Dropped Items' #6308 container.
[16:09:24	]Tommy Black ran 'take' on item 'Plastik Çöp' (#65632)
[16:09:24	]Tommy Black has gained a 'Plastik Çöp' #65632.
[16:09:26	]Herald Zenman used command '/CharGetUp'.
[16:09:26	]Herald Zenman was knocked unconscious and is bleeding out.
[16:09:33	]Wilson Dawson ran 'give' on item 'Cerrahi Kit' (#62588)
[16:09:33	]Wilson Dawson has performed the 'Use Cerrahi Kit' action, gaining 120 experience in medicine.
[16:09:33	]Herald Zenman was disinfected by Wilson Dawson for 336 seconds.
[16:09:33	]Herald Zenman's bleeding was stopped by Wilson Dawson.
[16:09:33	]Herald Zenman was bandaged by Wilson Dawson for 78 HP.
[16:09:34	]Wilson Dawson ran 'give' on item 'Cerrahi Kit' (#62588)
[16:09:34	]Wilson Dawson has performed the 'Use Cerrahi Kit' action, gaining 55 experience in medicine.
[16:09:34	]Herald Zenman was disinfected by Wilson Dawson for 336 seconds.
[16:09:34	]Herald Zenman was bandaged by Wilson Dawson for 78 HP.
[16:09:34	]Wilson Dawson ran 'give' on item 'Cerrahi Kit' (#62588)
[16:09:34	]Herald Zenman was disinfected by Wilson Dawson for 336 seconds.
[16:09:34	]Herald Zenman was bandaged by Wilson Dawson for 78 HP.
[16:09:34	]Wilson Dawson has gained a 'Dikişli Kumaş' #65668.
[16:09:35	][LOOC] Herald Zenman: KANAMA VAR YİNE MQ
[16:09:42	]Connordpd has connected.
[16:09:51	][IC] Tommy Black: Arkanıza.
[16:09:52	][IC] C45:RCT.YELLO-32: <:: Noluo. ::>
[16:09:54	][IC] Tommy Black: Bir siivil.
[16:09:58	][IC] Tommy Black: Baygın birisnii.
[16:10:00	][IC] Tommy Black: Kaçırıyordu.
[16:10:01	][IC] Tommy Black: Aşşağıda.
[16:10:02	][IC] C45:RCT.YELLO-32: <:: Tamam. ::>
[16:10:06	][IC] Tommy Black: Sanırsam.
[16:10:08	]Wilson Dawson ran 'give' on item 'İlk Yardım Kiti' (#62373)
[16:10:08	]Wilson Dawson tried to disinfect Herald Zenman but the wound was already clean.
[16:10:08	]Herald Zenman was bandaged by Wilson Dawson for 60 HP.
[16:10:08	]Wilson Dawson ran 'give' on item 'İlk Yardım Kiti' (#62373)
[16:10:08	]Wilson Dawson tried to disinfect Herald Zenman but the wound was already clean.
[16:10:08	]Herald Zenman was bandaged by Wilson Dawson for 60 HP.
[16:10:08	]Wilson Dawson has gained a 'Dikişli Kumaş' #65669.
[16:10:20	]Herald Zenman used command '/CharGetUp'.
[16:10:21	]Herald Zenman used command '/CharGetUp'.
[16:10:22	]Herald Zenman is no longer unconscious from critical wounds.
[16:10:23	]Connordpd loaded the character 'Connor Grayson'
[16:10:26	]Herald Zenman was just knocked out due to: hit by stunstick owned by Wilson Dawson
[16:10:30	]C45:RCT.YELLO-32 has critically hit Wilson Dawson dealing 8 damage (CritChance was 0.95).
[16:10:30	]Wilson Dawson has taken 7 damage from C45:RCT.YELLO-32.
[16:10:31	]Herald Zenman used command '/CharGetUp'.
[16:10:31	]Wilson Dawson ran 'EquipUn' on item 'Stunstick' (#62105)
[16:10:32	]C45:RCT.YELLO-32 has critically hit Wilson Dawson dealing 8 damage (CritChance was 0.95).
[16:10:32	]Wilson Dawson has taken 7 damage from C45:RCT.YELLO-32.
[16:10:33	]C45:RCT.YELLO-32 has hit Wilson Dawson dealing 8 damage (CritChance was 0.95).
[16:10:33	]Wilson Dawson has taken 7 damage from C45:RCT.YELLO-32.
[16:10:34	]Wilson Dawson ran 'Equip' on item 'Levye' (#64468)
[16:10:34	]C45:RCT.YELLO-32 has critically hit Wilson Dawson dealing 8 damage (CritChance was 0.95).
[16:10:34	]Wilson Dawson has taken 7 damage from C45:RCT.YELLO-32.
[16:10:36	]Wilson Dawson has hit C45:RCT.YELLO-32 in the left arm dealing 13 damage (CritChance was 0.19).
[16:10:36	]C45:RCT.YELLO-32 has taken 12 damage from Wilson Dawson.
[16:10:37	]C45:RCT.YELLO-32 has critically hit Wilson Dawson dealing 8 damage (CritChance was 0.95).
[16:10:37	]Wilson Dawson has taken 7 damage from C45:RCT.YELLO-32.
[16:10:37	]Wilson Dawson has hit C45:RCT.YELLO-32 in the right arm dealing 13 damage (CritChance was 0.19).
[16:10:37	]C45:RCT.YELLO-32 has taken 12 damage from Wilson Dawson.
[16:10:38	]C45:RCT.YELLO-32 is fully healed.
[16:10:38	]Wilson Dawson has hit C45:RCT.YELLO-32 dealing 18 damage (CritChance was 0.19).
[16:10:38	]C45:RCT.YELLO-32 has taken 18 damage from Wilson Dawson.
[16:10:38	]C45:RCT.YELLO-32 has critically hit Wilson Dawson dealing 8 damage (CritChance was 0.95).
[16:10:38	]Wilson Dawson has taken 7 damage from C45:RCT.YELLO-32.
[16:10:39	]Wilson Dawson has hit C45:RCT.YELLO-32 in the chest dealing 18 damage (CritChance was 0.19).
[16:10:39	]C45:RCT.YELLO-32 has taken 18 damage from Wilson Dawson.
[16:10:39	]C45:RCT.YELLO-32 has critically hit Wilson Dawson dealing 8 damage (CritChance was 0.95).
[16:10:39	]Wilson Dawson has taken 7 damage from C45:RCT.YELLO-32.
[16:10:41	]Wilson Dawson has hit C45:RCT.YELLO-32 dealing 18 damage (CritChance was 0.32).
[16:10:41	]C45:RCT.YELLO-32 has taken 18 damage from Wilson Dawson.
[16:10:42	]Wilson Dawson has hit C45:RCT.YELLO-32 in the right arm dealing 13 damage (CritChance was 0.32).
[16:10:42	]C45:RCT.YELLO-32 has taken 12 damage from Wilson Dawson.
[16:10:42	]C45:RCT.YELLO-32 has critically hit Wilson Dawson dealing 8 damage (CritChance was 0.95).
[16:10:42	]Wilson Dawson has taken 7 damage from C45:RCT.YELLO-32.
[16:10:43	]Wilson Dawson has hit C45:RCT.YELLO-32 in the chest dealing 18 damage (CritChance was 0.30).
[16:10:43	]C45:RCT.YELLO-32 has taken 18 damage from Wilson Dawson.
[16:10:44	]Wilson Dawson has hit C45:RCT.YELLO-32 dealing 18 damage (CritChance was 0.30).
[16:10:44	]C45:RCT.YELLO-32 has taken 18 damage from Wilson Dawson.
[16:10:49	]C45:RCT.YELLO-32 has critically hit Wilson Dawson dealing 8 damage (CritChance was 0.94).
[16:10:49	]Wilson Dawson has taken 7 damage from C45:RCT.YELLO-32.
[16:10:51	]C45:RCT.YELLO-32 has critically hit Wilson Dawson dealing 8 damage (CritChance was 0.94).
[16:10:51	]Wilson Dawson has taken 7 damage from C45:RCT.YELLO-32.
[16:10:53	]Wilson Dawson has hit C45:RCT.YELLO-32 dealing 18 damage (CritChance was 0.25).
[16:10:53	]C45:RCT.YELLO-32 has taken 18 damage from Wilson Dawson.
[16:10:54	]Wilson Dawson has critically hit C45:RCT.YELLO-32 in the right arm dealing 13 damage (CritChance was 0.25).
[16:10:54	]C45:RCT.YELLO-32 was knocked unconscious and is bleeding out.
[16:10:59	]Wilson Dawson ran 'use' on item 'Cerrahi Kit' (#65519)
[16:10:59	]Wilson Dawson has performed the 'Use Cerrahi Kit' action, gaining 120 experience in medicine.
[16:10:59	]Wilson Dawson was disinfected by Wilson Dawson for 336 seconds.
[16:10:59	]Wilson Dawson was bandaged by Wilson Dawson for 78 HP.
[16:11:00	]Wilson Dawson ran 'use' on item 'Cerrahi Kit' (#65519)
[16:11:00	]Wilson Dawson has performed the 'Use Cerrahi Kit' action, gaining 37 experience in medicine.
[16:11:00	]Wilson Dawson was disinfected by Wilson Dawson for 336 seconds.
[16:11:00	]Wilson Dawson was bandaged by Wilson Dawson for 78 HP.
[16:11:00	]Wilson Dawson has gained a 'Dikişli Kumaş' #65670.
[16:11:28	]Herald Zenman used command '/CharGetUp'.
[16:11:30	]Herald Zenman used command '/CharGetUp'.
[16:11:30	]Herald Zenman used command '/CharGetUp'.
[16:11:32	]Herald Zenman used command '/CharGetUp'.
[16:11:33	]Herald Zenman used command '/CharGetUp'.
[16:11:33	]C45:RCT.YELLO-32 used command '/CharGetUp'.
[16:11:34	]Herald Zenman used command '/CharGetUp'.
[16:11:35	]Herald Zenman used command '/CharGetUp'.
[16:11:37	]Herald Zenman has taken 5 damage from worldspawn.
[16:11:42	]Herald Zenman has taken 5 damage from worldspawn.
[16:11:45	]Wilson Dawson ran 'EquipUn' on item 'Levye' (#64468)
[16:11:47	]Wilson Dawson was just knocked out due to: hit by stunstick owned by Herald Zenman
[16:11:47	]Herald Zenman has taken 5 damage from worldspawn.
[16:11:47	]Wilson Dawson used command '/CharGetUp'.
[16:11:48	]Wilson Dawson used command '/CharGetUp'.
[16:11:49	]Wilson Dawson used command '/CharGetUp'.
[16:11:49	]Wilson Dawson used command '/CharGetUp'.
[16:11:50	]Wilson Dawson used command '/CharGetUp'.
[16:11:50	]Wilson Dawson used command '/CharGetUp'.
[16:11:51	]Wilson Dawson used command '/CharGetUp'.
[16:11:52	]Wilson Dawson used command '/CharGetUp'.
[16:11:55	]Wilson Dawson used command '/CharGetUp'.
[16:11:56	]Wilson Dawson used command '/CharGetUp'.
[16:11:57	]Wilson Dawson used command '/CharGetUp'.
[16:11:57	]Wilson Dawson used command '/CharGetUp'.
[16:11:59	]Wilson Dawson used command '/CharGetUp'.
[16:12:03	]C45:RCT.YELLO-32 has dropped: Stunstick (#65653); SK Üniforması (#65654); Çuval (#65656); Identity Card Creation Device (#65662); Boş CID Kartı (#65663); 4x Dezenfekte Bandaj Rulosu (#65664); 4x Dezenfekte Bandaj Rulosu (#65665); Combine Filter (#65666); SK Maskesi (#65667); El Feneri (#65639); 4x Dezenfekte Bandaj Rulosu (#65640); 4x Dezenfekte Bandaj Rulosu (#65643); 4x Dezenfekte Bandaj Rulosu (#65644); Çuval (#65655); 5x Lastik Kelepçe (#65657);
[16:12:03	]C45:RCT.YELLO-32 was just killed due to: accepting their death
[16:12:05	]Connor Grayson ran 'Write' on item 'UYARI !' (#56405)
[16:12:06	][LOOC] Wilson Dawson: ölürsem alma itemleri
[16:12:08	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:12:13	]Connor Grayson ran 'Write' on item 'UYARI !' (#56405)
[16:12:17	]Wilson Dawson used command '/CharGetUp'.
[16:12:20	]Wilson Dawson used command '/CharFallOver'.
[16:12:20	]Wilson Dawson used command '/CharGetUp'.
[16:12:21	]Connor Grayson ran 'Write' on item 'UYARI !' (#56405)
[16:12:25	]Connor Grayson ran 'Write' on item 'UYARI !' (#56405)
[16:12:49	]Wilson Dawson has taken 10 damage from npc_zombie.
[16:12:52	]Tommy Black ran 'RequestCp' on item 'Talep Cihazı' (#60635)
[16:12:55	]Wilson Dawson ran 'Equip' on item 'Levye' (#64468)
[16:13:07	]Wilson Dawson ran 'EquipUn' on item 'Levye' (#64468)
[16:13:10	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:13:11	]Wilson Dawson ran 'Equip' on item 'Stunstick' (#62105)
[16:13:15	]C45:RCT.YELLO-32 has gained a 'El Feneri' #65671.
[16:13:16	]Wilson Dawson opened the 'Dropped Items' #6309 container.
[16:13:16	]Wilson Dawson closed the 'Dropped Items' #6309 container.
[16:13:17	]Wilson Dawson opened the 'Dropped Items' #6309 container.
[16:13:20	]Wilson Dawson has gained a 'Dezenfekte Bandaj Rulosu' #65665 from a container with the name 'Dropped Items' #6309.
[16:13:21	]Wilson Dawson has gained a 'Dezenfekte Bandaj Rulosu' #65664 from a container with the name 'Dropped Items' #6309.
[16:13:22	]Wilson Dawson has gained a 'Dezenfekte Bandaj Rulosu' #65644 from a container with the name 'Dropped Items' #6309.
[16:13:23	]Wilson Dawson has gained a 'Dezenfekte Bandaj Rulosu' #65643 from a container with the name 'Dropped Items' #6309.
[16:13:24	]Wilson Dawson has gained a 'Dezenfekte Bandaj Rulosu' #65640 from a container with the name 'Dropped Items' #6309.
[16:13:25	]Wilson Dawson closed the 'Dropped Items' #6309 container.
[16:13:26	]Wilson Dawson ran 'split' on item 'Dezenfekte Bandaj Rulosu' (#65643)
[16:13:26	]Wilson Dawson has gained a 'Dezenfekte Bandaj Rulosu' #65672.
[16:13:28	]Wilson Dawson ran 'use' on item 'Dezenfekte Bandaj Rulosu' (#65643)
[16:13:28	]Wilson Dawson has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 15 experience in medicine.
[16:13:28	]Wilson Dawson tried to disinfect Wilson Dawson but the wound was already clean.
[16:13:28	]Wilson Dawson was bandaged by Wilson Dawson for 18 HP.
[16:13:28	]Wilson Dawson ran 'use' on item 'Dezenfekte Bandaj Rulosu' (#65672)
[16:13:28	]Wilson Dawson has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 15 experience in medicine.
[16:13:28	]Wilson Dawson tried to disinfect Wilson Dawson but the wound was already clean.
[16:13:28	]Wilson Dawson was bandaged by Wilson Dawson for 18 HP.
[16:13:32	]Connor Grayson has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[16:13:47	]Connor Grayson ran 'Open' on item 'Rasyon' (#65673)
[16:13:47	]Connor Grayson has gained a 'Yapay Macun' #65674.
[16:13:47	]Connor Grayson has gained a 'Breen'in Suyu' #65675.
[16:13:47	]Connor Grayson has gained a '15 Kredi Kuponu' #65676.
[16:14:04	]Connor Grayson ran 'Use' on item '15 Kredi Kuponu' (#65676)
[16:14:07	]Wilson Dawson ran 'EquipUn' on item 'Stunstick' (#62105)
[16:14:08	]Connor Grayson ran 'Use' on item '15 Kredi Kuponu' (#65676)
[16:14:10	]Connor Grayson ran 'Use' on item '15 Kredi Kuponu' (#65676)
[16:14:10	]Connor Grayson has used a coupon at a ration dispenser, gaining 15 credits.
[16:14:18	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:14:20	]Wilson Dawson ran 'use' on item 'Dezenfekte Bandaj Rulosu' (#65643)
[16:14:20	]Wilson Dawson has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 15 experience in medicine.
[16:14:20	]Wilson Dawson was disinfected by Wilson Dawson for 117 seconds.
[16:14:20	]Wilson Dawson was bandaged by Wilson Dawson for 18 HP.
[16:14:21	]Wilson Dawson ran 'use' on item 'Dezenfekte Bandaj Rulosu' (#65643)
[16:14:21	]Wilson Dawson has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 6 experience in medicine.
[16:14:21	]Wilson Dawson was disinfected by Wilson Dawson for 117 seconds.
[16:14:21	]Wilson Dawson was bandaged by Wilson Dawson for 18 HP.
[16:14:23	]Tommy Black ran 'Lock' on item 'Dükkan Anahtarı' (#63222)
[16:14:24	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:14:32	]Tommy Black ran 'Unlock' on item 'Dükkan Anahtarı' (#63222)
[16:14:34	]C45:RCT.YELLO-32 has gained a 'Stunstick' #65677.
[16:14:36	]C45:RCT.YELLO-32 has gained a 'SK Üniforması' #65678.
[16:14:37	]C45:RCT.YELLO-32 has gained a 'Çuval' #65679.
[16:14:37	]C45:RCT.YELLO-32 has gained a 'Çuval' #65680.
[16:14:38	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65681.
[16:14:39	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65682.
[16:14:39	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65683.
[16:14:40	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65684.
[16:14:40	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65685.
