[14:55:25	]bquits has connected.
[16:27:18	]Onur Yilmaz ran 'take' on item 'Plastik Levhalar' (#62868)
[16:27:18	]Onur Yilmaz has gained a 'Plastik Levhalar' #62868.
[16:27:21	][IC] Onur Yilmaz: Hop.
[16:27:23	][IC] Onur Yilmaz: Ben önce buldum.
[16:27:25	][IC] C45:i4.HELIX-86: <:: Söyle. ::>
[16:27:27	]Tommy Black ran 'split' on item 'Plastik Çöp' (#61643)
[16:27:27	]Tommy Black has gained a 'Plastik Çöp' #62872.
[16:27:27	][IC] Arthur Dane: İş saati ne zaman?
[16:27:28	]Tommy Black ran 'drop' on item 'Plastik Çöp' (#62872)
[16:27:28	]Tommy Black has lost a 'Plastik Çöp' #62872.
[16:27:29	]Onur Yilmaz ran 'take' on item 'Plastik Çöp' (#62872)
[16:27:29	]Onur Yilmaz has gained a 'Plastik Çöp' #62872.
[16:27:33	][IC] Onur Yilmaz: Götüme sokcam.
[16:27:34	][IC] C45:i4.HELIX-86: <:: Bitti bile çoktan. ::>
[16:27:38	]Rose Glass ran 'take' on item 'Plastik Çöp' (#62874)
[16:27:38	]Rose Glass has gained a 'Plastik Çöp' #62874.
[16:27:43	][IC] Arthur Dane: Sonrak ne zaman.
[16:27:52	][IC] C45:i4.HELIX-86: <:: Sana koşma demedimmi? ::>
[16:27:58	][IC] C45:i4.HELIX-86: <:: Belirsiz. ::>
[16:28:02	][IC] C45:i4.HELIX-86: <:: Sen. ::>
[16:28:04	]Tommy Black ran 'take' on item 'Boş Kupa' (#62878)
[16:28:04	]Tommy Black has gained a 'Boş Kupa' #62878.
[16:28:05	]Faruk Demirtaş entered observer.
[16:28:07	][IC] C45:i4.HELIX-86: <:: Sanada ilk uyarım koşma. ::>
[16:28:09	]Faruk Demirtaş exited observer at their location.
[16:28:11	]Faruk Demirtaş entered observer.
[16:28:12	]Faruk Demirtaş exited observer at their location.
[16:28:15	]Faruk Demirtaş has spawned a tool_metalbench.
[16:28:21	]Faruk Demirtaş has used a context menu option with the name: remove
[16:28:23	]Faruk Demirtaş has spawned a tool_metalbench.
[16:28:23	]Faruk Demirtaş entered observer.
[16:28:25	][IC] C45:i4.HELIX-86: <:: Bir daha yapma yoksa cezai işlem olcak. ::>
[16:28:30	]Faruk Demirtaş has spawned a tool_metalbench.
[16:28:33	][IC] Arthur Dane: Yaşasın Direniş ordusu.
[16:28:39	]Faruk Demirtaş has spawned a tool_metalbench.
[16:28:40	][IC] C45:i4.HELIX-86: <:: Ne? ::>
[16:28:44	]Emir Yilmaz ran 'take' on item 'Plastik Çöp' (#60174)
[16:28:44	]Emir Yilmaz has gained a 'Plastik Çöp' #60174.
[16:28:46	]Emir Yilmaz ran 'take' on item 'Boş Breen'in Suyu' (#61514)
[16:28:46	]Emir Yilmaz has gained a 'Boş Breen'in Suyu' #61514.
[16:28:48	][Y] C45:i4.HELIX-86: <:: DUVARA. ::>
[16:28:51	]Faruk Demirtaş has spawned a tool_metalbench.
[16:28:51	][IC] C45:i4.HELIX-86: <:: Şimdi. ::>
[16:28:54	][IC] Arthur Dane: Ne ne?
[16:28:55	][IC] C45:i4.HELIX-86: <:: HEMEN DUVARA GEÇ. ::>
[16:28:56	][IC] Arthur Dane: Neden.
[16:29:01	]Rose Glass ran SAM command 'asay' with arguments: 'şifre'
[16:29:01	]Rose Glass used command '/Help şifre'.
[16:29:03	][IC] C45:i4.HELIX-86: <:: Yürü! ::>
[16:29:04	]Emir Yilmaz has gained a 'Bilgisayar Parçaları' #62887.
[16:29:06	]Emir Yilmaz ran 'take' on item 'Bilgisayar Monitörü' (#62886)
[16:29:08	]Faruk Demirtaş claimed a report by Rose Glass (Nesreo).
[16:29:08	]Faruk Demirtaş ran SAM command 'goto' with arguments: '#6'
[16:29:10	][IC] Arthur Dane: YAŞASIN DIRENİŞ HALKI.
[16:29:15	]Arthur Dane was just knocked out due to: hit by stunstick owned by C45:i4.HELIX-86
[16:29:16	]Faruk Demirtaş used command '/PM rose 3379'.
[16:29:16	]Emir Yilmaz ran 'take' on item 'Bilgisayar Monitörü' (#62886)
[16:29:17	]C45:i4.HELIX-86 has critically hit Arthur Dane in the left leg dealing 2 damage (CritChance was 0.96).
[16:29:17	]Arthur Dane has taken 2 damage from C45:i4.HELIX-86.
[16:29:17	][LOOC] Rose Glass: söyleyebilirmisin
[16:29:17	]C45:i4.HELIX-86 has critically hit Arthur Dane in the left leg dealing 2 damage (CritChance was 0.96).
[16:29:17	]Arthur Dane has taken 2 damage from C45:i4.HELIX-86.
[16:29:18	][IC] Arthur Dane: AJHHHH.
[16:29:19	]C45:i4.HELIX-86 has critically hit Arthur Dane in the left leg dealing 2 damage (CritChance was 0.96).
[16:29:19	]Arthur Dane has taken 2 damage from C45:i4.HELIX-86.
[16:29:20	]C45:i4.HELIX-86 has critically hit Arthur Dane in the right leg dealing 2 damage (CritChance was 0.96).
[16:29:20	]Arthur Dane has taken 2 damage from C45:i4.HELIX-86.
[16:29:20	]Emir Yilmaz ran 'drop' on item 'Plastik Kova' (#62838)
[16:29:20	]Emir Yilmaz has lost a 'Plastik Kova' #62838.
[16:29:20	][IC] Arthur Dane: AHHH.
[16:29:21	]Emir Yilmaz ran 'take' on item 'Bilgisayar Monitörü' (#62886)
[16:29:21	]Emir Yilmaz has gained a 'Bilgisayar Monitörü' #62886.
[16:29:22	]Faruk Demirtaş ran SAM command 'return' with arguments: '^'
[16:29:23	][IC] Arthur Dane: AHH.
[16:29:24	]Emir Yilmaz ran 'take' on item 'Elektronik devreler' (#62179)
[16:29:24	]Emir Yilmaz has gained a 'Elektronik devreler' #62179.
[16:29:25	]Faruk Demirtaş has used a context menu option with the name: remove
[16:29:25	]John Brookly is no longer afk. Total time spent AFK: 455
[16:29:27	]Faruk Demirtaş has used a context menu option with the name: remove
[16:29:28	]Faruk Demirtaş has used a context menu option with the name: remove
[16:29:30	][IC] Arthur Dane: Beynim.
[16:29:33	]Onur Yilmaz ran 'take' on item 'Plastik Kova' (#62838)
[16:29:33	]Onur Yilmaz has gained a 'Plastik Kova' #62838.
[16:29:34	]Faruk Demirtaş has fired a toolgun with the name: remover
[16:29:34	]Faruk Demirtaş has fired a toolgun with the name: remover
[16:29:35	]Faruk Demirtaş has fired a toolgun with the name: remover
[16:29:35	]Faruk Demirtaş has fired a toolgun with the name: remover
[16:29:36	]Faruk Demirtaş has fired a toolgun with the name: remover
[16:29:36	][IC] Arthur Dane: Etraf bulanık.
[16:29:36	]Faruk Demirtaş has fired a toolgun with the name: remover
[16:29:37	]Faruk Demirtaş has fired a toolgun with the name: remover
[16:29:44	]Faruk Demirtaş ran SAM command 'asay' with arguments: 'beyin'
[16:29:46	]Ellie Williams has unloaded their "Tommy Black" character.
[16:29:47	]Faruk Demirtaş ran SAM command 'asay' with arguments: 'mermi yaptırcam adamlara'
[16:29:49	]John Brookly ran SAM command 'asay' with arguments: 'he'
[16:29:49	]Faruk Demirtaş has spawned a tool_metalbench.
[16:29:50	]Ellie Williams loaded the character 'C24:i5.UNION-61'
[16:29:50	]Sergey Volkov exited observer at their location.
[16:29:53	]Sergey Volkov entered observer.
[16:29:54	]C24:i5.UNION-61 used command '/Radio 10-8'.
[16:29:54	]Emir Yilmaz ran 'take' on item 'Bilgisayar Parçaları' (#62890)
[16:29:54	]Rose Glass has performed the 'Craft Parçala: Bitki Saksısı' action, gaining 40 experience in crafting.
[16:29:54	]Rose Glass has gained a 'Cam kırıkları' #62891.
[16:29:56	]Sergey Volkov exited observer at their location.
[16:29:57	]Sergey Volkov entered observer.
[16:29:57	]Emir Yilmaz ran 'take' on item 'Boş Breen'in Suyu' (#62889)
[16:29:57	]Faruk Demirtaş has spawned a tool_metalbench.
[16:30:00	]Rose Glass has performed the 'Craft Parçala: Bitki Saksısı' action, gaining 40 experience in crafting.
[16:30:00	]Onur Yilmaz ran 'take' on item 'Bilgisayar Parçaları' (#62890)
[16:30:00	]Onur Yilmaz has gained a 'Bilgisayar Parçaları' #62890.
[16:30:02	][IC] C45:i4.HELIX-86: <:: 61. ::>
[16:30:02	]Onur Yilmaz ran 'take' on item 'Boş Breen'in Suyu' (#62889)
[16:30:02	]Onur Yilmaz has gained a 'Boş Breen'in Suyu' #62889.
[16:30:03	][IC] C24:i5.UNION-61: <:: Noluyo. ::>
[16:30:06	][IC] C24:i5.UNION-61: <:: Dinliyorum. ::>
[16:30:07	]John Brookly ran SAM command 'asay' with arguments: 'üst düzey vardiya olduğu için fazla vercen'
[16:30:08	]Sergey Volkov exited observer at their location.
[16:30:10	][IC] Arthur Dane: Ahh.
[16:30:10	]Faruk Demirtaş ran SAM command 'asay' with arguments: 'evet'
[16:30:10	][IC] C45:i4.HELIX-86: <:: Bu herif daha demin ne dedi biliyormusun. ::>
[16:30:14	]Victorian (STEAM_0:0:577700614) has disconnected.
[16:30:14	]Faruk Demirtaş ran SAM command 'asay' with arguments: 'nereden bakıcam onada'
[16:30:15	][IC] C24:i5.UNION-61: <:: Fikrim yok. ::>
[16:30:17	]Faruk Demirtaş ran SAM command 'asay' with arguments: 'onuda göster'
[16:30:17	][IC] C24:i5.UNION-61: <:: Küfür mü. ::>
[16:30:17	][IC] C45:i4.HELIX-86: <:: Yaşasın direniş ordusu dedi aptal. ::>
[16:30:21	][IC] C24:i5.UNION-61: <:: Haha. ::>
[16:30:24	][IC] Arthur Dane: Ahh kafam.
[16:30:26	][IC] C24:i5.UNION-61: <:: Ölümünü imzaladı. ::>
[16:30:29	]Onur Yilmaz has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[16:30:29	]Faruk Demirtaş ran SAM command 'asay' with arguments: 'bide şu voicline'ı hallet'
[16:30:30	][IC] C45:i4.HELIX-86: <:: Bencede. ::>
[16:30:32	]Emir Yilmaz opened the 'Çöp Kutusu' #5690 container.
[16:30:34	][IC] Arthur Dane: Ahh noluyor nerdeyim.
[16:30:36	]Emir Yilmaz ran 'combine' on item 'Plastik Çöp' (#60174)
[16:30:38	][IC] Arthur Dane: Kafam.
[16:30:39	]Faruk Demirtaş exited observer at their location.
[16:30:41	]Emir Yilmaz has transferred a 'Boş Breen'in Suyu' #61514 to a container with the name 'Çöp Kutusu' #5690.
[16:30:42	]Onur Yilmaz ran 'take' on item 'Rasyon' (#62893)
[16:30:42	]Onur Yilmaz has gained a 'Rasyon' #62893.
[16:30:43	]Emir Yilmaz has transferred a 'Boş Breen'in Suyu' #60506 to a container with the name 'Çöp Kutusu' #5690.
[16:30:43	][IC] Arthur Dane: Bırakın beni.
[16:30:44	]Emir Yilmaz closed the 'Çöp Kutusu' #5690 container.
[16:30:44	][IC] C24:i5.UNION-61: <:: Ah. ::>
[16:30:45	]Faruk Demirtaş has spawned a büyük_metal_dolap.
[16:30:46	][IC] C24:i5.UNION-61: <:: Hassiktir! ::>
[16:30:48	]Faruk Demirtaş ran 'take' on item 'Büyük Metal Dolap' (#62894)
[16:30:48	]Faruk Demirtaş has gained a 'Büyük Metal Dolap' #62894.
[16:30:48	]John Brookly exited observer at their location.
[16:30:49	]John Brookly entered observer.
[16:30:49	]John Brookly exited observer at their location.
[16:30:49	]Faruk Demirtaş ran 'Place' on item 'Büyük Metal Dolap' (#62894)
[16:30:49	][IC] C45:i4.HELIX-86: <:: Ne? ::>
[16:30:50	][IC] C24:i5.UNION-61: <:: Cuvalım. ::>
[16:30:50	]Faruk Demirtaş created a 'Büyük Metal Dolap' container.
[16:30:50	][IC] C24:i5.UNION-61: <:: Yok. ::>
[16:30:51	]Onur Yilmaz ran 'drop' on item 'Rasyon' (#62893)
[16:30:51	]Onur Yilmaz has lost a 'Rasyon' #62893.
[16:30:53	][IC] C24:i5.UNION-61: <:: Kelepçem de. ::>
[16:30:53	]Onur Yilmaz ran 'take' on item 'Rasyon' (#62893)
[16:30:53	]Onur Yilmaz has gained a 'Rasyon' #62893.
[16:30:54	][IC] C24:i5.UNION-61: <:: Neyse. ::>
[16:30:54	]John Brookly entered observer.
[16:30:54	]Onur Yilmaz ran 'Open' on item 'Rasyon' (#62893)
[16:30:54	]Onur Yilmaz has gained a 'Yapay Macun' #62895.
[16:30:54	]Onur Yilmaz has gained a 'Breen'in Suyu' #62896.
[16:30:54	]Onur Yilmaz has gained a '15 Kredi Kuponu' #62897.
[16:30:56	]John Brookly opened the 'Dropped Items' #5939 container.
[16:30:58	]John Brookly closed the 'Dropped Items' #5939 container.
[16:30:58	][IC] C24:i5.UNION-61: <:: Sen. ::>
[16:31:01	][IC] C24:i5.UNION-61: <:: Aptal sivil. ::>
[16:31:03	][IC] C24:i5.UNION-61: <:: Duvara geç. ::>
[16:31:03	]John Brookly exited observer at their location.
[16:31:04	][IC] C24:i5.UNION-61: <:: Şimdi. ::>
[16:31:05	]John Brookly ran 'Write' on item 'M\h0met 02^#$> GÜNLÜĞÜ (yıpranmış)' (#55576)
[16:31:06	][IC] Arthur Dane: Sensin o.
[16:31:08	]John Brookly entered observer.
[16:31:09	]Faruk Demirtaş has given himself a comp_refinedchemical.
[16:31:09	]Faruk Demirtaş has gained a 'Rafine Kimyasallar' #62898.
[16:31:11	]Faruk Demirtaş has given himself a comp_refinedchemical.
[16:31:11	]Faruk Demirtaş has gained a 'Rafine Kimyasallar' #62899.
[16:31:11	]Rose Glass ran 'take' on item 'Yeşil Tulum' (#62513)
[16:31:11	]Rose Glass has gained a 'Yeşil Tulum' #62513.
[16:31:11	]Faruk Demirtaş has given himself a comp_refinedchemical.
[16:31:11	]Faruk Demirtaş has gained a 'Rafine Kimyasallar' #62900.
[16:31:12	]Faruk Demirtaş has given himself a comp_refinedchemical.
[16:31:12	]Faruk Demirtaş has gained a 'Rafine Kimyasallar' #62901.
[16:31:12	]John Brookly exited observer at their location.
[16:31:13	][IC] Arthur Dane: Yaşasın direniş.
[16:31:13	]John Brookly entered observer.
[16:31:14	][ME] C24:i5.UNION-61: herifin üstünü aramaya başllar
[16:31:14	]John Brookly exited observer at their location.
[16:31:15	]Faruk Demirtaş has given himself a comp_alcohol.
[16:31:15	]Faruk Demirtaş has gained a 'Alkol' #62902.
[16:31:15	]Faruk Demirtaş has given himself a comp_alcohol.
[16:31:15	]Faruk Demirtaş has gained a 'Alkol' #62903.
[16:31:16	]Faruk Demirtaş has given himself a comp_alcohol.
[16:31:16	]Faruk Demirtaş has gained a 'Alkol' #62904.
[16:31:17	][IT] C24:i5.UNION-61: diirenir mii
[16:31:17	]John Brookly entered observer.
[16:31:17	][IC] C45:i4.HELIX-86: <:: Ne dedin sen benim birimime? ::>
[16:31:19	]Faruk Demirtaş ran 'Use' on item 'Metal Tezgah' (#62892)
[16:31:21	][IC] Arthur Dane: LAMBDA Kardeşliği.
[16:31:25	]Onur Yilmaz ran 'Use' on item '15 Kredi Kuponu' (#62897)
[16:31:26	]C24:i5.UNION-61 used command '/CharSearch'.
[16:31:27	]Onur Yilmaz has used a coupon at a ration dispenser, gaining 15 credits.
[16:31:32	][IC] Arthur Dane: Bırak beni.
[16:31:33	]Faruk Demirtaş ran SAM command 'asay' with arguments: 'seviye 10 gerektiriyor ama'
[16:31:36	]Faruk Demirtaş ran SAM command 'asay' with arguments: 'nasıl yapcaz'
[16:31:36	][IC] Arthur Dane: Kolummm.
[16:31:37	][IC] C24:i5.UNION-61: <:: Herifin adı arthur. ::>
[16:31:37	]Onur Yilmaz ran 'Consume' on item 'Breen'in Suyu' (#62896)
[16:31:37	]Onur Yilmaz has gained a 'Boş Breen'in Suyu' #62905.
[16:31:39	]Faruk Demirtaş has fired a toolgun with the name: remover
[16:31:39	]Faruk Demirtaş has fired a toolgun with the name: remover
[16:31:39	]Faruk Demirtaş has fired a toolgun with the name: remover
[16:31:39	]Faruk Demirtaş has fired a toolgun with the name: remover
[16:31:40	]Faruk Demirtaş has fired a toolgun with the name: remover
[16:31:40	]Faruk Demirtaş has fired a toolgun with the name: remover
[16:31:40	]Faruk Demirtaş has fired a toolgun with the name: remover
[16:31:40	]Faruk Demirtaş has fired a toolgun with the name: remover
[16:31:40	][IC] C24:i5.UNION-61: <:: Haha. ::>
[16:31:41	]Faruk Demirtaş has fired a toolgun with the name: remover
[16:31:42	]Onur Yilmaz ran 'Consume' on item 'Yapay Macun' (#62895)
[16:31:42	][IC] Arthur Dane: Bırak dedim.
[16:31:42	]Onur Yilmaz has gained a 'Boş Kavanoz' #62906.
[16:31:43	]Faruk Demirtaş ran SAM command 'asay' with arguments: 'sildim'
[16:31:43	]Faruk Demirtaş entered observer.
[16:31:44	]Faruk Demirtaş exited observer at their location.
[16:31:46	][IC] C24:i5.UNION-61: <:: Efendim. ::>
[16:31:49	][IC] C24:i5.UNION-61: <:: Kelepçe verir misiniz. ::>
[16:31:50	][IC] C45:i4.HELIX-86: <:: Söyle. ::>
[16:31:57	][IC] Arthur Dane: Hayır.
[16:32:01	][ME] Rose Glass: kameraları inceler
[16:32:02	][LOOC] C24:i5.UNION-61: missclijk
[16:32:07	][IC] C45:i4.HELIX-86: <:: Dön. ::>
[16:32:10	][IC] C45:i4.HELIX-86: <:: Arkanı. ::>
[16:32:12	]Faruk Demirtaş entered observer.
[16:32:13	]Faruk Demirtaş exited observer at their location.
[16:32:16	][IC] C24:i5.UNION-61: <:: Sorguya almak şart. ::>
[16:32:17	]Faruk Demirtaş has spawned 'models/props_wasteland/controlroom_desk001b.mdl'.
[16:32:18	]Faruk Demirtaş has spawned 'models/props_wasteland/kitchen_counter001a.mdl'.
[16:32:19	]Faruk Demirtaş has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[16:32:22	][IC] Arthur Dane: Lanetler sizi.
[16:32:25	]Faruk Demirtaş has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[16:32:25	][IC] Rose Glass: Siktir.
[16:32:27	]Emir Yilmaz ran 'take' on item 'Arıtıcı' (#62120)
[16:32:27	]Emir Yilmaz has gained a 'Arıtıcı' #62120.
[16:32:27	][IC] Rose Glass: Nası çıkacağım.
[16:32:28	]C24:i5.UNION-61 ran 'drop' on item 'Dezenfekte Bandaj Rulosu' (#58647)
[16:32:28	]C24:i5.UNION-61 has lost a 'Dezenfekte Bandaj Rulosu' #58647.
[16:32:30	]Faruk Demirtaş has enabled persistence for 'models/props_wasteland/kitchen_counter001d.mdl'.
[16:32:30	]Faruk Demirtaş has used a context menu option with the name: persist
[16:32:31	]Faruk Demirtaş has enabled persistence for 'models/props_wasteland/kitchen_counter001d.mdl'.
[16:32:31	]Faruk Demirtaş has used a context menu option with the name: persist
[16:32:31	]Faruk Demirtaş entered observer.
[16:32:33	]Faruk Demirtaş exited observer at their location.
[16:32:35	][IC] C24:i5.UNION-61: <:: Itaat etseniz bir sikim olmayacak. ::>
[16:32:35	][IC] Rose Glass: Düğmede çalışmıyor.
[16:32:37	]Faruk Demirtaş has spawned 'models/props_wasteland/controlroom_chair001a.mdl'.
[16:32:37	]Faruk Demirtaş entered observer.
[16:32:40	][ME] C45:i4.HELIX-86: Hedefin ellerini sert bir şekilde kelepçeler
[16:32:40	]Emir Yilmaz has performed the 'Craft El Yapımı El Feneri' action, gaining 50 experience in crafting.
[16:32:40	]Emir Yilmaz has gained a 'El Feneri' #62907.
[16:32:41	]Faruk Demirtaş has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[16:32:44	][IC] Arthur Dane: AHHH.
[16:32:46	]C45:i4.HELIX-86 ran 'Use' on item 'Lastik Kelepçe' (#52465)
[16:32:46	]Faruk Demirtaş has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[16:32:46	][IC] Arthur Dane: Kolumm.
[16:32:50	][IC] Arthur Dane: Pis herif.
[16:32:51	][IC] C24:i5.UNION-61: <:: Ters kelepçeleyin kaçamasın. ::>
[16:32:54	][IC] C24:i5.UNION-61: <:: Zaten kaçamaz da. ::>
[16:32:56	][IC] C45:i4.HELIX-86: <:: Al bunu. ::>
[16:33:17	][IC] C24:i5.UNION-61: <:: Eğlence zamanı. ::>
[16:33:18	]Faruk Demirtaş ran SAM command 'asay' with arguments: 'beyin'
[16:33:21	][IC] Arthur Dane: Bırak lan.
[16:33:21	]Faruk Demirtaş ran SAM command 'asay' with arguments: 'bana metin atsana'
[16:33:25	][IC] C45:i4.HELIX-86: <:: 61. ::>
[16:33:27	]Faruk Demirtaş ran SAM command 'asay' with arguments: 'birde nereden açıcam o sesi'
[16:33:28	][IC] C24:i5.UNION-61: <:: Dinlemede. ::>
[16:33:30	][IC] Arthur Dane: Bırak olum.
[16:33:32	]Faruk Demirtaş ran SAM command 'asay' with arguments: 'çalışma oturumu başlamıştır'
[16:33:35	][IC] C24:i5.UNION-61: <:: Çeneni kapat. ::>
[16:33:35	]Faruk Demirtaş has spawned a usable entity class 'ix_chair' with model 'models/props_interiors/furniture_chair03a.mdl'.
[16:33:35	]Faruk Demirtaş has used a context menu option with the name: ixusableentitycreate
[16:33:36	]Faruk Demirtaş created a stash (models/props_interiors/furniture_chair03a.mdl).
[16:33:36	]Faruk Demirtaş has used a context menu option with the name: ixcreatestash
[16:33:37	]John Brookly ran SAM command 'asay' with arguments: 'metin kendi kafana göre yaz'
[16:33:37	][IC] C45:i4.HELIX-86: <:: Ben gelince sorguya başlarsın bunu şuan sorgu odasına al. ::>
[16:33:38	]Faruk Demirtaş has used a context menu option with the name: remove
[16:33:40	]Faruk Demirtaş has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[16:33:41	][IC] Arthur Dane: Bıraksana bak pis ederim seni.
[16:33:43	][IC] C24:i5.UNION-61: <:: Anlaşıldı. ::>
[16:33:45	]Onur Yilmaz opened the 'Çöp Konteyneri' #5552 container.
[16:33:47	]Faruk Demirtaş has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[16:33:51	]Onur Yilmaz has gained a 'Kırık Klavye' #56461 from a container with the name 'Çöp Konteyneri' #5552.
[16:33:51	]John Brookly ran SAM command 'asay' with arguments: '/playsoundglobal wnt/sibbildiri.mp3'
[16:33:52	][IC] Arthur Dane: Komik değil.
[16:33:52	][IC] C24:i5.UNION-61: <:: Bak maymun. ::>
[16:33:56	]Onur Yilmaz has transferred a 'Boş Breen'in Suyu' #62905 to a container with the name 'Çöp Konteyneri' #5552.
[16:33:58	][IC] C24:i5.UNION-61: <:: Ordaki eşyalar kimin sence. ::>
[16:33:58	]Faruk Demirtaş ran SAM command 'asay' with arguments: 'okey'
[16:33:59	]Faruk Demirtaş has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[16:34:02	][IC] Arthur Dane: Kapa çeneni robot.
[16:34:06	]Onur Yilmaz has gained a 'Boş Breen'in Suyu' #62905 from a container with the name 'Çöp Konteyneri' #5552.
[16:34:08	][IC] C24:i5.UNION-61: <:: Senin gibi bi salağı önceden ampute edildi. ::>
[16:34:08	]Onur Yilmaz has gained a 'Boş Kahverengi Şişe' #62451 from a container with the name 'Çöp Konteyneri' #5552.
[16:34:10	]Faruk Demirtaş has spawned a usable entity class 'ix_chair' with model 'models/props_interiors/furniture_chair03a.mdl'.
[16:34:10	]Faruk Demirtaş has used a context menu option with the name: ixusableentitycreate
[16:34:11	]Faruk Demirtaş has spawned a usable entity class 'ix_chair' with model 'models/props_interiors/furniture_chair03a.mdl'.
[16:34:11	]Faruk Demirtaş has used a context menu option with the name: ixusableentitycreate
[16:34:11	][Y] C24:i5.UNION-61: <:: Yani infaz. ::>
[16:34:13	]Onur Yilmaz has gained a 'Kırık Lamba' #58696 from a container with the name 'Çöp Konteyneri' #5552.
[16:34:14	]Faruk Demirtaş has spawned a usable entity class 'ix_chair' with model 'models/props_interiors/furniture_chair03a.mdl'.
[16:34:14	]Faruk Demirtaş has used a context menu option with the name: ixusableentitycreate
[16:34:14	]Onur Yilmaz has gained a 'Kırık Lamba' #59611 from a container with the name 'Çöp Konteyneri' #5552.
[16:34:15	]Onur Yilmaz closed the 'Çöp Konteyneri' #5552 container.
[16:34:16	]Faruk Demirtaş has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[16:34:20	]Onur Yilmaz opened the 'Çöp Konteyneri' #5552 container.
[16:34:21	][IC] Arthur Dane: Ben kimseden korkmam.
[16:34:22	]Faruk Demirtaş has spawned a usable entity class 'ix_chair' with model 'models/props_interiors/furniture_chair03a.mdl'.
[16:34:22	]Faruk Demirtaş has used a context menu option with the name: ixusableentitycreate
[16:34:23	]Onur Yilmaz closed the 'Çöp Konteyneri' #5552 container.
[16:34:23	][IC] C24:i5.UNION-61: <:: Ve ben robot değilim robotar osg ota lar. ::>
[16:34:25	]Faruk Demirtaş has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[16:34:26	][IC] C24:i5.UNION-61: <:: Bende bir insanım. ::>
[16:34:27	][IC] C24:i5.UNION-61: <:: Haha. ::>
[16:34:28	]Faruk Demirtaş has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[16:34:30	]C24:i5.UNION-61 opened the 'Dropped Items' #6020 container.
[16:34:31	]Faruk Demirtaş has spawned a usable entity class 'ix_chair' with model 'models/props_interiors/furniture_chair03a.mdl'.
[16:34:31	]Faruk Demirtaş has used a context menu option with the name: ixusableentitycreate
[16:34:32	]C45:i4.HELIX-86 has acquired his ration, gaining 0 credits, 0 wages and a civil_protection_ration ration.
[16:34:33	]C24:i5.UNION-61 closed the 'Dropped Items' #6020 container.
[16:34:38	]Faruk Demirtaş has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[16:34:41	]Faruk Demirtaş has spawned a usable entity class 'ix_chair' with model 'models/props_interiors/furniture_chair03a.mdl'.
[16:34:41	]Faruk Demirtaş has used a context menu option with the name: ixusableentitycreate
[16:34:42	]Faruk Demirtaş has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[16:34:45	]Faruk Demirtaş has spawned a usable entity class 'ix_chair' with model 'models/props_interiors/furniture_chair03a.mdl'.
[16:34:45	]Faruk Demirtaş has used a context menu option with the name: ixusableentitycreate
[16:34:48	][IC] Arthur Dane: Robot insan siz Direnişe ihanet ettiniz pislik robotlar.
[16:34:54	]C45:i4.HELIX-86 ran 'take' on item 'Sivil Koruma Rasyonu' (#62908)
[16:34:54	]C45:i4.HELIX-86 has gained a 'Sivil Koruma Rasyonu' #62908.
[16:34:57	]C45:i4.HELIX-86 ran 'Open' on item 'Sivil Koruma Rasyonu' (#62908)
[16:34:57	]C45:i4.HELIX-86 has gained a 'Metropolice Takviyeleri' #62909.
[16:34:57	]C45:i4.HELIX-86 has gained a 'Soda Bob Brawn' #62910.
[16:34:57	]C45:i4.HELIX-86 has gained a '20 Kredi Kuponu' #62911.
[16:34:58	][IC] C24:i5.UNION-61: <:: Hiçbir zaman direnişyte olmadım. ::>
[16:34:59	]C45:i4.HELIX-86 ran 'Consume' on item 'Metropolice Takviyeleri' (#62909)
[16:34:59	]C45:i4.HELIX-86 extended their level 3 long boost in Güç.
[16:34:59	]Onur Yilmaz has performed the 'Craft Parçala: Boş Kavanoz' action, gaining 20 experience in crafting.
[16:35:00	]C45:i4.HELIX-86 ran 'Consume' on item 'Soda Bob Brawn' (#62910)
[16:35:00	]C45:i4.HELIX-86 extended their level 1 long boost in Algı.
[16:35:00	]C45:i4.HELIX-86 extended their level 2 long boost in Çeviklik.
[16:35:02	]Onur Yilmaz has performed the 'Craft Parçala: Vodka Şişesi' action, gaining 20 experience in crafting.
[16:35:02	]Onur Yilmaz has gained a 'Cam kırıkları' #62912.
[16:35:03	]Faruk Demirtaş exited observer at their location.
[16:35:03	]C45:i4.HELIX-86 ran 'Use' on item '20 Kredi Kuponu' (#62911)
[16:35:04	][IC] C24:i5.UNION-61: <:: Aksine hepsini yok etmeye çalışıyorum. ::>
[16:35:05	]C45:i4.HELIX-86 has used a coupon at a ration dispenser, gaining 20 credits.
