[18:38:39	]Inkaaz has connected.
[19:33:09	]Leszek Miller ran 'Listen' on item 'Naucz się Albańskiego - Część 1 - Audiobook' (#4205)
[19:33:11	]Leszek Miller has spawned a audiobook_1Albański.
[19:33:13	]Leszek Miller ran 'Listen' on item 'Naucz się Albańskiego - Część 1 - Audiobook' (#4206)
[19:33:17	]Leszek Miller has used a context menu option with the name: remove
[19:33:35	]Leszek Miller has spawned a 'Entity [142][ix_infestation_tank]'.
[19:33:41	]Leszek Miller has spawned a 'Entity [142][ix_combinemonitor]'.
[19:33:45	]Leszek Miller has spawned a 'Entity [142][ix_fabricator]'.
[19:33:47	]Leszek Miller has spawned a 'Entity [142][ix_newspaperprinter]'.
[19:33:57	]Leszek Miller has spawned a 'Entity [142][ix_fabricator]'.
[19:33:59	]Leszek Miller has spawned a 'Entity [142][ix_forcefield]'.
[19:34:07	]Leszek Miller has spawned a 'Entity [142][ix_forcefield]'.
[19:34:10	]Leszek Miller has spawned a 'Entity [142][ix_forcefield]'.
[19:34:14	]Leszek Miller has spawned a 'Entity [142][ix_forcefield]'.
[19:34:17	]Leszek Miller has spawned a 'Entity [142][ix_forcefield]'.
[19:34:21	]Leszek Miller has spawned a 'Entity [142][ix_forcefield]'.
[19:34:23	]Leszek Miller entered observer.
[19:34:26	]Leszek Miller exited observer at their location.
[19:34:26	]Leszek Miller entered observer.
[19:34:27	]Leszek Miller exited observer at their location.
[19:34:27	]Leszek Miller entered observer.
[19:34:28	]Leszek Miller exited observer at their location.
[19:34:28	]Leszek Miller entered observer.
[19:34:29	]Leszek Miller exited observer at their location.
[19:34:31	]Leszek Miller entered observer.
[19:34:31	]Leszek Miller exited observer at their location.
[19:34:32	]Leszek Miller entered observer.
[19:34:32	]Leszek Miller exited observer at their location.
[19:34:32	]Leszek Miller entered observer.
[19:34:33	]Leszek Miller exited observer at their location.
[19:34:35	]Leszek Miller entered observer.
[19:34:37	]Leszek Miller exited observer at their location.
[19:34:38	]Leszek Miller entered observer.
[19:34:38	]Leszek Miller exited observer at their location.
[19:34:41	]Leszek Miller entered observer.
[19:34:42	]Leszek Miller exited observer at their location.
[19:34:45	]Leszek Miller entered observer.
[19:34:45	]Leszek Miller exited observer at their location.
[19:34:46	]Leszek Miller entered observer.
[19:34:47	]Leszek Miller exited observer at their location.
[19:34:49	]Leszek Miller has taken 1 damage from worldspawn.
[19:34:49	]Leszek Miller entered observer.
[19:34:50	]Leszek Miller exited observer at their location.
[19:34:50	]Leszek Miller has taken 4 damage from worldspawn.
[19:34:51	]Leszek Miller entered observer.
[19:34:51	]Leszek Miller exited observer at their location.
[19:34:52	]Leszek Miller was knocked unconscious and is bleeding out.
[19:35:07	]Leszek Miller was just killed due to: accepting their death
[19:35:12	]Leszek Miller entered observer.
[19:35:15	]Leszek Miller exited observer at their location.
[19:35:18	]Leszek Miller entered observer.
[19:35:19	]Leszek Miller exited observer at their location.
[19:35:20	]Leszek Miller entered observer.
[19:35:22	]Leszek Miller exited observer at their location.
[19:35:49	]Leszek Miller entered observer.
[19:35:52	]Leszek Miller exited observer at their location.
[19:36:20	]Recik has connected.
[19:36:47	]Leszek Miller entered observer.
[19:36:47	]Leszek Miller exited observer at their location.
[19:36:54	]Leszek Miller has spawned a 'Entity [163][ix_cwuterminal]'.
[19:36:56	]Leszek Miller has spawned a 'Entity [163][ix_smuggler]'.
[19:36:58	]Leszek Miller has spawned a 'Entity [164][ix_teleporter]'.
[19:36:59	]Leszek Miller has spawned a 'Entity [163][ix_trashcollector]'.
[19:37:07	]Leszek Miller has spawned a 'Entity [163][ix_cigarette]'.
[19:37:08	]Leszek Miller entered observer.
[19:37:09	]Leszek Miller exited observer at their location.
[19:37:13	]Leszek Miller entered observer.
[19:37:13	]Leszek Miller exited observer at their location.
[19:37:14	]Leszek Miller entered observer.
[19:37:14	]Leszek Miller exited observer at their location.
[19:37:14	]Leszek Miller entered observer.
[19:37:15	]Leszek Miller exited observer at their location.
[19:37:16	]Leszek Miller entered observer.
[19:37:17	]Leszek Miller exited observer at their location.
[19:37:17	]Leszek Miller entered observer.
[19:37:17	]Leszek Miller exited observer at their location.
[19:38:10	]Leszek Miller entered observer.
[19:38:11	]Leszek Miller exited observer at their location.
[19:38:12	]Leszek Miller entered observer.
[19:38:13	]Leszek Miller exited observer at their location.
[19:38:14	]Leszek Miller entered observer.
[19:38:14	]Leszek Miller exited observer at their location.
[19:38:14	]Leszek Miller entered observer.
[19:38:14	]Leszek Miller exited observer at their location.
[19:38:44	]Leszek Miller has spawned a pulse.
[19:38:45	]Leszek Miller ran 'take' on item 'AR-2' (#4207)
[19:38:45	]Leszek Miller has gained a 'AR-2' #4207.
[19:38:49	]Leszek Miller ran 'Equip' on item 'AR-2' (#4207)
[19:38:55	]Recik loaded the character 'Rak d'
[19:38:58	]Leszek Miller has spawned a ar2ammo.
[19:38:59	]Leszek Miller ran 'use' on item 'Pulse-Rifle Energy' (#4208)
[19:39:02	]Leszek Miller has spawned a ar2ammo.
[19:39:03	]Leszek Miller ran 'use' on item 'Pulse-Rifle Energy' (#4209)
[19:39:20	]Leszek Miller entered observer.
[19:39:26	]Leszek Miller exited observer at their location.
[19:39:31	]Leszek Miller has spawned a assaultammo.
[19:39:32	]Leszek Miller ran 'use' on item 'Assault Rifle Ammo' (#4210)
[19:39:33	]Leszek Miller has spawned a assaultammo.
[19:39:42	]Leszek Miller has used a context menu option with the name: remove
[19:39:50	][IC] Rak d: Odsun sie murzynko.
[19:39:53	][IC] Leszek Miller: Nie.
[19:39:55	][IC] Leszek Miller: I zreszta.
[19:40:01	][IC] Leszek Miller: Jestem trans plciowym meżczyzną.
[19:40:05	][IC] Rak d: CZARNUCHU WYPAD.
[19:40:10	][IC] Leszek Miller: Przepraszam.
[19:40:28	]Rak d has spawned a 'Entity [164][ix_terminal]'.
[19:40:31	]Rak d has spawned a 'Entity [164][ix_computer]'.
[19:40:33	]Rak d has spawned a 'Entity [164][ix_crackedprinter]'.
[19:40:36	]Leszek Miller ran 'Equip' on item 'Light Grey Armband' (#4198)
[19:40:37	]Rak d has spawned a 'Entity [164][ix_newspaperprinter]'.
[19:40:37	]Leszek Miller ran 'EquipUn' on item 'Light Grey Armband' (#4198)
[19:40:54	]Leszek Miller has spawned a mp7a1.
[19:40:56	]Leszek Miller ran 'take' on item 'MP7A1' (#4212)
[19:40:58	]Leszek Miller ran 'EquipUn' on item 'AR-2' (#4207)
[19:40:58	]Leszek Miller ran 'drop' on item 'AR-2' (#4207)
[19:40:58	]Leszek Miller has lost a 'AR-2' #4207.
[19:41:00	]Leszek Miller entered observer.
[19:41:02	]Leszek Miller exited observer at their location.
[19:41:04	]Leszek Miller has used a context menu option with the name: remove
[19:41:05	]Leszek Miller ran 'take' on item 'MP7A1' (#4212)
[19:41:05	]Leszek Miller has gained a 'MP7A1' #4212.
[19:41:07	]Leszek Miller ran 'Equip' on item 'MP7A1' (#4212)
[19:41:32	]Leszek Miller has spawned a smg1ammo.
[19:41:33	]Leszek Miller ran 'use' on item 'SMG Bullets' (#4213)
[19:41:35	]Leszek Miller has spawned a smg1ammo.
[19:41:36	]Leszek Miller ran 'use' on item 'SMG Bullets' (#4214)
[19:41:45	]Rak d has spawned a 'Entity [179][ix_combinemonitor]'.
[19:41:46	]Leszek Miller has spawned a magazine_ak_30rnd.
[19:41:48	]Rak d has spawned a 'Entity [179][ix_computer]'.
[19:41:49	]Leszek Miller ran 'take' on item '30rnd AK-magazine' (#4215)
[19:41:49	]Leszek Miller has gained a '30rnd AK-magazine' #4215.
[19:41:49	]Leszek Miller has spawned a magazine_ak_30rnd.
[19:41:51	]Leszek Miller ran 'take' on item '30rnd AK-magazine' (#4216)
[19:41:51	]Leszek Miller has gained a '30rnd AK-magazine' #4216.
[19:42:01	]Leszek Miller has spawned a assaultammo.
[19:42:06	]Leszek Miller has used a context menu option with the name: remove
[19:42:07	]Leszek Miller has spawned a smg1ammo.
[19:42:09	]Leszek Miller ran 'take' on item 'SMG Bullets' (#4218)
[19:42:09	]Leszek Miller has gained a 'SMG Bullets' #4218.
[19:42:14	]Rak d has spawned 'models/props_combine/breendesk.mdl'.
[19:42:14	]Leszek Miller ran 'EquipUn' on item 'MP7A1' (#4212)
[19:42:17	]Leszek Miller ran 'drop' on item '30rnd AK-magazine' (#4216)
[19:42:17	]Leszek Miller has lost a '30rnd AK-magazine' #4216.
[19:42:17	]Leszek Miller ran 'drop' on item 'MP7A1' (#4212)
[19:42:17	]Leszek Miller has lost a 'MP7A1' #4212.
[19:42:19	]Leszek Miller ran 'take' on item '30rnd AK-magazine' (#4216)
[19:42:19	]Leszek Miller has gained a '30rnd AK-magazine' #4216.
[19:42:23	]Leszek Miller entered observer.
[19:42:24	]Leszek Miller exited observer at their location.
[19:42:25	]Rak d entered observer.
[19:42:25	]Rak d exited observer at their location.
[19:42:28	]Leszek Miller entered observer.
[19:42:29	]Leszek Miller exited observer at their location.
[19:42:29	]Leszek Miller entered observer.
[19:42:30	]Leszek Miller exited observer at their location.
[19:42:35	]Leszek Miller ran 'take' on item 'MP7A1' (#4212)
[19:42:35	]Leszek Miller has gained a 'MP7A1' #4212.
[19:42:38	]Leszek Miller ran 'drop' on item '30rnd AK-magazine' (#4215)
[19:42:38	]Leszek Miller has lost a '30rnd AK-magazine' #4215.
[19:42:39	]Leszek Miller ran 'drop' on item '30rnd AK-magazine' (#4216)
[19:42:39	]Leszek Miller has lost a '30rnd AK-magazine' #4216.
[19:42:41	]Leszek Miller has used a context menu option with the name: remove
[19:42:42	]Leszek Miller has used a context menu option with the name: remove
[19:42:46	]Rak d entered observer.
[19:42:47	]Leszek Miller has spawned a magazine_mp_30rnd.
[19:42:47	]Leszek Miller has spawned a magazine_mp_30rnd.
[19:42:50	]Rak d exited observer at their location.
[19:43:00	]Rak d ran SAM command 'slay' with arguments: '^'
[19:43:11	]Rak d entered observer.
[19:43:22	]Rak d exited observer at their location.
[19:43:25	]Rak d has used a context menu option with the name: remove
[19:45:14	]Leszek Miller has taken 5 damage from ix_item.
[19:45:57	]Leszek Miller has taken 10 damage from ix_item.
[19:46:07	]Leszek Miller has taken 5 damage from ix_item.
[19:46:29	]Rak d ran SAM command 'give' with arguments: '^' 'paper'
[19:46:31	]Leszek Miller has taken 5 damage from ix_item.
[19:46:35	]Leszek Miller has taken 5 damage from ix_item.
[19:46:35	]Rak d ran SAM command 'give' with arguments: '^' 'papier'
[19:47:30	]Leszek Miller has taken 5 damage from ix_item.
[19:47:50	]Recik (STEAM_0:1:57940784) has disconnected (timed out).
[19:48:20	]Leszek Miller has taken 5 damage from ix_item.
[19:52:36	]Wenli (STEAM_0:1:86169246) has disconnected.
[19:54:13	]Wenli has connected.
[19:54:44	]Wenli loaded the character 'Leszek Miller'
[19:54:52	]Leszek Miller entered observer.
[19:54:52	]Leszek Miller exited observer at their location.
[19:59:29	]Leszek Miller entered observer.
[19:59:31	]Leszek Miller exited observer at their location.
[19:59:31	]Leszek Miller entered observer.
[19:59:36	]Leszek Miller exited observer at their location.
[19:59:36	]Leszek Miller entered observer.
[19:59:53	]Leszek Miller used command '/CharGetHealing leszek'.
[19:59:55	]Leszek Miller exited observer at their location.
[19:59:55	]Leszek Miller entered observer.
[20:00:09	]Leszek Miller exited observer at their location.
[20:00:10	]Leszek Miller entered observer.
[20:00:13	]Leszek Miller exited observer at their location.
[20:00:13	]Leszek Miller entered observer.
[20:00:31	]Leszek Miller exited observer at their location.
[20:00:32	]Leszek Miller entered observer.
[20:00:39	]Leszek Miller exited observer at their location.
[20:00:39	]Leszek Miller entered observer.
[20:00:40	]Leszek Miller exited observer at their location.
[20:01:04	]Leszek Miller has spawned a 'Entity [148][item_healthvial]'.
[20:01:07	]Leszek Miller has spawned a 'Entity [148][item_healthkit]'.
[20:01:08	]Leszek Miller entered observer.
[20:01:10	]Leszek Miller exited observer at their location.
[20:01:10	]Leszek Miller has spawned a 'Entity [148][item_healthkit]'.
[20:01:12	]Leszek Miller entered observer.
[20:01:12	]Leszek Miller exited observer at their location.
[20:01:13	]Leszek Miller has spawned a 'Entity [148][item_healthkit]'.
[20:01:13	]Leszek Miller has spawned a 'Entity [151][item_healthkit]'.
[20:01:14	]Leszek Miller is fully healed.
[20:01:18	]Leszek Miller used command '/CharGetHealing leszek'.
[20:01:21	]Leszek Miller used command '/CharGetHealing leszek'.
[20:01:27	]Leszek Miller entered observer.
[20:01:28	]Leszek Miller exited observer at their location.
[20:01:30	]Leszek Miller entered observer.
[20:01:30	]Leszek Miller exited observer at their location.
[20:01:32	]Wenli has unloaded their "Leszek Miller" character.
[20:01:47	]Wenli (STEAM_0:1:86169246) deleted character 'cwelix andrzej'
[20:01:51	]Wenli loaded the character 'Leszek Miller'
[20:01:57	]Leszek Miller used command '/PlyWhitelist leszek ota'.
[20:02:00	]Wenli has unloaded their "Leszek Miller" character.
[20:02:56	]Wenli created the character 'S10/OWS.GHOST-38'
[20:02:56	]Wenli has gained level 40 in the Broń palna skill.
[20:02:56	]Wenli has gained level 40 in the Prędkość skill.
[20:02:56	]Wenli loaded the character 'S10/OWS.GHOST-38'
[20:02:56	]S10/OWS.GHOST-38 has gained a 'Small Bag' #4221.
[20:02:56	]S10/OWS.GHOST-38 has gained a 'Large Bag' #4222.
[20:02:56	]S10/OWS.GHOST-38 has gained a 'Flashlight' #4223.
[20:02:56	]S10/OWS.GHOST-38 has gained a 'Combine PDA' #4224.
[20:02:56	]S10/OWS.GHOST-38 has gained a 'OTA Uniform' #4225.
[20:02:56	]S10/OWS.GHOST-38 has gained a 'OTA Mask' #4226.
[20:02:56	]S10/OWS.GHOST-38 has gained a 'Rappel Gear' #4227.
[20:02:56	]S10/OWS.GHOST-38 has gained a 'Magazine Pouch' #4228.
[20:02:56	]S10/OWS.GHOST-38 has gained a 'Ammunition Pouch' #4229.
[20:03:20	]S10/OWS.GHOST-38 has given himself a pulse.
[20:03:20	]S10/OWS.GHOST-38 has gained a 'AR-2' #4230.
[20:03:23	]S10/OWS.GHOST-38 has given himself a assaultammo.
[20:03:23	]S10/OWS.GHOST-38 has gained a 'Assault Rifle Ammo' #4231.
[20:03:24	]S10/OWS.GHOST-38 has given himself a assaultammo.
[20:03:24	]S10/OWS.GHOST-38 has gained a 'Assault Rifle Ammo' #4232.
[20:03:43	]S10/OWS.GHOST-38 ran 'use' on item 'Assault Rifle Ammo' (#4231)
[20:03:43	]S10/OWS.GHOST-38 ran 'use' on item 'Assault Rifle Ammo' (#4232)
[20:03:44	]S10/OWS.GHOST-38 ran 'Equip' on item 'AR-2' (#4230)
[20:03:48	]S10/OWS.GHOST-38 has given himself a magazine_ospr_24rnd.
[20:03:48	]S10/OWS.GHOST-38 has gained a '24rnd Heavy-Pulse Magazine' #4233.
[20:03:49	]S10/OWS.GHOST-38 has given himself a magazine_ospr_24rnd.
[20:03:49	]S10/OWS.GHOST-38 has gained a '24rnd Heavy-Pulse Magazine' #4234.
[20:03:59	]S10/OWS.GHOST-38 ran 'drop' on item '24rnd Heavy-Pulse Magazine' (#4234)
[20:03:59	]S10/OWS.GHOST-38 has lost a '24rnd Heavy-Pulse Magazine' #4234.
[20:04:00	]S10/OWS.GHOST-38 ran 'drop' on item '24rnd Heavy-Pulse Magazine' (#4233)
[20:04:00	]S10/OWS.GHOST-38 has lost a '24rnd Heavy-Pulse Magazine' #4233.
[20:04:03	]S10/OWS.GHOST-38 has used a context menu option with the name: remove
[20:04:04	]S10/OWS.GHOST-38 has used a context menu option with the name: remove
[20:04:07	]S10/OWS.GHOST-38 has given himself a magazine_pulse_30rnd.
[20:04:07	]S10/OWS.GHOST-38 has gained a '30rnd Pulse-magazine' #4235.
[20:04:08	]S10/OWS.GHOST-38 has given himself a magazine_pulse_30rnd.
[20:04:08	]S10/OWS.GHOST-38 has gained a '30rnd Pulse-magazine' #4236.
[20:04:21	]S10/OWS.GHOST-38 has given himself a assaultammo.
[20:04:21	]S10/OWS.GHOST-38 has gained a 'Assault Rifle Ammo' #4237.
[20:04:28	]S10/OWS.GHOST-38 ran 'combine' on item 'Ammunition Pouch' (#4229)
[20:04:28	]S10/OWS.GHOST-38 ran 'combine' on item 'Ammunition Pouch' (#4229)
[20:04:36	]S10/OWS.GHOST-38 ran 'combine' on item 'Magazine Pouch' (#4228)
[20:04:37	]S10/OWS.GHOST-38 ran 'combine' on item 'Magazine Pouch' (#4228)
[20:04:44	]S10/OWS.GHOST-38 ran 'drop' on item 'AR-2' (#4230)
[20:04:44	]S10/OWS.GHOST-38 has lost a 'AR-2' #4230.
[20:04:49	]S10/OWS.GHOST-38 ran 'take' on item 'AR-2' (#4230)
[20:04:49	]S10/OWS.GHOST-38 has gained a 'AR-2' #4230.
[20:04:53	]S10/OWS.GHOST-38 ran 'drop' on item 'Assault Rifle Ammo' (#4237)
[20:04:53	]S10/OWS.GHOST-38 has lost a 'Assault Rifle Ammo' #4237.
[20:04:55	]S10/OWS.GHOST-38 ran 'take' on item 'Assault Rifle Ammo' (#4237)
[20:04:55	]S10/OWS.GHOST-38 has gained a 'Assault Rifle Ammo' #4237.
[20:05:18	]S10/OWS.GHOST-38 ran 'Equip' on item 'Combine PDA' (#4224)
[20:05:39	]S10/OWS.GHOST-38 ran 'Equip' on item 'Rappel Gear' (#4227)
[20:05:39	]S10/OWS.GHOST-38 ran 'combine' on item 'Small Bag' (#4221)
[20:06:02	]S10/OWS.GHOST-38 ran 'Equip' on item 'AR-2' (#4230)
[20:06:36	]S10/OWS.GHOST-38 entered observer.
[20:06:38	]S10/OWS.GHOST-38 exited observer at their location.
[20:07:43	]S10/OWS.GHOST-38 has given himself a bullets_pulse.
[20:07:43	]S10/OWS.GHOST-38 has gained a 'Pulse Rifle Bullets' #4238.
[20:07:44	]S10/OWS.GHOST-38 has given himself a bullets_pulse.
[20:07:44	]S10/OWS.GHOST-38 has gained a 'Pulse Rifle Bullets' #4239.
[20:07:54	]S10/OWS.GHOST-38 ran 'combine' on item '30rnd Pulse-magazine' (#4236)
[20:07:55	]S10/OWS.GHOST-38 ran 'combine' on item '30rnd Pulse-magazine' (#4235)
[20:07:57	]S10/OWS.GHOST-38 has lost a '30rnd Pulse-magazine' #4236.
[20:08:00	]S10/OWS.GHOST-38 has gained a '30rnd Pulse-magazine' #4236.
[20:08:00	]S10/OWS.GHOST-38 has lost a '30rnd Pulse-magazine' #4235.
[20:08:14	]S10/OWS.GHOST-38 has gained a '30rnd Pulse-magazine' #4235.
[20:08:14	]S10/OWS.GHOST-38 has lost a '30rnd Pulse-magazine' #4236.
[20:08:24	]S10/OWS.GHOST-38 entered observer.
[20:08:24	]S10/OWS.GHOST-38 exited observer at their location.
[20:16:38	][IC] S10/OWS.GHOST-38: <:: Clear. ::>
[20:16:45	][IC] S10/OWS.GHOST-38: <:: 10-20. ::>
[20:16:53	][IC] S10/OWS.GHOST-38: <:: One. ::>
[20:16:54	][IC] S10/OWS.GHOST-38: <:: Null. ::>
[20:17:08	][IC] S10/OWS.GHOST-38: <:: Changing target, code breakdown. ::>
[20:17:15	][IC] S10/OWS.GHOST-38: <:: Unit is moving in. ::>
[20:17:41	][IC] S10/OWS.GHOST-38: <:: Grenade! ::>
[20:18:02	]S10/OWS.GHOST-38 has given himself a bullets_pulse.
[20:18:02	]S10/OWS.GHOST-38 has gained a 'Pulse Rifle Bullets' #4240.
[20:18:03	]S10/OWS.GHOST-38 has given himself a bullets_pulse.
[20:18:03	]S10/OWS.GHOST-38 has gained a 'Pulse Rifle Bullets' #4241.
[20:18:04	]S10/OWS.GHOST-38 has given himself a bullets_pulse.
[20:18:04	]S10/OWS.GHOST-38 has gained a 'Pulse Rifle Bullets' #4242.
[20:18:05	]S10/OWS.GHOST-38 has given himself a bullets_pulse.
[20:18:05	]S10/OWS.GHOST-38 has gained a 'Pulse Rifle Bullets' #4243.
[20:18:05	]S10/OWS.GHOST-38 has given himself a bullets_pulse.
[20:18:05	]S10/OWS.GHOST-38 has gained a 'Pulse Rifle Bullets' #4244.
[20:18:06	]S10/OWS.GHOST-38 has given himself a bullets_pulse.
[20:18:06	]S10/OWS.GHOST-38 has gained a 'Pulse Rifle Bullets' #4245.
[20:18:09	]S10/OWS.GHOST-38 has given himself a magazine_pulse_30rnd.
[20:18:09	]S10/OWS.GHOST-38 has gained a '30rnd Pulse-magazine' #4246.
[20:18:10	]S10/OWS.GHOST-38 has given himself a magazine_pulse_30rnd.
[20:18:10	]S10/OWS.GHOST-38 has gained a '30rnd Pulse-magazine' #4247.
[20:18:11	]S10/OWS.GHOST-38 has given himself a magazine_pulse_30rnd.
[20:18:11	]S10/OWS.GHOST-38 has gained a '30rnd Pulse-magazine' #4248.
[20:18:13	]S10/OWS.GHOST-38 ran 'combine' on item 'Magazine Pouch' (#4228)
[20:18:14	]S10/OWS.GHOST-38 ran 'combine' on item 'Magazine Pouch' (#4228)
[20:18:15	]S10/OWS.GHOST-38 ran 'combine' on item 'Magazine Pouch' (#4228)
[20:18:16	]S10/OWS.GHOST-38 ran 'drop' on item 'Magazine Pouch' (#4228)
[20:18:16	]S10/OWS.GHOST-38 has lost a 'Magazine Pouch' #4228.
[20:18:16	]S10/OWS.GHOST-38 has lost a '30rnd Pulse-magazine' #4235.
[20:18:16	]S10/OWS.GHOST-38 has lost a '30rnd Pulse-magazine' #4246.
[20:18:16	]S10/OWS.GHOST-38 has lost a '30rnd Pulse-magazine' #4248.
[20:18:16	]S10/OWS.GHOST-38 has lost a '30rnd Pulse-magazine' #4247.
[20:18:17	]S10/OWS.GHOST-38 ran 'take' on item 'Magazine Pouch' (#4228)
[20:18:17	]S10/OWS.GHOST-38 has gained a 'Magazine Pouch' #4228.
[20:18:17	]S10/OWS.GHOST-38 has gained a '30rnd Pulse-magazine' #4235.
[20:18:17	]S10/OWS.GHOST-38 has gained a '30rnd Pulse-magazine' #4246.
[20:18:17	]S10/OWS.GHOST-38 has gained a '30rnd Pulse-magazine' #4248.
[20:18:17	]S10/OWS.GHOST-38 has gained a '30rnd Pulse-magazine' #4247.
[20:18:19	]S10/OWS.GHOST-38 ran 'combine' on item '30rnd Pulse-magazine' (#4235)
[20:18:20	]S10/OWS.GHOST-38 ran 'combine' on item '30rnd Pulse-magazine' (#4246)
[20:18:22	]S10/OWS.GHOST-38 ran 'combine' on item '30rnd Pulse-magazine' (#4247)
[20:18:23	]S10/OWS.GHOST-38 ran 'combine' on item '30rnd Pulse-magazine' (#4248)
[20:18:23	]S10/OWS.GHOST-38 has gained a '30rnd Pulse-magazine' #4236.
[20:18:23	]S10/OWS.GHOST-38 has lost a '30rnd Pulse-magazine' #4248.
[20:18:35	]S10/OWS.GHOST-38 used command '/Doorkick'.
[20:18:40	]S10/OWS.GHOST-38 used command '/Doorkick'.
[20:20:27	]S10/OWS.GHOST-38 entered observer.
[20:20:27	]S10/OWS.GHOST-38 exited observer at their location.
[20:20:37	]Inkaaz has connected.
[20:23:06	]Inkaaz created the character 'Urgh'h'har'
[20:23:06	]Inkaaz loaded the character 'Urgh'h'har'
[20:23:10	]Urgh'h'har entered observer.
[20:23:23	]Urgh'h'har exited observer at their location.
[20:23:24	]Urgh'h'har entered observer.
[20:23:25	]Urgh'h'har exited observer at their location.
[20:23:26	]Urgh'h'har has fired a toolgun with the name: camera
[20:23:43	]Urgh'h'har has given himself a vortigaunt_head_fedora.
[20:23:43	]Urgh'h'har has gained a 'Vortigaunt Fedora' #4249.
[20:23:47	]Urgh'h'har has given himself a vortigaunt_torso_vest.
[20:23:47	]Urgh'h'har has gained a 'Vortigaunt Kevlar' #4250.
[20:23:51	]Urgh'h'har ran 'drop' on item 'Vortigaunt Kevlar' (#4250)
[20:23:51	]Urgh'h'har has lost a 'Vortigaunt Kevlar' #4250.
[20:23:53	]Urgh'h'har ran 'take' on item 'Vortigaunt Kevlar' (#4250)
[20:23:53	]Urgh'h'har has gained a 'Vortigaunt Kevlar' #4250.
[20:23:57	]Urgh'h'har has given himself a vortigaunt_trousers_darkblue.
[20:23:57	]Urgh'h'har has gained a 'Vortigaunt Dark Blue Trousers' #4251.
[20:24:14	]Urgh'h'har entered observer.
[20:24:17	]Urgh'h'har exited observer at their location.
[20:24:20	]Urgh'h'har entered observer.
[20:24:24	]Urgh'h'har exited observer at their location.
[20:24:27	]Urgh'h'har entered observer.
[20:24:29	]Urgh'h'har exited observer at their location.
[20:24:35	]Urgh'h'har entered observer.
[20:24:36	]Urgh'h'har exited observer at their location.
[20:24:39	]Urgh'h'har entered observer.
[20:24:44	]Urgh'h'har exited observer at their location.
[20:24:50	]Urgh'h'har entered observer.
[20:24:53	]Urgh'h'har exited observer at their location.
[20:25:00	]Urgh'h'har entered observer.
[20:25:01	]Urgh'h'har has fired a toolgun with the name: lamp
[20:25:19	]Urgh'h'har exited observer at their location.
[20:25:22	]Urgh'h'har entered observer.
[20:25:25	]Urgh'h'har exited observer at their location.
[20:25:32	]Urgh'h'har entered observer.
[20:25:35	]Urgh'h'har has fired a toolgun with the name: lamp
[20:25:41	]Urgh'h'har exited observer at their location.
[20:25:56	]S10/OWS.GHOST-38 has gone afk.
[20:26:49	]Urgh'h'har entered observer.
[20:26:55	]Urgh'h'har exited observer at their location.
[20:26:56	]Urgh'h'har has given himself a vortigaunt_torso_doc2.
[20:26:56	]Urgh'h'har has gained a 'Vortigaunt Labcoat' #4252.
[20:27:07	]Urgh'h'har has fired a toolgun with the name: lamp
[20:27:12	]Urgh'h'har entered observer.
[20:27:14	]Urgh'h'har exited observer at their location.
[20:27:22	]Urgh'h'har entered observer.
[20:27:27	]Urgh'h'har exited observer at their location.
[20:27:29	]Urgh'h'har entered observer.
[20:27:33	]Urgh'h'har exited observer at their location.
[20:27:34	]Urgh'h'har entered observer.
[20:27:37	]Urgh'h'har exited observer at their location.
[20:27:39	]Urgh'h'har entered observer.
[20:27:43	]Urgh'h'har exited observer at their location.
[20:27:44	]Urgh'h'har entered observer.
[20:27:46	]Urgh'h'har exited observer at their location.
[20:27:48	]Urgh'h'har entered observer.
[20:27:50	]Urgh'h'har exited observer at their location.
[20:27:50	]Urgh'h'har entered observer.
[20:27:52	]Urgh'h'har exited observer at their location.
[20:27:55	]Urgh'h'har entered observer.
[20:27:59	]Urgh'h'har has fired a toolgun with the name: camera
[20:28:00	]Urgh'h'har exited observer at their location.
[20:28:08	]Urgh'h'har entered observer.
[20:28:16	]Urgh'h'har has fired a toolgun with the name: camera
[20:28:17	]Urgh'h'har exited observer at their location.
[20:28:20	]Urgh'h'har entered observer.
[20:28:23	]Urgh'h'har has fired a toolgun with the name: camera
[20:28:23	]Urgh'h'har exited observer at their location.
[20:28:26	]Urgh'h'har entered observer.
[20:28:29	]Urgh'h'har has fired a toolgun with the name: camera
[20:28:30	]Urgh'h'har exited observer at their location.
[20:28:32	]Urgh'h'har entered observer.
[20:28:33	]Urgh'h'har exited observer at their location.
[20:28:36	]Urgh'h'har has fired a toolgun with the name: camera
[20:28:38	]Urgh'h'har entered observer.
[20:28:40	]Urgh'h'har has fired a toolgun with the name: camera
[20:28:41	]Urgh'h'har exited observer at their location.
[20:28:46	]Urgh'h'har entered observer.
[20:28:49	]Urgh'h'har has fired a toolgun with the name: camera
[20:28:50	]Urgh'h'har exited observer at their location.
[20:29:12	]Urgh'h'har has given himself a ing_xen_extract.
[20:29:12	]Urgh'h'har has gained a 'Antlion Extract' #4253.
[20:29:20	]Urgh'h'har ran 'Consume' on item 'Antlion Extract' (#4253)
[20:29:54	]Inkaaz (STEAM_0:0:50287200) has disconnected.
[20:53:46	]S10/OWS.GHOST-38 is no longer afk. Total time spent AFK: 1965
[20:53:50	]Wenli (STEAM_0:1:86169246) has disconnected.
[23:03:07	]Inkaaz has connected.
[23:04:58	]Inkaaz created the character 'Jan Nowak'
