[01:17:07	]Inkaaz has connected.
[22:54:42	]Zacku zack has gained a 'Frag Grenade' #3468.
[22:54:44	]Zacku zack has given himself a frag_grenade.
[22:54:44	]Zacku zack has gained a 'Frag Grenade' #3469.
[22:54:45	]Zacku zack has given himself a frag_grenade.
[22:54:45	]Zacku zack has gained a 'Frag Grenade' #3470.
[22:54:45	]Zacku zack has given himself a frag_grenade.
[22:54:45	]Zacku zack has gained a 'Frag Grenade' #3471.
[22:54:46	]Zacku zack has given himself a frag_grenade.
[22:54:46	]Zacku zack has gained a 'Frag Grenade' #3472.
[22:54:46	]Zacku zack has given himself a frag_grenade.
[22:54:46	]Zacku zack has gained a 'Frag Grenade' #3473.
[22:54:47	]Zacku zack has given himself a frag_grenade.
[22:54:47	]Zacku zack has gained a 'Frag Grenade' #3474.
[22:54:47	]Zacku zack has given himself a frag_grenade.
[22:54:47	]Zacku zack has gained a 'Frag Grenade' #3475.
[22:58:14	]Zacku zack ran 'Equip' on item 'Suitcase' (#3448)
[23:10:30	]Zacku zack has gone afk.
[23:11:20	]Zacku zack is no longer afk. Total time spent AFK: 345
[23:16:20	]Zacku zack has gone afk.
[23:20:54	]Chogacz (STEAM_0:1:36976287) has disconnected.
